Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Forest,Pennsylvania,0,0,US
2020-01-23,Forest,Pennsylvania,0,0,US
2020-01-24,Forest,Pennsylvania,0,0,US
2020-01-25,Forest,Pennsylvania,0,0,US
2020-01-26,Forest,Pennsylvania,0,0,US
2020-01-27,Forest,Pennsylvania,0,0,US
2020-01-28,Forest,Pennsylvania,0,0,US
2020-01-29,Forest,Pennsylvania,0,0,US
2020-01-30,Forest,Pennsylvania,0,0,US
2020-01-31,Forest,Pennsylvania,0,0,US
2020-02-01,Forest,Pennsylvania,0,0,US
2020-02-02,Forest,Pennsylvania,0,0,US
2020-02-03,Forest,Pennsylvania,0,0,US
2020-02-04,Forest,Pennsylvania,0,0,US
2020-02-05,Forest,Pennsylvania,0,0,US
2020-02-06,Forest,Pennsylvania,0,0,US
2020-02-07,Forest,Pennsylvania,0,0,US
2020-02-08,Forest,Pennsylvania,0,0,US
2020-02-09,Forest,Pennsylvania,0,0,US
2020-02-10,Forest,Pennsylvania,0,0,US
2020-02-11,Forest,Pennsylvania,0,0,US
2020-02-12,Forest,Pennsylvania,0,0,US
2020-02-13,Forest,Pennsylvania,0,0,US
2020-02-14,Forest,Pennsylvania,0,0,US
2020-02-15,Forest,Pennsylvania,0,0,US
2020-02-16,Forest,Pennsylvania,0,0,US
2020-02-17,Forest,Pennsylvania,0,0,US
2020-02-18,Forest,Pennsylvania,0,0,US
2020-02-19,Forest,Pennsylvania,0,0,US
2020-02-20,Forest,Pennsylvania,0,0,US
2020-02-21,Forest,Pennsylvania,0,0,US
2020-02-22,Forest,Pennsylvania,0,0,US
2020-02-23,Forest,Pennsylvania,0,0,US
2020-02-24,Forest,Pennsylvania,0,0,US
2020-02-25,Forest,Pennsylvania,0,0,US
2020-02-26,Forest,Pennsylvania,0,0,US
2020-02-27,Forest,Pennsylvania,0,0,US
2020-02-28,Forest,Pennsylvania,0,0,US
2020-02-29,Forest,Pennsylvania,0,0,US
2020-03-01,Forest,Pennsylvania,0,0,US
