Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Franklin,Ohio,0,0,US
2020-01-23,Franklin,Ohio,0,0,US
2020-01-24,Franklin,Ohio,0,0,US
2020-01-25,Franklin,Ohio,0,0,US
2020-01-26,Franklin,Ohio,0,0,US
2020-01-27,Franklin,Ohio,0,0,US
2020-01-28,Franklin,Ohio,0,0,US
2020-01-29,Franklin,Ohio,0,0,US
2020-01-30,Franklin,Ohio,0,0,US
2020-01-31,Franklin,Ohio,0,0,US
2020-02-01,Franklin,Ohio,0,0,US
2020-02-02,Franklin,Ohio,0,0,US
2020-02-03,Franklin,Ohio,0,0,US
2020-02-04,Franklin,Ohio,0,0,US
2020-02-05,Franklin,Ohio,0,0,US
2020-02-06,Franklin,Ohio,0,0,US
2020-02-07,Franklin,Ohio,0,0,US
2020-02-08,Franklin,Ohio,0,0,US
2020-02-09,Franklin,Ohio,0,0,US
2020-02-10,Franklin,Ohio,0,0,US
2020-02-11,Franklin,Ohio,0,0,US
2020-02-12,Franklin,Ohio,0,0,US
2020-02-13,Franklin,Ohio,0,0,US
2020-02-14,Franklin,Ohio,0,0,US
2020-02-15,Franklin,Ohio,0,0,US
2020-02-16,Franklin,Ohio,0,0,US
2020-02-17,Franklin,Ohio,0,0,US
2020-02-18,Franklin,Ohio,0,0,US
2020-02-19,Franklin,Ohio,0,0,US
2020-02-20,Franklin,Ohio,0,0,US
2020-02-21,Franklin,Ohio,0,0,US
2020-02-22,Franklin,Ohio,0,0,US
2020-02-23,Franklin,Ohio,0,0,US
2020-02-24,Franklin,Ohio,0,0,US
2020-02-25,Franklin,Ohio,0,0,US
2020-02-26,Franklin,Ohio,0,0,US
2020-02-27,Franklin,Ohio,0,0,US
2020-02-28,Franklin,Ohio,0,0,US
2020-02-29,Franklin,Ohio,0,0,US
2020-03-01,Franklin,Ohio,0,0,US
2020-03-02,Franklin,Ohio,0,0,US
2020-03-03,Franklin,Ohio,0,0,US
2020-03-04,Franklin,Ohio,0,0,US
2020-03-05,Franklin,Ohio,0,0,US
2020-03-06,Franklin,Ohio,0,0,US
2020-03-07,Franklin,Ohio,0,0,US
2020-03-08,Franklin,Ohio,0,0,US
2020-03-09,Franklin,Ohio,0,0,US
2020-03-10,Franklin,Ohio,0,0,US
2020-03-11,Franklin,Ohio,0,0,US
2020-03-12,Franklin,Ohio,0,0,US
2020-03-13,Franklin,Ohio,0,0,US
2020-03-14,Franklin,Ohio,1,0,US
2020-03-15,Franklin,Ohio,3,0,US
2020-03-16,Franklin,Ohio,3,0,US
2020-03-17,Franklin,Ohio,4,2,US
