Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Fremont,Iowa,0,0,US
2020-01-23,Fremont,Iowa,0,0,US
2020-01-24,Fremont,Iowa,0,0,US
2020-01-25,Fremont,Iowa,0,0,US
2020-01-26,Fremont,Iowa,0,0,US
2020-01-27,Fremont,Iowa,0,0,US
2020-01-28,Fremont,Iowa,0,0,US
2020-01-29,Fremont,Iowa,0,0,US
2020-01-30,Fremont,Iowa,0,0,US
2020-01-31,Fremont,Iowa,0,0,US
2020-02-01,Fremont,Iowa,0,0,US
2020-02-02,Fremont,Iowa,0,0,US
2020-02-03,Fremont,Iowa,0,0,US
2020-02-04,Fremont,Iowa,0,0,US
2020-02-05,Fremont,Iowa,0,0,US
2020-02-06,Fremont,Iowa,0,0,US
2020-02-07,Fremont,Iowa,0,0,US
2020-02-08,Fremont,Iowa,0,0,US
2020-02-09,Fremont,Iowa,0,0,US
2020-02-10,Fremont,Iowa,0,0,US
2020-02-11,Fremont,Iowa,0,0,US
2020-02-12,Fremont,Iowa,0,0,US
2020-02-13,Fremont,Iowa,0,0,US
2020-02-14,Fremont,Iowa,0,0,US
2020-02-15,Fremont,Iowa,0,0,US
2020-02-16,Fremont,Iowa,0,0,US
2020-02-17,Fremont,Iowa,0,0,US
2020-02-18,Fremont,Iowa,0,0,US
2020-02-19,Fremont,Iowa,0,0,US
2020-02-20,Fremont,Iowa,0,0,US
2020-02-21,Fremont,Iowa,0,0,US
2020-02-22,Fremont,Iowa,0,0,US
2020-02-23,Fremont,Iowa,0,0,US
2020-02-24,Fremont,Iowa,0,0,US
2020-02-25,Fremont,Iowa,0,0,US
2020-02-26,Fremont,Iowa,0,0,US
2020-02-27,Fremont,Iowa,0,0,US
2020-02-28,Fremont,Iowa,0,0,US
2020-02-29,Fremont,Iowa,0,0,US
2020-03-01,Fremont,Iowa,0,0,US
2020-03-02,Fremont,Iowa,0,0,US
2020-03-03,Fremont,Iowa,0,0,US
2020-03-04,Fremont,Iowa,0,0,US
2020-03-05,Fremont,Iowa,0,0,US
2020-03-06,Fremont,Iowa,0,0,US
2020-03-07,Fremont,Iowa,0,0,US
2020-03-08,Fremont,Iowa,0,0,US
2020-03-09,Fremont,Iowa,0,0,US
2020-03-10,Fremont,Iowa,0,0,US
2020-03-11,Fremont,Iowa,0,0,US
2020-03-12,Fremont,Iowa,0,0,US
2020-03-13,Fremont,Iowa,0,0,US
2020-03-14,Fremont,Iowa,0,0,US
2020-03-15,Fremont,Iowa,0,0,US
2020-03-16,Fremont,Iowa,0,0,US
2020-03-17,Fremont,Iowa,0,0,US
2020-03-18,Fremont,Iowa,0,0,US
2020-03-19,Fremont,Iowa,0,0,US
2020-03-20,Fremont,Iowa,0,0,US
2020-03-21,Fremont,Iowa,0,0,US
2020-03-22,Fremont,Iowa,0,0,US
2020-03-23,Fremont,Iowa,0,0,US
2020-03-24,Fremont,Iowa,0,0,US
2020-03-25,Fremont,Iowa,0,0,US
2020-03-26,Fremont,Iowa,0,0,US
2020-03-27,Fremont,Iowa,0,0,US
2020-03-28,Fremont,Iowa,0,0,US
2020-03-29,Fremont,Iowa,0,0,US
2020-03-30,Fremont,Iowa,0,0,US
2020-03-31,Fremont,Iowa,0,0,US
2020-04-01,Fremont,Iowa,0,0,US
2020-04-02,Fremont,Iowa,0,0,US
2020-04-03,Fremont,Iowa,0,0,US
2020-04-04,Fremont,Iowa,0,0,US
2020-04-05,Fremont,Iowa,0,0,US
2020-04-06,Fremont,Iowa,0,0,US
2020-04-07,Fremont,Iowa,0,0,US
2020-04-08,Fremont,Iowa,0,0,US
2020-04-09,Fremont,Iowa,0,0,US
2020-04-10,Fremont,Iowa,0,0,US
2020-04-11,Fremont,Iowa,0,0,US
2020-04-12,Fremont,Iowa,0,0,US
2020-04-13,Fremont,Iowa,0,0,US
2020-04-14,Fremont,Iowa,0,0,US
2020-04-15,Fremont,Iowa,0,0,US
2020-04-16,Fremont,Iowa,0,0,US
2020-04-17,Fremont,Iowa,0,0,US
2020-04-18,Fremont,Iowa,0,0,US
2020-04-19,Fremont,Iowa,0,0,US
2020-04-20,Fremont,Iowa,0,0,US
2020-04-21,Fremont,Iowa,0,0,US
2020-04-22,Fremont,Iowa,0,0,US
2020-04-23,Fremont,Iowa,0,0,US
2020-04-24,Fremont,Iowa,0,0,US
2020-04-25,Fremont,Iowa,0,0,US
2020-04-26,Fremont,Iowa,0,0,US
2020-04-27,Fremont,Iowa,0,0,US
2020-04-28,Fremont,Iowa,0,0,US
2020-04-29,Fremont,Iowa,0,0,US
2020-04-30,Fremont,Iowa,0,0,US
2020-05-01,Fremont,Iowa,0,0,US
2020-05-02,Fremont,Iowa,0,0,US
2020-05-03,Fremont,Iowa,0,0,US
2020-05-04,Fremont,Iowa,0,0,US
2020-05-05,Fremont,Iowa,0,0,US
2020-05-06,Fremont,Iowa,0,0,US
2020-05-07,Fremont,Iowa,0,0,US
2020-05-08,Fremont,Iowa,1,0,US
2020-05-09,Fremont,Iowa,1,0,US
2020-05-10,Fremont,Iowa,1,0,US
2020-05-11,Fremont,Iowa,1,0,US
2020-05-12,Fremont,Iowa,3,0,US
2020-05-13,Fremont,Iowa,3,0,US
2020-05-14,Fremont,Iowa,3,0,US
2020-05-15,Fremont,Iowa,3,0,US
2020-05-16,Fremont,Iowa,3,0,US
2020-05-17,Fremont,Iowa,3,0,US
2020-05-18,Fremont,Iowa,3,0,US
2020-05-19,Fremont,Iowa,4,0,US
2020-05-20,Fremont,Iowa,4,0,US
