Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Fulton,Pennsylvania,0,0,US
2020-01-23,Fulton,Pennsylvania,0,0,US
2020-01-24,Fulton,Pennsylvania,0,0,US
2020-01-25,Fulton,Pennsylvania,0,0,US
2020-01-26,Fulton,Pennsylvania,0,0,US
2020-01-27,Fulton,Pennsylvania,0,0,US
2020-01-28,Fulton,Pennsylvania,0,0,US
2020-01-29,Fulton,Pennsylvania,0,0,US
2020-01-30,Fulton,Pennsylvania,0,0,US
2020-01-31,Fulton,Pennsylvania,0,0,US
2020-02-01,Fulton,Pennsylvania,0,0,US
2020-02-02,Fulton,Pennsylvania,0,0,US
2020-02-03,Fulton,Pennsylvania,0,0,US
2020-02-04,Fulton,Pennsylvania,0,0,US
2020-02-05,Fulton,Pennsylvania,0,0,US
2020-02-06,Fulton,Pennsylvania,0,0,US
2020-02-07,Fulton,Pennsylvania,0,0,US
2020-02-08,Fulton,Pennsylvania,0,0,US
2020-02-09,Fulton,Pennsylvania,0,0,US
2020-02-10,Fulton,Pennsylvania,0,0,US
2020-02-11,Fulton,Pennsylvania,0,0,US
2020-02-12,Fulton,Pennsylvania,0,0,US
2020-02-13,Fulton,Pennsylvania,0,0,US
2020-02-14,Fulton,Pennsylvania,0,0,US
2020-02-15,Fulton,Pennsylvania,0,0,US
2020-02-16,Fulton,Pennsylvania,0,0,US
2020-02-17,Fulton,Pennsylvania,0,0,US
2020-02-18,Fulton,Pennsylvania,0,0,US
2020-02-19,Fulton,Pennsylvania,0,0,US
2020-02-20,Fulton,Pennsylvania,0,0,US
2020-02-21,Fulton,Pennsylvania,0,0,US
2020-02-22,Fulton,Pennsylvania,0,0,US
2020-02-23,Fulton,Pennsylvania,0,0,US
2020-02-24,Fulton,Pennsylvania,0,0,US
2020-02-25,Fulton,Pennsylvania,0,0,US
2020-02-26,Fulton,Pennsylvania,0,0,US
2020-02-27,Fulton,Pennsylvania,0,0,US
2020-02-28,Fulton,Pennsylvania,0,0,US
2020-02-29,Fulton,Pennsylvania,0,0,US
2020-03-01,Fulton,Pennsylvania,0,0,US
2020-03-02,Fulton,Pennsylvania,0,0,US
2020-03-03,Fulton,Pennsylvania,0,0,US
2020-03-04,Fulton,Pennsylvania,0,0,US
2020-03-05,Fulton,Pennsylvania,0,0,US
2020-03-06,Fulton,Pennsylvania,0,0,US
2020-03-07,Fulton,Pennsylvania,0,0,US
2020-03-08,Fulton,Pennsylvania,0,0,US
2020-03-09,Fulton,Pennsylvania,0,0,US
2020-03-10,Fulton,Pennsylvania,0,0,US
2020-03-11,Fulton,Pennsylvania,0,0,US
2020-03-12,Fulton,Pennsylvania,0,0,US
2020-03-13,Fulton,Pennsylvania,0,0,US
2020-03-14,Fulton,Pennsylvania,0,0,US
2020-03-15,Fulton,Pennsylvania,0,0,US
2020-03-16,Fulton,Pennsylvania,0,0,US
2020-03-17,Fulton,Pennsylvania,0,0,US
2020-03-18,Fulton,Pennsylvania,0,0,US
2020-03-19,Fulton,Pennsylvania,0,0,US
2020-03-20,Fulton,Pennsylvania,0,0,US
2020-03-21,Fulton,Pennsylvania,0,0,US
2020-03-22,Fulton,Pennsylvania,0,0,US
2020-03-23,Fulton,Pennsylvania,0,0,US
2020-03-24,Fulton,Pennsylvania,0,0,US
2020-03-25,Fulton,Pennsylvania,0,0,US
2020-03-26,Fulton,Pennsylvania,0,0,US
2020-03-27,Fulton,Pennsylvania,0,0,US
2020-03-28,Fulton,Pennsylvania,0,0,US
2020-03-29,Fulton,Pennsylvania,0,0,US
2020-03-30,Fulton,Pennsylvania,0,0,US
2020-03-31,Fulton,Pennsylvania,0,0,US
2020-04-01,Fulton,Pennsylvania,0,0,US
2020-04-02,Fulton,Pennsylvania,0,0,US
2020-04-03,Fulton,Pennsylvania,0,0,US
2020-04-04,Fulton,Pennsylvania,0,0,US
2020-04-05,Fulton,Pennsylvania,1,0,US
2020-04-06,Fulton,Pennsylvania,1,0,US
2020-04-07,Fulton,Pennsylvania,1,0,US
2020-04-08,Fulton,Pennsylvania,1,0,US
2020-04-09,Fulton,Pennsylvania,1,0,US
2020-04-10,Fulton,Pennsylvania,1,0,US
2020-04-11,Fulton,Pennsylvania,1,0,US
2020-04-12,Fulton,Pennsylvania,1,0,US
2020-04-13,Fulton,Pennsylvania,1,0,US
2020-04-14,Fulton,Pennsylvania,2,0,US
2020-04-15,Fulton,Pennsylvania,2,0,US
2020-04-16,Fulton,Pennsylvania,2,0,US
2020-04-17,Fulton,Pennsylvania,2,0,US
2020-04-18,Fulton,Pennsylvania,2,0,US
2020-04-19,Fulton,Pennsylvania,2,0,US
2020-04-20,Fulton,Pennsylvania,2,0,US
2020-04-21,Fulton,Pennsylvania,2,0,US
2020-04-22,Fulton,Pennsylvania,2,0,US
2020-04-23,Fulton,Pennsylvania,2,0,US
2020-04-24,Fulton,Pennsylvania,2,0,US
2020-04-25,Fulton,Pennsylvania,2,0,US
2020-04-26,Fulton,Pennsylvania,2,0,US
2020-04-27,Fulton,Pennsylvania,2,0,US
2020-04-28,Fulton,Pennsylvania,2,0,US
2020-04-29,Fulton,Pennsylvania,4,0,US
2020-04-30,Fulton,Pennsylvania,4,0,US
2020-05-01,Fulton,Pennsylvania,4,0,US
2020-05-02,Fulton,Pennsylvania,5,0,US
2020-05-03,Fulton,Pennsylvania,5,0,US
2020-05-04,Fulton,Pennsylvania,5,0,US
2020-05-05,Fulton,Pennsylvania,6,0,US
2020-05-06,Fulton,Pennsylvania,6,0,US
2020-05-07,Fulton,Pennsylvania,6,0,US
2020-05-08,Fulton,Pennsylvania,6,1,US
2020-05-09,Fulton,Pennsylvania,8,0,US
2020-05-10,Fulton,Pennsylvania,8,0,US
2020-05-11,Fulton,Pennsylvania,8,0,US
2020-05-12,Fulton,Pennsylvania,8,0,US
2020-05-13,Fulton,Pennsylvania,8,0,US
2020-05-14,Fulton,Pennsylvania,11,0,US
2020-05-15,Fulton,Pennsylvania,11,0,US
2020-05-16,Fulton,Pennsylvania,11,0,US
2020-05-17,Fulton,Pennsylvania,11,0,US
2020-05-18,Fulton,Pennsylvania,11,1,US
2020-05-19,Fulton,Pennsylvania,12,1,US
2020-05-20,Fulton,Pennsylvania,13,1,US
2020-05-21,Fulton,Pennsylvania,14,1,US
2020-05-22,Fulton,Pennsylvania,14,1,US
2020-05-23,Fulton,Pennsylvania,14,1,US
2020-05-24,Fulton,Pennsylvania,14,1,US
2020-05-25,Fulton,Pennsylvania,15,1,US
2020-05-26,Fulton,Pennsylvania,15,1,US
2020-05-27,Fulton,Pennsylvania,15,1,US
2020-05-28,Fulton,Pennsylvania,15,1,US
2020-05-29,Fulton,Pennsylvania,15,1,US
2020-05-30,Fulton,Pennsylvania,15,1,US
2020-05-31,Fulton,Pennsylvania,15,1,US
2020-06-01,Fulton,Pennsylvania,15,1,US
2020-06-02,Fulton,Pennsylvania,15,1,US
2020-06-03,Fulton,Pennsylvania,15,1,US
2020-06-04,Fulton,Pennsylvania,16,1,US
2020-06-05,Fulton,Pennsylvania,16,1,US
2020-06-06,Fulton,Pennsylvania,16,1,US
2020-06-07,Fulton,Pennsylvania,16,1,US
2020-06-08,Fulton,Pennsylvania,16,1,US
2020-06-09,Fulton,Pennsylvania,16,1,US
2020-06-10,Fulton,Pennsylvania,16,1,US
2020-06-11,Fulton,Pennsylvania,16,1,US
2020-06-12,Fulton,Pennsylvania,16,1,US
2020-06-13,Fulton,Pennsylvania,16,1,US
2020-06-14,Fulton,Pennsylvania,16,1,US
2020-06-15,Fulton,Pennsylvania,17,1,US
2020-06-16,Fulton,Pennsylvania,17,1,US
2020-06-17,Fulton,Pennsylvania,17,1,US
2020-06-18,Fulton,Pennsylvania,17,1,US
2020-06-19,Fulton,Pennsylvania,17,1,US
2020-06-20,Fulton,Pennsylvania,18,1,US
2020-06-21,Fulton,Pennsylvania,18,1,US
2020-06-22,Fulton,Pennsylvania,18,1,US
2020-06-23,Fulton,Pennsylvania,18,1,US
2020-06-24,Fulton,Pennsylvania,18,1,US
2020-06-25,Fulton,Pennsylvania,18,1,US
2020-06-26,Fulton,Pennsylvania,18,1,US
2020-06-27,Fulton,Pennsylvania,18,1,US
2020-06-28,Fulton,Pennsylvania,18,1,US
2020-06-29,Fulton,Pennsylvania,18,1,US
2020-06-30,Fulton,Pennsylvania,18,1,US
2020-07-01,Fulton,Pennsylvania,18,1,US
2020-07-02,Fulton,Pennsylvania,18,1,US
2020-07-03,Fulton,Pennsylvania,18,1,US
2020-07-04,Fulton,Pennsylvania,18,1,US
2020-07-05,Fulton,Pennsylvania,18,1,US
2020-07-06,Fulton,Pennsylvania,18,1,US
2020-07-07,Fulton,Pennsylvania,18,1,US
2020-07-08,Fulton,Pennsylvania,18,1,US
2020-07-09,Fulton,Pennsylvania,19,1,US
2020-07-10,Fulton,Pennsylvania,19,1,US
2020-07-11,Fulton,Pennsylvania,19,1,US
2020-07-12,Fulton,Pennsylvania,19,1,US
2020-07-13,Fulton,Pennsylvania,19,1,US
2020-07-14,Fulton,Pennsylvania,19,1,US
2020-07-15,Fulton,Pennsylvania,19,1,US
2020-07-16,Fulton,Pennsylvania,19,1,US
2020-07-17,Fulton,Pennsylvania,19,1,US
2020-07-18,Fulton,Pennsylvania,19,1,US
2020-07-19,Fulton,Pennsylvania,19,1,US
2020-07-20,Fulton,Pennsylvania,19,1,US
2020-07-21,Fulton,Pennsylvania,19,1,US
2020-07-22,Fulton,Pennsylvania,19,1,US
2020-07-23,Fulton,Pennsylvania,20,1,US
2020-07-24,Fulton,Pennsylvania,20,2,US
2020-07-25,Fulton,Pennsylvania,21,2,US
