Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Furnas,Nebraska,0,0,US
2020-01-23,Furnas,Nebraska,0,0,US
2020-01-24,Furnas,Nebraska,0,0,US
2020-01-25,Furnas,Nebraska,0,0,US
2020-01-26,Furnas,Nebraska,0,0,US
2020-01-27,Furnas,Nebraska,0,0,US
2020-01-28,Furnas,Nebraska,0,0,US
2020-01-29,Furnas,Nebraska,0,0,US
2020-01-30,Furnas,Nebraska,0,0,US
2020-01-31,Furnas,Nebraska,0,0,US
2020-02-01,Furnas,Nebraska,0,0,US
2020-02-02,Furnas,Nebraska,0,0,US
2020-02-03,Furnas,Nebraska,0,0,US
2020-02-04,Furnas,Nebraska,0,0,US
2020-02-05,Furnas,Nebraska,0,0,US
2020-02-06,Furnas,Nebraska,0,0,US
2020-02-07,Furnas,Nebraska,0,0,US
2020-02-08,Furnas,Nebraska,0,0,US
2020-02-09,Furnas,Nebraska,0,0,US
2020-02-10,Furnas,Nebraska,0,0,US
2020-02-11,Furnas,Nebraska,0,0,US
2020-02-12,Furnas,Nebraska,0,0,US
2020-02-13,Furnas,Nebraska,0,0,US
2020-02-14,Furnas,Nebraska,0,0,US
2020-02-15,Furnas,Nebraska,0,0,US
2020-02-16,Furnas,Nebraska,0,0,US
2020-02-17,Furnas,Nebraska,0,0,US
2020-02-18,Furnas,Nebraska,0,0,US
2020-02-19,Furnas,Nebraska,0,0,US
2020-02-20,Furnas,Nebraska,0,0,US
2020-02-21,Furnas,Nebraska,0,0,US
2020-02-22,Furnas,Nebraska,0,0,US
2020-02-23,Furnas,Nebraska,0,0,US
2020-02-24,Furnas,Nebraska,0,0,US
2020-02-25,Furnas,Nebraska,0,0,US
2020-02-26,Furnas,Nebraska,0,0,US
2020-02-27,Furnas,Nebraska,0,0,US
2020-02-28,Furnas,Nebraska,0,0,US
2020-02-29,Furnas,Nebraska,0,0,US
2020-03-01,Furnas,Nebraska,0,0,US
2020-03-02,Furnas,Nebraska,0,0,US
2020-03-03,Furnas,Nebraska,0,0,US
2020-03-04,Furnas,Nebraska,0,0,US
2020-03-05,Furnas,Nebraska,0,0,US
2020-03-06,Furnas,Nebraska,0,0,US
2020-03-07,Furnas,Nebraska,0,0,US
2020-03-08,Furnas,Nebraska,0,0,US
2020-03-09,Furnas,Nebraska,0,0,US
2020-03-10,Furnas,Nebraska,0,0,US
2020-03-11,Furnas,Nebraska,0,0,US
2020-03-12,Furnas,Nebraska,0,0,US
2020-03-13,Furnas,Nebraska,0,0,US
2020-03-14,Furnas,Nebraska,0,0,US
2020-03-15,Furnas,Nebraska,0,0,US
2020-03-16,Furnas,Nebraska,0,0,US
2020-03-17,Furnas,Nebraska,0,0,US
2020-03-18,Furnas,Nebraska,0,0,US
2020-03-19,Furnas,Nebraska,0,0,US
2020-03-20,Furnas,Nebraska,0,0,US
2020-03-21,Furnas,Nebraska,0,0,US
2020-03-22,Furnas,Nebraska,0,0,US
2020-03-23,Furnas,Nebraska,0,0,US
2020-03-24,Furnas,Nebraska,0,0,US
2020-03-25,Furnas,Nebraska,0,0,US
2020-03-26,Furnas,Nebraska,0,0,US
2020-03-27,Furnas,Nebraska,0,0,US
2020-03-28,Furnas,Nebraska,0,0,US
2020-03-29,Furnas,Nebraska,0,0,US
2020-03-30,Furnas,Nebraska,0,0,US
2020-03-31,Furnas,Nebraska,0,0,US
2020-04-01,Furnas,Nebraska,0,0,US
2020-04-02,Furnas,Nebraska,0,0,US
2020-04-03,Furnas,Nebraska,0,0,US
2020-04-04,Furnas,Nebraska,0,0,US
2020-04-05,Furnas,Nebraska,0,0,US
2020-04-06,Furnas,Nebraska,0,0,US
2020-04-07,Furnas,Nebraska,0,0,US
2020-04-08,Furnas,Nebraska,0,0,US
2020-04-09,Furnas,Nebraska,0,0,US
2020-04-10,Furnas,Nebraska,0,0,US
2020-04-11,Furnas,Nebraska,0,0,US
2020-04-12,Furnas,Nebraska,0,0,US
2020-04-13,Furnas,Nebraska,0,0,US
2020-04-14,Furnas,Nebraska,0,0,US
2020-04-15,Furnas,Nebraska,0,0,US
2020-04-16,Furnas,Nebraska,0,0,US
2020-04-17,Furnas,Nebraska,0,0,US
2020-04-18,Furnas,Nebraska,0,0,US
2020-04-19,Furnas,Nebraska,2,0,US
2020-04-20,Furnas,Nebraska,2,0,US
2020-04-21,Furnas,Nebraska,2,0,US
2020-04-22,Furnas,Nebraska,2,0,US
2020-04-23,Furnas,Nebraska,2,0,US
2020-04-24,Furnas,Nebraska,2,0,US
2020-04-25,Furnas,Nebraska,2,0,US
2020-04-26,Furnas,Nebraska,2,0,US
2020-04-27,Furnas,Nebraska,2,0,US
2020-04-28,Furnas,Nebraska,2,0,US
2020-04-29,Furnas,Nebraska,3,0,US
2020-04-30,Furnas,Nebraska,3,0,US
2020-05-01,Furnas,Nebraska,3,0,US
2020-05-02,Furnas,Nebraska,4,0,US
