Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Garrett,Maryland,0,0,US
2020-01-23,Garrett,Maryland,0,0,US
2020-01-24,Garrett,Maryland,0,0,US
2020-01-25,Garrett,Maryland,0,0,US
2020-01-26,Garrett,Maryland,0,0,US
2020-01-27,Garrett,Maryland,0,0,US
2020-01-28,Garrett,Maryland,0,0,US
2020-01-29,Garrett,Maryland,0,0,US
2020-01-30,Garrett,Maryland,0,0,US
2020-01-31,Garrett,Maryland,0,0,US
2020-02-01,Garrett,Maryland,0,0,US
2020-02-02,Garrett,Maryland,0,0,US
2020-02-03,Garrett,Maryland,0,0,US
2020-02-04,Garrett,Maryland,0,0,US
2020-02-05,Garrett,Maryland,0,0,US
2020-02-06,Garrett,Maryland,0,0,US
2020-02-07,Garrett,Maryland,0,0,US
2020-02-08,Garrett,Maryland,0,0,US
2020-02-09,Garrett,Maryland,0,0,US
2020-02-10,Garrett,Maryland,0,0,US
2020-02-11,Garrett,Maryland,0,0,US
2020-02-12,Garrett,Maryland,0,0,US
2020-02-13,Garrett,Maryland,0,0,US
2020-02-14,Garrett,Maryland,0,0,US
2020-02-15,Garrett,Maryland,0,0,US
2020-02-16,Garrett,Maryland,0,0,US
2020-02-17,Garrett,Maryland,0,0,US
2020-02-18,Garrett,Maryland,0,0,US
2020-02-19,Garrett,Maryland,0,0,US
2020-02-20,Garrett,Maryland,0,0,US
2020-02-21,Garrett,Maryland,0,0,US
2020-02-22,Garrett,Maryland,0,0,US
2020-02-23,Garrett,Maryland,0,0,US
2020-02-24,Garrett,Maryland,0,0,US
2020-02-25,Garrett,Maryland,0,0,US
2020-02-26,Garrett,Maryland,0,0,US
2020-02-27,Garrett,Maryland,0,0,US
2020-02-28,Garrett,Maryland,0,0,US
2020-02-29,Garrett,Maryland,0,0,US
2020-03-01,Garrett,Maryland,0,0,US
2020-03-02,Garrett,Maryland,0,0,US
2020-03-03,Garrett,Maryland,0,0,US
2020-03-04,Garrett,Maryland,0,0,US
2020-03-05,Garrett,Maryland,0,0,US
2020-03-06,Garrett,Maryland,0,0,US
2020-03-07,Garrett,Maryland,0,0,US
2020-03-08,Garrett,Maryland,0,0,US
2020-03-09,Garrett,Maryland,0,0,US
2020-03-10,Garrett,Maryland,0,0,US
2020-03-11,Garrett,Maryland,0,0,US
2020-03-12,Garrett,Maryland,0,0,US
2020-03-13,Garrett,Maryland,0,0,US
2020-03-14,Garrett,Maryland,0,0,US
2020-03-15,Garrett,Maryland,0,0,US
2020-03-16,Garrett,Maryland,0,0,US
2020-03-17,Garrett,Maryland,0,0,US
2020-03-18,Garrett,Maryland,0,0,US
2020-03-19,Garrett,Maryland,0,0,US
2020-03-20,Garrett,Maryland,0,0,US
2020-03-21,Garrett,Maryland,0,0,US
2020-03-22,Garrett,Maryland,0,0,US
2020-03-23,Garrett,Maryland,3,0,US
2020-03-24,Garrett,Maryland,3,0,US
2020-03-25,Garrett,Maryland,3,0,US
2020-03-26,Garrett,Maryland,3,0,US
2020-03-27,Garrett,Maryland,3,0,US
2020-03-28,Garrett,Maryland,3,0,US
2020-03-29,Garrett,Maryland,3,0,US
2020-03-30,Garrett,Maryland,3,0,US
2020-03-31,Garrett,Maryland,3,0,US
2020-04-01,Garrett,Maryland,3,0,US
2020-04-02,Garrett,Maryland,3,0,US
2020-04-03,Garrett,Maryland,3,0,US
2020-04-04,Garrett,Maryland,3,0,US
2020-04-05,Garrett,Maryland,3,0,US
2020-04-06,Garrett,Maryland,3,0,US
2020-04-07,Garrett,Maryland,3,0,US
2020-04-08,Garrett,Maryland,5,0,US
2020-04-09,Garrett,Maryland,5,0,US
2020-04-10,Garrett,Maryland,4,0,US
2020-04-11,Garrett,Maryland,4,0,US
2020-04-12,Garrett,Maryland,4,0,US
2020-04-13,Garrett,Maryland,4,0,US
2020-04-14,Garrett,Maryland,4,0,US
2020-04-15,Garrett,Maryland,4,0,US
2020-04-16,Garrett,Maryland,4,0,US
2020-04-17,Garrett,Maryland,4,0,US
2020-04-18,Garrett,Maryland,4,0,US
2020-04-19,Garrett,Maryland,4,0,US
2020-04-20,Garrett,Maryland,4,0,US
2020-04-21,Garrett,Maryland,4,0,US
2020-04-22,Garrett,Maryland,4,0,US
2020-04-23,Garrett,Maryland,4,0,US
2020-04-24,Garrett,Maryland,4,0,US
2020-04-25,Garrett,Maryland,4,0,US
2020-04-26,Garrett,Maryland,4,0,US
2020-04-27,Garrett,Maryland,4,0,US
2020-04-28,Garrett,Maryland,4,0,US
2020-04-29,Garrett,Maryland,4,0,US
2020-04-30,Garrett,Maryland,4,0,US
2020-05-01,Garrett,Maryland,4,0,US
2020-05-02,Garrett,Maryland,4,0,US
2020-05-03,Garrett,Maryland,4,0,US
2020-05-04,Garrett,Maryland,4,0,US
2020-05-05,Garrett,Maryland,4,0,US
2020-05-06,Garrett,Maryland,4,0,US
2020-05-07,Garrett,Maryland,4,0,US
2020-05-08,Garrett,Maryland,5,0,US
2020-05-09,Garrett,Maryland,6,0,US
2020-05-10,Garrett,Maryland,6,0,US
2020-05-11,Garrett,Maryland,6,0,US
2020-05-12,Garrett,Maryland,6,0,US
2020-05-13,Garrett,Maryland,6,0,US
2020-05-14,Garrett,Maryland,6,0,US
