Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Glynn,Georgia,0,0,US
2020-01-23,Glynn,Georgia,0,0,US
2020-01-24,Glynn,Georgia,0,0,US
2020-01-25,Glynn,Georgia,0,0,US
2020-01-26,Glynn,Georgia,0,0,US
2020-01-27,Glynn,Georgia,0,0,US
2020-01-28,Glynn,Georgia,0,0,US
2020-01-29,Glynn,Georgia,0,0,US
2020-01-30,Glynn,Georgia,0,0,US
2020-01-31,Glynn,Georgia,0,0,US
2020-02-01,Glynn,Georgia,0,0,US
2020-02-02,Glynn,Georgia,0,0,US
2020-02-03,Glynn,Georgia,0,0,US
2020-02-04,Glynn,Georgia,0,0,US
2020-02-05,Glynn,Georgia,0,0,US
2020-02-06,Glynn,Georgia,0,0,US
2020-02-07,Glynn,Georgia,0,0,US
2020-02-08,Glynn,Georgia,0,0,US
2020-02-09,Glynn,Georgia,0,0,US
2020-02-10,Glynn,Georgia,0,0,US
2020-02-11,Glynn,Georgia,0,0,US
2020-02-12,Glynn,Georgia,0,0,US
2020-02-13,Glynn,Georgia,0,0,US
2020-02-14,Glynn,Georgia,0,0,US
2020-02-15,Glynn,Georgia,0,0,US
2020-02-16,Glynn,Georgia,0,0,US
2020-02-17,Glynn,Georgia,0,0,US
2020-02-18,Glynn,Georgia,0,0,US
2020-02-19,Glynn,Georgia,0,0,US
2020-02-20,Glynn,Georgia,0,0,US
2020-02-21,Glynn,Georgia,0,0,US
2020-02-22,Glynn,Georgia,0,0,US
2020-02-23,Glynn,Georgia,0,0,US
2020-02-24,Glynn,Georgia,0,0,US
2020-02-25,Glynn,Georgia,0,0,US
2020-02-26,Glynn,Georgia,0,0,US
2020-02-27,Glynn,Georgia,0,0,US
2020-02-28,Glynn,Georgia,0,0,US
2020-02-29,Glynn,Georgia,0,0,US
2020-03-01,Glynn,Georgia,0,0,US
2020-03-02,Glynn,Georgia,0,0,US
2020-03-03,Glynn,Georgia,0,0,US
2020-03-04,Glynn,Georgia,0,0,US
2020-03-05,Glynn,Georgia,0,0,US
2020-03-06,Glynn,Georgia,0,0,US
2020-03-07,Glynn,Georgia,0,0,US
2020-03-08,Glynn,Georgia,0,0,US
2020-03-09,Glynn,Georgia,0,0,US
2020-03-10,Glynn,Georgia,0,0,US
2020-03-11,Glynn,Georgia,0,0,US
2020-03-12,Glynn,Georgia,0,0,US
2020-03-13,Glynn,Georgia,0,0,US
2020-03-14,Glynn,Georgia,0,0,US
2020-03-15,Glynn,Georgia,0,0,US
2020-03-16,Glynn,Georgia,0,0,US
2020-03-17,Glynn,Georgia,0,0,US
2020-03-18,Glynn,Georgia,0,0,US
2020-03-19,Glynn,Georgia,2,0,US
2020-03-20,Glynn,Georgia,2,0,US
2020-03-21,Glynn,Georgia,2,0,US
2020-03-22,Glynn,Georgia,3,0,US
2020-03-23,Glynn,Georgia,4,0,US
2020-03-24,Glynn,Georgia,5,0,US
2020-03-25,Glynn,Georgia,5,0,US
2020-03-26,Glynn,Georgia,5,0,US
2020-03-27,Glynn,Georgia,6,0,US
2020-03-28,Glynn,Georgia,7,0,US
2020-03-29,Glynn,Georgia,8,0,US
2020-03-30,Glynn,Georgia,10,0,US
2020-03-31,Glynn,Georgia,17,0,US
2020-04-01,Glynn,Georgia,18,0,US
2020-04-02,Glynn,Georgia,20,0,US
2020-04-03,Glynn,Georgia,23,0,US
2020-04-04,Glynn,Georgia,27,0,US
2020-04-05,Glynn,Georgia,29,0,US
2020-04-06,Glynn,Georgia,29,0,US
2020-04-07,Glynn,Georgia,29,0,US
2020-04-08,Glynn,Georgia,30,0,US
2020-04-09,Glynn,Georgia,31,0,US
2020-04-10,Glynn,Georgia,32,0,US
2020-04-11,Glynn,Georgia,33,0,US
2020-04-12,Glynn,Georgia,33,0,US
2020-04-13,Glynn,Georgia,38,0,US
2020-04-14,Glynn,Georgia,40,0,US
2020-04-15,Glynn,Georgia,41,0,US
