Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Grant,Indiana,0,0,US
2020-01-23,Grant,Indiana,0,0,US
2020-01-24,Grant,Indiana,0,0,US
2020-01-25,Grant,Indiana,0,0,US
2020-01-26,Grant,Indiana,0,0,US
2020-01-27,Grant,Indiana,0,0,US
2020-01-28,Grant,Indiana,0,0,US
2020-01-29,Grant,Indiana,0,0,US
2020-01-30,Grant,Indiana,0,0,US
2020-01-31,Grant,Indiana,0,0,US
2020-02-01,Grant,Indiana,0,0,US
2020-02-02,Grant,Indiana,0,0,US
2020-02-03,Grant,Indiana,0,0,US
2020-02-04,Grant,Indiana,0,0,US
2020-02-05,Grant,Indiana,0,0,US
2020-02-06,Grant,Indiana,0,0,US
2020-02-07,Grant,Indiana,0,0,US
2020-02-08,Grant,Indiana,0,0,US
2020-02-09,Grant,Indiana,0,0,US
2020-02-10,Grant,Indiana,0,0,US
2020-02-11,Grant,Indiana,0,0,US
2020-02-12,Grant,Indiana,0,0,US
2020-02-13,Grant,Indiana,0,0,US
2020-02-14,Grant,Indiana,0,0,US
2020-02-15,Grant,Indiana,0,0,US
2020-02-16,Grant,Indiana,0,0,US
2020-02-17,Grant,Indiana,0,0,US
2020-02-18,Grant,Indiana,0,0,US
2020-02-19,Grant,Indiana,0,0,US
2020-02-20,Grant,Indiana,0,0,US
2020-02-21,Grant,Indiana,0,0,US
2020-02-22,Grant,Indiana,0,0,US
2020-02-23,Grant,Indiana,0,0,US
2020-02-24,Grant,Indiana,0,0,US
2020-02-25,Grant,Indiana,0,0,US
2020-02-26,Grant,Indiana,0,0,US
2020-02-27,Grant,Indiana,0,0,US
2020-02-28,Grant,Indiana,0,0,US
2020-02-29,Grant,Indiana,0,0,US
2020-03-01,Grant,Indiana,0,0,US
2020-03-02,Grant,Indiana,0,0,US
2020-03-03,Grant,Indiana,0,0,US
2020-03-04,Grant,Indiana,0,0,US
2020-03-05,Grant,Indiana,0,0,US
2020-03-06,Grant,Indiana,0,0,US
2020-03-07,Grant,Indiana,0,0,US
2020-03-08,Grant,Indiana,0,0,US
2020-03-09,Grant,Indiana,0,0,US
2020-03-10,Grant,Indiana,0,0,US
2020-03-11,Grant,Indiana,0,0,US
2020-03-12,Grant,Indiana,0,0,US
2020-03-13,Grant,Indiana,0,0,US
2020-03-14,Grant,Indiana,0,0,US
