Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Grayson,Texas,0,0,US
2020-01-23,Grayson,Texas,0,0,US
2020-01-24,Grayson,Texas,0,0,US
2020-01-25,Grayson,Texas,0,0,US
2020-01-26,Grayson,Texas,0,0,US
2020-01-27,Grayson,Texas,0,0,US
2020-01-28,Grayson,Texas,0,0,US
2020-01-29,Grayson,Texas,0,0,US
2020-01-30,Grayson,Texas,0,0,US
2020-01-31,Grayson,Texas,0,0,US
2020-02-01,Grayson,Texas,0,0,US
2020-02-02,Grayson,Texas,0,0,US
2020-02-03,Grayson,Texas,0,0,US
2020-02-04,Grayson,Texas,0,0,US
2020-02-05,Grayson,Texas,0,0,US
2020-02-06,Grayson,Texas,0,0,US
2020-02-07,Grayson,Texas,0,0,US
2020-02-08,Grayson,Texas,0,0,US
2020-02-09,Grayson,Texas,0,0,US
2020-02-10,Grayson,Texas,0,0,US
2020-02-11,Grayson,Texas,0,0,US
2020-02-12,Grayson,Texas,0,0,US
2020-02-13,Grayson,Texas,0,0,US
2020-02-14,Grayson,Texas,0,0,US
2020-02-15,Grayson,Texas,0,0,US
2020-02-16,Grayson,Texas,0,0,US
2020-02-17,Grayson,Texas,0,0,US
2020-02-18,Grayson,Texas,0,0,US
2020-02-19,Grayson,Texas,0,0,US
2020-02-20,Grayson,Texas,0,0,US
2020-02-21,Grayson,Texas,0,0,US
2020-02-22,Grayson,Texas,0,0,US
2020-02-23,Grayson,Texas,0,0,US
2020-02-24,Grayson,Texas,0,0,US
2020-02-25,Grayson,Texas,0,0,US
2020-02-26,Grayson,Texas,0,0,US
2020-02-27,Grayson,Texas,0,0,US
2020-02-28,Grayson,Texas,0,0,US
2020-02-29,Grayson,Texas,0,0,US
2020-03-01,Grayson,Texas,0,0,US
2020-03-02,Grayson,Texas,0,0,US
2020-03-03,Grayson,Texas,0,0,US
2020-03-04,Grayson,Texas,0,0,US
2020-03-05,Grayson,Texas,0,0,US
2020-03-06,Grayson,Texas,0,0,US
2020-03-07,Grayson,Texas,0,0,US
2020-03-08,Grayson,Texas,0,0,US
2020-03-09,Grayson,Texas,0,0,US
2020-03-10,Grayson,Texas,0,0,US
2020-03-11,Grayson,Texas,0,0,US
2020-03-12,Grayson,Texas,0,0,US
2020-03-13,Grayson,Texas,0,0,US
2020-03-14,Grayson,Texas,0,0,US
2020-03-15,Grayson,Texas,0,0,US
2020-03-16,Grayson,Texas,0,0,US
2020-03-17,Grayson,Texas,0,0,US
2020-03-18,Grayson,Texas,0,0,US
2020-03-19,Grayson,Texas,0,0,US
2020-03-20,Grayson,Texas,0,0,US
2020-03-21,Grayson,Texas,0,0,US
2020-03-22,Grayson,Texas,0,0,US
2020-03-23,Grayson,Texas,2,0,US
2020-03-24,Grayson,Texas,2,0,US
2020-03-25,Grayson,Texas,2,0,US
2020-03-26,Grayson,Texas,2,0,US
2020-03-27,Grayson,Texas,2,0,US
2020-03-28,Grayson,Texas,2,0,US
2020-03-29,Grayson,Texas,3,0,US
2020-03-30,Grayson,Texas,7,0,US
2020-03-31,Grayson,Texas,7,0,US
2020-04-01,Grayson,Texas,10,0,US
2020-04-02,Grayson,Texas,10,0,US
2020-04-03,Grayson,Texas,14,0,US
2020-04-04,Grayson,Texas,14,0,US
2020-04-05,Grayson,Texas,15,0,US
2020-04-06,Grayson,Texas,17,0,US
2020-04-07,Grayson,Texas,17,0,US
2020-04-08,Grayson,Texas,17,0,US
2020-04-09,Grayson,Texas,17,0,US
2020-04-10,Grayson,Texas,17,0,US
2020-04-11,Grayson,Texas,17,0,US
2020-04-12,Grayson,Texas,17,0,US
2020-04-13,Grayson,Texas,19,0,US
2020-04-14,Grayson,Texas,19,0,US
2020-04-15,Grayson,Texas,20,0,US
2020-04-16,Grayson,Texas,20,0,US
2020-04-17,Grayson,Texas,20,0,US
2020-04-18,Grayson,Texas,20,0,US
2020-04-19,Grayson,Texas,20,0,US
2020-04-20,Grayson,Texas,20,0,US
2020-04-21,Grayson,Texas,20,0,US
2020-04-22,Grayson,Texas,20,0,US
2020-04-23,Grayson,Texas,20,0,US
2020-04-24,Grayson,Texas,22,0,US
2020-04-25,Grayson,Texas,22,0,US
2020-04-26,Grayson,Texas,23,0,US
2020-04-27,Grayson,Texas,24,0,US
2020-04-28,Grayson,Texas,29,0,US
2020-04-29,Grayson,Texas,33,0,US
2020-04-30,Grayson,Texas,35,0,US
2020-05-01,Grayson,Texas,37,0,US
2020-05-02,Grayson,Texas,41,0,US
2020-05-03,Grayson,Texas,50,0,US
2020-05-04,Grayson,Texas,54,0,US
2020-05-05,Grayson,Texas,64,0,US
2020-05-06,Grayson,Texas,64,0,US
2020-05-07,Grayson,Texas,82,0,US
2020-05-08,Grayson,Texas,87,0,US
2020-05-09,Grayson,Texas,93,0,US
2020-05-10,Grayson,Texas,95,0,US
2020-05-11,Grayson,Texas,107,0,US
2020-05-12,Grayson,Texas,112,0,US
2020-05-13,Grayson,Texas,122,0,US
2020-05-14,Grayson,Texas,128,0,US
2020-05-15,Grayson,Texas,134,0,US
2020-05-16,Grayson,Texas,135,0,US
2020-05-17,Grayson,Texas,137,0,US
2020-05-18,Grayson,Texas,160,0,US
2020-05-19,Grayson,Texas,190,0,US
