Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Gregg,Texas,0,0,US
2020-01-23,Gregg,Texas,0,0,US
2020-01-24,Gregg,Texas,0,0,US
2020-01-25,Gregg,Texas,0,0,US
2020-01-26,Gregg,Texas,0,0,US
2020-01-27,Gregg,Texas,0,0,US
2020-01-28,Gregg,Texas,0,0,US
2020-01-29,Gregg,Texas,0,0,US
2020-01-30,Gregg,Texas,0,0,US
2020-01-31,Gregg,Texas,0,0,US
2020-02-01,Gregg,Texas,0,0,US
2020-02-02,Gregg,Texas,0,0,US
2020-02-03,Gregg,Texas,0,0,US
2020-02-04,Gregg,Texas,0,0,US
2020-02-05,Gregg,Texas,0,0,US
2020-02-06,Gregg,Texas,0,0,US
2020-02-07,Gregg,Texas,0,0,US
2020-02-08,Gregg,Texas,0,0,US
2020-02-09,Gregg,Texas,0,0,US
2020-02-10,Gregg,Texas,0,0,US
2020-02-11,Gregg,Texas,0,0,US
2020-02-12,Gregg,Texas,0,0,US
2020-02-13,Gregg,Texas,0,0,US
2020-02-14,Gregg,Texas,0,0,US
2020-02-15,Gregg,Texas,0,0,US
2020-02-16,Gregg,Texas,0,0,US
2020-02-17,Gregg,Texas,0,0,US
2020-02-18,Gregg,Texas,0,0,US
2020-02-19,Gregg,Texas,0,0,US
2020-02-20,Gregg,Texas,0,0,US
2020-02-21,Gregg,Texas,0,0,US
2020-02-22,Gregg,Texas,0,0,US
2020-02-23,Gregg,Texas,0,0,US
2020-02-24,Gregg,Texas,0,0,US
2020-02-25,Gregg,Texas,0,0,US
2020-02-26,Gregg,Texas,0,0,US
2020-02-27,Gregg,Texas,0,0,US
2020-02-28,Gregg,Texas,0,0,US
2020-02-29,Gregg,Texas,0,0,US
2020-03-01,Gregg,Texas,0,0,US
2020-03-02,Gregg,Texas,0,0,US
2020-03-03,Gregg,Texas,0,0,US
2020-03-04,Gregg,Texas,0,0,US
2020-03-05,Gregg,Texas,0,0,US
2020-03-06,Gregg,Texas,0,0,US
2020-03-07,Gregg,Texas,0,0,US
2020-03-08,Gregg,Texas,0,0,US
2020-03-09,Gregg,Texas,0,0,US
2020-03-10,Gregg,Texas,1,0,US
2020-03-11,Gregg,Texas,1,0,US
2020-03-12,Gregg,Texas,1,0,US
2020-03-13,Gregg,Texas,1,0,US
2020-03-14,Gregg,Texas,4,0,US
2020-03-15,Gregg,Texas,1,0,US
2020-03-16,Gregg,Texas,1,0,US
2020-03-17,Gregg,Texas,1,0,US
2020-03-18,Gregg,Texas,1,0,US
2020-03-19,Gregg,Texas,1,0,US
2020-03-20,Gregg,Texas,1,0,US
2020-03-21,Gregg,Texas,1,0,US
2020-03-22,Gregg,Texas,1,0,US
2020-03-23,Gregg,Texas,1,0,US
2020-03-24,Gregg,Texas,1,0,US
2020-03-25,Gregg,Texas,3,0,US
2020-03-26,Gregg,Texas,4,0,US
2020-03-27,Gregg,Texas,4,0,US
2020-03-28,Gregg,Texas,4,0,US
2020-03-29,Gregg,Texas,4,0,US
2020-03-30,Gregg,Texas,5,0,US
2020-03-31,Gregg,Texas,5,0,US
2020-04-01,Gregg,Texas,5,0,US
2020-04-02,Gregg,Texas,8,0,US
2020-04-03,Gregg,Texas,10,0,US
2020-04-04,Gregg,Texas,11,0,US
2020-04-05,Gregg,Texas,12,0,US
2020-04-06,Gregg,Texas,15,0,US
2020-04-07,Gregg,Texas,19,0,US
2020-04-08,Gregg,Texas,25,0,US
2020-04-09,Gregg,Texas,27,0,US
2020-04-10,Gregg,Texas,27,0,US
2020-04-11,Gregg,Texas,27,0,US
2020-04-12,Gregg,Texas,27,0,US
2020-04-13,Gregg,Texas,33,0,US
2020-04-14,Gregg,Texas,35,0,US
2020-04-15,Gregg,Texas,36,0,US
2020-04-16,Gregg,Texas,37,0,US
2020-04-17,Gregg,Texas,37,0,US
2020-04-18,Gregg,Texas,38,0,US
2020-04-19,Gregg,Texas,38,0,US
2020-04-20,Gregg,Texas,38,0,US
2020-04-21,Gregg,Texas,38,0,US
2020-04-22,Gregg,Texas,39,0,US
2020-04-23,Gregg,Texas,43,0,US
2020-04-24,Gregg,Texas,46,0,US
2020-04-25,Gregg,Texas,49,0,US
2020-04-26,Gregg,Texas,51,0,US
2020-04-27,Gregg,Texas,51,0,US
2020-04-28,Gregg,Texas,52,0,US
2020-04-29,Gregg,Texas,55,0,US
2020-04-30,Gregg,Texas,57,0,US
2020-05-01,Gregg,Texas,59,0,US
2020-05-02,Gregg,Texas,63,0,US
2020-05-03,Gregg,Texas,63,0,US
2020-05-04,Gregg,Texas,64,0,US
2020-05-05,Gregg,Texas,70,0,US
2020-05-06,Gregg,Texas,74,0,US
2020-05-07,Gregg,Texas,80,0,US
2020-05-08,Gregg,Texas,80,0,US
