Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Grundy,Illinois,0,0,US
2020-01-23,Grundy,Illinois,0,0,US
2020-01-24,Grundy,Illinois,0,0,US
2020-01-25,Grundy,Illinois,0,0,US
2020-01-26,Grundy,Illinois,0,0,US
2020-01-27,Grundy,Illinois,0,0,US
2020-01-28,Grundy,Illinois,0,0,US
2020-01-29,Grundy,Illinois,0,0,US
2020-01-30,Grundy,Illinois,0,0,US
2020-01-31,Grundy,Illinois,0,0,US
2020-02-01,Grundy,Illinois,0,0,US
2020-02-02,Grundy,Illinois,0,0,US
2020-02-03,Grundy,Illinois,0,0,US
2020-02-04,Grundy,Illinois,0,0,US
2020-02-05,Grundy,Illinois,0,0,US
2020-02-06,Grundy,Illinois,0,0,US
2020-02-07,Grundy,Illinois,0,0,US
2020-02-08,Grundy,Illinois,0,0,US
2020-02-09,Grundy,Illinois,0,0,US
2020-02-10,Grundy,Illinois,0,0,US
2020-02-11,Grundy,Illinois,0,0,US
2020-02-12,Grundy,Illinois,0,0,US
2020-02-13,Grundy,Illinois,0,0,US
2020-02-14,Grundy,Illinois,0,0,US
2020-02-15,Grundy,Illinois,0,0,US
2020-02-16,Grundy,Illinois,0,0,US
2020-02-17,Grundy,Illinois,0,0,US
2020-02-18,Grundy,Illinois,0,0,US
2020-02-19,Grundy,Illinois,0,0,US
2020-02-20,Grundy,Illinois,0,0,US
2020-02-21,Grundy,Illinois,0,0,US
2020-02-22,Grundy,Illinois,0,0,US
2020-02-23,Grundy,Illinois,0,0,US
2020-02-24,Grundy,Illinois,0,0,US
2020-02-25,Grundy,Illinois,0,0,US
2020-02-26,Grundy,Illinois,0,0,US
2020-02-27,Grundy,Illinois,0,0,US
2020-02-28,Grundy,Illinois,0,0,US
2020-02-29,Grundy,Illinois,0,0,US
2020-03-01,Grundy,Illinois,0,0,US
2020-03-02,Grundy,Illinois,0,0,US
2020-03-03,Grundy,Illinois,0,0,US
2020-03-04,Grundy,Illinois,0,0,US
2020-03-05,Grundy,Illinois,0,0,US
2020-03-06,Grundy,Illinois,0,0,US
2020-03-07,Grundy,Illinois,0,0,US
2020-03-08,Grundy,Illinois,0,0,US
2020-03-09,Grundy,Illinois,0,0,US
2020-03-10,Grundy,Illinois,0,0,US
2020-03-11,Grundy,Illinois,0,0,US
2020-03-12,Grundy,Illinois,0,0,US
2020-03-13,Grundy,Illinois,0,0,US
2020-03-14,Grundy,Illinois,0,0,US
2020-03-15,Grundy,Illinois,0,0,US
2020-03-16,Grundy,Illinois,0,0,US
2020-03-17,Grundy,Illinois,0,0,US
2020-03-18,Grundy,Illinois,0,0,US
2020-03-19,Grundy,Illinois,0,0,US
2020-03-20,Grundy,Illinois,0,0,US
2020-03-21,Grundy,Illinois,0,0,US
2020-03-22,Grundy,Illinois,0,0,US
2020-03-23,Grundy,Illinois,0,0,US
2020-03-24,Grundy,Illinois,1,0,US
2020-03-25,Grundy,Illinois,1,0,US
2020-03-26,Grundy,Illinois,1,0,US
2020-03-27,Grundy,Illinois,2,0,US
2020-03-28,Grundy,Illinois,2,0,US
2020-03-29,Grundy,Illinois,3,0,US
2020-03-30,Grundy,Illinois,3,0,US
2020-03-31,Grundy,Illinois,4,0,US
2020-04-01,Grundy,Illinois,4,0,US
2020-04-02,Grundy,Illinois,5,0,US
2020-04-03,Grundy,Illinois,7,0,US
2020-04-04,Grundy,Illinois,9,0,US
2020-04-05,Grundy,Illinois,9,0,US
2020-04-06,Grundy,Illinois,9,0,US
2020-04-07,Grundy,Illinois,10,0,US
2020-04-08,Grundy,Illinois,12,0,US
2020-04-09,Grundy,Illinois,13,0,US
2020-04-10,Grundy,Illinois,15,0,US
2020-04-11,Grundy,Illinois,17,0,US
2020-04-12,Grundy,Illinois,21,0,US
2020-04-13,Grundy,Illinois,21,0,US
2020-04-14,Grundy,Illinois,24,0,US
2020-04-15,Grundy,Illinois,24,0,US
2020-04-16,Grundy,Illinois,24,0,US
2020-04-17,Grundy,Illinois,24,0,US
2020-04-18,Grundy,Illinois,26,0,US
2020-04-19,Grundy,Illinois,26,0,US
2020-04-20,Grundy,Illinois,26,0,US
2020-04-21,Grundy,Illinois,26,0,US
2020-04-22,Grundy,Illinois,26,0,US
2020-04-23,Grundy,Illinois,26,0,US
2020-04-24,Grundy,Illinois,28,0,US
2020-04-25,Grundy,Illinois,28,0,US
2020-04-26,Grundy,Illinois,30,0,US
2020-04-27,Grundy,Illinois,30,0,US
2020-04-28,Grundy,Illinois,30,0,US
2020-04-29,Grundy,Illinois,32,0,US
2020-04-30,Grundy,Illinois,35,0,US
2020-05-01,Grundy,Illinois,37,0,US
2020-05-02,Grundy,Illinois,41,0,US
2020-05-03,Grundy,Illinois,43,0,US
2020-05-04,Grundy,Illinois,46,0,US
2020-05-05,Grundy,Illinois,47,0,US
2020-05-06,Grundy,Illinois,48,0,US
2020-05-07,Grundy,Illinois,50,0,US
2020-05-08,Grundy,Illinois,55,1,US
2020-05-09,Grundy,Illinois,58,1,US
2020-05-10,Grundy,Illinois,58,1,US
2020-05-11,Grundy,Illinois,60,1,US
2020-05-12,Grundy,Illinois,61,1,US
2020-05-13,Grundy,Illinois,62,1,US
2020-05-14,Grundy,Illinois,65,1,US
2020-05-15,Grundy,Illinois,73,1,US
2020-05-16,Grundy,Illinois,73,1,US
2020-05-17,Grundy,Illinois,74,1,US
2020-05-18,Grundy,Illinois,75,1,US
2020-05-19,Grundy,Illinois,80,1,US
2020-05-20,Grundy,Illinois,83,2,US
2020-05-21,Grundy,Illinois,82,2,US
2020-05-22,Grundy,Illinois,84,2,US
2020-05-23,Grundy,Illinois,87,2,US
2020-05-24,Grundy,Illinois,89,2,US
2020-05-25,Grundy,Illinois,89,2,US
2020-05-26,Grundy,Illinois,89,2,US
2020-05-27,Grundy,Illinois,88,2,US
2020-05-28,Grundy,Illinois,95,2,US
2020-05-29,Grundy,Illinois,95,2,US
2020-05-30,Grundy,Illinois,98,2,US
2020-05-31,Grundy,Illinois,98,2,US
2020-06-01,Grundy,Illinois,99,2,US
2020-06-02,Grundy,Illinois,101,2,US
2020-06-03,Grundy,Illinois,104,2,US
2020-06-04,Grundy,Illinois,107,2,US
2020-06-05,Grundy,Illinois,111,2,US
2020-06-06,Grundy,Illinois,113,2,US
2020-06-07,Grundy,Illinois,114,2,US
2020-06-08,Grundy,Illinois,124,2,US
2020-06-09,Grundy,Illinois,124,2,US
2020-06-10,Grundy,Illinois,125,2,US
2020-06-11,Grundy,Illinois,126,2,US
2020-06-12,Grundy,Illinois,128,2,US
2020-06-13,Grundy,Illinois,129,2,US
2020-06-14,Grundy,Illinois,129,2,US
2020-06-15,Grundy,Illinois,129,2,US
2020-06-16,Grundy,Illinois,129,2,US
2020-06-17,Grundy,Illinois,133,2,US
2020-06-18,Grundy,Illinois,139,3,US
2020-06-19,Grundy,Illinois,140,3,US
2020-06-20,Grundy,Illinois,141,3,US
2020-06-21,Grundy,Illinois,142,3,US
2020-06-22,Grundy,Illinois,142,3,US
2020-06-23,Grundy,Illinois,143,3,US
2020-06-24,Grundy,Illinois,144,4,US
2020-06-25,Grundy,Illinois,145,4,US
2020-06-26,Grundy,Illinois,151,4,US
2020-06-27,Grundy,Illinois,160,4,US
2020-06-28,Grundy,Illinois,160,4,US
2020-06-29,Grundy,Illinois,160,4,US
2020-06-30,Grundy,Illinois,162,4,US
2020-07-01,Grundy,Illinois,167,4,US
2020-07-02,Grundy,Illinois,167,4,US
2020-07-03,Grundy,Illinois,169,5,US
2020-07-04,Grundy,Illinois,171,5,US
2020-07-05,Grundy,Illinois,173,5,US
2020-07-06,Grundy,Illinois,177,5,US
2020-07-07,Grundy,Illinois,176,5,US
2020-07-08,Grundy,Illinois,185,5,US
2020-07-09,Grundy,Illinois,187,5,US
2020-07-10,Grundy,Illinois,188,5,US
2020-07-11,Grundy,Illinois,193,5,US
2020-07-12,Grundy,Illinois,194,5,US
2020-07-13,Grundy,Illinois,196,5,US
2020-07-14,Grundy,Illinois,196,5,US
2020-07-15,Grundy,Illinois,202,5,US
2020-07-16,Grundy,Illinois,207,5,US
2020-07-17,Grundy,Illinois,207,5,US
2020-07-18,Grundy,Illinois,210,5,US
2020-07-19,Grundy,Illinois,214,5,US
2020-07-20,Grundy,Illinois,213,5,US
2020-07-21,Grundy,Illinois,215,5,US
2020-07-22,Grundy,Illinois,226,5,US
2020-07-23,Grundy,Illinois,231,5,US
2020-07-24,Grundy,Illinois,233,5,US
2020-07-25,Grundy,Illinois,240,5,US
2020-07-26,Grundy,Illinois,244,5,US
2020-07-27,Grundy,Illinois,249,5,US
2020-07-28,Grundy,Illinois,254,5,US
2020-07-29,Grundy,Illinois,259,5,US
2020-07-30,Grundy,Illinois,260,5,US
2020-07-31,Grundy,Illinois,269,5,US
2020-08-01,Grundy,Illinois,274,5,US
2020-08-02,Grundy,Illinois,281,5,US
2020-08-03,Grundy,Illinois,282,5,US
2020-08-04,Grundy,Illinois,287,5,US
2020-08-05,Grundy,Illinois,296,5,US
2020-08-06,Grundy,Illinois,299,5,US
2020-08-07,Grundy,Illinois,307,5,US
2020-08-08,Grundy,Illinois,316,5,US
2020-08-09,Grundy,Illinois,323,5,US
2020-08-10,Grundy,Illinois,326,5,US
2020-08-11,Grundy,Illinois,334,5,US
2020-08-12,Grundy,Illinois,343,5,US
2020-08-13,Grundy,Illinois,353,5,US
2020-08-14,Grundy,Illinois,368,5,US
2020-08-15,Grundy,Illinois,378,5,US
2020-08-16,Grundy,Illinois,384,5,US
2020-08-17,Grundy,Illinois,391,5,US
2020-08-18,Grundy,Illinois,392,5,US
2020-08-19,Grundy,Illinois,400,5,US
2020-08-20,Grundy,Illinois,410,5,US
2020-08-21,Grundy,Illinois,412,5,US
2020-08-22,Grundy,Illinois,425,5,US
2020-08-23,Grundy,Illinois,432,5,US
2020-08-24,Grundy,Illinois,436,5,US
2020-08-25,Grundy,Illinois,441,5,US
2020-08-26,Grundy,Illinois,452,5,US
2020-08-27,Grundy,Illinois,461,5,US
2020-08-28,Grundy,Illinois,468,5,US
2020-08-29,Grundy,Illinois,471,5,US
2020-08-30,Grundy,Illinois,474,5,US
2020-08-31,Grundy,Illinois,481,5,US
2020-09-01,Grundy,Illinois,483,5,US
2020-09-02,Grundy,Illinois,501,5,US
2020-09-03,Grundy,Illinois,516,5,US
2020-09-04,Grundy,Illinois,526,5,US
2020-09-05,Grundy,Illinois,543,5,US
2020-09-06,Grundy,Illinois,547,5,US
2020-09-07,Grundy,Illinois,548,5,US
2020-09-08,Grundy,Illinois,550,5,US
2020-09-09,Grundy,Illinois,553,5,US
2020-09-10,Grundy,Illinois,555,5,US
2020-09-11,Grundy,Illinois,562,5,US
2020-09-12,Grundy,Illinois,567,5,US
2020-09-13,Grundy,Illinois,579,5,US
2020-09-14,Grundy,Illinois,586,5,US
2020-09-15,Grundy,Illinois,595,5,US
2020-09-16,Grundy,Illinois,607,5,US
2020-09-17,Grundy,Illinois,610,5,US
2020-09-18,Grundy,Illinois,616,5,US
2020-09-19,Grundy,Illinois,625,5,US
2020-09-20,Grundy,Illinois,627,5,US
2020-09-21,Grundy,Illinois,627,5,US
2020-09-22,Grundy,Illinois,635,5,US
2020-09-23,Grundy,Illinois,645,5,US
2020-09-24,Grundy,Illinois,654,5,US
2020-09-25,Grundy,Illinois,659,5,US
2020-09-26,Grundy,Illinois,667,5,US
2020-09-27,Grundy,Illinois,669,5,US
2020-09-28,Grundy,Illinois,670,5,US
2020-09-29,Grundy,Illinois,677,5,US
2020-09-30,Grundy,Illinois,687,6,US
2020-10-01,Grundy,Illinois,698,6,US
2020-10-02,Grundy,Illinois,706,6,US
2020-10-03,Grundy,Illinois,716,6,US
2020-10-04,Grundy,Illinois,718,6,US
2020-10-05,Grundy,Illinois,728,6,US
2020-10-06,Grundy,Illinois,747,7,US
2020-10-07,Grundy,Illinois,753,7,US
2020-10-08,Grundy,Illinois,763,7,US
2020-10-09,Grundy,Illinois,770,7,US
2020-10-10,Grundy,Illinois,775,7,US
2020-10-11,Grundy,Illinois,782,7,US
2020-10-12,Grundy,Illinois,786,7,US
2020-10-13,Grundy,Illinois,795,7,US
2020-10-14,Grundy,Illinois,808,7,US
2020-10-15,Grundy,Illinois,820,7,US
2020-10-16,Grundy,Illinois,838,7,US
2020-10-17,Grundy,Illinois,846,7,US
2020-10-18,Grundy,Illinois,859,7,US
2020-10-19,Grundy,Illinois,877,7,US
2020-10-20,Grundy,Illinois,889,7,US
2020-10-21,Grundy,Illinois,903,7,US
2020-10-22,Grundy,Illinois,923,7,US
2020-10-23,Grundy,Illinois,936,7,US
2020-10-24,Grundy,Illinois,960,7,US
2020-10-25,Grundy,Illinois,965,7,US
2020-10-26,Grundy,Illinois,977,7,US
2020-10-27,Grundy,Illinois,987,7,US
2020-10-28,Grundy,Illinois,1019,7,US
2020-10-29,Grundy,Illinois,1047,7,US
2020-10-30,Grundy,Illinois,1086,7,US
2020-10-31,Grundy,Illinois,1104,7,US
2020-11-01,Grundy,Illinois,1125,7,US
2020-11-02,Grundy,Illinois,1154,7,US
2020-11-03,Grundy,Illinois,1175,8,US
2020-11-04,Grundy,Illinois,1227,8,US
2020-11-05,Grundy,Illinois,1322,8,US
2020-11-06,Grundy,Illinois,1405,8,US
2020-11-07,Grundy,Illinois,1476,8,US
2020-11-08,Grundy,Illinois,1512,8,US
2020-11-09,Grundy,Illinois,1557,8,US
2020-11-10,Grundy,Illinois,1617,9,US
2020-11-11,Grundy,Illinois,1703,10,US
2020-11-12,Grundy,Illinois,1784,10,US
2020-11-13,Grundy,Illinois,1886,10,US
2020-11-14,Grundy,Illinois,1950,10,US
2020-11-15,Grundy,Illinois,2011,10,US
2020-11-16,Grundy,Illinois,2053,10,US
2020-11-17,Grundy,Illinois,2126,10,US
2020-11-18,Grundy,Illinois,2201,10,US
2020-11-19,Grundy,Illinois,2264,10,US
2020-11-20,Grundy,Illinois,2321,11,US
2020-11-21,Grundy,Illinois,2387,11,US
2020-11-22,Grundy,Illinois,2426,11,US
2020-11-23,Grundy,Illinois,2489,11,US
2020-11-24,Grundy,Illinois,2539,16,US
2020-11-25,Grundy,Illinois,2597,17,US
2020-11-26,Grundy,Illinois,2644,17,US
2020-11-27,Grundy,Illinois,2694,17,US
2020-11-28,Grundy,Illinois,2739,17,US
2020-11-29,Grundy,Illinois,2776,17,US
2020-11-30,Grundy,Illinois,2813,17,US
2020-12-01,Grundy,Illinois,2882,20,US
2020-12-02,Grundy,Illinois,2927,22,US
2020-12-03,Grundy,Illinois,2985,22,US
2020-12-04,Grundy,Illinois,3034,23,US
2020-12-05,Grundy,Illinois,3084,24,US
2020-12-06,Grundy,Illinois,3121,24,US
2020-12-07,Grundy,Illinois,3147,24,US
2020-12-08,Grundy,Illinois,3218,25,US
2020-12-09,Grundy,Illinois,3259,26,US
2020-12-10,Grundy,Illinois,3308,27,US
2020-12-11,Grundy,Illinois,3349,30,US
2020-12-12,Grundy,Illinois,3385,31,US
2020-12-13,Grundy,Illinois,3413,31,US
2020-12-14,Grundy,Illinois,3436,31,US
2020-12-15,Grundy,Illinois,3463,31,US
2020-12-16,Grundy,Illinois,3488,34,US
2020-12-17,Grundy,Illinois,3522,35,US
2020-12-18,Grundy,Illinois,3552,36,US
2020-12-19,Grundy,Illinois,3590,36,US
2020-12-20,Grundy,Illinois,3613,36,US
2020-12-21,Grundy,Illinois,3623,36,US
2020-12-22,Grundy,Illinois,3647,37,US
2020-12-23,Grundy,Illinois,3679,37,US
2020-12-24,Grundy,Illinois,3709,37,US
2020-12-25,Grundy,Illinois,3727,37,US
2020-12-26,Grundy,Illinois,3737,37,US
2020-12-27,Grundy,Illinois,3757,37,US
2020-12-28,Grundy,Illinois,3770,40,US
2020-12-29,Grundy,Illinois,3792,41,US
2020-12-30,Grundy,Illinois,3821,41,US
2020-12-31,Grundy,Illinois,3859,44,US
2021-01-01,Grundy,Illinois,3859,44,US
2021-01-02,Grundy,Illinois,3937,45,US
2021-01-03,Grundy,Illinois,3953,45,US
2021-01-04,Grundy,Illinois,3969,45,US
2021-01-05,Grundy,Illinois,4014,46,US
2021-01-06,Grundy,Illinois,4043,47,US
2021-01-07,Grundy,Illinois,4075,50,US
2021-01-08,Grundy,Illinois,4120,50,US
2021-01-09,Grundy,Illinois,4147,50,US
2021-01-10,Grundy,Illinois,4167,50,US
2021-01-11,Grundy,Illinois,4184,50,US
2021-01-12,Grundy,Illinois,4209,50,US
2021-01-13,Grundy,Illinois,4234,50,US
2021-01-14,Grundy,Illinois,4261,50,US
2021-01-15,Grundy,Illinois,4290,50,US
2021-01-16,Grundy,Illinois,4318,50,US
2021-01-17,Grundy,Illinois,4339,50,US
2021-01-18,Grundy,Illinois,4359,50,US
2021-01-19,Grundy,Illinois,4387,50,US
2021-01-20,Grundy,Illinois,4422,50,US
2021-01-21,Grundy,Illinois,4445,50,US
2021-01-22,Grundy,Illinois,4479,50,US
2021-01-23,Grundy,Illinois,4518,50,US
2021-01-24,Grundy,Illinois,4531,50,US
2021-01-25,Grundy,Illinois,4541,50,US
2021-01-26,Grundy,Illinois,4573,50,US
2021-01-27,Grundy,Illinois,4586,51,US
2021-01-28,Grundy,Illinois,4609,51,US
2021-01-29,Grundy,Illinois,4632,51,US
2021-01-30,Grundy,Illinois,4659,53,US
2021-01-31,Grundy,Illinois,4673,53,US
2021-02-01,Grundy,Illinois,4686,54,US
2021-02-02,Grundy,Illinois,4710,54,US
2021-02-03,Grundy,Illinois,4731,54,US
2021-02-04,Grundy,Illinois,4750,56,US
2021-02-05,Grundy,Illinois,4772,57,US
2021-02-06,Grundy,Illinois,4785,57,US
2021-02-07,Grundy,Illinois,4800,58,US
2021-02-08,Grundy,Illinois,4807,58,US
2021-02-09,Grundy,Illinois,4840,58,US
2021-02-10,Grundy,Illinois,4867,59,US
2021-02-11,Grundy,Illinois,4883,60,US
2021-02-12,Grundy,Illinois,4898,61,US
2021-02-13,Grundy,Illinois,4918,61,US
2021-02-14,Grundy,Illinois,4924,61,US
2021-02-15,Grundy,Illinois,4933,61,US
2021-02-16,Grundy,Illinois,4953,61,US
2021-02-17,Grundy,Illinois,4972,61,US
2021-02-18,Grundy,Illinois,4991,62,US
2021-02-19,Grundy,Illinois,5012,62,US
2021-02-20,Grundy,Illinois,5025,62,US
2021-02-21,Grundy,Illinois,5039,62,US
2021-02-22,Grundy,Illinois,5051,62,US
2021-02-23,Grundy,Illinois,5067,62,US
2021-02-24,Grundy,Illinois,5071,62,US
2021-02-25,Grundy,Illinois,5084,62,US
2021-02-26,Grundy,Illinois,5108,63,US
2021-02-27,Grundy,Illinois,5113,63,US
2021-02-28,Grundy,Illinois,5120,63,US
2021-03-01,Grundy,Illinois,5125,63,US
2021-03-02,Grundy,Illinois,5147,63,US
2021-03-03,Grundy,Illinois,5161,63,US
2021-03-04,Grundy,Illinois,5178,63,US
2021-03-05,Grundy,Illinois,5185,63,US
2021-03-06,Grundy,Illinois,5204,63,US
2021-03-07,Grundy,Illinois,5209,63,US
2021-03-08,Grundy,Illinois,5222,63,US
