Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Guadalupe,New Mexico,0,0,US
2020-01-23,Guadalupe,New Mexico,0,0,US
2020-01-24,Guadalupe,New Mexico,0,0,US
2020-01-25,Guadalupe,New Mexico,0,0,US
2020-01-26,Guadalupe,New Mexico,0,0,US
2020-01-27,Guadalupe,New Mexico,0,0,US
2020-01-28,Guadalupe,New Mexico,0,0,US
2020-01-29,Guadalupe,New Mexico,0,0,US
2020-01-30,Guadalupe,New Mexico,0,0,US
2020-01-31,Guadalupe,New Mexico,0,0,US
2020-02-01,Guadalupe,New Mexico,0,0,US
2020-02-02,Guadalupe,New Mexico,0,0,US
2020-02-03,Guadalupe,New Mexico,0,0,US
2020-02-04,Guadalupe,New Mexico,0,0,US
2020-02-05,Guadalupe,New Mexico,0,0,US
2020-02-06,Guadalupe,New Mexico,0,0,US
2020-02-07,Guadalupe,New Mexico,0,0,US
2020-02-08,Guadalupe,New Mexico,0,0,US
2020-02-09,Guadalupe,New Mexico,0,0,US
2020-02-10,Guadalupe,New Mexico,0,0,US
2020-02-11,Guadalupe,New Mexico,0,0,US
2020-02-12,Guadalupe,New Mexico,0,0,US
2020-02-13,Guadalupe,New Mexico,0,0,US
2020-02-14,Guadalupe,New Mexico,0,0,US
2020-02-15,Guadalupe,New Mexico,0,0,US
2020-02-16,Guadalupe,New Mexico,0,0,US
2020-02-17,Guadalupe,New Mexico,0,0,US
2020-02-18,Guadalupe,New Mexico,0,0,US
2020-02-19,Guadalupe,New Mexico,0,0,US
2020-02-20,Guadalupe,New Mexico,0,0,US
2020-02-21,Guadalupe,New Mexico,0,0,US
2020-02-22,Guadalupe,New Mexico,0,0,US
2020-02-23,Guadalupe,New Mexico,0,0,US
2020-02-24,Guadalupe,New Mexico,0,0,US
2020-02-25,Guadalupe,New Mexico,0,0,US
2020-02-26,Guadalupe,New Mexico,0,0,US
2020-02-27,Guadalupe,New Mexico,0,0,US
2020-02-28,Guadalupe,New Mexico,0,0,US
2020-02-29,Guadalupe,New Mexico,0,0,US
2020-03-01,Guadalupe,New Mexico,0,0,US
2020-03-02,Guadalupe,New Mexico,0,0,US
2020-03-03,Guadalupe,New Mexico,0,0,US
2020-03-04,Guadalupe,New Mexico,0,0,US
2020-03-05,Guadalupe,New Mexico,0,0,US
2020-03-06,Guadalupe,New Mexico,0,0,US
2020-03-07,Guadalupe,New Mexico,0,0,US
2020-03-08,Guadalupe,New Mexico,0,0,US
2020-03-09,Guadalupe,New Mexico,0,0,US
2020-03-10,Guadalupe,New Mexico,0,0,US
2020-03-11,Guadalupe,New Mexico,0,0,US
2020-03-12,Guadalupe,New Mexico,0,0,US
2020-03-13,Guadalupe,New Mexico,0,0,US
2020-03-14,Guadalupe,New Mexico,0,0,US
2020-03-15,Guadalupe,New Mexico,0,0,US
2020-03-16,Guadalupe,New Mexico,0,0,US
2020-03-17,Guadalupe,New Mexico,0,0,US
2020-03-18,Guadalupe,New Mexico,0,0,US
2020-03-19,Guadalupe,New Mexico,0,0,US
2020-03-20,Guadalupe,New Mexico,0,0,US
2020-03-21,Guadalupe,New Mexico,0,0,US
2020-03-22,Guadalupe,New Mexico,0,0,US
2020-03-23,Guadalupe,New Mexico,0,0,US
2020-03-24,Guadalupe,New Mexico,0,0,US
2020-03-25,Guadalupe,New Mexico,0,0,US
2020-03-26,Guadalupe,New Mexico,0,0,US
2020-03-27,Guadalupe,New Mexico,0,0,US
2020-03-28,Guadalupe,New Mexico,0,0,US
2020-03-29,Guadalupe,New Mexico,0,0,US
2020-03-30,Guadalupe,New Mexico,0,0,US
2020-03-31,Guadalupe,New Mexico,0,0,US
2020-04-01,Guadalupe,New Mexico,0,0,US
2020-04-02,Guadalupe,New Mexico,0,0,US
2020-04-03,Guadalupe,New Mexico,0,0,US
2020-04-04,Guadalupe,New Mexico,0,0,US
2020-04-05,Guadalupe,New Mexico,0,0,US
2020-04-06,Guadalupe,New Mexico,0,0,US
2020-04-07,Guadalupe,New Mexico,0,0,US
2020-04-08,Guadalupe,New Mexico,0,0,US
2020-04-09,Guadalupe,New Mexico,0,0,US
2020-04-10,Guadalupe,New Mexico,0,0,US
2020-04-11,Guadalupe,New Mexico,0,0,US
2020-04-12,Guadalupe,New Mexico,0,0,US
2020-04-13,Guadalupe,New Mexico,0,0,US
2020-04-14,Guadalupe,New Mexico,0,0,US
2020-04-15,Guadalupe,New Mexico,0,0,US
2020-04-16,Guadalupe,New Mexico,0,0,US
2020-04-17,Guadalupe,New Mexico,0,0,US
2020-04-18,Guadalupe,New Mexico,1,0,US
2020-04-19,Guadalupe,New Mexico,1,0,US
2020-04-20,Guadalupe,New Mexico,1,0,US
2020-04-21,Guadalupe,New Mexico,1,0,US
2020-04-22,Guadalupe,New Mexico,2,0,US
2020-04-23,Guadalupe,New Mexico,3,0,US
2020-04-24,Guadalupe,New Mexico,7,0,US
2020-04-25,Guadalupe,New Mexico,12,0,US
2020-04-26,Guadalupe,New Mexico,13,0,US
2020-04-27,Guadalupe,New Mexico,13,0,US
2020-04-28,Guadalupe,New Mexico,13,0,US
2020-04-29,Guadalupe,New Mexico,14,0,US
2020-04-30,Guadalupe,New Mexico,14,0,US
2020-05-01,Guadalupe,New Mexico,14,0,US
2020-05-02,Guadalupe,New Mexico,14,0,US
2020-05-03,Guadalupe,New Mexico,15,0,US
2020-05-04,Guadalupe,New Mexico,15,0,US
2020-05-05,Guadalupe,New Mexico,15,0,US
2020-05-06,Guadalupe,New Mexico,15,0,US
2020-05-07,Guadalupe,New Mexico,15,0,US
2020-05-08,Guadalupe,New Mexico,15,0,US
2020-05-09,Guadalupe,New Mexico,15,0,US
2020-05-10,Guadalupe,New Mexico,15,0,US
2020-05-11,Guadalupe,New Mexico,15,0,US
2020-05-12,Guadalupe,New Mexico,17,0,US
2020-05-13,Guadalupe,New Mexico,17,0,US
2020-05-14,Guadalupe,New Mexico,17,0,US
2020-05-15,Guadalupe,New Mexico,19,0,US
2020-05-16,Guadalupe,New Mexico,19,0,US
