Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Guernsey,Ohio,0,0,US
2020-01-23,Guernsey,Ohio,0,0,US
2020-01-24,Guernsey,Ohio,0,0,US
2020-01-25,Guernsey,Ohio,0,0,US
2020-01-26,Guernsey,Ohio,0,0,US
2020-01-27,Guernsey,Ohio,0,0,US
2020-01-28,Guernsey,Ohio,0,0,US
2020-01-29,Guernsey,Ohio,0,0,US
2020-01-30,Guernsey,Ohio,0,0,US
2020-01-31,Guernsey,Ohio,0,0,US
2020-02-01,Guernsey,Ohio,0,0,US
2020-02-02,Guernsey,Ohio,0,0,US
2020-02-03,Guernsey,Ohio,0,0,US
2020-02-04,Guernsey,Ohio,0,0,US
2020-02-05,Guernsey,Ohio,0,0,US
2020-02-06,Guernsey,Ohio,0,0,US
2020-02-07,Guernsey,Ohio,0,0,US
2020-02-08,Guernsey,Ohio,0,0,US
2020-02-09,Guernsey,Ohio,0,0,US
2020-02-10,Guernsey,Ohio,0,0,US
2020-02-11,Guernsey,Ohio,0,0,US
2020-02-12,Guernsey,Ohio,0,0,US
2020-02-13,Guernsey,Ohio,0,0,US
2020-02-14,Guernsey,Ohio,0,0,US
2020-02-15,Guernsey,Ohio,0,0,US
2020-02-16,Guernsey,Ohio,0,0,US
2020-02-17,Guernsey,Ohio,0,0,US
2020-02-18,Guernsey,Ohio,0,0,US
2020-02-19,Guernsey,Ohio,0,0,US
2020-02-20,Guernsey,Ohio,0,0,US
2020-02-21,Guernsey,Ohio,0,0,US
2020-02-22,Guernsey,Ohio,0,0,US
2020-02-23,Guernsey,Ohio,0,0,US
2020-02-24,Guernsey,Ohio,0,0,US
2020-02-25,Guernsey,Ohio,0,0,US
2020-02-26,Guernsey,Ohio,0,0,US
2020-02-27,Guernsey,Ohio,0,0,US
2020-02-28,Guernsey,Ohio,0,0,US
2020-02-29,Guernsey,Ohio,0,0,US
2020-03-01,Guernsey,Ohio,0,0,US
2020-03-02,Guernsey,Ohio,0,0,US
2020-03-03,Guernsey,Ohio,0,0,US
2020-03-04,Guernsey,Ohio,0,0,US
2020-03-05,Guernsey,Ohio,0,0,US
2020-03-06,Guernsey,Ohio,0,0,US
2020-03-07,Guernsey,Ohio,0,0,US
2020-03-08,Guernsey,Ohio,0,0,US
2020-03-09,Guernsey,Ohio,0,0,US
2020-03-10,Guernsey,Ohio,0,0,US
2020-03-11,Guernsey,Ohio,0,0,US
2020-03-12,Guernsey,Ohio,0,0,US
2020-03-13,Guernsey,Ohio,0,0,US
2020-03-14,Guernsey,Ohio,0,0,US
2020-03-15,Guernsey,Ohio,0,0,US
2020-03-16,Guernsey,Ohio,0,0,US
2020-03-17,Guernsey,Ohio,0,0,US
2020-03-18,Guernsey,Ohio,0,0,US
2020-03-19,Guernsey,Ohio,0,0,US
2020-03-20,Guernsey,Ohio,0,0,US
2020-03-21,Guernsey,Ohio,0,0,US
2020-03-22,Guernsey,Ohio,0,0,US
2020-03-23,Guernsey,Ohio,0,0,US
2020-03-24,Guernsey,Ohio,0,0,US
2020-03-25,Guernsey,Ohio,0,0,US
2020-03-26,Guernsey,Ohio,0,0,US
2020-03-27,Guernsey,Ohio,0,0,US
2020-03-28,Guernsey,Ohio,0,0,US
2020-03-29,Guernsey,Ohio,0,0,US
2020-03-30,Guernsey,Ohio,0,0,US
2020-03-31,Guernsey,Ohio,0,0,US
2020-04-01,Guernsey,Ohio,0,0,US
2020-04-02,Guernsey,Ohio,1,0,US
2020-04-03,Guernsey,Ohio,1,0,US
2020-04-04,Guernsey,Ohio,1,0,US
2020-04-05,Guernsey,Ohio,1,0,US
2020-04-06,Guernsey,Ohio,2,0,US
2020-04-07,Guernsey,Ohio,1,0,US
2020-04-08,Guernsey,Ohio,2,0,US
2020-04-09,Guernsey,Ohio,4,0,US
