Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Guilford,North Carolina,0,0,US
2020-01-23,Guilford,North Carolina,0,0,US
2020-01-24,Guilford,North Carolina,0,0,US
2020-01-25,Guilford,North Carolina,0,0,US
2020-01-26,Guilford,North Carolina,0,0,US
2020-01-27,Guilford,North Carolina,0,0,US
2020-01-28,Guilford,North Carolina,0,0,US
2020-01-29,Guilford,North Carolina,0,0,US
2020-01-30,Guilford,North Carolina,0,0,US
2020-01-31,Guilford,North Carolina,0,0,US
2020-02-01,Guilford,North Carolina,0,0,US
2020-02-02,Guilford,North Carolina,0,0,US
2020-02-03,Guilford,North Carolina,0,0,US
2020-02-04,Guilford,North Carolina,0,0,US
2020-02-05,Guilford,North Carolina,0,0,US
2020-02-06,Guilford,North Carolina,0,0,US
2020-02-07,Guilford,North Carolina,0,0,US
2020-02-08,Guilford,North Carolina,0,0,US
2020-02-09,Guilford,North Carolina,0,0,US
2020-02-10,Guilford,North Carolina,0,0,US
2020-02-11,Guilford,North Carolina,0,0,US
2020-02-12,Guilford,North Carolina,0,0,US
2020-02-13,Guilford,North Carolina,0,0,US
2020-02-14,Guilford,North Carolina,0,0,US
2020-02-15,Guilford,North Carolina,0,0,US
2020-02-16,Guilford,North Carolina,0,0,US
2020-02-17,Guilford,North Carolina,0,0,US
2020-02-18,Guilford,North Carolina,0,0,US
2020-02-19,Guilford,North Carolina,0,0,US
2020-02-20,Guilford,North Carolina,0,0,US
2020-02-21,Guilford,North Carolina,0,0,US
2020-02-22,Guilford,North Carolina,0,0,US
2020-02-23,Guilford,North Carolina,0,0,US
2020-02-24,Guilford,North Carolina,0,0,US
2020-02-25,Guilford,North Carolina,0,0,US
2020-02-26,Guilford,North Carolina,0,0,US
2020-02-27,Guilford,North Carolina,0,0,US
2020-02-28,Guilford,North Carolina,0,0,US
2020-02-29,Guilford,North Carolina,0,0,US
2020-03-01,Guilford,North Carolina,0,0,US
2020-03-02,Guilford,North Carolina,0,0,US
2020-03-03,Guilford,North Carolina,0,0,US
2020-03-04,Guilford,North Carolina,0,0,US
2020-03-05,Guilford,North Carolina,0,0,US
2020-03-06,Guilford,North Carolina,0,0,US
2020-03-07,Guilford,North Carolina,0,0,US
2020-03-08,Guilford,North Carolina,0,0,US
2020-03-09,Guilford,North Carolina,0,0,US
2020-03-10,Guilford,North Carolina,0,0,US
2020-03-11,Guilford,North Carolina,0,0,US
2020-03-12,Guilford,North Carolina,0,0,US
2020-03-13,Guilford,North Carolina,0,0,US
2020-03-14,Guilford,North Carolina,0,0,US
2020-03-15,Guilford,North Carolina,0,0,US
2020-03-16,Guilford,North Carolina,0,0,US
2020-03-17,Guilford,North Carolina,1,0,US
2020-03-18,Guilford,North Carolina,2,0,US
2020-03-19,Guilford,North Carolina,6,0,US
2020-03-20,Guilford,North Carolina,8,0,US
2020-03-21,Guilford,North Carolina,13,0,US
2020-03-22,Guilford,North Carolina,13,0,US
2020-03-23,Guilford,North Carolina,16,0,US
2020-03-24,Guilford,North Carolina,23,0,US
2020-03-25,Guilford,North Carolina,24,0,US
2020-03-26,Guilford,North Carolina,29,0,US
2020-03-27,Guilford,North Carolina,34,0,US
2020-03-28,Guilford,North Carolina,35,0,US
2020-03-29,Guilford,North Carolina,38,0,US
2020-03-30,Guilford,North Carolina,44,0,US
2020-03-31,Guilford,North Carolina,50,1,US
2020-04-01,Guilford,North Carolina,68,1,US
2020-04-02,Guilford,North Carolina,79,3,US
2020-04-03,Guilford,North Carolina,94,4,US
2020-04-04,Guilford,North Carolina,100,5,US
2020-04-05,Guilford,North Carolina,109,5,US
2020-04-06,Guilford,North Carolina,122,5,US
2020-04-07,Guilford,North Carolina,127,5,US
2020-04-08,Guilford,North Carolina,130,8,US
2020-04-09,Guilford,North Carolina,131,8,US
2020-04-10,Guilford,North Carolina,134,9,US
2020-04-11,Guilford,North Carolina,140,9,US
2020-04-12,Guilford,North Carolina,143,9,US
2020-04-13,Guilford,North Carolina,148,10,US
2020-04-14,Guilford,North Carolina,154,10,US
2020-04-15,Guilford,North Carolina,162,10,US
2020-04-16,Guilford,North Carolina,166,11,US
2020-04-17,Guilford,North Carolina,173,12,US
2020-04-18,Guilford,North Carolina,181,13,US
2020-04-19,Guilford,North Carolina,188,13,US
2020-04-20,Guilford,North Carolina,201,13,US
2020-04-21,Guilford,North Carolina,234,15,US
2020-04-22,Guilford,North Carolina,253,16,US
2020-04-23,Guilford,North Carolina,281,16,US
2020-04-24,Guilford,North Carolina,311,19,US
2020-04-25,Guilford,North Carolina,325,19,US
2020-04-26,Guilford,North Carolina,356,22,US
2020-04-27,Guilford,North Carolina,376,21,US
2020-04-28,Guilford,North Carolina,401,23,US
2020-04-29,Guilford,North Carolina,421,23,US
2020-04-30,Guilford,North Carolina,443,28,US
2020-05-01,Guilford,North Carolina,466,30,US
2020-05-02,Guilford,North Carolina,479,31,US
2020-05-03,Guilford,North Carolina,490,31,US
2020-05-04,Guilford,North Carolina,505,31,US
