Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hamilton,Ohio,0,1,US
2020-01-23,Hamilton,Ohio,0,1,US
2020-01-24,Hamilton,Ohio,0,1,US
2020-01-25,Hamilton,Ohio,0,1,US
2020-01-26,Hamilton,Ohio,0,1,US
2020-01-27,Hamilton,Ohio,0,1,US
2020-01-28,Hamilton,Ohio,0,1,US
2020-01-29,Hamilton,Ohio,0,1,US
2020-01-30,Hamilton,Ohio,0,1,US
2020-01-31,Hamilton,Ohio,0,1,US
2020-02-01,Hamilton,Ohio,0,1,US
2020-02-02,Hamilton,Ohio,0,1,US
2020-02-03,Hamilton,Ohio,0,1,US
2020-02-04,Hamilton,Ohio,0,1,US
2020-02-05,Hamilton,Ohio,0,1,US
2020-02-06,Hamilton,Ohio,0,1,US
2020-02-07,Hamilton,Ohio,0,1,US
2020-02-08,Hamilton,Ohio,0,1,US
2020-02-09,Hamilton,Ohio,0,1,US
2020-02-10,Hamilton,Ohio,0,1,US
2020-02-11,Hamilton,Ohio,0,1,US
2020-02-12,Hamilton,Ohio,0,1,US
2020-02-13,Hamilton,Ohio,0,1,US
2020-02-14,Hamilton,Ohio,0,1,US
2020-02-15,Hamilton,Ohio,0,1,US
2020-02-16,Hamilton,Ohio,0,1,US
2020-02-17,Hamilton,Ohio,0,1,US
2020-02-18,Hamilton,Ohio,0,1,US
2020-02-19,Hamilton,Ohio,0,1,US
2020-02-20,Hamilton,Ohio,0,1,US
2020-02-21,Hamilton,Ohio,0,1,US
2020-02-22,Hamilton,Ohio,0,1,US
2020-02-23,Hamilton,Ohio,0,1,US
2020-02-24,Hamilton,Ohio,0,1,US
2020-02-25,Hamilton,Ohio,0,1,US
2020-02-26,Hamilton,Ohio,0,1,US
2020-02-27,Hamilton,Ohio,0,1,US
2020-02-28,Hamilton,Ohio,0,1,US
2020-02-29,Hamilton,Ohio,0,1,US
2020-03-01,Hamilton,Ohio,0,1,US
2020-03-02,Hamilton,Ohio,0,1,US
2020-03-03,Hamilton,Ohio,0,1,US
2020-03-04,Hamilton,Ohio,0,1,US
