Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Haralson,Georgia,0,0,US
2020-01-23,Haralson,Georgia,0,0,US
2020-01-24,Haralson,Georgia,0,0,US
2020-01-25,Haralson,Georgia,0,0,US
2020-01-26,Haralson,Georgia,0,0,US
2020-01-27,Haralson,Georgia,0,0,US
2020-01-28,Haralson,Georgia,0,0,US
2020-01-29,Haralson,Georgia,0,0,US
2020-01-30,Haralson,Georgia,0,0,US
2020-01-31,Haralson,Georgia,0,0,US
2020-02-01,Haralson,Georgia,0,0,US
2020-02-02,Haralson,Georgia,0,0,US
2020-02-03,Haralson,Georgia,0,0,US
2020-02-04,Haralson,Georgia,0,0,US
2020-02-05,Haralson,Georgia,0,0,US
2020-02-06,Haralson,Georgia,0,0,US
2020-02-07,Haralson,Georgia,0,0,US
2020-02-08,Haralson,Georgia,0,0,US
2020-02-09,Haralson,Georgia,0,0,US
2020-02-10,Haralson,Georgia,0,0,US
2020-02-11,Haralson,Georgia,0,0,US
2020-02-12,Haralson,Georgia,0,0,US
2020-02-13,Haralson,Georgia,0,0,US
2020-02-14,Haralson,Georgia,0,0,US
2020-02-15,Haralson,Georgia,0,0,US
2020-02-16,Haralson,Georgia,0,0,US
2020-02-17,Haralson,Georgia,0,0,US
2020-02-18,Haralson,Georgia,0,0,US
2020-02-19,Haralson,Georgia,0,0,US
2020-02-20,Haralson,Georgia,0,0,US
2020-02-21,Haralson,Georgia,0,0,US
2020-02-22,Haralson,Georgia,0,0,US
2020-02-23,Haralson,Georgia,0,0,US
2020-02-24,Haralson,Georgia,0,0,US
2020-02-25,Haralson,Georgia,0,0,US
2020-02-26,Haralson,Georgia,0,0,US
2020-02-27,Haralson,Georgia,0,0,US
2020-02-28,Haralson,Georgia,0,0,US
2020-02-29,Haralson,Georgia,0,0,US
2020-03-01,Haralson,Georgia,0,0,US
2020-03-02,Haralson,Georgia,0,0,US
2020-03-03,Haralson,Georgia,0,0,US
2020-03-04,Haralson,Georgia,0,0,US
2020-03-05,Haralson,Georgia,0,0,US
2020-03-06,Haralson,Georgia,0,0,US
2020-03-07,Haralson,Georgia,0,0,US
2020-03-08,Haralson,Georgia,0,0,US
2020-03-09,Haralson,Georgia,0,0,US
2020-03-10,Haralson,Georgia,0,0,US
2020-03-11,Haralson,Georgia,0,0,US
2020-03-12,Haralson,Georgia,0,0,US
2020-03-13,Haralson,Georgia,0,0,US
2020-03-14,Haralson,Georgia,0,0,US
2020-03-15,Haralson,Georgia,0,0,US
2020-03-16,Haralson,Georgia,0,0,US
2020-03-17,Haralson,Georgia,0,0,US
2020-03-18,Haralson,Georgia,0,0,US
2020-03-19,Haralson,Georgia,0,0,US
2020-03-20,Haralson,Georgia,0,0,US
2020-03-21,Haralson,Georgia,0,0,US
2020-03-22,Haralson,Georgia,0,0,US
2020-03-23,Haralson,Georgia,0,0,US
2020-03-24,Haralson,Georgia,0,0,US
2020-03-25,Haralson,Georgia,0,0,US
2020-03-26,Haralson,Georgia,0,0,US
2020-03-27,Haralson,Georgia,1,0,US
2020-03-28,Haralson,Georgia,1,0,US
2020-03-29,Haralson,Georgia,2,0,US
2020-03-30,Haralson,Georgia,3,0,US
2020-03-31,Haralson,Georgia,4,0,US
2020-04-01,Haralson,Georgia,5,0,US
2020-04-02,Haralson,Georgia,6,0,US
2020-04-03,Haralson,Georgia,7,0,US
2020-04-04,Haralson,Georgia,10,0,US
2020-04-05,Haralson,Georgia,10,0,US
2020-04-06,Haralson,Georgia,10,0,US
2020-04-07,Haralson,Georgia,15,0,US
2020-04-08,Haralson,Georgia,17,0,US
2020-04-09,Haralson,Georgia,15,0,US
2020-04-10,Haralson,Georgia,15,0,US
2020-04-11,Haralson,Georgia,15,0,US
2020-04-12,Haralson,Georgia,16,0,US
2020-04-13,Haralson,Georgia,16,0,US
2020-04-14,Haralson,Georgia,19,1,US
2020-04-15,Haralson,Georgia,19,1,US
2020-04-16,Haralson,Georgia,20,1,US
2020-04-17,Haralson,Georgia,19,1,US
2020-04-18,Haralson,Georgia,20,1,US
2020-04-19,Haralson,Georgia,20,1,US
2020-04-20,Haralson,Georgia,22,1,US
2020-04-21,Haralson,Georgia,23,1,US
2020-04-22,Haralson,Georgia,25,1,US
2020-04-23,Haralson,Georgia,26,1,US
2020-04-24,Haralson,Georgia,26,1,US
2020-04-25,Haralson,Georgia,26,1,US
2020-04-26,Haralson,Georgia,26,1,US
2020-04-27,Haralson,Georgia,27,1,US
2020-04-28,Haralson,Georgia,27,1,US
2020-04-29,Haralson,Georgia,28,1,US
2020-04-30,Haralson,Georgia,27,1,US
2020-05-01,Haralson,Georgia,29,1,US
2020-05-02,Haralson,Georgia,29,1,US
2020-05-03,Haralson,Georgia,29,1,US
2020-05-04,Haralson,Georgia,29,1,US
2020-05-05,Haralson,Georgia,30,2,US
2020-05-06,Haralson,Georgia,31,2,US
2020-05-07,Haralson,Georgia,32,2,US
2020-05-08,Haralson,Georgia,32,2,US
2020-05-09,Haralson,Georgia,32,2,US
2020-05-10,Haralson,Georgia,32,2,US
2020-05-11,Haralson,Georgia,32,2,US
2020-05-12,Haralson,Georgia,33,2,US
2020-05-13,Haralson,Georgia,34,2,US
2020-05-14,Haralson,Georgia,34,2,US
2020-05-15,Haralson,Georgia,34,2,US
2020-05-16,Haralson,Georgia,34,2,US
2020-05-17,Haralson,Georgia,34,2,US
2020-05-18,Haralson,Georgia,34,2,US
2020-05-19,Haralson,Georgia,35,2,US
2020-05-20,Haralson,Georgia,35,2,US
2020-05-21,Haralson,Georgia,36,2,US
2020-05-22,Haralson,Georgia,36,2,US
2020-05-23,Haralson,Georgia,36,2,US
2020-05-24,Haralson,Georgia,36,2,US
2020-05-25,Haralson,Georgia,36,2,US
2020-05-26,Haralson,Georgia,40,2,US
2020-05-27,Haralson,Georgia,40,2,US
