Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hardin,Ohio,0,0,US
2020-01-23,Hardin,Ohio,0,0,US
2020-01-24,Hardin,Ohio,0,0,US
2020-01-25,Hardin,Ohio,0,0,US
2020-01-26,Hardin,Ohio,0,0,US
2020-01-27,Hardin,Ohio,0,0,US
2020-01-28,Hardin,Ohio,0,0,US
2020-01-29,Hardin,Ohio,0,0,US
2020-01-30,Hardin,Ohio,0,0,US
2020-01-31,Hardin,Ohio,0,0,US
2020-02-01,Hardin,Ohio,0,0,US
2020-02-02,Hardin,Ohio,0,0,US
2020-02-03,Hardin,Ohio,0,0,US
2020-02-04,Hardin,Ohio,0,0,US
2020-02-05,Hardin,Ohio,0,0,US
2020-02-06,Hardin,Ohio,0,0,US
2020-02-07,Hardin,Ohio,0,0,US
2020-02-08,Hardin,Ohio,0,0,US
2020-02-09,Hardin,Ohio,0,0,US
2020-02-10,Hardin,Ohio,0,0,US
2020-02-11,Hardin,Ohio,0,0,US
2020-02-12,Hardin,Ohio,0,0,US
2020-02-13,Hardin,Ohio,0,0,US
2020-02-14,Hardin,Ohio,0,0,US
2020-02-15,Hardin,Ohio,0,0,US
2020-02-16,Hardin,Ohio,0,0,US
2020-02-17,Hardin,Ohio,0,0,US
2020-02-18,Hardin,Ohio,0,0,US
2020-02-19,Hardin,Ohio,0,0,US
2020-02-20,Hardin,Ohio,0,0,US
2020-02-21,Hardin,Ohio,0,0,US
2020-02-22,Hardin,Ohio,0,0,US
2020-02-23,Hardin,Ohio,0,0,US
2020-02-24,Hardin,Ohio,0,0,US
2020-02-25,Hardin,Ohio,0,0,US
2020-02-26,Hardin,Ohio,0,0,US
2020-02-27,Hardin,Ohio,0,0,US
2020-02-28,Hardin,Ohio,0,0,US
2020-02-29,Hardin,Ohio,0,0,US
2020-03-01,Hardin,Ohio,0,0,US
2020-03-02,Hardin,Ohio,0,0,US
2020-03-03,Hardin,Ohio,0,0,US
2020-03-04,Hardin,Ohio,0,0,US
2020-03-05,Hardin,Ohio,0,0,US
2020-03-06,Hardin,Ohio,0,0,US
2020-03-07,Hardin,Ohio,0,0,US
2020-03-08,Hardin,Ohio,0,0,US
2020-03-09,Hardin,Ohio,0,0,US
2020-03-10,Hardin,Ohio,0,0,US
2020-03-11,Hardin,Ohio,0,0,US
2020-03-12,Hardin,Ohio,0,0,US
2020-03-13,Hardin,Ohio,0,0,US
2020-03-14,Hardin,Ohio,0,0,US
2020-03-15,Hardin,Ohio,0,0,US
2020-03-16,Hardin,Ohio,0,0,US
2020-03-17,Hardin,Ohio,0,0,US
2020-03-18,Hardin,Ohio,0,0,US
2020-03-19,Hardin,Ohio,0,0,US
2020-03-20,Hardin,Ohio,0,0,US
2020-03-21,Hardin,Ohio,0,0,US
2020-03-22,Hardin,Ohio,0,0,US
2020-03-23,Hardin,Ohio,0,0,US
2020-03-24,Hardin,Ohio,0,0,US
2020-03-25,Hardin,Ohio,0,0,US
2020-03-26,Hardin,Ohio,0,0,US
2020-03-27,Hardin,Ohio,0,0,US
2020-03-28,Hardin,Ohio,0,0,US
2020-03-29,Hardin,Ohio,0,0,US
2020-03-30,Hardin,Ohio,0,0,US
2020-03-31,Hardin,Ohio,0,0,US
2020-04-01,Hardin,Ohio,0,0,US
2020-04-02,Hardin,Ohio,1,0,US
2020-04-03,Hardin,Ohio,1,0,US
2020-04-04,Hardin,Ohio,1,0,US
2020-04-05,Hardin,Ohio,1,0,US
2020-04-06,Hardin,Ohio,2,0,US
2020-04-07,Hardin,Ohio,2,0,US
2020-04-08,Hardin,Ohio,2,0,US
2020-04-09,Hardin,Ohio,3,0,US
2020-04-10,Hardin,Ohio,4,0,US
2020-04-11,Hardin,Ohio,4,0,US
2020-04-12,Hardin,Ohio,5,0,US
2020-04-13,Hardin,Ohio,8,0,US
2020-04-14,Hardin,Ohio,11,0,US
2020-04-15,Hardin,Ohio,11,0,US
2020-04-16,Hardin,Ohio,12,1,US
2020-04-17,Hardin,Ohio,13,1,US
2020-04-18,Hardin,Ohio,15,1,US
2020-04-19,Hardin,Ohio,17,1,US
2020-04-20,Hardin,Ohio,17,1,US
2020-04-21,Hardin,Ohio,20,1,US
2020-04-22,Hardin,Ohio,20,1,US
2020-04-23,Hardin,Ohio,20,1,US
2020-04-24,Hardin,Ohio,21,2,US
2020-04-25,Hardin,Ohio,23,2,US
2020-04-26,Hardin,Ohio,23,2,US
2020-04-27,Hardin,Ohio,22,2,US
2020-04-28,Hardin,Ohio,24,2,US
2020-04-29,Hardin,Ohio,24,2,US
2020-04-30,Hardin,Ohio,25,2,US
2020-05-01,Hardin,Ohio,25,2,US
2020-05-02,Hardin,Ohio,26,2,US
2020-05-03,Hardin,Ohio,26,2,US
2020-05-04,Hardin,Ohio,26,2,US
2020-05-05,Hardin,Ohio,26,2,US
2020-05-06,Hardin,Ohio,26,2,US
2020-05-07,Hardin,Ohio,26,2,US
2020-05-08,Hardin,Ohio,27,2,US
2020-05-09,Hardin,Ohio,27,2,US
2020-05-10,Hardin,Ohio,28,2,US
2020-05-11,Hardin,Ohio,28,2,US
2020-05-12,Hardin,Ohio,28,2,US
2020-05-13,Hardin,Ohio,29,2,US
2020-05-14,Hardin,Ohio,30,2,US
2020-05-15,Hardin,Ohio,29,2,US
2020-05-16,Hardin,Ohio,30,2,US
2020-05-17,Hardin,Ohio,30,2,US
2020-05-18,Hardin,Ohio,30,2,US
2020-05-19,Hardin,Ohio,30,2,US
2020-05-20,Hardin,Ohio,30,2,US
2020-05-21,Hardin,Ohio,33,2,US
2020-05-22,Hardin,Ohio,37,2,US
2020-05-23,Hardin,Ohio,38,2,US
2020-05-24,Hardin,Ohio,40,2,US
2020-05-25,Hardin,Ohio,41,2,US
2020-05-26,Hardin,Ohio,41,2,US
2020-05-27,Hardin,Ohio,41,2,US
2020-05-28,Hardin,Ohio,42,2,US
2020-05-29,Hardin,Ohio,45,2,US
2020-05-30,Hardin,Ohio,60,2,US
2020-05-31,Hardin,Ohio,61,2,US
2020-06-01,Hardin,Ohio,61,3,US
2020-06-02,Hardin,Ohio,61,3,US
2020-06-03,Hardin,Ohio,64,3,US
2020-06-04,Hardin,Ohio,71,3,US
2020-06-05,Hardin,Ohio,73,5,US
2020-06-06,Hardin,Ohio,73,6,US
2020-06-07,Hardin,Ohio,73,6,US
2020-06-08,Hardin,Ohio,76,7,US
2020-06-09,Hardin,Ohio,77,7,US
2020-06-10,Hardin,Ohio,78,7,US
2020-06-11,Hardin,Ohio,87,7,US
2020-06-12,Hardin,Ohio,87,7,US
2020-06-13,Hardin,Ohio,92,8,US
2020-06-14,Hardin,Ohio,93,8,US
2020-06-15,Hardin,Ohio,93,9,US
2020-06-16,Hardin,Ohio,94,9,US
2020-06-17,Hardin,Ohio,96,9,US
2020-06-18,Hardin,Ohio,105,9,US
2020-06-19,Hardin,Ohio,106,9,US
2020-06-20,Hardin,Ohio,107,9,US
2020-06-21,Hardin,Ohio,107,10,US
2020-06-22,Hardin,Ohio,107,10,US
2020-06-23,Hardin,Ohio,107,10,US
2020-06-24,Hardin,Ohio,107,10,US
2020-06-25,Hardin,Ohio,108,10,US
2020-06-26,Hardin,Ohio,108,10,US
2020-06-27,Hardin,Ohio,111,10,US
2020-06-28,Hardin,Ohio,111,10,US
2020-06-29,Hardin,Ohio,111,10,US
2020-06-30,Hardin,Ohio,111,10,US
2020-07-01,Hardin,Ohio,113,10,US
2020-07-02,Hardin,Ohio,113,10,US
2020-07-03,Hardin,Ohio,120,10,US
2020-07-04,Hardin,Ohio,120,10,US
2020-07-05,Hardin,Ohio,123,10,US
2020-07-06,Hardin,Ohio,123,10,US
2020-07-07,Hardin,Ohio,123,10,US
2020-07-08,Hardin,Ohio,123,10,US
2020-07-09,Hardin,Ohio,123,10,US
2020-07-10,Hardin,Ohio,123,10,US
2020-07-11,Hardin,Ohio,123,10,US
2020-07-12,Hardin,Ohio,123,10,US
