Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Harding,New Mexico,0,0,US
2020-01-23,Harding,New Mexico,0,0,US
2020-01-24,Harding,New Mexico,0,0,US
2020-01-25,Harding,New Mexico,0,0,US
2020-01-26,Harding,New Mexico,0,0,US
2020-01-27,Harding,New Mexico,0,0,US
2020-01-28,Harding,New Mexico,0,0,US
2020-01-29,Harding,New Mexico,0,0,US
2020-01-30,Harding,New Mexico,0,0,US
2020-01-31,Harding,New Mexico,0,0,US
2020-02-01,Harding,New Mexico,0,0,US
2020-02-02,Harding,New Mexico,0,0,US
2020-02-03,Harding,New Mexico,0,0,US
2020-02-04,Harding,New Mexico,0,0,US
2020-02-05,Harding,New Mexico,0,0,US
2020-02-06,Harding,New Mexico,0,0,US
2020-02-07,Harding,New Mexico,0,0,US
2020-02-08,Harding,New Mexico,0,0,US
2020-02-09,Harding,New Mexico,0,0,US
2020-02-10,Harding,New Mexico,0,0,US
2020-02-11,Harding,New Mexico,0,0,US
2020-02-12,Harding,New Mexico,0,0,US
2020-02-13,Harding,New Mexico,0,0,US
2020-02-14,Harding,New Mexico,0,0,US
2020-02-15,Harding,New Mexico,0,0,US
2020-02-16,Harding,New Mexico,0,0,US
2020-02-17,Harding,New Mexico,0,0,US
2020-02-18,Harding,New Mexico,0,0,US
2020-02-19,Harding,New Mexico,0,0,US
2020-02-20,Harding,New Mexico,0,0,US
2020-02-21,Harding,New Mexico,0,0,US
2020-02-22,Harding,New Mexico,0,0,US
2020-02-23,Harding,New Mexico,0,0,US
2020-02-24,Harding,New Mexico,0,0,US
2020-02-25,Harding,New Mexico,0,0,US
2020-02-26,Harding,New Mexico,0,0,US
2020-02-27,Harding,New Mexico,0,0,US
2020-02-28,Harding,New Mexico,0,0,US
2020-02-29,Harding,New Mexico,0,0,US
2020-03-01,Harding,New Mexico,0,0,US
2020-03-02,Harding,New Mexico,0,0,US
2020-03-03,Harding,New Mexico,0,0,US
2020-03-04,Harding,New Mexico,0,0,US
2020-03-05,Harding,New Mexico,0,0,US
2020-03-06,Harding,New Mexico,0,0,US
2020-03-07,Harding,New Mexico,0,0,US
2020-03-08,Harding,New Mexico,0,0,US
2020-03-09,Harding,New Mexico,0,0,US
2020-03-10,Harding,New Mexico,0,0,US
2020-03-11,Harding,New Mexico,0,0,US
2020-03-12,Harding,New Mexico,0,0,US
2020-03-13,Harding,New Mexico,0,0,US
2020-03-14,Harding,New Mexico,0,0,US
2020-03-15,Harding,New Mexico,0,0,US
2020-03-16,Harding,New Mexico,0,0,US
2020-03-17,Harding,New Mexico,0,0,US
2020-03-18,Harding,New Mexico,0,0,US
2020-03-19,Harding,New Mexico,0,0,US
2020-03-20,Harding,New Mexico,0,0,US
2020-03-21,Harding,New Mexico,0,0,US
2020-03-22,Harding,New Mexico,0,0,US
2020-03-23,Harding,New Mexico,0,0,US
2020-03-24,Harding,New Mexico,0,0,US
2020-03-25,Harding,New Mexico,0,0,US
2020-03-26,Harding,New Mexico,0,0,US
2020-03-27,Harding,New Mexico,0,0,US
2020-03-28,Harding,New Mexico,0,0,US
2020-03-29,Harding,New Mexico,0,0,US
2020-03-30,Harding,New Mexico,0,0,US
2020-03-31,Harding,New Mexico,0,0,US
2020-04-01,Harding,New Mexico,0,0,US
2020-04-02,Harding,New Mexico,0,0,US
2020-04-03,Harding,New Mexico,0,0,US
2020-04-04,Harding,New Mexico,0,0,US
2020-04-05,Harding,New Mexico,0,0,US
2020-04-06,Harding,New Mexico,0,0,US
2020-04-07,Harding,New Mexico,0,0,US
2020-04-08,Harding,New Mexico,0,0,US
2020-04-09,Harding,New Mexico,0,0,US
2020-04-10,Harding,New Mexico,0,0,US
2020-04-11,Harding,New Mexico,0,0,US
2020-04-12,Harding,New Mexico,0,0,US
2020-04-13,Harding,New Mexico,0,0,US
2020-04-14,Harding,New Mexico,0,0,US
2020-04-15,Harding,New Mexico,0,0,US
2020-04-16,Harding,New Mexico,0,0,US
2020-04-17,Harding,New Mexico,0,0,US
2020-04-18,Harding,New Mexico,0,0,US
2020-04-19,Harding,New Mexico,0,0,US
2020-04-20,Harding,New Mexico,0,0,US
2020-04-21,Harding,New Mexico,0,0,US
2020-04-22,Harding,New Mexico,0,0,US
2020-04-23,Harding,New Mexico,1,0,US
2020-04-24,Harding,New Mexico,1,0,US
2020-04-25,Harding,New Mexico,1,0,US
2020-04-26,Harding,New Mexico,1,0,US
2020-04-27,Harding,New Mexico,1,0,US
2020-04-28,Harding,New Mexico,1,0,US
2020-04-29,Harding,New Mexico,1,0,US
2020-04-30,Harding,New Mexico,1,0,US
2020-05-01,Harding,New Mexico,1,0,US
2020-05-02,Harding,New Mexico,1,0,US
2020-05-03,Harding,New Mexico,1,0,US
2020-05-04,Harding,New Mexico,1,0,US
2020-05-05,Harding,New Mexico,1,0,US
2020-05-06,Harding,New Mexico,1,0,US
2020-05-07,Harding,New Mexico,1,0,US
2020-05-08,Harding,New Mexico,1,0,US
2020-05-09,Harding,New Mexico,1,0,US
2020-05-10,Harding,New Mexico,1,0,US
2020-05-11,Harding,New Mexico,1,0,US
2020-05-12,Harding,New Mexico,1,0,US
2020-05-13,Harding,New Mexico,1,0,US
2020-05-14,Harding,New Mexico,1,0,US
2020-05-15,Harding,New Mexico,1,0,US
2020-05-16,Harding,New Mexico,1,0,US
2020-05-17,Harding,New Mexico,1,0,US
2020-05-18,Harding,New Mexico,1,0,US
2020-05-19,Harding,New Mexico,1,0,US
2020-05-20,Harding,New Mexico,1,0,US
2020-05-21,Harding,New Mexico,1,0,US
2020-05-22,Harding,New Mexico,1,0,US
2020-05-23,Harding,New Mexico,1,0,US
2020-05-24,Harding,New Mexico,1,0,US
2020-05-25,Harding,New Mexico,1,0,US
2020-05-26,Harding,New Mexico,1,0,US
2020-05-27,Harding,New Mexico,1,0,US
2020-05-28,Harding,New Mexico,1,0,US
2020-05-29,Harding,New Mexico,1,0,US
2020-05-30,Harding,New Mexico,1,0,US
2020-05-31,Harding,New Mexico,1,0,US
2020-06-01,Harding,New Mexico,1,0,US
2020-06-02,Harding,New Mexico,1,0,US
2020-06-03,Harding,New Mexico,1,0,US
2020-06-04,Harding,New Mexico,1,0,US
2020-06-05,Harding,New Mexico,1,0,US
2020-06-06,Harding,New Mexico,1,0,US
2020-06-07,Harding,New Mexico,1,0,US
2020-06-08,Harding,New Mexico,1,0,US
2020-06-09,Harding,New Mexico,1,0,US
2020-06-10,Harding,New Mexico,1,0,US
2020-06-11,Harding,New Mexico,1,0,US
2020-06-12,Harding,New Mexico,1,0,US
2020-06-13,Harding,New Mexico,1,0,US
2020-06-14,Harding,New Mexico,1,0,US
2020-06-15,Harding,New Mexico,1,0,US
2020-06-16,Harding,New Mexico,1,0,US
2020-06-17,Harding,New Mexico,1,0,US
2020-06-18,Harding,New Mexico,1,0,US
2020-06-19,Harding,New Mexico,1,0,US
2020-06-20,Harding,New Mexico,1,0,US
2020-06-21,Harding,New Mexico,1,0,US
2020-06-22,Harding,New Mexico,1,0,US
2020-06-23,Harding,New Mexico,1,0,US
2020-06-24,Harding,New Mexico,1,0,US
2020-06-25,Harding,New Mexico,1,0,US
2020-06-26,Harding,New Mexico,1,0,US
2020-06-27,Harding,New Mexico,1,0,US
2020-06-28,Harding,New Mexico,1,0,US
2020-06-29,Harding,New Mexico,1,0,US
2020-06-30,Harding,New Mexico,1,0,US
2020-07-01,Harding,New Mexico,1,0,US
2020-07-02,Harding,New Mexico,1,0,US
2020-07-03,Harding,New Mexico,1,0,US
2020-07-04,Harding,New Mexico,1,0,US
2020-07-05,Harding,New Mexico,1,0,US
2020-07-06,Harding,New Mexico,1,0,US
2020-07-07,Harding,New Mexico,1,0,US
2020-07-08,Harding,New Mexico,1,0,US
2020-07-09,Harding,New Mexico,1,0,US
2020-07-10,Harding,New Mexico,1,0,US
2020-07-11,Harding,New Mexico,1,0,US
2020-07-12,Harding,New Mexico,1,0,US
2020-07-13,Harding,New Mexico,1,0,US
2020-07-14,Harding,New Mexico,1,0,US
2020-07-15,Harding,New Mexico,1,0,US
2020-07-16,Harding,New Mexico,1,0,US
2020-07-17,Harding,New Mexico,1,0,US
2020-07-18,Harding,New Mexico,1,0,US
2020-07-19,Harding,New Mexico,1,0,US
2020-07-20,Harding,New Mexico,1,0,US
2020-07-21,Harding,New Mexico,1,0,US
2020-07-22,Harding,New Mexico,1,0,US
2020-07-23,Harding,New Mexico,1,0,US
2020-07-24,Harding,New Mexico,1,0,US
2020-07-25,Harding,New Mexico,1,0,US
2020-07-26,Harding,New Mexico,1,0,US
2020-07-27,Harding,New Mexico,1,0,US
2020-07-28,Harding,New Mexico,1,0,US
2020-07-29,Harding,New Mexico,1,0,US
2020-07-30,Harding,New Mexico,1,0,US
2020-07-31,Harding,New Mexico,1,0,US
2020-08-01,Harding,New Mexico,1,0,US
2020-08-02,Harding,New Mexico,1,0,US
2020-08-03,Harding,New Mexico,1,0,US
2020-08-04,Harding,New Mexico,1,0,US
2020-08-05,Harding,New Mexico,1,0,US
2020-08-06,Harding,New Mexico,1,0,US
2020-08-07,Harding,New Mexico,1,0,US
2020-08-08,Harding,New Mexico,1,0,US
2020-08-09,Harding,New Mexico,1,0,US
2020-08-10,Harding,New Mexico,1,0,US
2020-08-11,Harding,New Mexico,1,0,US
2020-08-12,Harding,New Mexico,1,0,US
2020-08-13,Harding,New Mexico,1,0,US
2020-08-14,Harding,New Mexico,1,0,US
2020-08-15,Harding,New Mexico,1,0,US
2020-08-16,Harding,New Mexico,2,0,US
2020-08-17,Harding,New Mexico,2,0,US
2020-08-18,Harding,New Mexico,2,0,US
2020-08-19,Harding,New Mexico,2,0,US
2020-08-20,Harding,New Mexico,2,0,US
2020-08-21,Harding,New Mexico,2,0,US
2020-08-22,Harding,New Mexico,2,0,US
2020-08-23,Harding,New Mexico,2,0,US
2020-08-24,Harding,New Mexico,2,0,US
2020-08-25,Harding,New Mexico,2,0,US
