Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Harford,Maryland,0,0,US
2020-01-23,Harford,Maryland,0,0,US
2020-01-24,Harford,Maryland,0,0,US
2020-01-25,Harford,Maryland,0,0,US
2020-01-26,Harford,Maryland,0,0,US
2020-01-27,Harford,Maryland,0,0,US
2020-01-28,Harford,Maryland,0,0,US
2020-01-29,Harford,Maryland,0,0,US
2020-01-30,Harford,Maryland,0,0,US
2020-01-31,Harford,Maryland,0,0,US
2020-02-01,Harford,Maryland,0,0,US
2020-02-02,Harford,Maryland,0,0,US
2020-02-03,Harford,Maryland,0,0,US
2020-02-04,Harford,Maryland,0,0,US
2020-02-05,Harford,Maryland,0,0,US
2020-02-06,Harford,Maryland,0,0,US
2020-02-07,Harford,Maryland,0,0,US
2020-02-08,Harford,Maryland,0,0,US
2020-02-09,Harford,Maryland,0,0,US
2020-02-10,Harford,Maryland,0,0,US
2020-02-11,Harford,Maryland,0,0,US
2020-02-12,Harford,Maryland,0,0,US
2020-02-13,Harford,Maryland,0,0,US
2020-02-14,Harford,Maryland,0,0,US
2020-02-15,Harford,Maryland,0,0,US
2020-02-16,Harford,Maryland,0,0,US
2020-02-17,Harford,Maryland,0,0,US
2020-02-18,Harford,Maryland,0,0,US
2020-02-19,Harford,Maryland,0,0,US
2020-02-20,Harford,Maryland,0,0,US
2020-02-21,Harford,Maryland,0,0,US
2020-02-22,Harford,Maryland,0,0,US
2020-02-23,Harford,Maryland,0,0,US
2020-02-24,Harford,Maryland,0,0,US
2020-02-25,Harford,Maryland,0,0,US
2020-02-26,Harford,Maryland,0,0,US
2020-02-27,Harford,Maryland,0,0,US
2020-02-28,Harford,Maryland,0,0,US
2020-02-29,Harford,Maryland,0,0,US
2020-03-01,Harford,Maryland,0,0,US
2020-03-02,Harford,Maryland,0,0,US
2020-03-03,Harford,Maryland,0,0,US
2020-03-04,Harford,Maryland,0,0,US
2020-03-05,Harford,Maryland,0,0,US
2020-03-06,Harford,Maryland,0,0,US
2020-03-07,Harford,Maryland,0,0,US
2020-03-08,Harford,Maryland,1,0,US
2020-03-09,Harford,Maryland,1,0,US
2020-03-10,Harford,Maryland,1,0,US
2020-03-11,Harford,Maryland,1,0,US
2020-03-12,Harford,Maryland,1,0,US
2020-03-13,Harford,Maryland,1,0,US
2020-03-14,Harford,Maryland,2,0,US
2020-03-15,Harford,Maryland,2,0,US
2020-03-16,Harford,Maryland,2,0,US
2020-03-17,Harford,Maryland,2,0,US
2020-03-18,Harford,Maryland,3,0,US
2020-03-19,Harford,Maryland,3,0,US
2020-03-20,Harford,Maryland,5,0,US
2020-03-21,Harford,Maryland,5,0,US
2020-03-22,Harford,Maryland,5,0,US
2020-03-23,Harford,Maryland,5,0,US
2020-03-24,Harford,Maryland,5,0,US
2020-03-25,Harford,Maryland,5,0,US
2020-03-26,Harford,Maryland,9,0,US
2020-03-27,Harford,Maryland,18,0,US
2020-03-28,Harford,Maryland,21,0,US
2020-03-29,Harford,Maryland,23,0,US
2020-03-30,Harford,Maryland,24,0,US
2020-03-31,Harford,Maryland,25,0,US
2020-04-01,Harford,Maryland,34,0,US
2020-04-02,Harford,Maryland,37,0,US
2020-04-03,Harford,Maryland,41,0,US
2020-04-04,Harford,Maryland,44,0,US
2020-04-05,Harford,Maryland,52,0,US
2020-04-06,Harford,Maryland,55,0,US
2020-04-07,Harford,Maryland,59,0,US
2020-04-08,Harford,Maryland,86,0,US
2020-04-09,Harford,Maryland,101,0,US
2020-04-10,Harford,Maryland,110,0,US
2020-04-11,Harford,Maryland,120,1,US
2020-04-12,Harford,Maryland,129,1,US
2020-04-13,Harford,Maryland,142,0,US
2020-04-14,Harford,Maryland,147,0,US
2020-04-15,Harford,Maryland,152,0,US
2020-04-16,Harford,Maryland,161,0,US
2020-04-17,Harford,Maryland,176,0,US
2020-04-18,Harford,Maryland,195,5,US
2020-04-19,Harford,Maryland,210,6,US
2020-04-20,Harford,Maryland,226,6,US
2020-04-21,Harford,Maryland,232,7,US
2020-04-22,Harford,Maryland,267,8,US
2020-04-23,Harford,Maryland,280,8,US
2020-04-24,Harford,Maryland,289,9,US
2020-04-25,Harford,Maryland,302,11,US
2020-04-26,Harford,Maryland,319,11,US
2020-04-27,Harford,Maryland,352,11,US
2020-04-28,Harford,Maryland,358,13,US
2020-04-29,Harford,Maryland,371,13,US
2020-04-30,Harford,Maryland,414,13,US
2020-05-01,Harford,Maryland,437,15,US
2020-05-02,Harford,Maryland,468,16,US
2020-05-03,Harford,Maryland,479,16,US
2020-05-04,Harford,Maryland,491,16,US
2020-05-05,Harford,Maryland,499,19,US
2020-05-06,Harford,Maryland,532,21,US
2020-05-07,Harford,Maryland,552,22,US
2020-05-08,Harford,Maryland,572,24,US
2020-05-09,Harford,Maryland,589,25,US
2020-05-10,Harford,Maryland,605,25,US
2020-05-11,Harford,Maryland,605,25,US
2020-05-12,Harford,Maryland,614,27,US
2020-05-13,Harford,Maryland,629,28,US
2020-05-14,Harford,Maryland,663,32,US
2020-05-15,Harford,Maryland,671,32,US
2020-05-16,Harford,Maryland,678,33,US
2020-05-17,Harford,Maryland,687,34,US
2020-05-18,Harford,Maryland,695,34,US
2020-05-19,Harford,Maryland,709,35,US
2020-05-20,Harford,Maryland,721,39,US
2020-05-21,Harford,Maryland,737,40,US
2020-05-22,Harford,Maryland,746,46,US
2020-05-23,Harford,Maryland,764,46,US
2020-05-24,Harford,Maryland,780,48,US
2020-05-25,Harford,Maryland,789,48,US
2020-05-26,Harford,Maryland,795,48,US
2020-05-27,Harford,Maryland,801,49,US
2020-05-28,Harford,Maryland,827,49,US
2020-05-29,Harford,Maryland,854,49,US
2020-05-30,Harford,Maryland,861,49,US
2020-05-31,Harford,Maryland,882,51,US
2020-06-01,Harford,Maryland,881,51,US
2020-06-02,Harford,Maryland,891,51,US
2020-06-03,Harford,Maryland,901,51,US
2020-06-04,Harford,Maryland,920,51,US
2020-06-05,Harford,Maryland,939,51,US
2020-06-06,Harford,Maryland,947,52,US
2020-06-07,Harford,Maryland,957,53,US
2020-06-08,Harford,Maryland,961,53,US
2020-06-09,Harford,Maryland,969,55,US
2020-06-10,Harford,Maryland,982,57,US
2020-06-11,Harford,Maryland,990,57,US
2020-06-12,Harford,Maryland,991,58,US
2020-06-13,Harford,Maryland,1004,58,US
2020-06-14,Harford,Maryland,1009,58,US
2020-06-15,Harford,Maryland,1019,58,US
2020-06-16,Harford,Maryland,1023,59,US
2020-06-17,Harford,Maryland,1032,61,US
2020-06-18,Harford,Maryland,1036,62,US
2020-06-19,Harford,Maryland,1041,61,US
2020-06-20,Harford,Maryland,1052,61,US
2020-06-21,Harford,Maryland,1056,61,US
2020-06-22,Harford,Maryland,1060,61,US
2020-06-23,Harford,Maryland,1064,61,US
2020-06-24,Harford,Maryland,1072,61,US
2020-06-25,Harford,Maryland,1078,61,US
2020-06-26,Harford,Maryland,1078,61,US
2020-06-27,Harford,Maryland,1090,61,US
2020-06-28,Harford,Maryland,1096,61,US
2020-06-29,Harford,Maryland,1108,62,US
2020-06-30,Harford,Maryland,1116,62,US
2020-07-01,Harford,Maryland,1127,62,US
2020-07-02,Harford,Maryland,1153,63,US
2020-07-03,Harford,Maryland,1173,63,US
2020-07-04,Harford,Maryland,1176,63,US
2020-07-05,Harford,Maryland,1180,63,US
2020-07-06,Harford,Maryland,1189,63,US
2020-07-07,Harford,Maryland,1198,63,US
2020-07-08,Harford,Maryland,1209,64,US
2020-07-09,Harford,Maryland,1225,64,US
2020-07-10,Harford,Maryland,1246,65,US
2020-07-11,Harford,Maryland,1262,65,US
2020-07-12,Harford,Maryland,1279,65,US
2020-07-13,Harford,Maryland,1288,66,US
2020-07-14,Harford,Maryland,1311,66,US
2020-07-15,Harford,Maryland,1325,67,US
2020-07-16,Harford,Maryland,1336,66,US
2020-07-17,Harford,Maryland,1351,66,US
2020-07-18,Harford,Maryland,1380,66,US
2020-07-19,Harford,Maryland,1412,66,US
2020-07-20,Harford,Maryland,1427,66,US
2020-07-21,Harford,Maryland,1452,66,US
2020-07-22,Harford,Maryland,1472,66,US
2020-07-23,Harford,Maryland,1514,66,US
2020-07-24,Harford,Maryland,1540,67,US
2020-07-25,Harford,Maryland,1579,67,US
2020-07-26,Harford,Maryland,1597,67,US
2020-07-27,Harford,Maryland,1631,67,US
2020-07-28,Harford,Maryland,1648,67,US
2020-07-29,Harford,Maryland,1676,67,US
2020-07-30,Harford,Maryland,1716,67,US
2020-07-31,Harford,Maryland,1750,67,US
2020-08-01,Harford,Maryland,1780,67,US
2020-08-02,Harford,Maryland,1818,68,US
2020-08-03,Harford,Maryland,1853,68,US
2020-08-04,Harford,Maryland,1863,68,US
2020-08-05,Harford,Maryland,1878,69,US
2020-08-06,Harford,Maryland,1906,69,US
2020-08-07,Harford,Maryland,1922,69,US
2020-08-08,Harford,Maryland,1934,69,US
2020-08-09,Harford,Maryland,1968,69,US
2020-08-10,Harford,Maryland,1994,69,US
2020-08-11,Harford,Maryland,2012,69,US
2020-08-12,Harford,Maryland,2034,69,US
2020-08-13,Harford,Maryland,2055,69,US
2020-08-14,Harford,Maryland,2085,69,US
2020-08-15,Harford,Maryland,2125,69,US
2020-08-16,Harford,Maryland,2150,69,US
2020-08-17,Harford,Maryland,2167,69,US
2020-08-18,Harford,Maryland,2183,69,US
2020-08-19,Harford,Maryland,2202,69,US
2020-08-20,Harford,Maryland,2225,69,US
2020-08-21,Harford,Maryland,2257,69,US
2020-08-22,Harford,Maryland,2285,69,US
2020-08-23,Harford,Maryland,2311,69,US
2020-08-24,Harford,Maryland,2337,69,US
2020-08-25,Harford,Maryland,2344,69,US
2020-08-26,Harford,Maryland,2357,69,US
2020-08-27,Harford,Maryland,2381,69,US
2020-08-28,Harford,Maryland,2408,69,US
2020-08-29,Harford,Maryland,2437,69,US
2020-08-30,Harford,Maryland,2459,69,US
2020-08-31,Harford,Maryland,2475,69,US
2020-09-01,Harford,Maryland,2500,70,US
2020-09-02,Harford,Maryland,2523,70,US
2020-09-03,Harford,Maryland,2552,71,US
2020-09-04,Harford,Maryland,2586,72,US
2020-09-05,Harford,Maryland,2612,72,US
2020-09-06,Harford,Maryland,2634,72,US
2020-09-07,Harford,Maryland,2665,72,US
2020-09-08,Harford,Maryland,2676,72,US
2020-09-09,Harford,Maryland,2686,72,US
2020-09-10,Harford,Maryland,2725,73,US
2020-09-11,Harford,Maryland,2750,74,US
2020-09-12,Harford,Maryland,2781,75,US
2020-09-13,Harford,Maryland,2811,75,US
2020-09-14,Harford,Maryland,2834,75,US
2020-09-15,Harford,Maryland,2846,75,US
2020-09-16,Harford,Maryland,2865,75,US
2020-09-17,Harford,Maryland,2883,76,US
2020-09-18,Harford,Maryland,2900,76,US
2020-09-19,Harford,Maryland,2915,76,US
2020-09-20,Harford,Maryland,2931,76,US
2020-09-21,Harford,Maryland,2937,76,US
2020-09-22,Harford,Maryland,2945,76,US
2020-09-23,Harford,Maryland,2945,76,US
2020-09-24,Harford,Maryland,2963,76,US
2020-09-25,Harford,Maryland,2986,76,US
2020-09-26,Harford,Maryland,3008,76,US
2020-09-27,Harford,Maryland,3021,76,US
2020-09-28,Harford,Maryland,3039,76,US
2020-09-29,Harford,Maryland,3045,76,US
2020-09-30,Harford,Maryland,3060,76,US
2020-10-01,Harford,Maryland,3086,76,US
2020-10-02,Harford,Maryland,3101,76,US
2020-10-03,Harford,Maryland,3124,76,US
2020-10-04,Harford,Maryland,3141,76,US
2020-10-05,Harford,Maryland,3148,76,US
2020-10-06,Harford,Maryland,3167,76,US
2020-10-07,Harford,Maryland,3191,76,US
2020-10-08,Harford,Maryland,3207,76,US
2020-10-09,Harford,Maryland,3227,76,US
2020-10-10,Harford,Maryland,3246,76,US
2020-10-11,Harford,Maryland,3262,77,US
2020-10-12,Harford,Maryland,3272,77,US
2020-10-13,Harford,Maryland,3288,77,US
2020-10-14,Harford,Maryland,3317,77,US
2020-10-15,Harford,Maryland,3335,77,US
2020-10-16,Harford,Maryland,3353,77,US
2020-10-17,Harford,Maryland,3374,77,US
2020-10-18,Harford,Maryland,3395,78,US
2020-10-19,Harford,Maryland,3417,78,US
2020-10-20,Harford,Maryland,3430,79,US
2020-10-21,Harford,Maryland,3448,80,US
2020-10-22,Harford,Maryland,3482,80,US
2020-10-23,Harford,Maryland,3492,80,US
2020-10-24,Harford,Maryland,3513,81,US
2020-10-25,Harford,Maryland,3529,81,US
2020-10-26,Harford,Maryland,3541,81,US
2020-10-27,Harford,Maryland,3555,81,US
2020-10-28,Harford,Maryland,3583,81,US
2020-10-29,Harford,Maryland,3612,81,US
2020-10-30,Harford,Maryland,3649,82,US
2020-10-31,Harford,Maryland,3680,82,US
2020-11-01,Harford,Maryland,3726,82,US
2020-11-02,Harford,Maryland,3747,82,US
2020-11-03,Harford,Maryland,3768,82,US
2020-11-04,Harford,Maryland,3820,82,US
2020-11-05,Harford,Maryland,3873,82,US
2020-11-06,Harford,Maryland,3948,82,US
2020-11-07,Harford,Maryland,3999,83,US
2020-11-08,Harford,Maryland,4076,84,US
2020-11-09,Harford,Maryland,4130,84,US
2020-11-10,Harford,Maryland,4188,84,US
2020-11-11,Harford,Maryland,4272,84,US
2020-11-12,Harford,Maryland,4329,85,US
2020-11-13,Harford,Maryland,4408,85,US
2020-11-14,Harford,Maryland,4532,85,US
2020-11-15,Harford,Maryland,4616,86,US
2020-11-16,Harford,Maryland,4749,86,US
2020-11-17,Harford,Maryland,4828,87,US
2020-11-18,Harford,Maryland,4959,88,US
2020-11-19,Harford,Maryland,5102,88,US
2020-11-20,Harford,Maryland,5184,89,US
2020-11-21,Harford,Maryland,5344,89,US
2020-11-22,Harford,Maryland,5461,90,US
2020-11-23,Harford,Maryland,5537,90,US
2020-11-24,Harford,Maryland,5600,93,US
2020-11-25,Harford,Maryland,5714,95,US
2020-11-26,Harford,Maryland,5805,95,US
2020-11-27,Harford,Maryland,5875,95,US
2020-11-28,Harford,Maryland,5940,96,US
2020-11-29,Harford,Maryland,6026,98,US
2020-11-30,Harford,Maryland,6099,98,US
2020-12-01,Harford,Maryland,6160,103,US
2020-12-02,Harford,Maryland,6234,104,US
2020-12-03,Harford,Maryland,6294,106,US
2020-12-04,Harford,Maryland,6405,108,US
2020-12-05,Harford,Maryland,6519,109,US
2020-12-06,Harford,Maryland,6574,111,US
2020-12-07,Harford,Maryland,6634,114,US
2020-12-08,Harford,Maryland,6704,115,US
2020-12-09,Harford,Maryland,6769,115,US
2020-12-10,Harford,Maryland,6904,116,US
2020-12-11,Harford,Maryland,6978,118,US
2020-12-12,Harford,Maryland,7096,119,US
2020-12-13,Harford,Maryland,7192,119,US
2020-12-14,Harford,Maryland,7256,119,US
2020-12-15,Harford,Maryland,7357,122,US
2020-12-16,Harford,Maryland,7442,126,US
2020-12-17,Harford,Maryland,7514,129,US
2020-12-18,Harford,Maryland,7590,130,US
2020-12-19,Harford,Maryland,7651,131,US
2020-12-20,Harford,Maryland,7750,133,US
2020-12-21,Harford,Maryland,7826,134,US
2020-12-22,Harford,Maryland,7911,137,US
2020-12-23,Harford,Maryland,7979,139,US
2020-12-24,Harford,Maryland,8060,142,US
2020-12-25,Harford,Maryland,8112,144,US
2020-12-26,Harford,Maryland,8194,149,US
2020-12-27,Harford,Maryland,8253,150,US
2020-12-28,Harford,Maryland,8323,151,US
2020-12-29,Harford,Maryland,8371,154,US
2020-12-30,Harford,Maryland,8475,158,US
2020-12-31,Harford,Maryland,8551,164,US
2021-01-01,Harford,Maryland,8660,168,US
2021-01-02,Harford,Maryland,8789,169,US
2021-01-03,Harford,Maryland,8856,171,US
2021-01-04,Harford,Maryland,8957,171,US
2021-01-05,Harford,Maryland,9005,173,US
2021-01-06,Harford,Maryland,9116,174,US
2021-01-07,Harford,Maryland,9195,175,US
2021-01-08,Harford,Maryland,9349,177,US
2021-01-09,Harford,Maryland,9444,179,US
2021-01-10,Harford,Maryland,9563,179,US
2021-01-11,Harford,Maryland,9682,179,US
2021-01-12,Harford,Maryland,9739,181,US
2021-01-13,Harford,Maryland,9848,181,US
2021-01-14,Harford,Maryland,9926,182,US
2021-01-15,Harford,Maryland,10027,184,US
2021-01-16,Harford,Maryland,10160,187,US
2021-01-17,Harford,Maryland,10259,187,US
2021-01-18,Harford,Maryland,10314,187,US
2021-01-19,Harford,Maryland,10396,190,US
2021-01-20,Harford,Maryland,10476,194,US
2021-01-21,Harford,Maryland,10541,194,US
2021-01-22,Harford,Maryland,10649,195,US
2021-01-23,Harford,Maryland,10736,197,US
2021-01-24,Harford,Maryland,10821,197,US
2021-01-25,Harford,Maryland,10896,198,US
2021-01-26,Harford,Maryland,10957,200,US
2021-01-27,Harford,Maryland,11039,203,US
2021-01-28,Harford,Maryland,11127,206,US
2021-01-29,Harford,Maryland,11186,207,US
2021-01-30,Harford,Maryland,11287,207,US
2021-01-31,Harford,Maryland,11368,207,US
2021-02-01,Harford,Maryland,11411,208,US
2021-02-02,Harford,Maryland,11450,209,US
2021-02-03,Harford,Maryland,11481,213,US
2021-02-04,Harford,Maryland,11526,213,US
2021-02-05,Harford,Maryland,11567,213,US
2021-02-06,Harford,Maryland,11637,216,US
2021-02-07,Harford,Maryland,11714,216,US
2021-02-08,Harford,Maryland,11765,216,US
2021-02-09,Harford,Maryland,11791,218,US
2021-02-10,Harford,Maryland,11849,218,US
2021-02-11,Harford,Maryland,11910,221,US
2021-02-12,Harford,Maryland,11962,223,US
2021-02-13,Harford,Maryland,12004,224,US
2021-02-14,Harford,Maryland,12040,226,US
2021-02-15,Harford,Maryland,12080,226,US
2021-02-16,Harford,Maryland,12095,228,US
2021-02-17,Harford,Maryland,12129,229,US
2021-02-18,Harford,Maryland,12168,231,US
2021-02-19,Harford,Maryland,12212,231,US
2021-02-20,Harford,Maryland,12262,231,US
2021-02-21,Harford,Maryland,12285,231,US
2021-02-22,Harford,Maryland,12309,231,US
2021-02-23,Harford,Maryland,12336,233,US
2021-02-24,Harford,Maryland,12373,234,US
2021-02-25,Harford,Maryland,12403,236,US
2021-02-26,Harford,Maryland,12432,236,US
2021-02-27,Harford,Maryland,12457,237,US
2021-02-28,Harford,Maryland,12483,237,US
2021-03-01,Harford,Maryland,12515,237,US
2021-03-02,Harford,Maryland,12529,239,US
2021-03-03,Harford,Maryland,12567,239,US
2021-03-04,Harford,Maryland,12592,239,US
2021-03-05,Harford,Maryland,12635,240,US
2021-03-06,Harford,Maryland,12679,240,US
2021-03-07,Harford,Maryland,12700,240,US
2021-03-08,Harford,Maryland,12750,241,US
2021-03-09,Harford,Maryland,12771,244,US
2021-03-10,Harford,Maryland,12823,245,US
2021-03-11,Harford,Maryland,12864,245,US
2021-03-12,Harford,Maryland,12918,246,US
2021-03-13,Harford,Maryland,12966,248,US
2021-03-14,Harford,Maryland,13006,248,US
2021-03-15,Harford,Maryland,13042,248,US
2021-03-16,Harford,Maryland,13075,250,US
2021-03-17,Harford,Maryland,13119,251,US
2021-03-18,Harford,Maryland,13187,253,US
2021-03-19,Harford,Maryland,13243,255,US
2021-03-20,Harford,Maryland,13294,255,US
2021-03-21,Harford,Maryland,13350,255,US
2021-03-22,Harford,Maryland,13376,255,US
2021-03-23,Harford,Maryland,13415,255,US
2021-03-24,Harford,Maryland,13472,255,US
2021-03-25,Harford,Maryland,13550,255,US
2021-03-26,Harford,Maryland,13634,255,US
2021-03-27,Harford,Maryland,13742,255,US
2021-03-28,Harford,Maryland,13826,255,US
2021-03-29,Harford,Maryland,13898,255,US
2021-03-30,Harford,Maryland,13944,255,US
2021-03-31,Harford,Maryland,14053,255,US
2021-04-01,Harford,Maryland,14145,256,US
2021-04-02,Harford,Maryland,14259,257,US
2021-04-03,Harford,Maryland,14330,258,US
2021-04-04,Harford,Maryland,14437,259,US
2021-04-05,Harford,Maryland,14490,259,US
2021-04-06,Harford,Maryland,14553,259,US
2021-04-07,Harford,Maryland,14652,261,US
2021-04-08,Harford,Maryland,14738,261,US
2021-04-09,Harford,Maryland,14849,261,US
2021-04-10,Harford,Maryland,14950,261,US
2021-04-11,Harford,Maryland,15044,261,US
2021-04-12,Harford,Maryland,15107,261,US
2021-04-13,Harford,Maryland,15138,261,US
2021-04-14,Harford,Maryland,15225,264,US
2021-04-15,Harford,Maryland,15304,264,US
2021-04-16,Harford,Maryland,15395,265,US
2021-04-17,Harford,Maryland,15480,267,US
2021-04-18,Harford,Maryland,15552,267,US
2021-04-19,Harford,Maryland,15581,267,US
2021-04-20,Harford,Maryland,15645,267,US
2021-04-21,Harford,Maryland,15700,268,US
2021-04-22,Harford,Maryland,15754,268,US
2021-04-23,Harford,Maryland,15811,269,US
2021-04-24,Harford,Maryland,15872,269,US
2021-04-25,Harford,Maryland,15913,269,US
2021-04-26,Harford,Maryland,15936,269,US
2021-04-27,Harford,Maryland,15956,269,US
2021-04-28,Harford,Maryland,16000,270,US
2021-04-29,Harford,Maryland,16036,270,US
2021-04-30,Harford,Maryland,16070,271,US
2021-05-01,Harford,Maryland,16104,271,US
2021-05-02,Harford,Maryland,16133,272,US
2021-05-03,Harford,Maryland,16151,272,US
2021-05-04,Harford,Maryland,16164,272,US
2021-05-05,Harford,Maryland,16185,272,US
2021-05-06,Harford,Maryland,16207,272,US
2021-05-07,Harford,Maryland,16245,273,US
2021-05-08,Harford,Maryland,16268,274,US
2021-05-09,Harford,Maryland,16283,274,US
2021-05-10,Harford,Maryland,16292,274,US
