Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hemphill,Texas,0,0,US
2020-01-23,Hemphill,Texas,0,0,US
2020-01-24,Hemphill,Texas,0,0,US
2020-01-25,Hemphill,Texas,0,0,US
2020-01-26,Hemphill,Texas,0,0,US
2020-01-27,Hemphill,Texas,0,0,US
2020-01-28,Hemphill,Texas,0,0,US
2020-01-29,Hemphill,Texas,0,0,US
2020-01-30,Hemphill,Texas,0,0,US
2020-01-31,Hemphill,Texas,0,0,US
2020-02-01,Hemphill,Texas,0,0,US
2020-02-02,Hemphill,Texas,0,0,US
2020-02-03,Hemphill,Texas,0,0,US
2020-02-04,Hemphill,Texas,0,0,US
2020-02-05,Hemphill,Texas,0,0,US
2020-02-06,Hemphill,Texas,0,0,US
2020-02-07,Hemphill,Texas,0,0,US
2020-02-08,Hemphill,Texas,0,0,US
2020-02-09,Hemphill,Texas,0,0,US
2020-02-10,Hemphill,Texas,0,0,US
2020-02-11,Hemphill,Texas,0,0,US
2020-02-12,Hemphill,Texas,0,0,US
2020-02-13,Hemphill,Texas,0,0,US
2020-02-14,Hemphill,Texas,0,0,US
2020-02-15,Hemphill,Texas,0,0,US
2020-02-16,Hemphill,Texas,0,0,US
2020-02-17,Hemphill,Texas,0,0,US
2020-02-18,Hemphill,Texas,0,0,US
2020-02-19,Hemphill,Texas,0,0,US
2020-02-20,Hemphill,Texas,0,0,US
2020-02-21,Hemphill,Texas,0,0,US
2020-02-22,Hemphill,Texas,0,0,US
2020-02-23,Hemphill,Texas,0,0,US
2020-02-24,Hemphill,Texas,0,0,US
2020-02-25,Hemphill,Texas,0,0,US
2020-02-26,Hemphill,Texas,0,0,US
2020-02-27,Hemphill,Texas,0,0,US
2020-02-28,Hemphill,Texas,0,0,US
2020-02-29,Hemphill,Texas,0,0,US
2020-03-01,Hemphill,Texas,0,0,US
2020-03-02,Hemphill,Texas,0,0,US
2020-03-03,Hemphill,Texas,0,0,US
2020-03-04,Hemphill,Texas,0,0,US
2020-03-05,Hemphill,Texas,0,0,US
2020-03-06,Hemphill,Texas,0,0,US
2020-03-07,Hemphill,Texas,0,0,US
2020-03-08,Hemphill,Texas,0,0,US
2020-03-09,Hemphill,Texas,0,0,US
2020-03-10,Hemphill,Texas,0,0,US
2020-03-11,Hemphill,Texas,0,0,US
2020-03-12,Hemphill,Texas,0,0,US
2020-03-13,Hemphill,Texas,0,0,US
2020-03-14,Hemphill,Texas,0,0,US
2020-03-15,Hemphill,Texas,0,0,US
2020-03-16,Hemphill,Texas,0,0,US
2020-03-17,Hemphill,Texas,0,0,US
2020-03-18,Hemphill,Texas,0,0,US
2020-03-19,Hemphill,Texas,0,0,US
2020-03-20,Hemphill,Texas,0,0,US
2020-03-21,Hemphill,Texas,0,0,US
2020-03-22,Hemphill,Texas,0,0,US
2020-03-23,Hemphill,Texas,0,0,US
2020-03-24,Hemphill,Texas,0,0,US
2020-03-25,Hemphill,Texas,0,0,US
2020-03-26,Hemphill,Texas,0,0,US
2020-03-27,Hemphill,Texas,0,0,US
2020-03-28,Hemphill,Texas,0,0,US
2020-03-29,Hemphill,Texas,0,0,US
2020-03-30,Hemphill,Texas,0,0,US
2020-03-31,Hemphill,Texas,0,0,US
2020-04-01,Hemphill,Texas,1,0,US
2020-04-02,Hemphill,Texas,1,0,US
2020-04-03,Hemphill,Texas,1,0,US
2020-04-04,Hemphill,Texas,1,0,US
2020-04-05,Hemphill,Texas,1,0,US
2020-04-06,Hemphill,Texas,1,0,US
2020-04-07,Hemphill,Texas,1,0,US
2020-04-08,Hemphill,Texas,1,0,US
2020-04-09,Hemphill,Texas,1,0,US
