Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Henderson,Kentucky,0,0,US
2020-01-23,Henderson,Kentucky,0,0,US
2020-01-24,Henderson,Kentucky,0,0,US
2020-01-25,Henderson,Kentucky,0,0,US
2020-01-26,Henderson,Kentucky,0,0,US
2020-01-27,Henderson,Kentucky,0,0,US
2020-01-28,Henderson,Kentucky,0,0,US
2020-01-29,Henderson,Kentucky,0,0,US
2020-01-30,Henderson,Kentucky,0,0,US
2020-01-31,Henderson,Kentucky,0,0,US
2020-02-01,Henderson,Kentucky,0,0,US
2020-02-02,Henderson,Kentucky,0,0,US
2020-02-03,Henderson,Kentucky,0,0,US
2020-02-04,Henderson,Kentucky,0,0,US
2020-02-05,Henderson,Kentucky,0,0,US
2020-02-06,Henderson,Kentucky,0,0,US
2020-02-07,Henderson,Kentucky,0,0,US
2020-02-08,Henderson,Kentucky,0,0,US
2020-02-09,Henderson,Kentucky,0,0,US
2020-02-10,Henderson,Kentucky,0,0,US
2020-02-11,Henderson,Kentucky,0,0,US
2020-02-12,Henderson,Kentucky,0,0,US
2020-02-13,Henderson,Kentucky,0,0,US
2020-02-14,Henderson,Kentucky,0,0,US
2020-02-15,Henderson,Kentucky,0,0,US
2020-02-16,Henderson,Kentucky,0,0,US
2020-02-17,Henderson,Kentucky,0,0,US
2020-02-18,Henderson,Kentucky,0,0,US
2020-02-19,Henderson,Kentucky,0,0,US
2020-02-20,Henderson,Kentucky,0,0,US
2020-02-21,Henderson,Kentucky,0,0,US
2020-02-22,Henderson,Kentucky,0,0,US
2020-02-23,Henderson,Kentucky,0,0,US
2020-02-24,Henderson,Kentucky,0,0,US
2020-02-25,Henderson,Kentucky,0,0,US
2020-02-26,Henderson,Kentucky,0,0,US
2020-02-27,Henderson,Kentucky,0,0,US
2020-02-28,Henderson,Kentucky,0,0,US
2020-02-29,Henderson,Kentucky,0,0,US
2020-03-01,Henderson,Kentucky,0,0,US
2020-03-02,Henderson,Kentucky,0,0,US
2020-03-03,Henderson,Kentucky,0,0,US
2020-03-04,Henderson,Kentucky,0,0,US
2020-03-05,Henderson,Kentucky,0,0,US
2020-03-06,Henderson,Kentucky,0,0,US
2020-03-07,Henderson,Kentucky,0,0,US
2020-03-08,Henderson,Kentucky,0,0,US
2020-03-09,Henderson,Kentucky,0,0,US
2020-03-10,Henderson,Kentucky,0,0,US
2020-03-11,Henderson,Kentucky,0,0,US
2020-03-12,Henderson,Kentucky,0,0,US
2020-03-13,Henderson,Kentucky,0,0,US
2020-03-14,Henderson,Kentucky,0,0,US
2020-03-15,Henderson,Kentucky,0,0,US
2020-03-16,Henderson,Kentucky,0,0,US
2020-03-17,Henderson,Kentucky,0,0,US
2020-03-18,Henderson,Kentucky,0,0,US
2020-03-19,Henderson,Kentucky,1,0,US
2020-03-20,Henderson,Kentucky,2,0,US
2020-03-21,Henderson,Kentucky,2,0,US
2020-03-22,Henderson,Kentucky,2,0,US
2020-03-23,Henderson,Kentucky,2,0,US
2020-03-24,Henderson,Kentucky,2,0,US
2020-03-25,Henderson,Kentucky,2,0,US
2020-03-26,Henderson,Kentucky,2,0,US
2020-03-27,Henderson,Kentucky,2,0,US
2020-03-28,Henderson,Kentucky,3,0,US
2020-03-29,Henderson,Kentucky,3,0,US
2020-03-30,Henderson,Kentucky,3,0,US
2020-03-31,Henderson,Kentucky,5,0,US
2020-04-01,Henderson,Kentucky,5,0,US
2020-04-02,Henderson,Kentucky,5,0,US
2020-04-03,Henderson,Kentucky,5,0,US
2020-04-04,Henderson,Kentucky,6,0,US
2020-04-05,Henderson,Kentucky,6,0,US
2020-04-06,Henderson,Kentucky,6,0,US
2020-04-07,Henderson,Kentucky,6,0,US
2020-04-08,Henderson,Kentucky,6,0,US
2020-04-09,Henderson,Kentucky,9,0,US
2020-04-10,Henderson,Kentucky,23,0,US
2020-04-11,Henderson,Kentucky,23,0,US
2020-04-12,Henderson,Kentucky,29,0,US
2020-04-13,Henderson,Kentucky,29,0,US
2020-04-14,Henderson,Kentucky,23,0,US
2020-04-15,Henderson,Kentucky,20,0,US
2020-04-16,Henderson,Kentucky,26,0,US
2020-04-17,Henderson,Kentucky,25,0,US
2020-04-18,Henderson,Kentucky,28,0,US
2020-04-19,Henderson,Kentucky,28,0,US
2020-04-20,Henderson,Kentucky,33,0,US
2020-04-21,Henderson,Kentucky,36,0,US
2020-04-22,Henderson,Kentucky,40,0,US
2020-04-23,Henderson,Kentucky,40,1,US
2020-04-24,Henderson,Kentucky,44,1,US
2020-04-25,Henderson,Kentucky,45,1,US
2020-04-26,Henderson,Kentucky,45,1,US
2020-04-27,Henderson,Kentucky,49,1,US
2020-04-28,Henderson,Kentucky,58,1,US
2020-04-29,Henderson,Kentucky,58,1,US
2020-04-30,Henderson,Kentucky,58,1,US
2020-05-01,Henderson,Kentucky,62,1,US
2020-05-02,Henderson,Kentucky,62,1,US
2020-05-03,Henderson,Kentucky,65,1,US
2020-05-04,Henderson,Kentucky,67,1,US
2020-05-05,Henderson,Kentucky,73,2,US
2020-05-06,Henderson,Kentucky,72,2,US
2020-05-07,Henderson,Kentucky,75,2,US
2020-05-08,Henderson,Kentucky,75,2,US
2020-05-09,Henderson,Kentucky,77,2,US
2020-05-10,Henderson,Kentucky,77,2,US
2020-05-11,Henderson,Kentucky,80,3,US
2020-05-12,Henderson,Kentucky,80,3,US
2020-05-13,Henderson,Kentucky,80,3,US
2020-05-14,Henderson,Kentucky,83,3,US
2020-05-15,Henderson,Kentucky,85,3,US
2020-05-16,Henderson,Kentucky,87,3,US
2020-05-17,Henderson,Kentucky,87,3,US
2020-05-18,Henderson,Kentucky,91,3,US
2020-05-19,Henderson,Kentucky,91,3,US
2020-05-20,Henderson,Kentucky,91,3,US
2020-05-21,Henderson,Kentucky,93,3,US
2020-05-22,Henderson,Kentucky,93,3,US
2020-05-23,Henderson,Kentucky,95,3,US
2020-05-24,Henderson,Kentucky,95,3,US
2020-05-25,Henderson,Kentucky,95,3,US
2020-05-26,Henderson,Kentucky,99,3,US
2020-05-27,Henderson,Kentucky,103,3,US
2020-05-28,Henderson,Kentucky,103,3,US
2020-05-29,Henderson,Kentucky,106,3,US
2020-05-30,Henderson,Kentucky,110,3,US
2020-05-31,Henderson,Kentucky,110,3,US
2020-06-01,Henderson,Kentucky,111,3,US
2020-06-02,Henderson,Kentucky,112,3,US
2020-06-03,Henderson,Kentucky,112,3,US
2020-06-04,Henderson,Kentucky,117,3,US
2020-06-05,Henderson,Kentucky,118,3,US
2020-06-06,Henderson,Kentucky,119,3,US
2020-06-07,Henderson,Kentucky,119,3,US
2020-06-08,Henderson,Kentucky,119,3,US
2020-06-09,Henderson,Kentucky,119,3,US
2020-06-10,Henderson,Kentucky,120,3,US
2020-06-11,Henderson,Kentucky,121,3,US
2020-06-12,Henderson,Kentucky,124,3,US
