Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hickman,Tennessee,0,0,US
2020-01-23,Hickman,Tennessee,0,0,US
2020-01-24,Hickman,Tennessee,0,0,US
2020-01-25,Hickman,Tennessee,0,0,US
2020-01-26,Hickman,Tennessee,0,0,US
2020-01-27,Hickman,Tennessee,0,0,US
2020-01-28,Hickman,Tennessee,0,0,US
2020-01-29,Hickman,Tennessee,0,0,US
2020-01-30,Hickman,Tennessee,0,0,US
2020-01-31,Hickman,Tennessee,0,0,US
2020-02-01,Hickman,Tennessee,0,0,US
2020-02-02,Hickman,Tennessee,0,0,US
2020-02-03,Hickman,Tennessee,0,0,US
2020-02-04,Hickman,Tennessee,0,0,US
2020-02-05,Hickman,Tennessee,0,0,US
2020-02-06,Hickman,Tennessee,0,0,US
2020-02-07,Hickman,Tennessee,0,0,US
2020-02-08,Hickman,Tennessee,0,0,US
2020-02-09,Hickman,Tennessee,0,0,US
2020-02-10,Hickman,Tennessee,0,0,US
2020-02-11,Hickman,Tennessee,0,0,US
2020-02-12,Hickman,Tennessee,0,0,US
2020-02-13,Hickman,Tennessee,0,0,US
2020-02-14,Hickman,Tennessee,0,0,US
2020-02-15,Hickman,Tennessee,0,0,US
2020-02-16,Hickman,Tennessee,0,0,US
2020-02-17,Hickman,Tennessee,0,0,US
2020-02-18,Hickman,Tennessee,0,0,US
2020-02-19,Hickman,Tennessee,0,0,US
2020-02-20,Hickman,Tennessee,0,0,US
2020-02-21,Hickman,Tennessee,0,0,US
2020-02-22,Hickman,Tennessee,0,0,US
2020-02-23,Hickman,Tennessee,0,0,US
2020-02-24,Hickman,Tennessee,0,0,US
2020-02-25,Hickman,Tennessee,0,0,US
2020-02-26,Hickman,Tennessee,0,0,US
2020-02-27,Hickman,Tennessee,0,0,US
2020-02-28,Hickman,Tennessee,0,0,US
2020-02-29,Hickman,Tennessee,0,0,US
2020-03-01,Hickman,Tennessee,0,0,US
2020-03-02,Hickman,Tennessee,0,0,US
2020-03-03,Hickman,Tennessee,0,0,US
2020-03-04,Hickman,Tennessee,0,0,US
2020-03-05,Hickman,Tennessee,0,0,US
2020-03-06,Hickman,Tennessee,0,0,US
2020-03-07,Hickman,Tennessee,0,0,US
2020-03-08,Hickman,Tennessee,0,0,US
2020-03-09,Hickman,Tennessee,0,0,US
2020-03-10,Hickman,Tennessee,0,0,US
2020-03-11,Hickman,Tennessee,0,0,US
2020-03-12,Hickman,Tennessee,0,0,US
2020-03-13,Hickman,Tennessee,0,0,US
2020-03-14,Hickman,Tennessee,0,0,US
2020-03-15,Hickman,Tennessee,0,0,US
2020-03-16,Hickman,Tennessee,0,0,US
2020-03-17,Hickman,Tennessee,0,0,US
2020-03-18,Hickman,Tennessee,0,0,US
2020-03-19,Hickman,Tennessee,0,0,US
2020-03-20,Hickman,Tennessee,0,0,US
2020-03-21,Hickman,Tennessee,0,0,US
2020-03-22,Hickman,Tennessee,0,0,US
2020-03-23,Hickman,Tennessee,0,0,US
2020-03-24,Hickman,Tennessee,0,0,US
2020-03-25,Hickman,Tennessee,0,0,US
2020-03-26,Hickman,Tennessee,0,0,US
2020-03-27,Hickman,Tennessee,0,0,US
2020-03-28,Hickman,Tennessee,0,0,US
2020-03-29,Hickman,Tennessee,0,0,US
2020-03-30,Hickman,Tennessee,0,0,US
2020-03-31,Hickman,Tennessee,0,0,US
2020-04-01,Hickman,Tennessee,1,0,US
2020-04-02,Hickman,Tennessee,1,0,US
2020-04-03,Hickman,Tennessee,1,0,US
2020-04-04,Hickman,Tennessee,2,0,US
2020-04-05,Hickman,Tennessee,2,0,US
2020-04-06,Hickman,Tennessee,2,0,US
2020-04-07,Hickman,Tennessee,2,0,US
2020-04-08,Hickman,Tennessee,2,0,US
2020-04-09,Hickman,Tennessee,2,0,US
