Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hidalgo,New Mexico,0,0,US
2020-01-23,Hidalgo,New Mexico,0,0,US
2020-01-24,Hidalgo,New Mexico,0,0,US
2020-01-25,Hidalgo,New Mexico,0,0,US
2020-01-26,Hidalgo,New Mexico,0,0,US
2020-01-27,Hidalgo,New Mexico,0,0,US
2020-01-28,Hidalgo,New Mexico,0,0,US
2020-01-29,Hidalgo,New Mexico,0,0,US
2020-01-30,Hidalgo,New Mexico,0,0,US
2020-01-31,Hidalgo,New Mexico,0,0,US
2020-02-01,Hidalgo,New Mexico,0,0,US
2020-02-02,Hidalgo,New Mexico,0,0,US
2020-02-03,Hidalgo,New Mexico,0,0,US
2020-02-04,Hidalgo,New Mexico,0,0,US
2020-02-05,Hidalgo,New Mexico,0,0,US
2020-02-06,Hidalgo,New Mexico,0,0,US
2020-02-07,Hidalgo,New Mexico,0,0,US
2020-02-08,Hidalgo,New Mexico,0,0,US
2020-02-09,Hidalgo,New Mexico,0,0,US
2020-02-10,Hidalgo,New Mexico,0,0,US
2020-02-11,Hidalgo,New Mexico,0,0,US
2020-02-12,Hidalgo,New Mexico,0,0,US
2020-02-13,Hidalgo,New Mexico,0,0,US
2020-02-14,Hidalgo,New Mexico,0,0,US
2020-02-15,Hidalgo,New Mexico,0,0,US
2020-02-16,Hidalgo,New Mexico,0,0,US
2020-02-17,Hidalgo,New Mexico,0,0,US
2020-02-18,Hidalgo,New Mexico,0,0,US
2020-02-19,Hidalgo,New Mexico,0,0,US
2020-02-20,Hidalgo,New Mexico,0,0,US
2020-02-21,Hidalgo,New Mexico,0,0,US
2020-02-22,Hidalgo,New Mexico,0,0,US
2020-02-23,Hidalgo,New Mexico,0,0,US
2020-02-24,Hidalgo,New Mexico,0,0,US
2020-02-25,Hidalgo,New Mexico,0,0,US
2020-02-26,Hidalgo,New Mexico,0,0,US
2020-02-27,Hidalgo,New Mexico,0,0,US
2020-02-28,Hidalgo,New Mexico,0,0,US
2020-02-29,Hidalgo,New Mexico,0,0,US
2020-03-01,Hidalgo,New Mexico,0,0,US
2020-03-02,Hidalgo,New Mexico,0,0,US
2020-03-03,Hidalgo,New Mexico,0,0,US
2020-03-04,Hidalgo,New Mexico,0,0,US
2020-03-05,Hidalgo,New Mexico,0,0,US
2020-03-06,Hidalgo,New Mexico,0,0,US
2020-03-07,Hidalgo,New Mexico,0,0,US
2020-03-08,Hidalgo,New Mexico,0,0,US
2020-03-09,Hidalgo,New Mexico,0,0,US
2020-03-10,Hidalgo,New Mexico,0,0,US
2020-03-11,Hidalgo,New Mexico,0,0,US
2020-03-12,Hidalgo,New Mexico,0,0,US
2020-03-13,Hidalgo,New Mexico,0,0,US
2020-03-14,Hidalgo,New Mexico,0,0,US
2020-03-15,Hidalgo,New Mexico,0,0,US
2020-03-16,Hidalgo,New Mexico,0,0,US
2020-03-17,Hidalgo,New Mexico,0,0,US
2020-03-18,Hidalgo,New Mexico,0,0,US
2020-03-19,Hidalgo,New Mexico,0,0,US
2020-03-20,Hidalgo,New Mexico,0,0,US
2020-03-21,Hidalgo,New Mexico,0,0,US
2020-03-22,Hidalgo,New Mexico,0,0,US
2020-03-23,Hidalgo,New Mexico,0,0,US
2020-03-24,Hidalgo,New Mexico,0,0,US
2020-03-25,Hidalgo,New Mexico,0,0,US
2020-03-26,Hidalgo,New Mexico,0,0,US
2020-03-27,Hidalgo,New Mexico,0,0,US
2020-03-28,Hidalgo,New Mexico,0,0,US
2020-03-29,Hidalgo,New Mexico,0,0,US
2020-03-30,Hidalgo,New Mexico,0,0,US
2020-03-31,Hidalgo,New Mexico,0,0,US
2020-04-01,Hidalgo,New Mexico,0,0,US
2020-04-02,Hidalgo,New Mexico,0,0,US
2020-04-03,Hidalgo,New Mexico,0,0,US
2020-04-04,Hidalgo,New Mexico,0,0,US
2020-04-05,Hidalgo,New Mexico,0,0,US
2020-04-06,Hidalgo,New Mexico,0,0,US
2020-04-07,Hidalgo,New Mexico,0,0,US
2020-04-08,Hidalgo,New Mexico,0,0,US
2020-04-09,Hidalgo,New Mexico,0,0,US
2020-04-10,Hidalgo,New Mexico,0,0,US
2020-04-11,Hidalgo,New Mexico,1,0,US
2020-04-12,Hidalgo,New Mexico,0,0,US
2020-04-13,Hidalgo,New Mexico,0,0,US
2020-04-14,Hidalgo,New Mexico,0,0,US
2020-04-15,Hidalgo,New Mexico,0,0,US
2020-04-16,Hidalgo,New Mexico,0,0,US
2020-04-17,Hidalgo,New Mexico,0,0,US
2020-04-18,Hidalgo,New Mexico,0,0,US
2020-04-19,Hidalgo,New Mexico,0,0,US
2020-04-20,Hidalgo,New Mexico,0,0,US
2020-04-21,Hidalgo,New Mexico,0,0,US
2020-04-22,Hidalgo,New Mexico,0,0,US
2020-04-23,Hidalgo,New Mexico,0,0,US
2020-04-24,Hidalgo,New Mexico,0,0,US
2020-04-25,Hidalgo,New Mexico,0,0,US
2020-04-26,Hidalgo,New Mexico,0,0,US
2020-04-27,Hidalgo,New Mexico,0,0,US
2020-04-28,Hidalgo,New Mexico,0,0,US
2020-04-29,Hidalgo,New Mexico,0,0,US
2020-04-30,Hidalgo,New Mexico,0,0,US
2020-05-01,Hidalgo,New Mexico,0,0,US
2020-05-02,Hidalgo,New Mexico,0,0,US
2020-05-03,Hidalgo,New Mexico,0,0,US
2020-05-04,Hidalgo,New Mexico,0,0,US
2020-05-05,Hidalgo,New Mexico,0,0,US
2020-05-06,Hidalgo,New Mexico,0,0,US
2020-05-07,Hidalgo,New Mexico,0,0,US
2020-05-08,Hidalgo,New Mexico,0,0,US
2020-05-09,Hidalgo,New Mexico,0,0,US
2020-05-10,Hidalgo,New Mexico,0,0,US
2020-05-11,Hidalgo,New Mexico,0,0,US
2020-05-12,Hidalgo,New Mexico,0,0,US
2020-05-13,Hidalgo,New Mexico,0,0,US
2020-05-14,Hidalgo,New Mexico,0,0,US
2020-05-15,Hidalgo,New Mexico,0,0,US
2020-05-16,Hidalgo,New Mexico,0,0,US
2020-05-17,Hidalgo,New Mexico,0,0,US
2020-05-18,Hidalgo,New Mexico,1,0,US
2020-05-19,Hidalgo,New Mexico,1,0,US
2020-05-20,Hidalgo,New Mexico,1,0,US
2020-05-21,Hidalgo,New Mexico,1,0,US
2020-05-22,Hidalgo,New Mexico,1,0,US
2020-05-23,Hidalgo,New Mexico,1,0,US
2020-05-24,Hidalgo,New Mexico,1,0,US
2020-05-25,Hidalgo,New Mexico,1,0,US
2020-05-26,Hidalgo,New Mexico,1,0,US
2020-05-27,Hidalgo,New Mexico,1,0,US
2020-05-28,Hidalgo,New Mexico,1,0,US
2020-05-29,Hidalgo,New Mexico,1,0,US
2020-05-30,Hidalgo,New Mexico,1,0,US
2020-05-31,Hidalgo,New Mexico,1,0,US
2020-06-01,Hidalgo,New Mexico,1,0,US
2020-06-02,Hidalgo,New Mexico,1,0,US
2020-06-03,Hidalgo,New Mexico,1,0,US
2020-06-04,Hidalgo,New Mexico,1,0,US
2020-06-05,Hidalgo,New Mexico,1,0,US
2020-06-06,Hidalgo,New Mexico,1,0,US
2020-06-07,Hidalgo,New Mexico,1,0,US
2020-06-08,Hidalgo,New Mexico,1,0,US
2020-06-09,Hidalgo,New Mexico,1,0,US
2020-06-10,Hidalgo,New Mexico,1,0,US
2020-06-11,Hidalgo,New Mexico,1,0,US
2020-06-12,Hidalgo,New Mexico,2,0,US
2020-06-13,Hidalgo,New Mexico,3,0,US
2020-06-14,Hidalgo,New Mexico,3,0,US
2020-06-15,Hidalgo,New Mexico,20,0,US
2020-06-16,Hidalgo,New Mexico,23,0,US
2020-06-17,Hidalgo,New Mexico,23,0,US
2020-06-18,Hidalgo,New Mexico,23,0,US
2020-06-19,Hidalgo,New Mexico,26,0,US
2020-06-20,Hidalgo,New Mexico,26,0,US
2020-06-21,Hidalgo,New Mexico,28,0,US
2020-06-22,Hidalgo,New Mexico,39,0,US
2020-06-23,Hidalgo,New Mexico,39,0,US
2020-06-24,Hidalgo,New Mexico,39,0,US
2020-06-25,Hidalgo,New Mexico,40,0,US
2020-06-26,Hidalgo,New Mexico,39,0,US
2020-06-27,Hidalgo,New Mexico,46,0,US
2020-06-28,Hidalgo,New Mexico,46,0,US
2020-06-29,Hidalgo,New Mexico,49,0,US
2020-06-30,Hidalgo,New Mexico,49,0,US
2020-07-01,Hidalgo,New Mexico,49,0,US
2020-07-02,Hidalgo,New Mexico,54,0,US
2020-07-03,Hidalgo,New Mexico,54,0,US
2020-07-04,Hidalgo,New Mexico,58,0,US
2020-07-05,Hidalgo,New Mexico,59,0,US
2020-07-06,Hidalgo,New Mexico,60,0,US
2020-07-07,Hidalgo,New Mexico,61,0,US
2020-07-08,Hidalgo,New Mexico,62,0,US
2020-07-09,Hidalgo,New Mexico,64,0,US
2020-07-10,Hidalgo,New Mexico,72,0,US
2020-07-11,Hidalgo,New Mexico,72,0,US
2020-07-12,Hidalgo,New Mexico,72,0,US
2020-07-13,Hidalgo,New Mexico,74,0,US
2020-07-14,Hidalgo,New Mexico,75,0,US
2020-07-15,Hidalgo,New Mexico,75,0,US
2020-07-16,Hidalgo,New Mexico,76,0,US
2020-07-17,Hidalgo,New Mexico,77,0,US
2020-07-18,Hidalgo,New Mexico,78,0,US
2020-07-19,Hidalgo,New Mexico,78,0,US
2020-07-20,Hidalgo,New Mexico,78,0,US
2020-07-21,Hidalgo,New Mexico,80,0,US
2020-07-22,Hidalgo,New Mexico,81,0,US
2020-07-23,Hidalgo,New Mexico,84,0,US
2020-07-24,Hidalgo,New Mexico,85,0,US
2020-07-25,Hidalgo,New Mexico,85,0,US
2020-07-26,Hidalgo,New Mexico,85,0,US
2020-07-27,Hidalgo,New Mexico,85,0,US
2020-07-28,Hidalgo,New Mexico,85,0,US
2020-07-29,Hidalgo,New Mexico,85,0,US
2020-07-30,Hidalgo,New Mexico,85,0,US
2020-07-31,Hidalgo,New Mexico,85,0,US
2020-08-01,Hidalgo,New Mexico,88,0,US
2020-08-02,Hidalgo,New Mexico,88,0,US
2020-08-03,Hidalgo,New Mexico,88,0,US
2020-08-04,Hidalgo,New Mexico,88,0,US
2020-08-05,Hidalgo,New Mexico,88,0,US
2020-08-06,Hidalgo,New Mexico,89,0,US
2020-08-07,Hidalgo,New Mexico,89,0,US
2020-08-08,Hidalgo,New Mexico,90,0,US
2020-08-09,Hidalgo,New Mexico,90,0,US
2020-08-10,Hidalgo,New Mexico,90,0,US
2020-08-11,Hidalgo,New Mexico,90,0,US
2020-08-12,Hidalgo,New Mexico,90,0,US
2020-08-13,Hidalgo,New Mexico,90,0,US
2020-08-14,Hidalgo,New Mexico,90,0,US
2020-08-15,Hidalgo,New Mexico,90,0,US
2020-08-16,Hidalgo,New Mexico,90,0,US
2020-08-17,Hidalgo,New Mexico,93,0,US
2020-08-18,Hidalgo,New Mexico,93,0,US
2020-08-19,Hidalgo,New Mexico,93,0,US
2020-08-20,Hidalgo,New Mexico,93,0,US
2020-08-21,Hidalgo,New Mexico,93,0,US
2020-08-22,Hidalgo,New Mexico,93,1,US
2020-08-23,Hidalgo,New Mexico,93,1,US
2020-08-24,Hidalgo,New Mexico,93,1,US
2020-08-25,Hidalgo,New Mexico,93,1,US
2020-08-26,Hidalgo,New Mexico,93,1,US
2020-08-27,Hidalgo,New Mexico,97,1,US
2020-08-28,Hidalgo,New Mexico,97,1,US
2020-08-29,Hidalgo,New Mexico,97,1,US
