Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hill,Montana,0,0,US
2020-01-23,Hill,Montana,0,0,US
2020-01-24,Hill,Montana,0,0,US
2020-01-25,Hill,Montana,0,0,US
2020-01-26,Hill,Montana,0,0,US
2020-01-27,Hill,Montana,0,0,US
2020-01-28,Hill,Montana,0,0,US
2020-01-29,Hill,Montana,0,0,US
2020-01-30,Hill,Montana,0,0,US
2020-01-31,Hill,Montana,0,0,US
2020-02-01,Hill,Montana,0,0,US
2020-02-02,Hill,Montana,0,0,US
2020-02-03,Hill,Montana,0,0,US
2020-02-04,Hill,Montana,0,0,US
2020-02-05,Hill,Montana,0,0,US
2020-02-06,Hill,Montana,0,0,US
2020-02-07,Hill,Montana,0,0,US
2020-02-08,Hill,Montana,0,0,US
2020-02-09,Hill,Montana,0,0,US
2020-02-10,Hill,Montana,0,0,US
2020-02-11,Hill,Montana,0,0,US
2020-02-12,Hill,Montana,0,0,US
2020-02-13,Hill,Montana,0,0,US
2020-02-14,Hill,Montana,0,0,US
2020-02-15,Hill,Montana,0,0,US
2020-02-16,Hill,Montana,0,0,US
2020-02-17,Hill,Montana,0,0,US
2020-02-18,Hill,Montana,0,0,US
2020-02-19,Hill,Montana,0,0,US
2020-02-20,Hill,Montana,0,0,US
2020-02-21,Hill,Montana,0,0,US
2020-02-22,Hill,Montana,0,0,US
2020-02-23,Hill,Montana,0,0,US
2020-02-24,Hill,Montana,0,0,US
2020-02-25,Hill,Montana,0,0,US
2020-02-26,Hill,Montana,0,0,US
2020-02-27,Hill,Montana,0,0,US
2020-02-28,Hill,Montana,0,0,US
2020-02-29,Hill,Montana,0,0,US
2020-03-01,Hill,Montana,0,0,US
2020-03-02,Hill,Montana,0,0,US
2020-03-03,Hill,Montana,0,0,US
2020-03-04,Hill,Montana,0,0,US
2020-03-05,Hill,Montana,0,0,US
2020-03-06,Hill,Montana,0,0,US
2020-03-07,Hill,Montana,0,0,US
2020-03-08,Hill,Montana,0,0,US
2020-03-09,Hill,Montana,0,0,US
2020-03-10,Hill,Montana,0,0,US
2020-03-11,Hill,Montana,0,0,US
2020-03-12,Hill,Montana,0,0,US
2020-03-13,Hill,Montana,0,0,US
2020-03-14,Hill,Montana,0,0,US
2020-03-15,Hill,Montana,0,0,US
2020-03-16,Hill,Montana,0,0,US
2020-03-17,Hill,Montana,0,0,US
2020-03-18,Hill,Montana,0,0,US
2020-03-19,Hill,Montana,0,0,US
2020-03-20,Hill,Montana,0,0,US
2020-03-21,Hill,Montana,0,0,US
2020-03-22,Hill,Montana,0,0,US
2020-03-23,Hill,Montana,0,0,US
2020-03-24,Hill,Montana,0,0,US
2020-03-25,Hill,Montana,1,0,US
2020-03-26,Hill,Montana,1,0,US
2020-03-27,Hill,Montana,1,0,US
2020-03-28,Hill,Montana,1,0,US
2020-03-29,Hill,Montana,1,0,US
2020-03-30,Hill,Montana,1,0,US
2020-03-31,Hill,Montana,1,0,US
2020-04-01,Hill,Montana,1,0,US
2020-04-02,Hill,Montana,1,0,US
2020-04-03,Hill,Montana,1,0,US
2020-04-04,Hill,Montana,1,0,US
2020-04-05,Hill,Montana,1,0,US
2020-04-06,Hill,Montana,1,0,US
2020-04-07,Hill,Montana,1,0,US
2020-04-08,Hill,Montana,1,0,US
2020-04-09,Hill,Montana,1,0,US
2020-04-10,Hill,Montana,1,0,US
2020-04-11,Hill,Montana,1,0,US
2020-04-12,Hill,Montana,1,0,US
2020-04-13,Hill,Montana,1,0,US
2020-04-14,Hill,Montana,1,0,US
2020-04-15,Hill,Montana,1,0,US
2020-04-16,Hill,Montana,1,0,US
2020-04-17,Hill,Montana,1,0,US
2020-04-18,Hill,Montana,1,0,US
2020-04-19,Hill,Montana,1,0,US
2020-04-20,Hill,Montana,1,0,US
2020-04-21,Hill,Montana,1,0,US
2020-04-22,Hill,Montana,1,0,US
2020-04-23,Hill,Montana,1,0,US
2020-04-24,Hill,Montana,1,0,US
2020-04-25,Hill,Montana,1,0,US
2020-04-26,Hill,Montana,1,0,US
2020-04-27,Hill,Montana,1,0,US
2020-04-28,Hill,Montana,1,0,US
2020-04-29,Hill,Montana,1,0,US
2020-04-30,Hill,Montana,1,0,US
2020-05-01,Hill,Montana,1,0,US
2020-05-02,Hill,Montana,1,0,US
2020-05-03,Hill,Montana,1,0,US
2020-05-04,Hill,Montana,1,0,US
2020-05-05,Hill,Montana,1,0,US
2020-05-06,Hill,Montana,1,0,US
2020-05-07,Hill,Montana,1,0,US
2020-05-08,Hill,Montana,1,0,US
2020-05-09,Hill,Montana,1,0,US
2020-05-10,Hill,Montana,1,0,US
2020-05-11,Hill,Montana,1,0,US
2020-05-12,Hill,Montana,1,0,US
2020-05-13,Hill,Montana,1,0,US
2020-05-14,Hill,Montana,1,0,US
2020-05-15,Hill,Montana,1,0,US
2020-05-16,Hill,Montana,1,0,US
2020-05-17,Hill,Montana,1,0,US
2020-05-18,Hill,Montana,1,0,US
2020-05-19,Hill,Montana,1,0,US
2020-05-20,Hill,Montana,1,0,US
2020-05-21,Hill,Montana,1,0,US
2020-05-22,Hill,Montana,1,0,US
2020-05-23,Hill,Montana,1,0,US
2020-05-24,Hill,Montana,1,0,US
2020-05-25,Hill,Montana,1,0,US
2020-05-26,Hill,Montana,1,0,US
2020-05-27,Hill,Montana,1,0,US
2020-05-28,Hill,Montana,1,0,US
2020-05-29,Hill,Montana,1,0,US
2020-05-30,Hill,Montana,1,0,US
2020-05-31,Hill,Montana,1,0,US
2020-06-01,Hill,Montana,1,0,US
2020-06-02,Hill,Montana,1,0,US
2020-06-03,Hill,Montana,1,0,US
2020-06-04,Hill,Montana,1,0,US
2020-06-05,Hill,Montana,1,0,US
2020-06-06,Hill,Montana,1,0,US
2020-06-07,Hill,Montana,1,0,US
2020-06-08,Hill,Montana,1,0,US
2020-06-09,Hill,Montana,1,0,US
2020-06-10,Hill,Montana,1,0,US
2020-06-11,Hill,Montana,1,0,US
2020-06-12,Hill,Montana,1,0,US
2020-06-13,Hill,Montana,1,0,US
2020-06-14,Hill,Montana,1,0,US
2020-06-15,Hill,Montana,1,0,US
2020-06-16,Hill,Montana,1,0,US
2020-06-17,Hill,Montana,1,0,US
2020-06-18,Hill,Montana,1,0,US
2020-06-19,Hill,Montana,1,0,US
2020-06-20,Hill,Montana,1,0,US
2020-06-21,Hill,Montana,1,0,US
2020-06-22,Hill,Montana,1,0,US
2020-06-23,Hill,Montana,1,0,US
2020-06-24,Hill,Montana,1,0,US
2020-06-25,Hill,Montana,1,0,US
2020-06-26,Hill,Montana,1,0,US
2020-06-27,Hill,Montana,1,0,US
2020-06-28,Hill,Montana,1,0,US
2020-06-29,Hill,Montana,1,0,US
2020-06-30,Hill,Montana,1,0,US
2020-07-01,Hill,Montana,1,0,US
2020-07-02,Hill,Montana,1,0,US
2020-07-03,Hill,Montana,1,0,US
2020-07-04,Hill,Montana,1,0,US
2020-07-05,Hill,Montana,2,0,US
2020-07-06,Hill,Montana,2,0,US
2020-07-07,Hill,Montana,7,0,US
2020-07-08,Hill,Montana,7,0,US
2020-07-09,Hill,Montana,8,0,US
2020-07-10,Hill,Montana,13,0,US
2020-07-11,Hill,Montana,13,0,US
2020-07-12,Hill,Montana,13,0,US
2020-07-13,Hill,Montana,14,0,US
2020-07-14,Hill,Montana,14,0,US
2020-07-15,Hill,Montana,14,0,US
2020-07-16,Hill,Montana,14,0,US
2020-07-17,Hill,Montana,24,0,US
2020-07-18,Hill,Montana,34,0,US
2020-07-19,Hill,Montana,35,0,US
2020-07-20,Hill,Montana,35,0,US
2020-07-21,Hill,Montana,34,0,US
2020-07-22,Hill,Montana,34,0,US
2020-07-23,Hill,Montana,34,0,US
2020-07-24,Hill,Montana,35,0,US
2020-07-25,Hill,Montana,39,0,US
2020-07-26,Hill,Montana,39,0,US
2020-07-27,Hill,Montana,39,0,US
2020-07-28,Hill,Montana,40,0,US
2020-07-29,Hill,Montana,43,0,US
2020-07-30,Hill,Montana,43,0,US
2020-07-31,Hill,Montana,40,0,US
2020-08-01,Hill,Montana,40,0,US
2020-08-02,Hill,Montana,40,0,US
2020-08-03,Hill,Montana,40,0,US
2020-08-04,Hill,Montana,41,0,US
2020-08-05,Hill,Montana,41,0,US
2020-08-06,Hill,Montana,41,0,US
2020-08-07,Hill,Montana,42,2,US
2020-08-08,Hill,Montana,42,2,US
2020-08-09,Hill,Montana,42,2,US
2020-08-10,Hill,Montana,42,2,US
2020-08-11,Hill,Montana,43,2,US
2020-08-12,Hill,Montana,46,2,US
2020-08-13,Hill,Montana,46,2,US
2020-08-14,Hill,Montana,48,2,US
2020-08-15,Hill,Montana,48,2,US
2020-08-16,Hill,Montana,48,2,US
2020-08-17,Hill,Montana,48,2,US
2020-08-18,Hill,Montana,48,2,US
2020-08-19,Hill,Montana,48,2,US
2020-08-20,Hill,Montana,48,2,US
2020-08-21,Hill,Montana,52,2,US
2020-08-22,Hill,Montana,53,2,US
2020-08-23,Hill,Montana,53,2,US
2020-08-24,Hill,Montana,54,2,US
2020-08-25,Hill,Montana,67,2,US
2020-08-26,Hill,Montana,72,2,US
2020-08-27,Hill,Montana,76,2,US
