Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hodgeman,Kansas,0,0,US
2020-01-23,Hodgeman,Kansas,0,0,US
2020-01-24,Hodgeman,Kansas,0,0,US
2020-01-25,Hodgeman,Kansas,0,0,US
2020-01-26,Hodgeman,Kansas,0,0,US
2020-01-27,Hodgeman,Kansas,0,0,US
2020-01-28,Hodgeman,Kansas,0,0,US
2020-01-29,Hodgeman,Kansas,0,0,US
2020-01-30,Hodgeman,Kansas,0,0,US
2020-01-31,Hodgeman,Kansas,0,0,US
2020-02-01,Hodgeman,Kansas,0,0,US
2020-02-02,Hodgeman,Kansas,0,0,US
2020-02-03,Hodgeman,Kansas,0,0,US
2020-02-04,Hodgeman,Kansas,0,0,US
2020-02-05,Hodgeman,Kansas,0,0,US
2020-02-06,Hodgeman,Kansas,0,0,US
2020-02-07,Hodgeman,Kansas,0,0,US
2020-02-08,Hodgeman,Kansas,0,0,US
2020-02-09,Hodgeman,Kansas,0,0,US
2020-02-10,Hodgeman,Kansas,0,0,US
2020-02-11,Hodgeman,Kansas,0,0,US
2020-02-12,Hodgeman,Kansas,0,0,US
2020-02-13,Hodgeman,Kansas,0,0,US
2020-02-14,Hodgeman,Kansas,0,0,US
2020-02-15,Hodgeman,Kansas,0,0,US
2020-02-16,Hodgeman,Kansas,0,0,US
2020-02-17,Hodgeman,Kansas,0,0,US
2020-02-18,Hodgeman,Kansas,0,0,US
2020-02-19,Hodgeman,Kansas,0,0,US
2020-02-20,Hodgeman,Kansas,0,0,US
2020-02-21,Hodgeman,Kansas,0,0,US
2020-02-22,Hodgeman,Kansas,0,0,US
2020-02-23,Hodgeman,Kansas,0,0,US
2020-02-24,Hodgeman,Kansas,0,0,US
2020-02-25,Hodgeman,Kansas,0,0,US
2020-02-26,Hodgeman,Kansas,0,0,US
2020-02-27,Hodgeman,Kansas,0,0,US
2020-02-28,Hodgeman,Kansas,0,0,US
2020-02-29,Hodgeman,Kansas,0,0,US
2020-03-01,Hodgeman,Kansas,0,0,US
2020-03-02,Hodgeman,Kansas,0,0,US
2020-03-03,Hodgeman,Kansas,0,0,US
2020-03-04,Hodgeman,Kansas,0,0,US
2020-03-05,Hodgeman,Kansas,0,0,US
2020-03-06,Hodgeman,Kansas,0,0,US
2020-03-07,Hodgeman,Kansas,0,0,US
2020-03-08,Hodgeman,Kansas,0,0,US
2020-03-09,Hodgeman,Kansas,0,0,US
2020-03-10,Hodgeman,Kansas,0,0,US
2020-03-11,Hodgeman,Kansas,0,0,US
2020-03-12,Hodgeman,Kansas,0,0,US
2020-03-13,Hodgeman,Kansas,0,0,US
2020-03-14,Hodgeman,Kansas,0,0,US
2020-03-15,Hodgeman,Kansas,0,0,US
2020-03-16,Hodgeman,Kansas,0,0,US
2020-03-17,Hodgeman,Kansas,0,0,US
2020-03-18,Hodgeman,Kansas,0,0,US
2020-03-19,Hodgeman,Kansas,0,0,US
2020-03-20,Hodgeman,Kansas,0,0,US
2020-03-21,Hodgeman,Kansas,0,0,US
2020-03-22,Hodgeman,Kansas,0,0,US
2020-03-23,Hodgeman,Kansas,0,0,US
2020-03-24,Hodgeman,Kansas,0,0,US
2020-03-25,Hodgeman,Kansas,0,0,US
2020-03-26,Hodgeman,Kansas,0,0,US
2020-03-27,Hodgeman,Kansas,0,0,US
2020-03-28,Hodgeman,Kansas,0,0,US
2020-03-29,Hodgeman,Kansas,0,0,US
2020-03-30,Hodgeman,Kansas,0,0,US
2020-03-31,Hodgeman,Kansas,0,0,US
2020-04-01,Hodgeman,Kansas,0,0,US
2020-04-02,Hodgeman,Kansas,0,0,US
2020-04-03,Hodgeman,Kansas,0,0,US
2020-04-04,Hodgeman,Kansas,0,0,US
2020-04-05,Hodgeman,Kansas,0,0,US
2020-04-06,Hodgeman,Kansas,0,0,US
2020-04-07,Hodgeman,Kansas,0,0,US
2020-04-08,Hodgeman,Kansas,0,0,US
2020-04-09,Hodgeman,Kansas,0,0,US
2020-04-10,Hodgeman,Kansas,0,0,US
2020-04-11,Hodgeman,Kansas,0,0,US
2020-04-12,Hodgeman,Kansas,0,0,US
2020-04-13,Hodgeman,Kansas,0,0,US
2020-04-14,Hodgeman,Kansas,0,0,US
2020-04-15,Hodgeman,Kansas,0,0,US
2020-04-16,Hodgeman,Kansas,0,0,US
2020-04-17,Hodgeman,Kansas,0,0,US
2020-04-18,Hodgeman,Kansas,0,0,US
2020-04-19,Hodgeman,Kansas,0,0,US
2020-04-20,Hodgeman,Kansas,0,0,US
2020-04-21,Hodgeman,Kansas,0,0,US
2020-04-22,Hodgeman,Kansas,0,0,US
2020-04-23,Hodgeman,Kansas,0,0,US
2020-04-24,Hodgeman,Kansas,0,0,US
2020-04-25,Hodgeman,Kansas,0,0,US
2020-04-26,Hodgeman,Kansas,0,0,US
2020-04-27,Hodgeman,Kansas,0,0,US
2020-04-28,Hodgeman,Kansas,0,0,US
2020-04-29,Hodgeman,Kansas,0,0,US
2020-04-30,Hodgeman,Kansas,0,0,US
2020-05-01,Hodgeman,Kansas,0,0,US
2020-05-02,Hodgeman,Kansas,0,0,US
2020-05-03,Hodgeman,Kansas,0,0,US
