Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hood,Texas,0,0,US
2020-01-23,Hood,Texas,0,0,US
2020-01-24,Hood,Texas,0,0,US
2020-01-25,Hood,Texas,0,0,US
2020-01-26,Hood,Texas,0,0,US
2020-01-27,Hood,Texas,0,0,US
2020-01-28,Hood,Texas,0,0,US
2020-01-29,Hood,Texas,0,0,US
2020-01-30,Hood,Texas,0,0,US
2020-01-31,Hood,Texas,0,0,US
2020-02-01,Hood,Texas,0,0,US
2020-02-02,Hood,Texas,0,0,US
2020-02-03,Hood,Texas,0,0,US
2020-02-04,Hood,Texas,0,0,US
2020-02-05,Hood,Texas,0,0,US
2020-02-06,Hood,Texas,0,0,US
2020-02-07,Hood,Texas,0,0,US
2020-02-08,Hood,Texas,0,0,US
2020-02-09,Hood,Texas,0,0,US
2020-02-10,Hood,Texas,0,0,US
2020-02-11,Hood,Texas,0,0,US
2020-02-12,Hood,Texas,0,0,US
2020-02-13,Hood,Texas,0,0,US
2020-02-14,Hood,Texas,0,0,US
2020-02-15,Hood,Texas,0,0,US
2020-02-16,Hood,Texas,0,0,US
2020-02-17,Hood,Texas,0,0,US
2020-02-18,Hood,Texas,0,0,US
2020-02-19,Hood,Texas,0,0,US
2020-02-20,Hood,Texas,0,0,US
2020-02-21,Hood,Texas,0,0,US
2020-02-22,Hood,Texas,0,0,US
2020-02-23,Hood,Texas,0,0,US
2020-02-24,Hood,Texas,0,0,US
2020-02-25,Hood,Texas,0,0,US
2020-02-26,Hood,Texas,0,0,US
2020-02-27,Hood,Texas,0,0,US
2020-02-28,Hood,Texas,0,0,US
2020-02-29,Hood,Texas,0,0,US
2020-03-01,Hood,Texas,0,0,US
2020-03-02,Hood,Texas,0,0,US
2020-03-03,Hood,Texas,0,0,US
2020-03-04,Hood,Texas,0,0,US
2020-03-05,Hood,Texas,0,0,US
2020-03-06,Hood,Texas,0,0,US
2020-03-07,Hood,Texas,0,0,US
2020-03-08,Hood,Texas,0,0,US
2020-03-09,Hood,Texas,0,0,US
2020-03-10,Hood,Texas,0,0,US
2020-03-11,Hood,Texas,0,0,US
2020-03-12,Hood,Texas,0,0,US
2020-03-13,Hood,Texas,0,0,US
2020-03-14,Hood,Texas,0,0,US
2020-03-15,Hood,Texas,0,0,US
2020-03-16,Hood,Texas,0,0,US
2020-03-17,Hood,Texas,0,0,US
2020-03-18,Hood,Texas,0,0,US
2020-03-19,Hood,Texas,0,0,US
2020-03-20,Hood,Texas,0,0,US
2020-03-21,Hood,Texas,0,0,US
2020-03-22,Hood,Texas,0,0,US
2020-03-23,Hood,Texas,0,0,US
2020-03-24,Hood,Texas,0,0,US
2020-03-25,Hood,Texas,0,0,US
2020-03-26,Hood,Texas,1,0,US
2020-03-27,Hood,Texas,2,0,US
2020-03-28,Hood,Texas,3,0,US
2020-03-29,Hood,Texas,2,0,US
2020-03-30,Hood,Texas,3,0,US
