Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Howell,Missouri,0,0,US
2020-01-23,Howell,Missouri,0,0,US
2020-01-24,Howell,Missouri,0,0,US
2020-01-25,Howell,Missouri,0,0,US
2020-01-26,Howell,Missouri,0,0,US
2020-01-27,Howell,Missouri,0,0,US
2020-01-28,Howell,Missouri,0,0,US
2020-01-29,Howell,Missouri,0,0,US
2020-01-30,Howell,Missouri,0,0,US
2020-01-31,Howell,Missouri,0,0,US
2020-02-01,Howell,Missouri,0,0,US
2020-02-02,Howell,Missouri,0,0,US
2020-02-03,Howell,Missouri,0,0,US
2020-02-04,Howell,Missouri,0,0,US
2020-02-05,Howell,Missouri,0,0,US
2020-02-06,Howell,Missouri,0,0,US
2020-02-07,Howell,Missouri,0,0,US
2020-02-08,Howell,Missouri,0,0,US
2020-02-09,Howell,Missouri,0,0,US
2020-02-10,Howell,Missouri,0,0,US
2020-02-11,Howell,Missouri,0,0,US
2020-02-12,Howell,Missouri,0,0,US
2020-02-13,Howell,Missouri,0,0,US
2020-02-14,Howell,Missouri,0,0,US
2020-02-15,Howell,Missouri,0,0,US
2020-02-16,Howell,Missouri,0,0,US
2020-02-17,Howell,Missouri,0,0,US
2020-02-18,Howell,Missouri,0,0,US
2020-02-19,Howell,Missouri,0,0,US
2020-02-20,Howell,Missouri,0,0,US
2020-02-21,Howell,Missouri,0,0,US
2020-02-22,Howell,Missouri,0,0,US
2020-02-23,Howell,Missouri,0,0,US
2020-02-24,Howell,Missouri,0,0,US
2020-02-25,Howell,Missouri,0,0,US
2020-02-26,Howell,Missouri,0,0,US
2020-02-27,Howell,Missouri,0,0,US
2020-02-28,Howell,Missouri,0,0,US
2020-02-29,Howell,Missouri,0,0,US
2020-03-01,Howell,Missouri,0,0,US
2020-03-02,Howell,Missouri,0,0,US
2020-03-03,Howell,Missouri,0,0,US
2020-03-04,Howell,Missouri,0,0,US
2020-03-05,Howell,Missouri,0,0,US
2020-03-06,Howell,Missouri,0,0,US
2020-03-07,Howell,Missouri,0,0,US
2020-03-08,Howell,Missouri,0,0,US
2020-03-09,Howell,Missouri,0,0,US
2020-03-10,Howell,Missouri,0,0,US
2020-03-11,Howell,Missouri,0,0,US
2020-03-12,Howell,Missouri,0,0,US
2020-03-13,Howell,Missouri,0,0,US
2020-03-14,Howell,Missouri,0,0,US
2020-03-15,Howell,Missouri,0,0,US
2020-03-16,Howell,Missouri,0,0,US
2020-03-17,Howell,Missouri,0,0,US
2020-03-18,Howell,Missouri,0,0,US
2020-03-19,Howell,Missouri,0,0,US
2020-03-20,Howell,Missouri,0,0,US
2020-03-21,Howell,Missouri,0,0,US
2020-03-22,Howell,Missouri,0,0,US
2020-03-23,Howell,Missouri,0,0,US
2020-03-24,Howell,Missouri,0,0,US
2020-03-25,Howell,Missouri,0,0,US
2020-03-26,Howell,Missouri,0,0,US
2020-03-27,Howell,Missouri,0,0,US
2020-03-28,Howell,Missouri,0,0,US
2020-03-29,Howell,Missouri,0,0,US
2020-03-30,Howell,Missouri,0,0,US
2020-03-31,Howell,Missouri,0,0,US
2020-04-01,Howell,Missouri,0,0,US
2020-04-02,Howell,Missouri,1,0,US
2020-04-03,Howell,Missouri,1,0,US
2020-04-04,Howell,Missouri,1,0,US
2020-04-05,Howell,Missouri,1,0,US
2020-04-06,Howell,Missouri,1,0,US
2020-04-07,Howell,Missouri,4,0,US
2020-04-08,Howell,Missouri,4,0,US
2020-04-09,Howell,Missouri,4,0,US
2020-04-10,Howell,Missouri,4,0,US
2020-04-11,Howell,Missouri,4,0,US
2020-04-12,Howell,Missouri,4,0,US
2020-04-13,Howell,Missouri,4,0,US
2020-04-14,Howell,Missouri,4,0,US
2020-04-15,Howell,Missouri,4,0,US
2020-04-16,Howell,Missouri,5,0,US
2020-04-17,Howell,Missouri,5,0,US
2020-04-18,Howell,Missouri,5,0,US
