Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Humacao,Puerto Rico,0,0,US
2020-01-23,Humacao,Puerto Rico,0,0,US
2020-01-24,Humacao,Puerto Rico,0,0,US
2020-01-25,Humacao,Puerto Rico,0,0,US
2020-01-26,Humacao,Puerto Rico,0,0,US
2020-01-27,Humacao,Puerto Rico,0,0,US
2020-01-28,Humacao,Puerto Rico,0,0,US
2020-01-29,Humacao,Puerto Rico,0,0,US
2020-01-30,Humacao,Puerto Rico,0,0,US
2020-01-31,Humacao,Puerto Rico,0,0,US
2020-02-01,Humacao,Puerto Rico,0,0,US
2020-02-02,Humacao,Puerto Rico,0,0,US
2020-02-03,Humacao,Puerto Rico,0,0,US
2020-02-04,Humacao,Puerto Rico,0,0,US
2020-02-05,Humacao,Puerto Rico,0,0,US
2020-02-06,Humacao,Puerto Rico,0,0,US
2020-02-07,Humacao,Puerto Rico,0,0,US
2020-02-08,Humacao,Puerto Rico,0,0,US
2020-02-09,Humacao,Puerto Rico,0,0,US
2020-02-10,Humacao,Puerto Rico,0,0,US
2020-02-11,Humacao,Puerto Rico,0,0,US
2020-02-12,Humacao,Puerto Rico,0,0,US
2020-02-13,Humacao,Puerto Rico,0,0,US
2020-02-14,Humacao,Puerto Rico,0,0,US
2020-02-15,Humacao,Puerto Rico,0,0,US
2020-02-16,Humacao,Puerto Rico,0,0,US
2020-02-17,Humacao,Puerto Rico,0,0,US
2020-02-18,Humacao,Puerto Rico,0,0,US
2020-02-19,Humacao,Puerto Rico,0,0,US
2020-02-20,Humacao,Puerto Rico,0,0,US
2020-02-21,Humacao,Puerto Rico,0,0,US
2020-02-22,Humacao,Puerto Rico,0,0,US
2020-02-23,Humacao,Puerto Rico,0,0,US
2020-02-24,Humacao,Puerto Rico,0,0,US
2020-02-25,Humacao,Puerto Rico,0,0,US
2020-02-26,Humacao,Puerto Rico,0,0,US
2020-02-27,Humacao,Puerto Rico,0,0,US
2020-02-28,Humacao,Puerto Rico,0,0,US
2020-02-29,Humacao,Puerto Rico,0,0,US
2020-03-01,Humacao,Puerto Rico,0,0,US
2020-03-02,Humacao,Puerto Rico,0,0,US
2020-03-03,Humacao,Puerto Rico,0,0,US
2020-03-04,Humacao,Puerto Rico,0,0,US
2020-03-05,Humacao,Puerto Rico,0,0,US
2020-03-06,Humacao,Puerto Rico,0,0,US
2020-03-07,Humacao,Puerto Rico,0,0,US
2020-03-08,Humacao,Puerto Rico,0,0,US
2020-03-09,Humacao,Puerto Rico,0,0,US
2020-03-10,Humacao,Puerto Rico,0,0,US
2020-03-11,Humacao,Puerto Rico,0,0,US
2020-03-12,Humacao,Puerto Rico,0,0,US
2020-03-13,Humacao,Puerto Rico,0,0,US
2020-03-14,Humacao,Puerto Rico,0,0,US
2020-03-15,Humacao,Puerto Rico,0,0,US
2020-03-16,Humacao,Puerto Rico,0,0,US
2020-03-17,Humacao,Puerto Rico,0,0,US
2020-03-18,Humacao,Puerto Rico,0,0,US
2020-03-19,Humacao,Puerto Rico,0,0,US
2020-03-20,Humacao,Puerto Rico,0,0,US
2020-03-21,Humacao,Puerto Rico,0,0,US
2020-03-22,Humacao,Puerto Rico,0,0,US
2020-03-23,Humacao,Puerto Rico,0,0,US
2020-03-24,Humacao,Puerto Rico,0,0,US
2020-03-25,Humacao,Puerto Rico,0,0,US
2020-03-26,Humacao,Puerto Rico,0,0,US
2020-03-27,Humacao,Puerto Rico,0,0,US
2020-03-28,Humacao,Puerto Rico,0,0,US
2020-03-29,Humacao,Puerto Rico,0,0,US
2020-03-30,Humacao,Puerto Rico,0,0,US
2020-03-31,Humacao,Puerto Rico,0,0,US
2020-04-01,Humacao,Puerto Rico,0,0,US
2020-04-02,Humacao,Puerto Rico,0,0,US
2020-04-03,Humacao,Puerto Rico,0,0,US
2020-04-04,Humacao,Puerto Rico,0,0,US
2020-04-05,Humacao,Puerto Rico,0,0,US
2020-04-06,Humacao,Puerto Rico,0,0,US
2020-04-07,Humacao,Puerto Rico,0,0,US
2020-04-08,Humacao,Puerto Rico,0,0,US
2020-04-09,Humacao,Puerto Rico,0,0,US
2020-04-10,Humacao,Puerto Rico,0,0,US
2020-04-11,Humacao,Puerto Rico,0,0,US
2020-04-12,Humacao,Puerto Rico,0,0,US
2020-04-13,Humacao,Puerto Rico,0,0,US
2020-04-14,Humacao,Puerto Rico,0,0,US
2020-04-15,Humacao,Puerto Rico,0,0,US
2020-04-16,Humacao,Puerto Rico,0,0,US
2020-04-17,Humacao,Puerto Rico,0,0,US
2020-04-18,Humacao,Puerto Rico,0,0,US
2020-04-19,Humacao,Puerto Rico,0,0,US
2020-04-20,Humacao,Puerto Rico,0,0,US
2020-04-21,Humacao,Puerto Rico,0,0,US
2020-04-22,Humacao,Puerto Rico,0,0,US
2020-04-23,Humacao,Puerto Rico,0,0,US
2020-04-24,Humacao,Puerto Rico,0,0,US
2020-04-25,Humacao,Puerto Rico,4,0,US
2020-04-26,Humacao,Puerto Rico,4,0,US
2020-04-27,Humacao,Puerto Rico,4,0,US
2020-04-28,Humacao,Puerto Rico,4,0,US
2020-04-29,Humacao,Puerto Rico,4,0,US
2020-04-30,Humacao,Puerto Rico,4,0,US
2020-05-01,Humacao,Puerto Rico,4,0,US
2020-05-02,Humacao,Puerto Rico,6,0,US
2020-05-03,Humacao,Puerto Rico,6,0,US
2020-05-04,Humacao,Puerto Rico,6,0,US
2020-05-05,Humacao,Puerto Rico,6,0,US
2020-05-06,Humacao,Puerto Rico,6,0,US
2020-05-07,Humacao,Puerto Rico,6,0,US
2020-05-08,Humacao,Puerto Rico,6,0,US
2020-05-09,Humacao,Puerto Rico,6,0,US
2020-05-10,Humacao,Puerto Rico,6,0,US
2020-05-11,Humacao,Puerto Rico,6,0,US
2020-05-12,Humacao,Puerto Rico,6,0,US
2020-05-13,Humacao,Puerto Rico,6,0,US
2020-05-14,Humacao,Puerto Rico,6,0,US
2020-05-15,Humacao,Puerto Rico,6,0,US
2020-05-16,Humacao,Puerto Rico,6,0,US
2020-05-17,Humacao,Puerto Rico,6,0,US
2020-05-18,Humacao,Puerto Rico,7,0,US
2020-05-19,Humacao,Puerto Rico,7,0,US
2020-05-20,Humacao,Puerto Rico,7,0,US
2020-05-21,Humacao,Puerto Rico,7,0,US
2020-05-22,Humacao,Puerto Rico,7,0,US
2020-05-23,Humacao,Puerto Rico,7,0,US
2020-05-24,Humacao,Puerto Rico,7,0,US
2020-05-25,Humacao,Puerto Rico,7,0,US
2020-05-26,Humacao,Puerto Rico,7,0,US
2020-05-27,Humacao,Puerto Rico,7,0,US
2020-05-28,Humacao,Puerto Rico,7,0,US
2020-05-29,Humacao,Puerto Rico,7,0,US
2020-05-30,Humacao,Puerto Rico,7,0,US
2020-05-31,Humacao,Puerto Rico,7,0,US
2020-06-01,Humacao,Puerto Rico,7,0,US
2020-06-02,Humacao,Puerto Rico,7,0,US
2020-06-03,Humacao,Puerto Rico,7,0,US
2020-06-04,Humacao,Puerto Rico,7,0,US
2020-06-05,Humacao,Puerto Rico,7,0,US
2020-06-06,Humacao,Puerto Rico,8,0,US
2020-06-07,Humacao,Puerto Rico,8,0,US
2020-06-08,Humacao,Puerto Rico,8,0,US
2020-06-09,Humacao,Puerto Rico,9,0,US
2020-06-10,Humacao,Puerto Rico,9,0,US
2020-06-11,Humacao,Puerto Rico,9,0,US
2020-06-12,Humacao,Puerto Rico,9,0,US
2020-06-13,Humacao,Puerto Rico,9,0,US
2020-06-14,Humacao,Puerto Rico,9,0,US
2020-06-15,Humacao,Puerto Rico,9,0,US
2020-06-16,Humacao,Puerto Rico,9,0,US
2020-06-17,Humacao,Puerto Rico,9,0,US
2020-06-18,Humacao,Puerto Rico,9,0,US
2020-06-19,Humacao,Puerto Rico,9,0,US
2020-06-20,Humacao,Puerto Rico,11,0,US
2020-06-21,Humacao,Puerto Rico,11,0,US
2020-06-22,Humacao,Puerto Rico,11,0,US
2020-06-23,Humacao,Puerto Rico,11,0,US
2020-06-24,Humacao,Puerto Rico,11,0,US
2020-06-25,Humacao,Puerto Rico,11,0,US
2020-06-26,Humacao,Puerto Rico,11,0,US
2020-06-27,Humacao,Puerto Rico,11,0,US
2020-06-28,Humacao,Puerto Rico,11,0,US
2020-06-29,Humacao,Puerto Rico,10,0,US
2020-06-30,Humacao,Puerto Rico,11,0,US
2020-07-01,Humacao,Puerto Rico,11,0,US
2020-07-02,Humacao,Puerto Rico,11,0,US
2020-07-03,Humacao,Puerto Rico,11,0,US
2020-07-04,Humacao,Puerto Rico,11,0,US
2020-07-05,Humacao,Puerto Rico,11,0,US
2020-07-06,Humacao,Puerto Rico,12,0,US
2020-07-07,Humacao,Puerto Rico,12,0,US
2020-07-08,Humacao,Puerto Rico,12,0,US
2020-07-09,Humacao,Puerto Rico,12,0,US
2020-07-10,Humacao,Puerto Rico,12,0,US
2020-07-11,Humacao,Puerto Rico,12,0,US
2020-07-12,Humacao,Puerto Rico,12,0,US
2020-07-13,Humacao,Puerto Rico,13,0,US
2020-07-14,Humacao,Puerto Rico,14,0,US
2020-07-15,Humacao,Puerto Rico,14,0,US
2020-07-16,Humacao,Puerto Rico,14,0,US
2020-07-17,Humacao,Puerto Rico,14,0,US
2020-07-18,Humacao,Puerto Rico,14,0,US
2020-07-19,Humacao,Puerto Rico,15,0,US
2020-07-20,Humacao,Puerto Rico,15,0,US
2020-07-21,Humacao,Puerto Rico,15,0,US
2020-07-22,Humacao,Puerto Rico,16,0,US
2020-07-23,Humacao,Puerto Rico,17,0,US
2020-07-24,Humacao,Puerto Rico,17,0,US
2020-07-25,Humacao,Puerto Rico,17,0,US
