Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Iberia,Louisiana,0,0,US
2020-01-23,Iberia,Louisiana,0,0,US
2020-01-24,Iberia,Louisiana,0,0,US
2020-01-25,Iberia,Louisiana,0,0,US
2020-01-26,Iberia,Louisiana,0,0,US
2020-01-27,Iberia,Louisiana,0,0,US
2020-01-28,Iberia,Louisiana,0,0,US
2020-01-29,Iberia,Louisiana,0,0,US
2020-01-30,Iberia,Louisiana,0,0,US
2020-01-31,Iberia,Louisiana,0,0,US
2020-02-01,Iberia,Louisiana,0,0,US
2020-02-02,Iberia,Louisiana,0,0,US
2020-02-03,Iberia,Louisiana,0,0,US
2020-02-04,Iberia,Louisiana,0,0,US
2020-02-05,Iberia,Louisiana,0,0,US
2020-02-06,Iberia,Louisiana,0,0,US
2020-02-07,Iberia,Louisiana,0,0,US
2020-02-08,Iberia,Louisiana,0,0,US
2020-02-09,Iberia,Louisiana,0,0,US
2020-02-10,Iberia,Louisiana,0,0,US
2020-02-11,Iberia,Louisiana,0,0,US
2020-02-12,Iberia,Louisiana,0,0,US
2020-02-13,Iberia,Louisiana,0,0,US
2020-02-14,Iberia,Louisiana,0,0,US
2020-02-15,Iberia,Louisiana,0,0,US
2020-02-16,Iberia,Louisiana,0,0,US
2020-02-17,Iberia,Louisiana,0,0,US
2020-02-18,Iberia,Louisiana,0,0,US
2020-02-19,Iberia,Louisiana,0,0,US
2020-02-20,Iberia,Louisiana,0,0,US
2020-02-21,Iberia,Louisiana,0,0,US
2020-02-22,Iberia,Louisiana,0,0,US
2020-02-23,Iberia,Louisiana,0,0,US
2020-02-24,Iberia,Louisiana,0,0,US
2020-02-25,Iberia,Louisiana,0,0,US
2020-02-26,Iberia,Louisiana,0,0,US
2020-02-27,Iberia,Louisiana,0,0,US
2020-02-28,Iberia,Louisiana,0,0,US
2020-02-29,Iberia,Louisiana,0,0,US
2020-03-01,Iberia,Louisiana,0,0,US
2020-03-02,Iberia,Louisiana,0,0,US
2020-03-03,Iberia,Louisiana,0,0,US
2020-03-04,Iberia,Louisiana,0,0,US
2020-03-05,Iberia,Louisiana,0,0,US
2020-03-06,Iberia,Louisiana,0,0,US
2020-03-07,Iberia,Louisiana,0,0,US
2020-03-08,Iberia,Louisiana,0,0,US
