Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Independence,Arkansas,0,0,US
2020-01-23,Independence,Arkansas,0,0,US
2020-01-24,Independence,Arkansas,0,0,US
2020-01-25,Independence,Arkansas,0,0,US
2020-01-26,Independence,Arkansas,0,0,US
2020-01-27,Independence,Arkansas,0,0,US
2020-01-28,Independence,Arkansas,0,0,US
2020-01-29,Independence,Arkansas,0,0,US
2020-01-30,Independence,Arkansas,0,0,US
2020-01-31,Independence,Arkansas,0,0,US
2020-02-01,Independence,Arkansas,0,0,US
2020-02-02,Independence,Arkansas,0,0,US
2020-02-03,Independence,Arkansas,0,0,US
2020-02-04,Independence,Arkansas,0,0,US
2020-02-05,Independence,Arkansas,0,0,US
2020-02-06,Independence,Arkansas,0,0,US
2020-02-07,Independence,Arkansas,0,0,US
2020-02-08,Independence,Arkansas,0,0,US
2020-02-09,Independence,Arkansas,0,0,US
2020-02-10,Independence,Arkansas,0,0,US
2020-02-11,Independence,Arkansas,0,0,US
2020-02-12,Independence,Arkansas,0,0,US
2020-02-13,Independence,Arkansas,0,0,US
2020-02-14,Independence,Arkansas,0,0,US
2020-02-15,Independence,Arkansas,0,0,US
2020-02-16,Independence,Arkansas,0,0,US
2020-02-17,Independence,Arkansas,0,0,US
2020-02-18,Independence,Arkansas,0,0,US
2020-02-19,Independence,Arkansas,0,0,US
2020-02-20,Independence,Arkansas,0,0,US
2020-02-21,Independence,Arkansas,0,0,US
2020-02-22,Independence,Arkansas,0,0,US
2020-02-23,Independence,Arkansas,0,0,US
2020-02-24,Independence,Arkansas,0,0,US
2020-02-25,Independence,Arkansas,0,0,US
2020-02-26,Independence,Arkansas,0,0,US
2020-02-27,Independence,Arkansas,0,0,US
2020-02-28,Independence,Arkansas,0,0,US
2020-02-29,Independence,Arkansas,0,0,US
2020-03-01,Independence,Arkansas,0,0,US
2020-03-02,Independence,Arkansas,0,0,US
2020-03-03,Independence,Arkansas,0,0,US
2020-03-04,Independence,Arkansas,0,0,US
2020-03-05,Independence,Arkansas,0,0,US
2020-03-06,Independence,Arkansas,0,0,US
2020-03-07,Independence,Arkansas,0,0,US
2020-03-08,Independence,Arkansas,0,0,US
2020-03-09,Independence,Arkansas,0,0,US
2020-03-10,Independence,Arkansas,0,0,US
2020-03-11,Independence,Arkansas,0,0,US
2020-03-12,Independence,Arkansas,0,0,US
2020-03-13,Independence,Arkansas,0,0,US
2020-03-14,Independence,Arkansas,0,0,US
2020-03-15,Independence,Arkansas,0,0,US
2020-03-16,Independence,Arkansas,0,0,US
2020-03-17,Independence,Arkansas,0,0,US
2020-03-18,Independence,Arkansas,0,0,US
2020-03-19,Independence,Arkansas,0,0,US
2020-03-20,Independence,Arkansas,0,0,US
2020-03-21,Independence,Arkansas,0,0,US
2020-03-22,Independence,Arkansas,1,0,US
2020-03-23,Independence,Arkansas,3,0,US
2020-03-24,Independence,Arkansas,3,0,US
2020-03-25,Independence,Arkansas,3,0,US
2020-03-26,Independence,Arkansas,3,0,US
2020-03-27,Independence,Arkansas,3,0,US
2020-03-28,Independence,Arkansas,3,0,US
2020-03-29,Independence,Arkansas,3,0,US
2020-03-30,Independence,Arkansas,3,0,US
2020-03-31,Independence,Arkansas,3,0,US
2020-04-01,Independence,Arkansas,3,0,US
2020-04-02,Independence,Arkansas,3,0,US
2020-04-03,Independence,Arkansas,3,0,US
2020-04-04,Independence,Arkansas,3,0,US
2020-04-05,Independence,Arkansas,5,0,US
2020-04-06,Independence,Arkansas,5,0,US
2020-04-07,Independence,Arkansas,5,0,US
2020-04-08,Independence,Arkansas,5,0,US
2020-04-09,Independence,Arkansas,5,0,US
2020-04-10,Independence,Arkansas,5,0,US
