Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Iron,Missouri,0,0,US
2020-01-23,Iron,Missouri,0,0,US
2020-01-24,Iron,Missouri,0,0,US
2020-01-25,Iron,Missouri,0,0,US
2020-01-26,Iron,Missouri,0,0,US
2020-01-27,Iron,Missouri,0,0,US
2020-01-28,Iron,Missouri,0,0,US
2020-01-29,Iron,Missouri,0,0,US
2020-01-30,Iron,Missouri,0,0,US
2020-01-31,Iron,Missouri,0,0,US
2020-02-01,Iron,Missouri,0,0,US
2020-02-02,Iron,Missouri,0,0,US
2020-02-03,Iron,Missouri,0,0,US
2020-02-04,Iron,Missouri,0,0,US
2020-02-05,Iron,Missouri,0,0,US
2020-02-06,Iron,Missouri,0,0,US
2020-02-07,Iron,Missouri,0,0,US
2020-02-08,Iron,Missouri,0,0,US
2020-02-09,Iron,Missouri,0,0,US
2020-02-10,Iron,Missouri,0,0,US
2020-02-11,Iron,Missouri,0,0,US
2020-02-12,Iron,Missouri,0,0,US
2020-02-13,Iron,Missouri,0,0,US
2020-02-14,Iron,Missouri,0,0,US
2020-02-15,Iron,Missouri,0,0,US
2020-02-16,Iron,Missouri,0,0,US
2020-02-17,Iron,Missouri,0,0,US
2020-02-18,Iron,Missouri,0,0,US
2020-02-19,Iron,Missouri,0,0,US
2020-02-20,Iron,Missouri,0,0,US
2020-02-21,Iron,Missouri,0,0,US
2020-02-22,Iron,Missouri,0,0,US
2020-02-23,Iron,Missouri,0,0,US
2020-02-24,Iron,Missouri,0,0,US
2020-02-25,Iron,Missouri,0,0,US
2020-02-26,Iron,Missouri,0,0,US
2020-02-27,Iron,Missouri,0,0,US
2020-02-28,Iron,Missouri,0,0,US
2020-02-29,Iron,Missouri,0,0,US
2020-03-01,Iron,Missouri,0,0,US
2020-03-02,Iron,Missouri,0,0,US
2020-03-03,Iron,Missouri,0,0,US
2020-03-04,Iron,Missouri,0,0,US
2020-03-05,Iron,Missouri,0,0,US
2020-03-06,Iron,Missouri,0,0,US
2020-03-07,Iron,Missouri,0,0,US
2020-03-08,Iron,Missouri,0,0,US
2020-03-09,Iron,Missouri,0,0,US
2020-03-10,Iron,Missouri,0,0,US
2020-03-11,Iron,Missouri,0,0,US
2020-03-12,Iron,Missouri,0,0,US
2020-03-13,Iron,Missouri,0,0,US
2020-03-14,Iron,Missouri,0,0,US
2020-03-15,Iron,Missouri,0,0,US
2020-03-16,Iron,Missouri,0,0,US
2020-03-17,Iron,Missouri,0,0,US
2020-03-18,Iron,Missouri,0,0,US
2020-03-19,Iron,Missouri,0,0,US
2020-03-20,Iron,Missouri,0,0,US
2020-03-21,Iron,Missouri,0,0,US
2020-03-22,Iron,Missouri,0,0,US
2020-03-23,Iron,Missouri,0,0,US
2020-03-24,Iron,Missouri,0,0,US
2020-03-25,Iron,Missouri,0,0,US
2020-03-26,Iron,Missouri,0,0,US
2020-03-27,Iron,Missouri,0,0,US
2020-03-28,Iron,Missouri,0,0,US
2020-03-29,Iron,Missouri,0,0,US
2020-03-30,Iron,Missouri,0,0,US
2020-03-31,Iron,Missouri,0,0,US
2020-04-01,Iron,Missouri,0,0,US
2020-04-02,Iron,Missouri,0,0,US
2020-04-03,Iron,Missouri,0,0,US
2020-04-04,Iron,Missouri,0,0,US
2020-04-05,Iron,Missouri,0,0,US
2020-04-06,Iron,Missouri,0,0,US
2020-04-07,Iron,Missouri,0,0,US
2020-04-08,Iron,Missouri,0,0,US
2020-04-09,Iron,Missouri,0,0,US
2020-04-10,Iron,Missouri,0,0,US
2020-04-11,Iron,Missouri,1,0,US
2020-04-12,Iron,Missouri,1,0,US
2020-04-13,Iron,Missouri,1,0,US
2020-04-14,Iron,Missouri,1,0,US
2020-04-15,Iron,Missouri,1,0,US
2020-04-16,Iron,Missouri,1,0,US
2020-04-17,Iron,Missouri,1,0,US
2020-04-18,Iron,Missouri,1,0,US
2020-04-19,Iron,Missouri,2,0,US
2020-04-20,Iron,Missouri,2,0,US
2020-04-21,Iron,Missouri,2,0,US
2020-04-22,Iron,Missouri,2,0,US
2020-04-23,Iron,Missouri,2,0,US
2020-04-24,Iron,Missouri,2,0,US
2020-04-25,Iron,Missouri,2,0,US
2020-04-26,Iron,Missouri,2,0,US
2020-04-27,Iron,Missouri,2,0,US
2020-04-28,Iron,Missouri,2,0,US
2020-04-29,Iron,Missouri,2,0,US
2020-04-30,Iron,Missouri,2,0,US
2020-05-01,Iron,Missouri,2,0,US
2020-05-02,Iron,Missouri,2,0,US
2020-05-03,Iron,Missouri,2,0,US
2020-05-04,Iron,Missouri,2,0,US
2020-05-05,Iron,Missouri,2,0,US
2020-05-06,Iron,Missouri,2,0,US
2020-05-07,Iron,Missouri,2,0,US
2020-05-08,Iron,Missouri,2,0,US
2020-05-09,Iron,Missouri,2,0,US
2020-05-10,Iron,Missouri,2,0,US
2020-05-11,Iron,Missouri,2,0,US
2020-05-12,Iron,Missouri,2,0,US
2020-05-13,Iron,Missouri,2,0,US
2020-05-14,Iron,Missouri,2,0,US
2020-05-15,Iron,Missouri,2,0,US
2020-05-16,Iron,Missouri,2,0,US
2020-05-17,Iron,Missouri,2,0,US
2020-05-18,Iron,Missouri,2,0,US
2020-05-19,Iron,Missouri,2,0,US
2020-05-20,Iron,Missouri,2,0,US
2020-05-21,Iron,Missouri,2,0,US
2020-05-22,Iron,Missouri,2,0,US
2020-05-23,Iron,Missouri,2,0,US
2020-05-24,Iron,Missouri,2,0,US
2020-05-25,Iron,Missouri,2,0,US
2020-05-26,Iron,Missouri,2,0,US
2020-05-27,Iron,Missouri,2,0,US
2020-05-28,Iron,Missouri,2,0,US
2020-05-29,Iron,Missouri,2,0,US
2020-05-30,Iron,Missouri,2,0,US
2020-05-31,Iron,Missouri,2,0,US
2020-06-01,Iron,Missouri,3,0,US
2020-06-02,Iron,Missouri,3,0,US
2020-06-03,Iron,Missouri,3,0,US
2020-06-04,Iron,Missouri,3,0,US
2020-06-05,Iron,Missouri,3,0,US
2020-06-06,Iron,Missouri,3,0,US
2020-06-07,Iron,Missouri,3,0,US
2020-06-08,Iron,Missouri,3,0,US
2020-06-09,Iron,Missouri,3,0,US
2020-06-10,Iron,Missouri,3,0,US
2020-06-11,Iron,Missouri,3,0,US
2020-06-12,Iron,Missouri,2,0,US
2020-06-13,Iron,Missouri,2,0,US
2020-06-14,Iron,Missouri,2,0,US
2020-06-15,Iron,Missouri,2,0,US
2020-06-16,Iron,Missouri,2,0,US
2020-06-17,Iron,Missouri,2,0,US
2020-06-18,Iron,Missouri,2,0,US
2020-06-19,Iron,Missouri,2,0,US
2020-06-20,Iron,Missouri,2,0,US
2020-06-21,Iron,Missouri,2,0,US
2020-06-22,Iron,Missouri,2,0,US
2020-06-23,Iron,Missouri,2,0,US
2020-06-24,Iron,Missouri,2,0,US
2020-06-25,Iron,Missouri,2,0,US
2020-06-26,Iron,Missouri,3,0,US
2020-06-27,Iron,Missouri,3,0,US
2020-06-28,Iron,Missouri,3,0,US
2020-06-29,Iron,Missouri,3,0,US
2020-06-30,Iron,Missouri,3,0,US
2020-07-01,Iron,Missouri,3,0,US
2020-07-02,Iron,Missouri,2,0,US
2020-07-03,Iron,Missouri,3,0,US
2020-07-04,Iron,Missouri,3,0,US
2020-07-05,Iron,Missouri,3,0,US
2020-07-06,Iron,Missouri,3,0,US
2020-07-07,Iron,Missouri,3,0,US
2020-07-08,Iron,Missouri,3,0,US
2020-07-09,Iron,Missouri,3,0,US
2020-07-10,Iron,Missouri,3,0,US
2020-07-11,Iron,Missouri,3,0,US
2020-07-12,Iron,Missouri,3,0,US
2020-07-13,Iron,Missouri,3,0,US
2020-07-14,Iron,Missouri,3,0,US
2020-07-15,Iron,Missouri,3,0,US
2020-07-16,Iron,Missouri,3,0,US
2020-07-17,Iron,Missouri,3,0,US
