Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Isle of Wight,Virginia,0,0,US
2020-01-23,Isle of Wight,Virginia,0,0,US
2020-01-24,Isle of Wight,Virginia,0,0,US
2020-01-25,Isle of Wight,Virginia,0,0,US
2020-01-26,Isle of Wight,Virginia,0,0,US
2020-01-27,Isle of Wight,Virginia,0,0,US
2020-01-28,Isle of Wight,Virginia,0,0,US
2020-01-29,Isle of Wight,Virginia,0,0,US
2020-01-30,Isle of Wight,Virginia,0,0,US
2020-01-31,Isle of Wight,Virginia,0,0,US
2020-02-01,Isle of Wight,Virginia,0,0,US
2020-02-02,Isle of Wight,Virginia,0,0,US
2020-02-03,Isle of Wight,Virginia,0,0,US
2020-02-04,Isle of Wight,Virginia,0,0,US
2020-02-05,Isle of Wight,Virginia,0,0,US
2020-02-06,Isle of Wight,Virginia,0,0,US
2020-02-07,Isle of Wight,Virginia,0,0,US
2020-02-08,Isle of Wight,Virginia,0,0,US
2020-02-09,Isle of Wight,Virginia,0,0,US
2020-02-10,Isle of Wight,Virginia,0,0,US
2020-02-11,Isle of Wight,Virginia,0,0,US
2020-02-12,Isle of Wight,Virginia,0,0,US
2020-02-13,Isle of Wight,Virginia,0,0,US
2020-02-14,Isle of Wight,Virginia,0,0,US
2020-02-15,Isle of Wight,Virginia,0,0,US
2020-02-16,Isle of Wight,Virginia,0,0,US
2020-02-17,Isle of Wight,Virginia,0,0,US
2020-02-18,Isle of Wight,Virginia,0,0,US
2020-02-19,Isle of Wight,Virginia,0,0,US
2020-02-20,Isle of Wight,Virginia,0,0,US
2020-02-21,Isle of Wight,Virginia,0,0,US
2020-02-22,Isle of Wight,Virginia,0,0,US
2020-02-23,Isle of Wight,Virginia,0,0,US
2020-02-24,Isle of Wight,Virginia,0,0,US
2020-02-25,Isle of Wight,Virginia,0,0,US
2020-02-26,Isle of Wight,Virginia,0,0,US
2020-02-27,Isle of Wight,Virginia,0,0,US
2020-02-28,Isle of Wight,Virginia,0,0,US
2020-02-29,Isle of Wight,Virginia,0,0,US
2020-03-01,Isle of Wight,Virginia,0,0,US
2020-03-02,Isle of Wight,Virginia,0,0,US
2020-03-03,Isle of Wight,Virginia,0,0,US
2020-03-04,Isle of Wight,Virginia,0,0,US
2020-03-05,Isle of Wight,Virginia,0,0,US
2020-03-06,Isle of Wight,Virginia,0,0,US
2020-03-07,Isle of Wight,Virginia,0,0,US
2020-03-08,Isle of Wight,Virginia,0,0,US
2020-03-09,Isle of Wight,Virginia,0,0,US
2020-03-10,Isle of Wight,Virginia,0,0,US
2020-03-11,Isle of Wight,Virginia,0,0,US
2020-03-12,Isle of Wight,Virginia,0,0,US
2020-03-13,Isle of Wight,Virginia,0,0,US
2020-03-14,Isle of Wight,Virginia,0,0,US
2020-03-15,Isle of Wight,Virginia,0,0,US
2020-03-16,Isle of Wight,Virginia,0,0,US
2020-03-17,Isle of Wight,Virginia,0,0,US
2020-03-18,Isle of Wight,Virginia,0,0,US
2020-03-19,Isle of Wight,Virginia,0,0,US
2020-03-20,Isle of Wight,Virginia,0,0,US
2020-03-21,Isle of Wight,Virginia,1,0,US
2020-03-22,Isle of Wight,Virginia,1,0,US
2020-03-23,Isle of Wight,Virginia,1,0,US
2020-03-24,Isle of Wight,Virginia,2,0,US
2020-03-25,Isle of Wight,Virginia,2,0,US
2020-03-26,Isle of Wight,Virginia,2,0,US
2020-03-27,Isle of Wight,Virginia,2,0,US
2020-03-28,Isle of Wight,Virginia,3,0,US
2020-03-29,Isle of Wight,Virginia,3,0,US
2020-03-30,Isle of Wight,Virginia,3,0,US
2020-03-31,Isle of Wight,Virginia,4,0,US
2020-04-01,Isle of Wight,Virginia,5,0,US
2020-04-02,Isle of Wight,Virginia,8,0,US
2020-04-03,Isle of Wight,Virginia,11,0,US
2020-04-04,Isle of Wight,Virginia,18,0,US
2020-04-05,Isle of Wight,Virginia,18,0,US
2020-04-06,Isle of Wight,Virginia,22,0,US
2020-04-07,Isle of Wight,Virginia,23,0,US
2020-04-08,Isle of Wight,Virginia,23,0,US
2020-04-09,Isle of Wight,Virginia,24,0,US
2020-04-10,Isle of Wight,Virginia,24,0,US
