Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Jefferson,Indiana,0,0,US
2020-01-23,Jefferson,Indiana,0,0,US
2020-01-24,Jefferson,Indiana,0,0,US
2020-01-25,Jefferson,Indiana,0,0,US
2020-01-26,Jefferson,Indiana,0,0,US
2020-01-27,Jefferson,Indiana,0,0,US
2020-01-28,Jefferson,Indiana,0,0,US
2020-01-29,Jefferson,Indiana,0,0,US
2020-01-30,Jefferson,Indiana,0,0,US
2020-01-31,Jefferson,Indiana,0,0,US
2020-02-01,Jefferson,Indiana,0,0,US
2020-02-02,Jefferson,Indiana,0,0,US
2020-02-03,Jefferson,Indiana,0,0,US
2020-02-04,Jefferson,Indiana,0,0,US
2020-02-05,Jefferson,Indiana,0,0,US
2020-02-06,Jefferson,Indiana,0,0,US
2020-02-07,Jefferson,Indiana,0,0,US
2020-02-08,Jefferson,Indiana,0,0,US
2020-02-09,Jefferson,Indiana,0,0,US
2020-02-10,Jefferson,Indiana,0,0,US
2020-02-11,Jefferson,Indiana,0,0,US
2020-02-12,Jefferson,Indiana,0,0,US
2020-02-13,Jefferson,Indiana,0,0,US
2020-02-14,Jefferson,Indiana,0,0,US
2020-02-15,Jefferson,Indiana,0,0,US
2020-02-16,Jefferson,Indiana,0,0,US
2020-02-17,Jefferson,Indiana,0,0,US
2020-02-18,Jefferson,Indiana,0,0,US
2020-02-19,Jefferson,Indiana,0,0,US
2020-02-20,Jefferson,Indiana,0,0,US
2020-02-21,Jefferson,Indiana,0,0,US
2020-02-22,Jefferson,Indiana,0,0,US
2020-02-23,Jefferson,Indiana,0,0,US
2020-02-24,Jefferson,Indiana,0,0,US
2020-02-25,Jefferson,Indiana,0,0,US
2020-02-26,Jefferson,Indiana,0,0,US
2020-02-27,Jefferson,Indiana,0,0,US
2020-02-28,Jefferson,Indiana,0,0,US
2020-02-29,Jefferson,Indiana,0,0,US
2020-03-01,Jefferson,Indiana,0,0,US
2020-03-02,Jefferson,Indiana,0,0,US
2020-03-03,Jefferson,Indiana,0,0,US
2020-03-04,Jefferson,Indiana,0,0,US
2020-03-05,Jefferson,Indiana,0,0,US
2020-03-06,Jefferson,Indiana,0,0,US
2020-03-07,Jefferson,Indiana,0,0,US
2020-03-08,Jefferson,Indiana,0,0,US
2020-03-09,Jefferson,Indiana,0,0,US
2020-03-10,Jefferson,Indiana,0,0,US
2020-03-11,Jefferson,Indiana,0,0,US
2020-03-12,Jefferson,Indiana,0,0,US
2020-03-13,Jefferson,Indiana,0,0,US
2020-03-14,Jefferson,Indiana,0,0,US
2020-03-15,Jefferson,Indiana,0,0,US
2020-03-16,Jefferson,Indiana,0,0,US
2020-03-17,Jefferson,Indiana,0,0,US
2020-03-18,Jefferson,Indiana,0,0,US
2020-03-19,Jefferson,Indiana,0,0,US
2020-03-20,Jefferson,Indiana,0,0,US
2020-03-21,Jefferson,Indiana,0,0,US
2020-03-22,Jefferson,Indiana,0,0,US
2020-03-23,Jefferson,Indiana,0,0,US
2020-03-24,Jefferson,Indiana,0,0,US
2020-03-25,Jefferson,Indiana,0,0,US
2020-03-26,Jefferson,Indiana,0,0,US
2020-03-27,Jefferson,Indiana,0,0,US
2020-03-28,Jefferson,Indiana,0,0,US
2020-03-29,Jefferson,Indiana,0,0,US
2020-03-30,Jefferson,Indiana,0,0,US
2020-03-31,Jefferson,Indiana,1,0,US
2020-04-01,Jefferson,Indiana,1,0,US
2020-04-02,Jefferson,Indiana,3,0,US
2020-04-03,Jefferson,Indiana,5,0,US
2020-04-04,Jefferson,Indiana,5,0,US
2020-04-05,Jefferson,Indiana,5,0,US
2020-04-06,Jefferson,Indiana,6,0,US
2020-04-07,Jefferson,Indiana,6,0,US
2020-04-08,Jefferson,Indiana,7,0,US
2020-04-09,Jefferson,Indiana,10,0,US
2020-04-10,Jefferson,Indiana,10,0,US
2020-04-11,Jefferson,Indiana,13,0,US
2020-04-12,Jefferson,Indiana,12,0,US
2020-04-13,Jefferson,Indiana,12,0,US
2020-04-14,Jefferson,Indiana,16,0,US
2020-04-15,Jefferson,Indiana,15,0,US
2020-04-16,Jefferson,Indiana,15,0,US
2020-04-17,Jefferson,Indiana,18,0,US
2020-04-18,Jefferson,Indiana,18,0,US
2020-04-19,Jefferson,Indiana,18,0,US
2020-04-20,Jefferson,Indiana,20,0,US
2020-04-21,Jefferson,Indiana,21,0,US
2020-04-22,Jefferson,Indiana,21,0,US
2020-04-23,Jefferson,Indiana,22,0,US
2020-04-24,Jefferson,Indiana,22,0,US
2020-04-25,Jefferson,Indiana,22,0,US
2020-04-26,Jefferson,Indiana,22,0,US
2020-04-27,Jefferson,Indiana,26,0,US
2020-04-28,Jefferson,Indiana,26,0,US
2020-04-29,Jefferson,Indiana,26,0,US
2020-04-30,Jefferson,Indiana,26,0,US
2020-05-01,Jefferson,Indiana,29,0,US
2020-05-02,Jefferson,Indiana,30,0,US
2020-05-03,Jefferson,Indiana,30,0,US
2020-05-04,Jefferson,Indiana,30,0,US
2020-05-05,Jefferson,Indiana,30,0,US
2020-05-06,Jefferson,Indiana,30,0,US
2020-05-07,Jefferson,Indiana,32,0,US
2020-05-08,Jefferson,Indiana,34,0,US
2020-05-09,Jefferson,Indiana,34,0,US
2020-05-10,Jefferson,Indiana,35,0,US
2020-05-11,Jefferson,Indiana,35,0,US
2020-05-12,Jefferson,Indiana,35,0,US
2020-05-13,Jefferson,Indiana,35,0,US
2020-05-14,Jefferson,Indiana,35,1,US
2020-05-15,Jefferson,Indiana,35,1,US
2020-05-16,Jefferson,Indiana,34,1,US
2020-05-17,Jefferson,Indiana,35,1,US
2020-05-18,Jefferson,Indiana,39,1,US
2020-05-19,Jefferson,Indiana,40,1,US
2020-05-20,Jefferson,Indiana,41,1,US
2020-05-21,Jefferson,Indiana,41,1,US
2020-05-22,Jefferson,Indiana,41,1,US
2020-05-23,Jefferson,Indiana,41,1,US
2020-05-24,Jefferson,Indiana,41,1,US
2020-05-25,Jefferson,Indiana,41,1,US
2020-05-26,Jefferson,Indiana,41,1,US
2020-05-27,Jefferson,Indiana,42,1,US
2020-05-28,Jefferson,Indiana,43,1,US
2020-05-29,Jefferson,Indiana,43,1,US
2020-05-30,Jefferson,Indiana,45,1,US
2020-05-31,Jefferson,Indiana,45,1,US
2020-06-01,Jefferson,Indiana,45,1,US
2020-06-02,Jefferson,Indiana,46,1,US
2020-06-03,Jefferson,Indiana,47,1,US
2020-06-04,Jefferson,Indiana,49,1,US
2020-06-05,Jefferson,Indiana,49,1,US
2020-06-06,Jefferson,Indiana,49,1,US
2020-06-07,Jefferson,Indiana,49,1,US
2020-06-08,Jefferson,Indiana,51,1,US
2020-06-09,Jefferson,Indiana,52,1,US
2020-06-10,Jefferson,Indiana,51,1,US
2020-06-11,Jefferson,Indiana,51,1,US
2020-06-12,Jefferson,Indiana,52,1,US
2020-06-13,Jefferson,Indiana,53,1,US
2020-06-14,Jefferson,Indiana,53,1,US
2020-06-15,Jefferson,Indiana,53,1,US
2020-06-16,Jefferson,Indiana,53,1,US
2020-06-17,Jefferson,Indiana,54,1,US
2020-06-18,Jefferson,Indiana,55,1,US
2020-06-19,Jefferson,Indiana,55,1,US
2020-06-20,Jefferson,Indiana,56,1,US
2020-06-21,Jefferson,Indiana,56,1,US
2020-06-22,Jefferson,Indiana,56,1,US
2020-06-23,Jefferson,Indiana,58,1,US
2020-06-24,Jefferson,Indiana,58,1,US
2020-06-25,Jefferson,Indiana,58,1,US
2020-06-26,Jefferson,Indiana,58,1,US
2020-06-27,Jefferson,Indiana,62,1,US
2020-06-28,Jefferson,Indiana,63,1,US
2020-06-29,Jefferson,Indiana,63,1,US
2020-06-30,Jefferson,Indiana,64,1,US
2020-07-01,Jefferson,Indiana,65,1,US
2020-07-02,Jefferson,Indiana,66,1,US
2020-07-03,Jefferson,Indiana,70,1,US
2020-07-04,Jefferson,Indiana,72,2,US
2020-07-05,Jefferson,Indiana,72,2,US
2020-07-06,Jefferson,Indiana,72,2,US
2020-07-07,Jefferson,Indiana,72,2,US
2020-07-08,Jefferson,Indiana,76,2,US
2020-07-09,Jefferson,Indiana,78,2,US
2020-07-10,Jefferson,Indiana,78,2,US
2020-07-11,Jefferson,Indiana,86,2,US
2020-07-12,Jefferson,Indiana,87,2,US
2020-07-13,Jefferson,Indiana,87,2,US
2020-07-14,Jefferson,Indiana,93,2,US
2020-07-15,Jefferson,Indiana,98,2,US
2020-07-16,Jefferson,Indiana,111,2,US
2020-07-17,Jefferson,Indiana,116,2,US
2020-07-18,Jefferson,Indiana,122,2,US
2020-07-19,Jefferson,Indiana,124,2,US
2020-07-20,Jefferson,Indiana,125,2,US
2020-07-21,Jefferson,Indiana,133,2,US
2020-07-22,Jefferson,Indiana,136,2,US
2020-07-23,Jefferson,Indiana,137,2,US
2020-07-24,Jefferson,Indiana,138,2,US
2020-07-25,Jefferson,Indiana,142,2,US
2020-07-26,Jefferson,Indiana,142,2,US
2020-07-27,Jefferson,Indiana,143,2,US
2020-07-28,Jefferson,Indiana,145,2,US
2020-07-29,Jefferson,Indiana,145,2,US
2020-07-30,Jefferson,Indiana,145,2,US
2020-07-31,Jefferson,Indiana,145,2,US
2020-08-01,Jefferson,Indiana,148,2,US
2020-08-02,Jefferson,Indiana,149,2,US
2020-08-03,Jefferson,Indiana,149,2,US
2020-08-04,Jefferson,Indiana,152,2,US
2020-08-05,Jefferson,Indiana,153,2,US
2020-08-06,Jefferson,Indiana,153,2,US
2020-08-07,Jefferson,Indiana,155,2,US
2020-08-08,Jefferson,Indiana,160,2,US
2020-08-09,Jefferson,Indiana,163,2,US
2020-08-10,Jefferson,Indiana,165,2,US
2020-08-11,Jefferson,Indiana,167,2,US
2020-08-12,Jefferson,Indiana,166,2,US
2020-08-13,Jefferson,Indiana,172,2,US
2020-08-14,Jefferson,Indiana,175,2,US
2020-08-15,Jefferson,Indiana,180,2,US
2020-08-16,Jefferson,Indiana,184,2,US
2020-08-17,Jefferson,Indiana,184,2,US
2020-08-18,Jefferson,Indiana,187,2,US
