Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Jefferson,Tennessee,0,0,US
2020-01-23,Jefferson,Tennessee,0,0,US
2020-01-24,Jefferson,Tennessee,0,0,US
2020-01-25,Jefferson,Tennessee,0,0,US
2020-01-26,Jefferson,Tennessee,0,0,US
2020-01-27,Jefferson,Tennessee,0,0,US
2020-01-28,Jefferson,Tennessee,0,0,US
2020-01-29,Jefferson,Tennessee,0,0,US
2020-01-30,Jefferson,Tennessee,0,0,US
2020-01-31,Jefferson,Tennessee,0,0,US
2020-02-01,Jefferson,Tennessee,0,0,US
2020-02-02,Jefferson,Tennessee,0,0,US
2020-02-03,Jefferson,Tennessee,0,0,US
2020-02-04,Jefferson,Tennessee,0,0,US
2020-02-05,Jefferson,Tennessee,0,0,US
2020-02-06,Jefferson,Tennessee,0,0,US
2020-02-07,Jefferson,Tennessee,0,0,US
2020-02-08,Jefferson,Tennessee,0,0,US
2020-02-09,Jefferson,Tennessee,0,0,US
2020-02-10,Jefferson,Tennessee,0,0,US
2020-02-11,Jefferson,Tennessee,0,0,US
2020-02-12,Jefferson,Tennessee,0,0,US
2020-02-13,Jefferson,Tennessee,0,0,US
2020-02-14,Jefferson,Tennessee,0,0,US
2020-02-15,Jefferson,Tennessee,0,0,US
2020-02-16,Jefferson,Tennessee,0,0,US
2020-02-17,Jefferson,Tennessee,0,0,US
2020-02-18,Jefferson,Tennessee,0,0,US
2020-02-19,Jefferson,Tennessee,0,0,US
2020-02-20,Jefferson,Tennessee,0,0,US
2020-02-21,Jefferson,Tennessee,0,0,US
2020-02-22,Jefferson,Tennessee,0,0,US
2020-02-23,Jefferson,Tennessee,0,0,US
2020-02-24,Jefferson,Tennessee,0,0,US
2020-02-25,Jefferson,Tennessee,0,0,US
2020-02-26,Jefferson,Tennessee,0,0,US
2020-02-27,Jefferson,Tennessee,0,0,US
2020-02-28,Jefferson,Tennessee,0,0,US
2020-02-29,Jefferson,Tennessee,0,0,US
2020-03-01,Jefferson,Tennessee,0,0,US
2020-03-02,Jefferson,Tennessee,0,0,US
2020-03-03,Jefferson,Tennessee,0,0,US
2020-03-04,Jefferson,Tennessee,0,0,US
2020-03-05,Jefferson,Tennessee,0,0,US
2020-03-06,Jefferson,Tennessee,0,0,US
2020-03-07,Jefferson,Tennessee,0,0,US
2020-03-08,Jefferson,Tennessee,0,0,US
2020-03-09,Jefferson,Tennessee,0,0,US
2020-03-10,Jefferson,Tennessee,0,0,US
2020-03-11,Jefferson,Tennessee,0,0,US
2020-03-12,Jefferson,Tennessee,0,0,US
2020-03-13,Jefferson,Tennessee,1,0,US
2020-03-14,Jefferson,Tennessee,1,0,US
2020-03-15,Jefferson,Tennessee,1,0,US
2020-03-16,Jefferson,Tennessee,1,0,US
2020-03-17,Jefferson,Tennessee,1,0,US
2020-03-18,Jefferson,Tennessee,1,0,US
2020-03-19,Jefferson,Tennessee,1,0,US
2020-03-20,Jefferson,Tennessee,1,0,US
2020-03-21,Jefferson,Tennessee,1,0,US
2020-03-22,Jefferson,Tennessee,2,0,US
2020-03-23,Jefferson,Tennessee,3,0,US
2020-03-24,Jefferson,Tennessee,4,0,US
2020-03-25,Jefferson,Tennessee,4,0,US
2020-03-26,Jefferson,Tennessee,4,0,US
2020-03-27,Jefferson,Tennessee,5,0,US
2020-03-28,Jefferson,Tennessee,5,0,US
2020-03-29,Jefferson,Tennessee,5,0,US
2020-03-30,Jefferson,Tennessee,5,0,US
2020-03-31,Jefferson,Tennessee,6,0,US
2020-04-01,Jefferson,Tennessee,6,0,US
2020-04-02,Jefferson,Tennessee,6,0,US
2020-04-03,Jefferson,Tennessee,6,0,US
2020-04-04,Jefferson,Tennessee,6,0,US
2020-04-05,Jefferson,Tennessee,6,0,US
2020-04-06,Jefferson,Tennessee,7,0,US
2020-04-07,Jefferson,Tennessee,10,0,US
2020-04-08,Jefferson,Tennessee,11,0,US
2020-04-09,Jefferson,Tennessee,12,0,US
2020-04-10,Jefferson,Tennessee,12,0,US
2020-04-11,Jefferson,Tennessee,12,0,US
2020-04-12,Jefferson,Tennessee,12,0,US
2020-04-13,Jefferson,Tennessee,12,0,US
2020-04-14,Jefferson,Tennessee,12,0,US
2020-04-15,Jefferson,Tennessee,12,1,US
2020-04-16,Jefferson,Tennessee,12,1,US
2020-04-17,Jefferson,Tennessee,13,0,US
2020-04-18,Jefferson,Tennessee,13,0,US
2020-04-19,Jefferson,Tennessee,13,0,US
2020-04-20,Jefferson,Tennessee,13,0,US
2020-04-21,Jefferson,Tennessee,13,0,US
2020-04-22,Jefferson,Tennessee,13,0,US
2020-04-23,Jefferson,Tennessee,14,0,US
2020-04-24,Jefferson,Tennessee,15,0,US
2020-04-25,Jefferson,Tennessee,16,0,US
2020-04-26,Jefferson,Tennessee,16,0,US
2020-04-27,Jefferson,Tennessee,17,0,US
2020-04-28,Jefferson,Tennessee,17,0,US
2020-04-29,Jefferson,Tennessee,20,0,US
2020-04-30,Jefferson,Tennessee,20,0,US
2020-05-01,Jefferson,Tennessee,22,0,US
2020-05-02,Jefferson,Tennessee,22,0,US
2020-05-03,Jefferson,Tennessee,24,0,US
2020-05-04,Jefferson,Tennessee,25,0,US
2020-05-05,Jefferson,Tennessee,27,0,US
2020-05-06,Jefferson,Tennessee,27,0,US
2020-05-07,Jefferson,Tennessee,27,0,US
2020-05-08,Jefferson,Tennessee,27,0,US
2020-05-09,Jefferson,Tennessee,27,0,US
2020-05-10,Jefferson,Tennessee,27,0,US
2020-05-11,Jefferson,Tennessee,28,0,US
2020-05-12,Jefferson,Tennessee,28,0,US
2020-05-13,Jefferson,Tennessee,28,0,US
2020-05-14,Jefferson,Tennessee,28,0,US
2020-05-15,Jefferson,Tennessee,28,0,US
2020-05-16,Jefferson,Tennessee,28,0,US
2020-05-17,Jefferson,Tennessee,28,0,US
2020-05-18,Jefferson,Tennessee,28,0,US
2020-05-19,Jefferson,Tennessee,28,0,US
2020-05-20,Jefferson,Tennessee,28,0,US
2020-05-21,Jefferson,Tennessee,29,0,US
2020-05-22,Jefferson,Tennessee,29,0,US
2020-05-23,Jefferson,Tennessee,29,0,US
2020-05-24,Jefferson,Tennessee,29,0,US
2020-05-25,Jefferson,Tennessee,30,0,US
2020-05-26,Jefferson,Tennessee,31,0,US
2020-05-27,Jefferson,Tennessee,31,0,US
2020-05-28,Jefferson,Tennessee,32,0,US
2020-05-29,Jefferson,Tennessee,32,0,US
2020-05-30,Jefferson,Tennessee,32,0,US
2020-05-31,Jefferson,Tennessee,32,0,US
2020-06-01,Jefferson,Tennessee,32,0,US
2020-06-02,Jefferson,Tennessee,32,0,US
2020-06-03,Jefferson,Tennessee,33,0,US
2020-06-04,Jefferson,Tennessee,33,0,US
2020-06-05,Jefferson,Tennessee,33,0,US
2020-06-06,Jefferson,Tennessee,33,0,US
2020-06-07,Jefferson,Tennessee,33,0,US
2020-06-08,Jefferson,Tennessee,34,0,US
2020-06-09,Jefferson,Tennessee,35,0,US
2020-06-10,Jefferson,Tennessee,39,0,US
2020-06-11,Jefferson,Tennessee,41,0,US
2020-06-12,Jefferson,Tennessee,42,0,US
2020-06-13,Jefferson,Tennessee,43,0,US
2020-06-14,Jefferson,Tennessee,44,0,US
2020-06-15,Jefferson,Tennessee,47,0,US
2020-06-16,Jefferson,Tennessee,49,0,US
2020-06-17,Jefferson,Tennessee,51,0,US
2020-06-18,Jefferson,Tennessee,56,0,US
2020-06-19,Jefferson,Tennessee,61,0,US
2020-06-20,Jefferson,Tennessee,61,0,US
2020-06-21,Jefferson,Tennessee,63,0,US
2020-06-22,Jefferson,Tennessee,63,0,US
2020-06-23,Jefferson,Tennessee,73,0,US
2020-06-24,Jefferson,Tennessee,80,0,US
2020-06-25,Jefferson,Tennessee,83,0,US
2020-06-26,Jefferson,Tennessee,88,0,US
2020-06-27,Jefferson,Tennessee,88,0,US
2020-06-28,Jefferson,Tennessee,89,0,US
2020-06-29,Jefferson,Tennessee,97,0,US
2020-06-30,Jefferson,Tennessee,101,0,US
2020-07-01,Jefferson,Tennessee,108,0,US
2020-07-02,Jefferson,Tennessee,119,0,US
2020-07-03,Jefferson,Tennessee,119,0,US
2020-07-04,Jefferson,Tennessee,123,0,US
2020-07-05,Jefferson,Tennessee,133,0,US
2020-07-06,Jefferson,Tennessee,136,2,US
2020-07-07,Jefferson,Tennessee,144,1,US
