Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Jenkins,Georgia,0,0,US
2020-01-23,Jenkins,Georgia,0,0,US
2020-01-24,Jenkins,Georgia,0,0,US
2020-01-25,Jenkins,Georgia,0,0,US
2020-01-26,Jenkins,Georgia,0,0,US
2020-01-27,Jenkins,Georgia,0,0,US
2020-01-28,Jenkins,Georgia,0,0,US
2020-01-29,Jenkins,Georgia,0,0,US
2020-01-30,Jenkins,Georgia,0,0,US
2020-01-31,Jenkins,Georgia,0,0,US
2020-02-01,Jenkins,Georgia,0,0,US
2020-02-02,Jenkins,Georgia,0,0,US
2020-02-03,Jenkins,Georgia,0,0,US
2020-02-04,Jenkins,Georgia,0,0,US
2020-02-05,Jenkins,Georgia,0,0,US
2020-02-06,Jenkins,Georgia,0,0,US
2020-02-07,Jenkins,Georgia,0,0,US
2020-02-08,Jenkins,Georgia,0,0,US
2020-02-09,Jenkins,Georgia,0,0,US
2020-02-10,Jenkins,Georgia,0,0,US
2020-02-11,Jenkins,Georgia,0,0,US
2020-02-12,Jenkins,Georgia,0,0,US
2020-02-13,Jenkins,Georgia,0,0,US
2020-02-14,Jenkins,Georgia,0,0,US
2020-02-15,Jenkins,Georgia,0,0,US
2020-02-16,Jenkins,Georgia,0,0,US
2020-02-17,Jenkins,Georgia,0,0,US
2020-02-18,Jenkins,Georgia,0,0,US
2020-02-19,Jenkins,Georgia,0,0,US
2020-02-20,Jenkins,Georgia,0,0,US
2020-02-21,Jenkins,Georgia,0,0,US
2020-02-22,Jenkins,Georgia,0,0,US
2020-02-23,Jenkins,Georgia,0,0,US
2020-02-24,Jenkins,Georgia,0,0,US
2020-02-25,Jenkins,Georgia,0,0,US
2020-02-26,Jenkins,Georgia,0,0,US
2020-02-27,Jenkins,Georgia,0,0,US
2020-02-28,Jenkins,Georgia,0,0,US
2020-02-29,Jenkins,Georgia,0,0,US
2020-03-01,Jenkins,Georgia,0,0,US
2020-03-02,Jenkins,Georgia,0,0,US
2020-03-03,Jenkins,Georgia,0,0,US
2020-03-04,Jenkins,Georgia,0,0,US
2020-03-05,Jenkins,Georgia,0,0,US
2020-03-06,Jenkins,Georgia,0,0,US
2020-03-07,Jenkins,Georgia,0,0,US
2020-03-08,Jenkins,Georgia,0,0,US
2020-03-09,Jenkins,Georgia,0,0,US
2020-03-10,Jenkins,Georgia,0,0,US
2020-03-11,Jenkins,Georgia,0,0,US
2020-03-12,Jenkins,Georgia,0,0,US
2020-03-13,Jenkins,Georgia,0,0,US
2020-03-14,Jenkins,Georgia,0,0,US
2020-03-15,Jenkins,Georgia,0,0,US
2020-03-16,Jenkins,Georgia,0,0,US
2020-03-17,Jenkins,Georgia,0,0,US
2020-03-18,Jenkins,Georgia,0,0,US
2020-03-19,Jenkins,Georgia,0,0,US
2020-03-20,Jenkins,Georgia,0,0,US
2020-03-21,Jenkins,Georgia,0,0,US
2020-03-22,Jenkins,Georgia,0,0,US
2020-03-23,Jenkins,Georgia,0,0,US
2020-03-24,Jenkins,Georgia,0,0,US
2020-03-25,Jenkins,Georgia,0,0,US
2020-03-26,Jenkins,Georgia,0,0,US
2020-03-27,Jenkins,Georgia,0,0,US
2020-03-28,Jenkins,Georgia,1,0,US
2020-03-29,Jenkins,Georgia,1,0,US
2020-03-30,Jenkins,Georgia,1,0,US
2020-03-31,Jenkins,Georgia,1,0,US
2020-04-01,Jenkins,Georgia,1,0,US
2020-04-02,Jenkins,Georgia,1,0,US
2020-04-03,Jenkins,Georgia,2,0,US
2020-04-04,Jenkins,Georgia,2,0,US
2020-04-05,Jenkins,Georgia,2,0,US
2020-04-06,Jenkins,Georgia,4,0,US
2020-04-07,Jenkins,Georgia,7,0,US
2020-04-08,Jenkins,Georgia,7,1,US
2020-04-09,Jenkins,Georgia,8,1,US
2020-04-10,Jenkins,Georgia,8,1,US
2020-04-11,Jenkins,Georgia,9,1,US
2020-04-12,Jenkins,Georgia,9,1,US
2020-04-13,Jenkins,Georgia,10,1,US
2020-04-14,Jenkins,Georgia,11,1,US
2020-04-15,Jenkins,Georgia,12,1,US
2020-04-16,Jenkins,Georgia,12,1,US
2020-04-17,Jenkins,Georgia,12,1,US
2020-04-18,Jenkins,Georgia,12,1,US
2020-04-19,Jenkins,Georgia,12,1,US
2020-04-20,Jenkins,Georgia,13,1,US
2020-04-21,Jenkins,Georgia,13,1,US
2020-04-22,Jenkins,Georgia,14,1,US
2020-04-23,Jenkins,Georgia,15,1,US
2020-04-24,Jenkins,Georgia,15,1,US
2020-04-25,Jenkins,Georgia,16,1,US
2020-04-26,Jenkins,Georgia,16,1,US
2020-04-27,Jenkins,Georgia,16,1,US
2020-04-28,Jenkins,Georgia,16,1,US
2020-04-29,Jenkins,Georgia,16,1,US
2020-04-30,Jenkins,Georgia,16,1,US
2020-05-01,Jenkins,Georgia,16,1,US
2020-05-02,Jenkins,Georgia,16,1,US
2020-05-03,Jenkins,Georgia,17,1,US
2020-05-04,Jenkins,Georgia,17,1,US
2020-05-05,Jenkins,Georgia,17,1,US
2020-05-06,Jenkins,Georgia,17,1,US
2020-05-07,Jenkins,Georgia,17,1,US
2020-05-08,Jenkins,Georgia,17,1,US
2020-05-09,Jenkins,Georgia,17,1,US
2020-05-10,Jenkins,Georgia,17,1,US
2020-05-11,Jenkins,Georgia,17,1,US
2020-05-12,Jenkins,Georgia,18,1,US
2020-05-13,Jenkins,Georgia,16,1,US
2020-05-14,Jenkins,Georgia,16,1,US
2020-05-15,Jenkins,Georgia,16,1,US
2020-05-16,Jenkins,Georgia,16,1,US
2020-05-17,Jenkins,Georgia,16,1,US
2020-05-18,Jenkins,Georgia,16,1,US
2020-05-19,Jenkins,Georgia,16,1,US
2020-05-20,Jenkins,Georgia,16,1,US
2020-05-21,Jenkins,Georgia,17,1,US
2020-05-22,Jenkins,Georgia,18,1,US
2020-05-23,Jenkins,Georgia,18,1,US
2020-05-24,Jenkins,Georgia,18,1,US
2020-05-25,Jenkins,Georgia,18,1,US
2020-05-26,Jenkins,Georgia,18,1,US
2020-05-27,Jenkins,Georgia,19,1,US
2020-05-28,Jenkins,Georgia,19,1,US
2020-05-29,Jenkins,Georgia,19,1,US
2020-05-30,Jenkins,Georgia,19,1,US
2020-05-31,Jenkins,Georgia,19,1,US
2020-06-01,Jenkins,Georgia,20,1,US
2020-06-02,Jenkins,Georgia,21,1,US
2020-06-03,Jenkins,Georgia,21,1,US
2020-06-04,Jenkins,Georgia,22,1,US
2020-06-05,Jenkins,Georgia,26,1,US
2020-06-06,Jenkins,Georgia,27,2,US
2020-06-07,Jenkins,Georgia,27,2,US
2020-06-08,Jenkins,Georgia,29,2,US
2020-06-09,Jenkins,Georgia,33,2,US
2020-06-10,Jenkins,Georgia,40,5,US
2020-06-11,Jenkins,Georgia,44,6,US
2020-06-12,Jenkins,Georgia,44,6,US
2020-06-13,Jenkins,Georgia,44,6,US
2020-06-14,Jenkins,Georgia,45,6,US
2020-06-15,Jenkins,Georgia,45,6,US
2020-06-16,Jenkins,Georgia,47,7,US
2020-06-17,Jenkins,Georgia,49,7,US
2020-06-18,Jenkins,Georgia,62,9,US
2020-06-19,Jenkins,Georgia,72,9,US
2020-06-20,Jenkins,Georgia,72,9,US
2020-06-21,Jenkins,Georgia,73,9,US
2020-06-22,Jenkins,Georgia,75,9,US
2020-06-23,Jenkins,Georgia,78,9,US
2020-06-24,Jenkins,Georgia,87,9,US
2020-06-25,Jenkins,Georgia,94,11,US
2020-06-26,Jenkins,Georgia,94,11,US
2020-06-27,Jenkins,Georgia,94,11,US
2020-06-28,Jenkins,Georgia,95,11,US
2020-06-29,Jenkins,Georgia,96,11,US
2020-06-30,Jenkins,Georgia,104,11,US
2020-07-01,Jenkins,Georgia,109,11,US
2020-07-02,Jenkins,Georgia,117,12,US
2020-07-03,Jenkins,Georgia,120,12,US
2020-07-04,Jenkins,Georgia,121,12,US
2020-07-05,Jenkins,Georgia,122,12,US
2020-07-06,Jenkins,Georgia,122,12,US
2020-07-07,Jenkins,Georgia,127,12,US
2020-07-08,Jenkins,Georgia,132,12,US
2020-07-09,Jenkins,Georgia,135,12,US
2020-07-10,Jenkins,Georgia,137,12,US
2020-07-11,Jenkins,Georgia,138,13,US
2020-07-12,Jenkins,Georgia,139,13,US
2020-07-13,Jenkins,Georgia,142,13,US
2020-07-14,Jenkins,Georgia,144,13,US
2020-07-15,Jenkins,Georgia,169,14,US
2020-07-16,Jenkins,Georgia,171,14,US
2020-07-17,Jenkins,Georgia,182,14,US
2020-07-18,Jenkins,Georgia,187,14,US
2020-07-19,Jenkins,Georgia,189,14,US
2020-07-20,Jenkins,Georgia,193,14,US
2020-07-21,Jenkins,Georgia,194,14,US
2020-07-22,Jenkins,Georgia,197,15,US
2020-07-23,Jenkins,Georgia,205,17,US
2020-07-24,Jenkins,Georgia,205,18,US
2020-07-25,Jenkins,Georgia,209,19,US
2020-07-26,Jenkins,Georgia,210,19,US
2020-07-27,Jenkins,Georgia,211,19,US
2020-07-28,Jenkins,Georgia,213,19,US
2020-07-29,Jenkins,Georgia,217,19,US
2020-07-30,Jenkins,Georgia,223,20,US
2020-07-31,Jenkins,Georgia,225,22,US
2020-08-01,Jenkins,Georgia,230,22,US
2020-08-02,Jenkins,Georgia,230,22,US
2020-08-03,Jenkins,Georgia,230,22,US
2020-08-04,Jenkins,Georgia,231,22,US
2020-08-05,Jenkins,Georgia,235,24,US
2020-08-06,Jenkins,Georgia,236,24,US
2020-08-07,Jenkins,Georgia,241,24,US
2020-08-08,Jenkins,Georgia,243,24,US
2020-08-09,Jenkins,Georgia,244,24,US
2020-08-10,Jenkins,Georgia,244,24,US
2020-08-11,Jenkins,Georgia,249,24,US
2020-08-12,Jenkins,Georgia,251,24,US
2020-08-13,Jenkins,Georgia,256,24,US
2020-08-14,Jenkins,Georgia,258,24,US
2020-08-15,Jenkins,Georgia,261,24,US
2020-08-16,Jenkins,Georgia,263,24,US
2020-08-17,Jenkins,Georgia,264,24,US
2020-08-18,Jenkins,Georgia,265,24,US
2020-08-19,Jenkins,Georgia,277,24,US
2020-08-20,Jenkins,Georgia,283,24,US
2020-08-21,Jenkins,Georgia,283,24,US
2020-08-22,Jenkins,Georgia,283,24,US
2020-08-23,Jenkins,Georgia,283,24,US
2020-08-24,Jenkins,Georgia,283,24,US
2020-08-25,Jenkins,Georgia,286,24,US
2020-08-26,Jenkins,Georgia,292,24,US
2020-08-27,Jenkins,Georgia,294,24,US
2020-08-28,Jenkins,Georgia,302,24,US
2020-08-29,Jenkins,Georgia,307,25,US
2020-08-30,Jenkins,Georgia,309,25,US
2020-08-31,Jenkins,Georgia,314,25,US
2020-09-01,Jenkins,Georgia,322,25,US
2020-09-02,Jenkins,Georgia,333,25,US
2020-09-03,Jenkins,Georgia,338,25,US
2020-09-04,Jenkins,Georgia,342,25,US
2020-09-05,Jenkins,Georgia,342,26,US
2020-09-06,Jenkins,Georgia,345,26,US
2020-09-07,Jenkins,Georgia,345,27,US
2020-09-08,Jenkins,Georgia,348,27,US
2020-09-09,Jenkins,Georgia,351,27,US
2020-09-10,Jenkins,Georgia,355,27,US
2020-09-11,Jenkins,Georgia,364,28,US
2020-09-12,Jenkins,Georgia,369,28,US
2020-09-13,Jenkins,Georgia,372,29,US
2020-09-14,Jenkins,Georgia,375,29,US
2020-09-15,Jenkins,Georgia,376,29,US
2020-09-16,Jenkins,Georgia,382,29,US
2020-09-17,Jenkins,Georgia,389,29,US
2020-09-18,Jenkins,Georgia,392,29,US
2020-09-19,Jenkins,Georgia,396,29,US
2020-09-20,Jenkins,Georgia,396,29,US
2020-09-21,Jenkins,Georgia,398,29,US
2020-09-22,Jenkins,Georgia,398,29,US
2020-09-23,Jenkins,Georgia,403,29,US
2020-09-24,Jenkins,Georgia,404,29,US
2020-09-25,Jenkins,Georgia,412,29,US
2020-09-26,Jenkins,Georgia,415,29,US
2020-09-27,Jenkins,Georgia,421,29,US
2020-09-28,Jenkins,Georgia,422,30,US
2020-09-29,Jenkins,Georgia,424,30,US
2020-09-30,Jenkins,Georgia,429,30,US
