Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Jessamine,Kentucky,0,0,US
2020-01-23,Jessamine,Kentucky,0,0,US
2020-01-24,Jessamine,Kentucky,0,0,US
2020-01-25,Jessamine,Kentucky,0,0,US
2020-01-26,Jessamine,Kentucky,0,0,US
2020-01-27,Jessamine,Kentucky,0,0,US
2020-01-28,Jessamine,Kentucky,0,0,US
2020-01-29,Jessamine,Kentucky,0,0,US
2020-01-30,Jessamine,Kentucky,0,0,US
2020-01-31,Jessamine,Kentucky,0,0,US
2020-02-01,Jessamine,Kentucky,0,0,US
2020-02-02,Jessamine,Kentucky,0,0,US
2020-02-03,Jessamine,Kentucky,0,0,US
2020-02-04,Jessamine,Kentucky,0,0,US
2020-02-05,Jessamine,Kentucky,0,0,US
2020-02-06,Jessamine,Kentucky,0,0,US
2020-02-07,Jessamine,Kentucky,0,0,US
2020-02-08,Jessamine,Kentucky,0,0,US
2020-02-09,Jessamine,Kentucky,0,0,US
2020-02-10,Jessamine,Kentucky,0,0,US
2020-02-11,Jessamine,Kentucky,0,0,US
2020-02-12,Jessamine,Kentucky,0,0,US
2020-02-13,Jessamine,Kentucky,0,0,US
2020-02-14,Jessamine,Kentucky,0,0,US
2020-02-15,Jessamine,Kentucky,0,0,US
2020-02-16,Jessamine,Kentucky,0,0,US
2020-02-17,Jessamine,Kentucky,0,0,US
2020-02-18,Jessamine,Kentucky,0,0,US
2020-02-19,Jessamine,Kentucky,0,0,US
2020-02-20,Jessamine,Kentucky,0,0,US
2020-02-21,Jessamine,Kentucky,0,0,US
2020-02-22,Jessamine,Kentucky,0,0,US
2020-02-23,Jessamine,Kentucky,0,0,US
2020-02-24,Jessamine,Kentucky,0,0,US
2020-02-25,Jessamine,Kentucky,0,0,US
2020-02-26,Jessamine,Kentucky,0,0,US
2020-02-27,Jessamine,Kentucky,0,0,US
2020-02-28,Jessamine,Kentucky,0,0,US
2020-02-29,Jessamine,Kentucky,0,0,US
2020-03-01,Jessamine,Kentucky,0,0,US
2020-03-02,Jessamine,Kentucky,0,0,US
2020-03-03,Jessamine,Kentucky,0,0,US
2020-03-04,Jessamine,Kentucky,0,0,US
2020-03-05,Jessamine,Kentucky,0,0,US
2020-03-06,Jessamine,Kentucky,0,0,US
2020-03-07,Jessamine,Kentucky,0,0,US
2020-03-08,Jessamine,Kentucky,0,0,US
2020-03-09,Jessamine,Kentucky,0,0,US
2020-03-10,Jessamine,Kentucky,0,0,US
2020-03-11,Jessamine,Kentucky,0,0,US
2020-03-12,Jessamine,Kentucky,0,0,US
2020-03-13,Jessamine,Kentucky,0,0,US
