Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Johnston,North Carolina,0,0,US
2020-01-23,Johnston,North Carolina,0,0,US
2020-01-24,Johnston,North Carolina,0,0,US
2020-01-25,Johnston,North Carolina,0,0,US
2020-01-26,Johnston,North Carolina,0,0,US
2020-01-27,Johnston,North Carolina,0,0,US
2020-01-28,Johnston,North Carolina,0,0,US
2020-01-29,Johnston,North Carolina,0,0,US
2020-01-30,Johnston,North Carolina,0,0,US
2020-01-31,Johnston,North Carolina,0,0,US
2020-02-01,Johnston,North Carolina,0,0,US
2020-02-02,Johnston,North Carolina,0,0,US
2020-02-03,Johnston,North Carolina,0,0,US
2020-02-04,Johnston,North Carolina,0,0,US
2020-02-05,Johnston,North Carolina,0,0,US
2020-02-06,Johnston,North Carolina,0,0,US
2020-02-07,Johnston,North Carolina,0,0,US
2020-02-08,Johnston,North Carolina,0,0,US
2020-02-09,Johnston,North Carolina,0,0,US
2020-02-10,Johnston,North Carolina,0,0,US
2020-02-11,Johnston,North Carolina,0,0,US
2020-02-12,Johnston,North Carolina,0,0,US
2020-02-13,Johnston,North Carolina,0,0,US
2020-02-14,Johnston,North Carolina,0,0,US
2020-02-15,Johnston,North Carolina,0,0,US
2020-02-16,Johnston,North Carolina,0,0,US
2020-02-17,Johnston,North Carolina,0,0,US
2020-02-18,Johnston,North Carolina,0,0,US
2020-02-19,Johnston,North Carolina,0,0,US
2020-02-20,Johnston,North Carolina,0,0,US
2020-02-21,Johnston,North Carolina,0,0,US
2020-02-22,Johnston,North Carolina,0,0,US
2020-02-23,Johnston,North Carolina,0,0,US
2020-02-24,Johnston,North Carolina,0,0,US
2020-02-25,Johnston,North Carolina,0,0,US
2020-02-26,Johnston,North Carolina,0,0,US
2020-02-27,Johnston,North Carolina,0,0,US
2020-02-28,Johnston,North Carolina,0,0,US
2020-02-29,Johnston,North Carolina,0,0,US
2020-03-01,Johnston,North Carolina,0,0,US
2020-03-02,Johnston,North Carolina,0,0,US
2020-03-03,Johnston,North Carolina,0,0,US
2020-03-04,Johnston,North Carolina,0,0,US
2020-03-05,Johnston,North Carolina,0,0,US
2020-03-06,Johnston,North Carolina,0,0,US
2020-03-07,Johnston,North Carolina,0,0,US
2020-03-08,Johnston,North Carolina,0,0,US
2020-03-09,Johnston,North Carolina,0,0,US
2020-03-10,Johnston,North Carolina,0,0,US
2020-03-11,Johnston,North Carolina,0,0,US
2020-03-12,Johnston,North Carolina,1,0,US
2020-03-13,Johnston,North Carolina,1,0,US
2020-03-14,Johnston,North Carolina,2,0,US
2020-03-15,Johnston,North Carolina,2,0,US
2020-03-16,Johnston,North Carolina,2,0,US
2020-03-17,Johnston,North Carolina,2,0,US
2020-03-18,Johnston,North Carolina,2,0,US
2020-03-19,Johnston,North Carolina,2,0,US
2020-03-20,Johnston,North Carolina,3,0,US
2020-03-21,Johnston,North Carolina,3,0,US
2020-03-22,Johnston,North Carolina,4,0,US
2020-03-23,Johnston,North Carolina,6,0,US
2020-03-24,Johnston,North Carolina,9,0,US
2020-03-25,Johnston,North Carolina,9,0,US
2020-03-26,Johnston,North Carolina,9,0,US
2020-03-27,Johnston,North Carolina,9,1,US
2020-03-28,Johnston,North Carolina,10,1,US
2020-03-29,Johnston,North Carolina,11,1,US
2020-03-30,Johnston,North Carolina,13,1,US
2020-03-31,Johnston,North Carolina,18,1,US
2020-04-01,Johnston,North Carolina,23,1,US
2020-04-02,Johnston,North Carolina,26,1,US
2020-04-03,Johnston,North Carolina,27,2,US
2020-04-04,Johnston,North Carolina,32,3,US
2020-04-05,Johnston,North Carolina,39,3,US
2020-04-06,Johnston,North Carolina,44,3,US
2020-04-07,Johnston,North Carolina,53,3,US
2020-04-08,Johnston,North Carolina,58,4,US
2020-04-09,Johnston,North Carolina,78,5,US
2020-04-10,Johnston,North Carolina,89,5,US
2020-04-11,Johnston,North Carolina,96,5,US
2020-04-12,Johnston,North Carolina,99,5,US
2020-04-13,Johnston,North Carolina,101,5,US
2020-04-14,Johnston,North Carolina,104,4,US
2020-04-15,Johnston,North Carolina,105,8,US
2020-04-16,Johnston,North Carolina,113,9,US
2020-04-17,Johnston,North Carolina,116,9,US
2020-04-18,Johnston,North Carolina,117,9,US
2020-04-19,Johnston,North Carolina,117,9,US
