Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Kemper,Mississippi,0,0,US
2020-01-23,Kemper,Mississippi,0,0,US
2020-01-24,Kemper,Mississippi,0,0,US
2020-01-25,Kemper,Mississippi,0,0,US
2020-01-26,Kemper,Mississippi,0,0,US
2020-01-27,Kemper,Mississippi,0,0,US
2020-01-28,Kemper,Mississippi,0,0,US
2020-01-29,Kemper,Mississippi,0,0,US
2020-01-30,Kemper,Mississippi,0,0,US
2020-01-31,Kemper,Mississippi,0,0,US
2020-02-01,Kemper,Mississippi,0,0,US
2020-02-02,Kemper,Mississippi,0,0,US
2020-02-03,Kemper,Mississippi,0,0,US
2020-02-04,Kemper,Mississippi,0,0,US
2020-02-05,Kemper,Mississippi,0,0,US
2020-02-06,Kemper,Mississippi,0,0,US
2020-02-07,Kemper,Mississippi,0,0,US
2020-02-08,Kemper,Mississippi,0,0,US
2020-02-09,Kemper,Mississippi,0,0,US
2020-02-10,Kemper,Mississippi,0,0,US
2020-02-11,Kemper,Mississippi,0,0,US
2020-02-12,Kemper,Mississippi,0,0,US
2020-02-13,Kemper,Mississippi,0,0,US
2020-02-14,Kemper,Mississippi,0,0,US
2020-02-15,Kemper,Mississippi,0,0,US
2020-02-16,Kemper,Mississippi,0,0,US
2020-02-17,Kemper,Mississippi,0,0,US
2020-02-18,Kemper,Mississippi,0,0,US
2020-02-19,Kemper,Mississippi,0,0,US
2020-02-20,Kemper,Mississippi,0,0,US
2020-02-21,Kemper,Mississippi,0,0,US
2020-02-22,Kemper,Mississippi,0,0,US
2020-02-23,Kemper,Mississippi,0,0,US
2020-02-24,Kemper,Mississippi,0,0,US
2020-02-25,Kemper,Mississippi,0,0,US
2020-02-26,Kemper,Mississippi,0,0,US
2020-02-27,Kemper,Mississippi,0,0,US
2020-02-28,Kemper,Mississippi,0,0,US
2020-02-29,Kemper,Mississippi,0,0,US
2020-03-01,Kemper,Mississippi,0,0,US
2020-03-02,Kemper,Mississippi,0,0,US
