Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Kent,Delaware,0,0,US
2020-01-23,Kent,Delaware,0,0,US
2020-01-24,Kent,Delaware,0,0,US
2020-01-25,Kent,Delaware,0,0,US
2020-01-26,Kent,Delaware,0,0,US
2020-01-27,Kent,Delaware,0,0,US
2020-01-28,Kent,Delaware,0,0,US
2020-01-29,Kent,Delaware,0,0,US
2020-01-30,Kent,Delaware,0,0,US
2020-01-31,Kent,Delaware,0,0,US
2020-02-01,Kent,Delaware,0,0,US
2020-02-02,Kent,Delaware,0,0,US
2020-02-03,Kent,Delaware,0,0,US
2020-02-04,Kent,Delaware,0,0,US
2020-02-05,Kent,Delaware,0,0,US
2020-02-06,Kent,Delaware,0,0,US
2020-02-07,Kent,Delaware,0,0,US
2020-02-08,Kent,Delaware,0,0,US
2020-02-09,Kent,Delaware,0,0,US
2020-02-10,Kent,Delaware,0,0,US
2020-02-11,Kent,Delaware,0,0,US
2020-02-12,Kent,Delaware,0,0,US
2020-02-13,Kent,Delaware,0,0,US
2020-02-14,Kent,Delaware,0,0,US
2020-02-15,Kent,Delaware,0,0,US
2020-02-16,Kent,Delaware,0,0,US
2020-02-17,Kent,Delaware,0,0,US
2020-02-18,Kent,Delaware,0,0,US
2020-02-19,Kent,Delaware,0,0,US
2020-02-20,Kent,Delaware,0,0,US
2020-02-21,Kent,Delaware,0,0,US
2020-02-22,Kent,Delaware,0,0,US
2020-02-23,Kent,Delaware,0,0,US
2020-02-24,Kent,Delaware,0,0,US
2020-02-25,Kent,Delaware,0,0,US
2020-02-26,Kent,Delaware,0,0,US
2020-02-27,Kent,Delaware,0,0,US
2020-02-28,Kent,Delaware,0,0,US
2020-02-29,Kent,Delaware,0,0,US
2020-03-01,Kent,Delaware,0,0,US
2020-03-02,Kent,Delaware,0,0,US
2020-03-03,Kent,Delaware,0,0,US
2020-03-04,Kent,Delaware,0,0,US
2020-03-05,Kent,Delaware,0,0,US
2020-03-06,Kent,Delaware,0,0,US
2020-03-07,Kent,Delaware,0,0,US
2020-03-08,Kent,Delaware,0,0,US
2020-03-09,Kent,Delaware,0,0,US
2020-03-10,Kent,Delaware,0,0,US
2020-03-11,Kent,Delaware,0,0,US
2020-03-12,Kent,Delaware,0,0,US
2020-03-13,Kent,Delaware,0,0,US
