Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Kewaunee,Wisconsin,0,0,US
2020-01-23,Kewaunee,Wisconsin,0,0,US
2020-01-24,Kewaunee,Wisconsin,0,0,US
2020-01-25,Kewaunee,Wisconsin,0,0,US
2020-01-26,Kewaunee,Wisconsin,0,0,US
2020-01-27,Kewaunee,Wisconsin,0,0,US
2020-01-28,Kewaunee,Wisconsin,0,0,US
2020-01-29,Kewaunee,Wisconsin,0,0,US
2020-01-30,Kewaunee,Wisconsin,0,0,US
2020-01-31,Kewaunee,Wisconsin,0,0,US
2020-02-01,Kewaunee,Wisconsin,0,0,US
2020-02-02,Kewaunee,Wisconsin,0,0,US
2020-02-03,Kewaunee,Wisconsin,0,0,US
2020-02-04,Kewaunee,Wisconsin,0,0,US
2020-02-05,Kewaunee,Wisconsin,0,0,US
2020-02-06,Kewaunee,Wisconsin,0,0,US
2020-02-07,Kewaunee,Wisconsin,0,0,US
2020-02-08,Kewaunee,Wisconsin,0,0,US
2020-02-09,Kewaunee,Wisconsin,0,0,US
2020-02-10,Kewaunee,Wisconsin,0,0,US
2020-02-11,Kewaunee,Wisconsin,0,0,US
2020-02-12,Kewaunee,Wisconsin,0,0,US
2020-02-13,Kewaunee,Wisconsin,0,0,US
2020-02-14,Kewaunee,Wisconsin,0,0,US
2020-02-15,Kewaunee,Wisconsin,0,0,US
2020-02-16,Kewaunee,Wisconsin,0,0,US
2020-02-17,Kewaunee,Wisconsin,0,0,US
2020-02-18,Kewaunee,Wisconsin,0,0,US
2020-02-19,Kewaunee,Wisconsin,0,0,US
2020-02-20,Kewaunee,Wisconsin,0,0,US
2020-02-21,Kewaunee,Wisconsin,0,0,US
2020-02-22,Kewaunee,Wisconsin,0,0,US
2020-02-23,Kewaunee,Wisconsin,0,0,US
2020-02-24,Kewaunee,Wisconsin,0,0,US
2020-02-25,Kewaunee,Wisconsin,0,0,US
2020-02-26,Kewaunee,Wisconsin,0,0,US
2020-02-27,Kewaunee,Wisconsin,0,0,US
2020-02-28,Kewaunee,Wisconsin,0,0,US
2020-02-29,Kewaunee,Wisconsin,0,0,US
2020-03-01,Kewaunee,Wisconsin,0,0,US
2020-03-02,Kewaunee,Wisconsin,0,0,US
2020-03-03,Kewaunee,Wisconsin,0,0,US
2020-03-04,Kewaunee,Wisconsin,0,0,US
2020-03-05,Kewaunee,Wisconsin,0,0,US
2020-03-06,Kewaunee,Wisconsin,0,0,US
2020-03-07,Kewaunee,Wisconsin,0,0,US
2020-03-08,Kewaunee,Wisconsin,0,0,US
2020-03-09,Kewaunee,Wisconsin,0,0,US
2020-03-10,Kewaunee,Wisconsin,0,0,US
2020-03-11,Kewaunee,Wisconsin,0,0,US
2020-03-12,Kewaunee,Wisconsin,0,0,US
2020-03-13,Kewaunee,Wisconsin,0,0,US
2020-03-14,Kewaunee,Wisconsin,0,0,US
2020-03-15,Kewaunee,Wisconsin,0,0,US
2020-03-16,Kewaunee,Wisconsin,0,0,US
2020-03-17,Kewaunee,Wisconsin,0,0,US
2020-03-18,Kewaunee,Wisconsin,0,0,US
2020-03-19,Kewaunee,Wisconsin,0,0,US
2020-03-20,Kewaunee,Wisconsin,0,0,US
2020-03-21,Kewaunee,Wisconsin,0,0,US
2020-03-22,Kewaunee,Wisconsin,0,0,US
2020-03-23,Kewaunee,Wisconsin,0,0,US
2020-03-24,Kewaunee,Wisconsin,0,0,US
2020-03-25,Kewaunee,Wisconsin,0,0,US
2020-03-26,Kewaunee,Wisconsin,0,0,US
2020-03-27,Kewaunee,Wisconsin,0,0,US
2020-03-28,Kewaunee,Wisconsin,0,0,US
2020-03-29,Kewaunee,Wisconsin,0,0,US
2020-03-30,Kewaunee,Wisconsin,0,0,US
2020-03-31,Kewaunee,Wisconsin,0,0,US
2020-04-01,Kewaunee,Wisconsin,0,0,US
2020-04-02,Kewaunee,Wisconsin,0,0,US
2020-04-03,Kewaunee,Wisconsin,0,0,US
2020-04-04,Kewaunee,Wisconsin,0,0,US
2020-04-05,Kewaunee,Wisconsin,0,0,US
2020-04-06,Kewaunee,Wisconsin,1,0,US
2020-04-07,Kewaunee,Wisconsin,1,0,US
2020-04-08,Kewaunee,Wisconsin,1,0,US
2020-04-09,Kewaunee,Wisconsin,1,0,US
2020-04-10,Kewaunee,Wisconsin,1,0,US
2020-04-11,Kewaunee,Wisconsin,1,0,US
2020-04-12,Kewaunee,Wisconsin,3,0,US
2020-04-13,Kewaunee,Wisconsin,4,1,US
2020-04-14,Kewaunee,Wisconsin,4,1,US
2020-04-15,Kewaunee,Wisconsin,5,1,US
2020-04-16,Kewaunee,Wisconsin,6,1,US
2020-04-17,Kewaunee,Wisconsin,8,1,US
2020-04-18,Kewaunee,Wisconsin,8,1,US
2020-04-19,Kewaunee,Wisconsin,8,1,US
2020-04-20,Kewaunee,Wisconsin,8,1,US
2020-04-21,Kewaunee,Wisconsin,8,1,US
2020-04-22,Kewaunee,Wisconsin,8,1,US
2020-04-23,Kewaunee,Wisconsin,10,1,US
2020-04-24,Kewaunee,Wisconsin,9,1,US
2020-04-25,Kewaunee,Wisconsin,10,1,US
2020-04-26,Kewaunee,Wisconsin,10,1,US
2020-04-27,Kewaunee,Wisconsin,10,1,US
2020-04-28,Kewaunee,Wisconsin,11,1,US
2020-04-29,Kewaunee,Wisconsin,14,1,US
2020-04-30,Kewaunee,Wisconsin,14,1,US
2020-05-01,Kewaunee,Wisconsin,13,1,US
2020-05-02,Kewaunee,Wisconsin,15,1,US
2020-05-03,Kewaunee,Wisconsin,18,1,US
2020-05-04,Kewaunee,Wisconsin,22,1,US
2020-05-05,Kewaunee,Wisconsin,22,1,US
2020-05-06,Kewaunee,Wisconsin,25,1,US
2020-05-07,Kewaunee,Wisconsin,25,1,US
2020-05-08,Kewaunee,Wisconsin,26,1,US
2020-05-09,Kewaunee,Wisconsin,28,1,US
2020-05-10,Kewaunee,Wisconsin,29,1,US
2020-05-11,Kewaunee,Wisconsin,29,1,US
2020-05-12,Kewaunee,Wisconsin,29,1,US
2020-05-13,Kewaunee,Wisconsin,29,1,US
2020-05-14,Kewaunee,Wisconsin,29,1,US
2020-05-15,Kewaunee,Wisconsin,30,1,US
2020-05-16,Kewaunee,Wisconsin,30,1,US
2020-05-17,Kewaunee,Wisconsin,30,1,US
