Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Kidder,North Dakota,0,0,US
2020-01-23,Kidder,North Dakota,0,0,US
2020-01-24,Kidder,North Dakota,0,0,US
2020-01-25,Kidder,North Dakota,0,0,US
2020-01-26,Kidder,North Dakota,0,0,US
2020-01-27,Kidder,North Dakota,0,0,US
2020-01-28,Kidder,North Dakota,0,0,US
2020-01-29,Kidder,North Dakota,0,0,US
2020-01-30,Kidder,North Dakota,0,0,US
2020-01-31,Kidder,North Dakota,0,0,US
2020-02-01,Kidder,North Dakota,0,0,US
2020-02-02,Kidder,North Dakota,0,0,US
2020-02-03,Kidder,North Dakota,0,0,US
2020-02-04,Kidder,North Dakota,0,0,US
2020-02-05,Kidder,North Dakota,0,0,US
2020-02-06,Kidder,North Dakota,0,0,US
2020-02-07,Kidder,North Dakota,0,0,US
2020-02-08,Kidder,North Dakota,0,0,US
2020-02-09,Kidder,North Dakota,0,0,US
2020-02-10,Kidder,North Dakota,0,0,US
2020-02-11,Kidder,North Dakota,0,0,US
2020-02-12,Kidder,North Dakota,0,0,US
2020-02-13,Kidder,North Dakota,0,0,US
2020-02-14,Kidder,North Dakota,0,0,US
2020-02-15,Kidder,North Dakota,0,0,US
2020-02-16,Kidder,North Dakota,0,0,US
2020-02-17,Kidder,North Dakota,0,0,US
2020-02-18,Kidder,North Dakota,0,0,US
2020-02-19,Kidder,North Dakota,0,0,US
2020-02-20,Kidder,North Dakota,0,0,US
2020-02-21,Kidder,North Dakota,0,0,US
2020-02-22,Kidder,North Dakota,0,0,US
2020-02-23,Kidder,North Dakota,0,0,US
2020-02-24,Kidder,North Dakota,0,0,US
2020-02-25,Kidder,North Dakota,0,0,US
2020-02-26,Kidder,North Dakota,0,0,US
2020-02-27,Kidder,North Dakota,0,0,US
2020-02-28,Kidder,North Dakota,0,0,US
2020-02-29,Kidder,North Dakota,0,0,US
2020-03-01,Kidder,North Dakota,0,0,US
2020-03-02,Kidder,North Dakota,0,0,US
2020-03-03,Kidder,North Dakota,0,0,US
2020-03-04,Kidder,North Dakota,0,0,US
2020-03-05,Kidder,North Dakota,0,0,US
2020-03-06,Kidder,North Dakota,0,0,US
2020-03-07,Kidder,North Dakota,0,0,US
2020-03-08,Kidder,North Dakota,0,0,US
2020-03-09,Kidder,North Dakota,0,0,US
2020-03-10,Kidder,North Dakota,0,0,US
2020-03-11,Kidder,North Dakota,0,0,US
2020-03-12,Kidder,North Dakota,0,0,US
2020-03-13,Kidder,North Dakota,0,0,US
2020-03-14,Kidder,North Dakota,0,0,US
2020-03-15,Kidder,North Dakota,0,0,US
2020-03-16,Kidder,North Dakota,0,0,US
2020-03-17,Kidder,North Dakota,0,0,US
2020-03-18,Kidder,North Dakota,0,0,US
2020-03-19,Kidder,North Dakota,0,0,US
2020-03-20,Kidder,North Dakota,0,0,US
2020-03-21,Kidder,North Dakota,0,0,US
2020-03-22,Kidder,North Dakota,0,0,US
2020-03-23,Kidder,North Dakota,0,0,US
2020-03-24,Kidder,North Dakota,0,0,US
2020-03-25,Kidder,North Dakota,0,0,US
2020-03-26,Kidder,North Dakota,0,0,US
2020-03-27,Kidder,North Dakota,0,0,US
2020-03-28,Kidder,North Dakota,0,0,US
2020-03-29,Kidder,North Dakota,0,0,US
2020-03-30,Kidder,North Dakota,0,0,US
2020-03-31,Kidder,North Dakota,0,0,US
2020-04-01,Kidder,North Dakota,0,0,US
2020-04-02,Kidder,North Dakota,0,0,US
2020-04-03,Kidder,North Dakota,0,0,US
2020-04-04,Kidder,North Dakota,0,0,US
2020-04-05,Kidder,North Dakota,0,0,US
2020-04-06,Kidder,North Dakota,0,0,US
2020-04-07,Kidder,North Dakota,0,0,US
2020-04-08,Kidder,North Dakota,0,0,US
2020-04-09,Kidder,North Dakota,0,0,US
2020-04-10,Kidder,North Dakota,0,0,US
2020-04-11,Kidder,North Dakota,0,0,US
2020-04-12,Kidder,North Dakota,0,0,US
2020-04-13,Kidder,North Dakota,0,0,US
2020-04-14,Kidder,North Dakota,0,0,US
2020-04-15,Kidder,North Dakota,0,0,US
2020-04-16,Kidder,North Dakota,0,0,US
2020-04-17,Kidder,North Dakota,0,0,US
2020-04-18,Kidder,North Dakota,0,0,US
2020-04-19,Kidder,North Dakota,0,0,US
2020-04-20,Kidder,North Dakota,0,0,US
2020-04-21,Kidder,North Dakota,0,0,US
2020-04-22,Kidder,North Dakota,0,0,US
2020-04-23,Kidder,North Dakota,0,0,US
2020-04-24,Kidder,North Dakota,0,0,US
2020-04-25,Kidder,North Dakota,0,0,US
2020-04-26,Kidder,North Dakota,0,0,US
2020-04-27,Kidder,North Dakota,0,0,US
2020-04-28,Kidder,North Dakota,0,0,US
2020-04-29,Kidder,North Dakota,0,0,US
2020-04-30,Kidder,North Dakota,0,0,US
2020-05-01,Kidder,North Dakota,0,0,US
2020-05-02,Kidder,North Dakota,0,0,US
2020-05-03,Kidder,North Dakota,0,0,US
2020-05-04,Kidder,North Dakota,0,0,US
2020-05-05,Kidder,North Dakota,0,0,US
2020-05-06,Kidder,North Dakota,0,0,US
2020-05-07,Kidder,North Dakota,0,0,US
2020-05-08,Kidder,North Dakota,0,0,US
2020-05-09,Kidder,North Dakota,0,0,US
2020-05-10,Kidder,North Dakota,0,0,US
2020-05-11,Kidder,North Dakota,0,0,US
2020-05-12,Kidder,North Dakota,0,0,US
2020-05-13,Kidder,North Dakota,0,0,US
2020-05-14,Kidder,North Dakota,0,0,US
2020-05-15,Kidder,North Dakota,0,0,US
2020-05-16,Kidder,North Dakota,0,0,US
2020-05-17,Kidder,North Dakota,0,0,US
2020-05-18,Kidder,North Dakota,0,0,US
2020-05-19,Kidder,North Dakota,0,0,US
2020-05-20,Kidder,North Dakota,0,0,US
2020-05-21,Kidder,North Dakota,0,0,US
2020-05-22,Kidder,North Dakota,0,0,US
2020-05-23,Kidder,North Dakota,0,0,US
2020-05-24,Kidder,North Dakota,0,0,US
2020-05-25,Kidder,North Dakota,0,0,US
2020-05-26,Kidder,North Dakota,0,0,US
2020-05-27,Kidder,North Dakota,0,0,US
2020-05-28,Kidder,North Dakota,0,0,US
2020-05-29,Kidder,North Dakota,0,0,US
2020-05-30,Kidder,North Dakota,0,0,US
2020-05-31,Kidder,North Dakota,0,0,US
2020-06-01,Kidder,North Dakota,0,0,US
2020-06-02,Kidder,North Dakota,0,0,US
2020-06-03,Kidder,North Dakota,0,0,US
2020-06-04,Kidder,North Dakota,0,0,US
2020-06-05,Kidder,North Dakota,0,0,US
2020-06-06,Kidder,North Dakota,0,0,US
2020-06-07,Kidder,North Dakota,0,0,US
2020-06-08,Kidder,North Dakota,1,0,US
2020-06-09,Kidder,North Dakota,2,0,US
2020-06-10,Kidder,North Dakota,2,0,US
2020-06-11,Kidder,North Dakota,2,0,US
2020-06-12,Kidder,North Dakota,2,0,US
2020-06-13,Kidder,North Dakota,2,0,US
2020-06-14,Kidder,North Dakota,2,0,US
2020-06-15,Kidder,North Dakota,2,0,US
2020-06-16,Kidder,North Dakota,2,0,US
2020-06-17,Kidder,North Dakota,2,0,US
2020-06-18,Kidder,North Dakota,2,0,US
2020-06-19,Kidder,North Dakota,2,0,US
2020-06-20,Kidder,North Dakota,2,0,US
2020-06-21,Kidder,North Dakota,2,0,US
2020-06-22,Kidder,North Dakota,2,0,US
2020-06-23,Kidder,North Dakota,2,0,US
2020-06-24,Kidder,North Dakota,2,0,US
2020-06-25,Kidder,North Dakota,2,0,US
2020-06-26,Kidder,North Dakota,2,0,US
2020-06-27,Kidder,North Dakota,2,0,US
2020-06-28,Kidder,North Dakota,2,0,US
2020-06-29,Kidder,North Dakota,2,0,US
2020-06-30,Kidder,North Dakota,2,0,US
2020-07-01,Kidder,North Dakota,2,0,US
2020-07-02,Kidder,North Dakota,2,0,US
2020-07-03,Kidder,North Dakota,2,0,US
2020-07-04,Kidder,North Dakota,2,0,US
2020-07-05,Kidder,North Dakota,2,0,US
2020-07-06,Kidder,North Dakota,2,0,US
2020-07-07,Kidder,North Dakota,2,0,US
2020-07-08,Kidder,North Dakota,2,0,US
2020-07-09,Kidder,North Dakota,2,0,US
2020-07-10,Kidder,North Dakota,2,0,US
2020-07-11,Kidder,North Dakota,3,0,US
2020-07-12,Kidder,North Dakota,3,0,US
2020-07-13,Kidder,North Dakota,3,0,US
2020-07-14,Kidder,North Dakota,4,0,US
2020-07-15,Kidder,North Dakota,4,0,US
2020-07-16,Kidder,North Dakota,4,0,US
2020-07-17,Kidder,North Dakota,4,0,US
2020-07-18,Kidder,North Dakota,4,0,US
2020-07-19,Kidder,North Dakota,4,0,US
2020-07-20,Kidder,North Dakota,4,0,US
2020-07-21,Kidder,North Dakota,5,0,US
2020-07-22,Kidder,North Dakota,6,0,US
2020-07-23,Kidder,North Dakota,7,0,US
2020-07-24,Kidder,North Dakota,8,0,US
2020-07-25,Kidder,North Dakota,8,0,US
2020-07-26,Kidder,North Dakota,10,0,US
2020-07-27,Kidder,North Dakota,10,0,US
2020-07-28,Kidder,North Dakota,10,0,US
2020-07-29,Kidder,North Dakota,10,0,US
2020-07-30,Kidder,North Dakota,11,0,US
2020-07-31,Kidder,North Dakota,11,0,US
2020-08-01,Kidder,North Dakota,11,0,US
2020-08-02,Kidder,North Dakota,11,0,US
2020-08-03,Kidder,North Dakota,11,0,US
2020-08-04,Kidder,North Dakota,12,0,US
2020-08-05,Kidder,North Dakota,13,0,US
2020-08-06,Kidder,North Dakota,13,0,US
2020-08-07,Kidder,North Dakota,13,0,US
2020-08-08,Kidder,North Dakota,14,0,US
2020-08-09,Kidder,North Dakota,18,0,US
2020-08-10,Kidder,North Dakota,18,0,US
2020-08-11,Kidder,North Dakota,18,0,US
2020-08-12,Kidder,North Dakota,19,0,US
