Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Knox,Kentucky,0,0,US
2020-01-23,Knox,Kentucky,0,0,US
2020-01-24,Knox,Kentucky,0,0,US
2020-01-25,Knox,Kentucky,0,0,US
2020-01-26,Knox,Kentucky,0,0,US
2020-01-27,Knox,Kentucky,0,0,US
2020-01-28,Knox,Kentucky,0,0,US
2020-01-29,Knox,Kentucky,0,0,US
2020-01-30,Knox,Kentucky,0,0,US
2020-01-31,Knox,Kentucky,0,0,US
2020-02-01,Knox,Kentucky,0,0,US
2020-02-02,Knox,Kentucky,0,0,US
2020-02-03,Knox,Kentucky,0,0,US
2020-02-04,Knox,Kentucky,0,0,US
2020-02-05,Knox,Kentucky,0,0,US
2020-02-06,Knox,Kentucky,0,0,US
2020-02-07,Knox,Kentucky,0,0,US
2020-02-08,Knox,Kentucky,0,0,US
2020-02-09,Knox,Kentucky,0,0,US
2020-02-10,Knox,Kentucky,0,0,US
2020-02-11,Knox,Kentucky,0,0,US
2020-02-12,Knox,Kentucky,0,0,US
2020-02-13,Knox,Kentucky,0,0,US
2020-02-14,Knox,Kentucky,0,0,US
2020-02-15,Knox,Kentucky,0,0,US
2020-02-16,Knox,Kentucky,0,0,US
2020-02-17,Knox,Kentucky,0,0,US
2020-02-18,Knox,Kentucky,0,0,US
2020-02-19,Knox,Kentucky,0,0,US
2020-02-20,Knox,Kentucky,0,0,US
2020-02-21,Knox,Kentucky,0,0,US
2020-02-22,Knox,Kentucky,0,0,US
2020-02-23,Knox,Kentucky,0,0,US
2020-02-24,Knox,Kentucky,0,0,US
2020-02-25,Knox,Kentucky,0,0,US
2020-02-26,Knox,Kentucky,0,0,US
2020-02-27,Knox,Kentucky,0,0,US
2020-02-28,Knox,Kentucky,0,0,US
2020-02-29,Knox,Kentucky,0,0,US
2020-03-01,Knox,Kentucky,0,0,US
2020-03-02,Knox,Kentucky,0,0,US
2020-03-03,Knox,Kentucky,0,0,US
2020-03-04,Knox,Kentucky,0,0,US
2020-03-05,Knox,Kentucky,0,0,US
2020-03-06,Knox,Kentucky,0,0,US
2020-03-07,Knox,Kentucky,0,0,US
2020-03-08,Knox,Kentucky,0,0,US
2020-03-09,Knox,Kentucky,0,0,US
2020-03-10,Knox,Kentucky,0,0,US
2020-03-11,Knox,Kentucky,0,0,US
2020-03-12,Knox,Kentucky,0,0,US
2020-03-13,Knox,Kentucky,0,0,US
2020-03-14,Knox,Kentucky,0,0,US
2020-03-15,Knox,Kentucky,0,0,US
2020-03-16,Knox,Kentucky,0,0,US
2020-03-17,Knox,Kentucky,0,0,US
2020-03-18,Knox,Kentucky,0,0,US
2020-03-19,Knox,Kentucky,0,0,US
2020-03-20,Knox,Kentucky,0,0,US
2020-03-21,Knox,Kentucky,0,0,US
2020-03-22,Knox,Kentucky,0,0,US
2020-03-23,Knox,Kentucky,0,0,US
