Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Kusilvak,Alaska,0,0,US
2020-01-23,Kusilvak,Alaska,0,0,US
2020-01-24,Kusilvak,Alaska,0,0,US
2020-01-25,Kusilvak,Alaska,0,0,US
2020-01-26,Kusilvak,Alaska,0,0,US
2020-01-27,Kusilvak,Alaska,0,0,US
2020-01-28,Kusilvak,Alaska,0,0,US
2020-01-29,Kusilvak,Alaska,0,0,US
2020-01-30,Kusilvak,Alaska,0,0,US
2020-01-31,Kusilvak,Alaska,0,0,US
2020-02-01,Kusilvak,Alaska,0,0,US
2020-02-02,Kusilvak,Alaska,0,0,US
2020-02-03,Kusilvak,Alaska,0,0,US
2020-02-04,Kusilvak,Alaska,0,0,US
2020-02-05,Kusilvak,Alaska,0,0,US
2020-02-06,Kusilvak,Alaska,0,0,US
2020-02-07,Kusilvak,Alaska,0,0,US
2020-02-08,Kusilvak,Alaska,0,0,US
2020-02-09,Kusilvak,Alaska,0,0,US
2020-02-10,Kusilvak,Alaska,0,0,US
2020-02-11,Kusilvak,Alaska,0,0,US
2020-02-12,Kusilvak,Alaska,0,0,US
2020-02-13,Kusilvak,Alaska,0,0,US
2020-02-14,Kusilvak,Alaska,0,0,US
2020-02-15,Kusilvak,Alaska,0,0,US
2020-02-16,Kusilvak,Alaska,0,0,US
2020-02-17,Kusilvak,Alaska,0,0,US
2020-02-18,Kusilvak,Alaska,0,0,US
2020-02-19,Kusilvak,Alaska,0,0,US
2020-02-20,Kusilvak,Alaska,0,0,US
2020-02-21,Kusilvak,Alaska,0,0,US
2020-02-22,Kusilvak,Alaska,0,0,US
2020-02-23,Kusilvak,Alaska,0,0,US
2020-02-24,Kusilvak,Alaska,0,0,US
2020-02-25,Kusilvak,Alaska,0,0,US
2020-02-26,Kusilvak,Alaska,0,0,US
2020-02-27,Kusilvak,Alaska,0,0,US
2020-02-28,Kusilvak,Alaska,0,0,US
2020-02-29,Kusilvak,Alaska,0,0,US
2020-03-01,Kusilvak,Alaska,0,0,US
2020-03-02,Kusilvak,Alaska,0,0,US
2020-03-03,Kusilvak,Alaska,0,0,US
2020-03-04,Kusilvak,Alaska,0,0,US
2020-03-05,Kusilvak,Alaska,0,0,US
2020-03-06,Kusilvak,Alaska,0,0,US
2020-03-07,Kusilvak,Alaska,0,0,US
2020-03-08,Kusilvak,Alaska,0,0,US
2020-03-09,Kusilvak,Alaska,0,0,US
2020-03-10,Kusilvak,Alaska,0,0,US
2020-03-11,Kusilvak,Alaska,0,0,US
2020-03-12,Kusilvak,Alaska,0,0,US
2020-03-13,Kusilvak,Alaska,0,0,US
2020-03-14,Kusilvak,Alaska,0,0,US
2020-03-15,Kusilvak,Alaska,0,0,US
2020-03-16,Kusilvak,Alaska,0,0,US
2020-03-17,Kusilvak,Alaska,0,0,US
2020-03-18,Kusilvak,Alaska,0,0,US
2020-03-19,Kusilvak,Alaska,0,0,US
2020-03-20,Kusilvak,Alaska,0,0,US
