Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Laclede,Missouri,0,0,US
2020-01-23,Laclede,Missouri,0,0,US
2020-01-24,Laclede,Missouri,0,0,US
2020-01-25,Laclede,Missouri,0,0,US
2020-01-26,Laclede,Missouri,0,0,US
2020-01-27,Laclede,Missouri,0,0,US
2020-01-28,Laclede,Missouri,0,0,US
2020-01-29,Laclede,Missouri,0,0,US
2020-01-30,Laclede,Missouri,0,0,US
2020-01-31,Laclede,Missouri,0,0,US
2020-02-01,Laclede,Missouri,0,0,US
2020-02-02,Laclede,Missouri,0,0,US
2020-02-03,Laclede,Missouri,0,0,US
2020-02-04,Laclede,Missouri,0,0,US
2020-02-05,Laclede,Missouri,0,0,US
2020-02-06,Laclede,Missouri,0,0,US
2020-02-07,Laclede,Missouri,0,0,US
2020-02-08,Laclede,Missouri,0,0,US
2020-02-09,Laclede,Missouri,0,0,US
2020-02-10,Laclede,Missouri,0,0,US
2020-02-11,Laclede,Missouri,0,0,US
2020-02-12,Laclede,Missouri,0,0,US
2020-02-13,Laclede,Missouri,0,0,US
2020-02-14,Laclede,Missouri,0,0,US
2020-02-15,Laclede,Missouri,0,0,US
2020-02-16,Laclede,Missouri,0,0,US
2020-02-17,Laclede,Missouri,0,0,US
2020-02-18,Laclede,Missouri,0,0,US
2020-02-19,Laclede,Missouri,0,0,US
2020-02-20,Laclede,Missouri,0,0,US
2020-02-21,Laclede,Missouri,0,0,US
2020-02-22,Laclede,Missouri,0,0,US
2020-02-23,Laclede,Missouri,0,0,US
2020-02-24,Laclede,Missouri,0,0,US
2020-02-25,Laclede,Missouri,0,0,US
2020-02-26,Laclede,Missouri,0,0,US
2020-02-27,Laclede,Missouri,0,0,US
2020-02-28,Laclede,Missouri,0,0,US
2020-02-29,Laclede,Missouri,0,0,US
2020-03-01,Laclede,Missouri,0,0,US
2020-03-02,Laclede,Missouri,0,0,US
2020-03-03,Laclede,Missouri,0,0,US
2020-03-04,Laclede,Missouri,0,0,US
2020-03-05,Laclede,Missouri,0,0,US
2020-03-06,Laclede,Missouri,0,0,US
2020-03-07,Laclede,Missouri,0,0,US
2020-03-08,Laclede,Missouri,0,0,US
2020-03-09,Laclede,Missouri,0,0,US
2020-03-10,Laclede,Missouri,0,0,US
2020-03-11,Laclede,Missouri,0,0,US
2020-03-12,Laclede,Missouri,0,0,US
2020-03-13,Laclede,Missouri,0,0,US
2020-03-14,Laclede,Missouri,0,0,US
2020-03-15,Laclede,Missouri,0,0,US
2020-03-16,Laclede,Missouri,0,0,US
2020-03-17,Laclede,Missouri,0,0,US
2020-03-18,Laclede,Missouri,0,0,US
2020-03-19,Laclede,Missouri,0,0,US
2020-03-20,Laclede,Missouri,0,0,US
2020-03-21,Laclede,Missouri,0,0,US
2020-03-22,Laclede,Missouri,0,0,US
2020-03-23,Laclede,Missouri,0,0,US
2020-03-24,Laclede,Missouri,0,0,US
2020-03-25,Laclede,Missouri,0,0,US
2020-03-26,Laclede,Missouri,0,0,US
2020-03-27,Laclede,Missouri,0,0,US
2020-03-28,Laclede,Missouri,0,0,US
2020-03-29,Laclede,Missouri,0,0,US
2020-03-30,Laclede,Missouri,0,0,US
2020-03-31,Laclede,Missouri,0,0,US
2020-04-01,Laclede,Missouri,0,0,US
2020-04-02,Laclede,Missouri,0,0,US
2020-04-03,Laclede,Missouri,0,0,US
2020-04-04,Laclede,Missouri,0,0,US
2020-04-05,Laclede,Missouri,0,0,US
2020-04-06,Laclede,Missouri,0,0,US
2020-04-07,Laclede,Missouri,0,0,US
2020-04-08,Laclede,Missouri,0,0,US
2020-04-09,Laclede,Missouri,0,0,US
2020-04-10,Laclede,Missouri,0,0,US
2020-04-11,Laclede,Missouri,0,0,US
2020-04-12,Laclede,Missouri,0,0,US
2020-04-13,Laclede,Missouri,0,0,US
2020-04-14,Laclede,Missouri,0,0,US
2020-04-15,Laclede,Missouri,0,0,US
2020-04-16,Laclede,Missouri,0,0,US
2020-04-17,Laclede,Missouri,0,0,US
2020-04-18,Laclede,Missouri,0,0,US
2020-04-19,Laclede,Missouri,0,0,US
2020-04-20,Laclede,Missouri,0,0,US
2020-04-21,Laclede,Missouri,0,0,US
2020-04-22,Laclede,Missouri,0,0,US
2020-04-23,Laclede,Missouri,0,0,US
2020-04-24,Laclede,Missouri,0,0,US
2020-04-25,Laclede,Missouri,0,0,US
2020-04-26,Laclede,Missouri,0,0,US
2020-04-27,Laclede,Missouri,0,0,US
2020-04-28,Laclede,Missouri,0,0,US
2020-04-29,Laclede,Missouri,0,0,US
2020-04-30,Laclede,Missouri,0,0,US
2020-05-01,Laclede,Missouri,0,0,US
2020-05-02,Laclede,Missouri,0,0,US
2020-05-03,Laclede,Missouri,0,0,US
2020-05-04,Laclede,Missouri,0,0,US
2020-05-05,Laclede,Missouri,0,0,US
2020-05-06,Laclede,Missouri,0,0,US
2020-05-07,Laclede,Missouri,0,0,US
2020-05-08,Laclede,Missouri,0,0,US
2020-05-09,Laclede,Missouri,1,0,US
2020-05-10,Laclede,Missouri,2,0,US
2020-05-11,Laclede,Missouri,2,0,US
2020-05-12,Laclede,Missouri,3,0,US
2020-05-13,Laclede,Missouri,3,0,US
2020-05-14,Laclede,Missouri,3,0,US
2020-05-15,Laclede,Missouri,3,0,US
2020-05-16,Laclede,Missouri,3,0,US
2020-05-17,Laclede,Missouri,3,0,US
2020-05-18,Laclede,Missouri,3,0,US
2020-05-19,Laclede,Missouri,3,0,US
2020-05-20,Laclede,Missouri,3,0,US
2020-05-21,Laclede,Missouri,3,0,US
2020-05-22,Laclede,Missouri,3,0,US
2020-05-23,Laclede,Missouri,3,0,US
2020-05-24,Laclede,Missouri,3,0,US
2020-05-25,Laclede,Missouri,3,0,US
2020-05-26,Laclede,Missouri,3,0,US
2020-05-27,Laclede,Missouri,3,0,US
2020-05-28,Laclede,Missouri,3,0,US
2020-05-29,Laclede,Missouri,3,0,US
2020-05-30,Laclede,Missouri,3,0,US
2020-05-31,Laclede,Missouri,4,0,US
2020-06-01,Laclede,Missouri,5,0,US
2020-06-02,Laclede,Missouri,7,0,US
2020-06-03,Laclede,Missouri,7,0,US
2020-06-04,Laclede,Missouri,7,0,US
2020-06-05,Laclede,Missouri,7,0,US
2020-06-06,Laclede,Missouri,7,0,US
2020-06-07,Laclede,Missouri,7,0,US
2020-06-08,Laclede,Missouri,7,0,US
2020-06-09,Laclede,Missouri,7,0,US
2020-06-10,Laclede,Missouri,7,0,US
2020-06-11,Laclede,Missouri,8,0,US
2020-06-12,Laclede,Missouri,9,0,US
2020-06-13,Laclede,Missouri,9,0,US
2020-06-14,Laclede,Missouri,9,0,US
2020-06-15,Laclede,Missouri,9,0,US
2020-06-16,Laclede,Missouri,9,0,US
2020-06-17,Laclede,Missouri,10,0,US
2020-06-18,Laclede,Missouri,12,0,US
2020-06-19,Laclede,Missouri,12,0,US
2020-06-20,Laclede,Missouri,16,0,US
2020-06-21,Laclede,Missouri,16,0,US
2020-06-22,Laclede,Missouri,20,0,US
2020-06-23,Laclede,Missouri,19,0,US
2020-06-24,Laclede,Missouri,20,0,US
2020-06-25,Laclede,Missouri,23,0,US
2020-06-26,Laclede,Missouri,25,0,US
2020-06-27,Laclede,Missouri,25,0,US
2020-06-28,Laclede,Missouri,25,0,US
2020-06-29,Laclede,Missouri,26,0,US
2020-06-30,Laclede,Missouri,29,0,US
2020-07-01,Laclede,Missouri,30,0,US
2020-07-02,Laclede,Missouri,33,0,US
2020-07-03,Laclede,Missouri,33,0,US
2020-07-04,Laclede,Missouri,40,0,US
2020-07-05,Laclede,Missouri,40,0,US
2020-07-06,Laclede,Missouri,48,0,US
2020-07-07,Laclede,Missouri,57,0,US
2020-07-08,Laclede,Missouri,70,0,US
2020-07-09,Laclede,Missouri,76,0,US
2020-07-10,Laclede,Missouri,84,1,US
2020-07-11,Laclede,Missouri,85,1,US
2020-07-12,Laclede,Missouri,87,1,US
2020-07-13,Laclede,Missouri,89,1,US
2020-07-14,Laclede,Missouri,102,1,US
2020-07-15,Laclede,Missouri,115,1,US
2020-07-16,Laclede,Missouri,122,1,US
2020-07-17,Laclede,Missouri,128,1,US
2020-07-18,Laclede,Missouri,134,1,US
2020-07-19,Laclede,Missouri,138,1,US
2020-07-20,Laclede,Missouri,145,1,US
2020-07-21,Laclede,Missouri,148,1,US
2020-07-22,Laclede,Missouri,151,1,US
2020-07-23,Laclede,Missouri,162,1,US
2020-07-24,Laclede,Missouri,168,1,US
2020-07-25,Laclede,Missouri,170,1,US
2020-07-26,Laclede,Missouri,171,1,US
2020-07-27,Laclede,Missouri,173,1,US
2020-07-28,Laclede,Missouri,177,1,US
2020-07-29,Laclede,Missouri,184,1,US
2020-07-30,Laclede,Missouri,187,1,US
2020-07-31,Laclede,Missouri,188,1,US
2020-08-01,Laclede,Missouri,194,1,US
2020-08-02,Laclede,Missouri,197,1,US
2020-08-03,Laclede,Missouri,200,1,US
2020-08-04,Laclede,Missouri,199,1,US
2020-08-05,Laclede,Missouri,197,1,US
2020-08-06,Laclede,Missouri,191,1,US
