Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lake of the Woods,Minnesota,0,0,US
2020-01-23,Lake of the Woods,Minnesota,0,0,US
2020-01-24,Lake of the Woods,Minnesota,0,0,US
2020-01-25,Lake of the Woods,Minnesota,0,0,US
2020-01-26,Lake of the Woods,Minnesota,0,0,US
2020-01-27,Lake of the Woods,Minnesota,0,0,US
2020-01-28,Lake of the Woods,Minnesota,0,0,US
2020-01-29,Lake of the Woods,Minnesota,0,0,US
2020-01-30,Lake of the Woods,Minnesota,0,0,US
2020-01-31,Lake of the Woods,Minnesota,0,0,US
2020-02-01,Lake of the Woods,Minnesota,0,0,US
2020-02-02,Lake of the Woods,Minnesota,0,0,US
2020-02-03,Lake of the Woods,Minnesota,0,0,US
2020-02-04,Lake of the Woods,Minnesota,0,0,US
2020-02-05,Lake of the Woods,Minnesota,0,0,US
2020-02-06,Lake of the Woods,Minnesota,0,0,US
2020-02-07,Lake of the Woods,Minnesota,0,0,US
2020-02-08,Lake of the Woods,Minnesota,0,0,US
2020-02-09,Lake of the Woods,Minnesota,0,0,US
2020-02-10,Lake of the Woods,Minnesota,0,0,US
2020-02-11,Lake of the Woods,Minnesota,0,0,US
2020-02-12,Lake of the Woods,Minnesota,0,0,US
2020-02-13,Lake of the Woods,Minnesota,0,0,US
2020-02-14,Lake of the Woods,Minnesota,0,0,US
2020-02-15,Lake of the Woods,Minnesota,0,0,US
2020-02-16,Lake of the Woods,Minnesota,0,0,US
2020-02-17,Lake of the Woods,Minnesota,0,0,US
2020-02-18,Lake of the Woods,Minnesota,0,0,US
2020-02-19,Lake of the Woods,Minnesota,0,0,US
2020-02-20,Lake of the Woods,Minnesota,0,0,US
2020-02-21,Lake of the Woods,Minnesota,0,0,US
2020-02-22,Lake of the Woods,Minnesota,0,0,US
2020-02-23,Lake of the Woods,Minnesota,0,0,US
2020-02-24,Lake of the Woods,Minnesota,0,0,US
2020-02-25,Lake of the Woods,Minnesota,0,0,US
2020-02-26,Lake of the Woods,Minnesota,0,0,US
2020-02-27,Lake of the Woods,Minnesota,0,0,US
2020-02-28,Lake of the Woods,Minnesota,0,0,US
2020-02-29,Lake of the Woods,Minnesota,0,0,US
2020-03-01,Lake of the Woods,Minnesota,0,0,US
2020-03-02,Lake of the Woods,Minnesota,0,0,US
2020-03-03,Lake of the Woods,Minnesota,0,0,US
2020-03-04,Lake of the Woods,Minnesota,0,0,US
2020-03-05,Lake of the Woods,Minnesota,0,0,US
2020-03-06,Lake of the Woods,Minnesota,0,0,US
2020-03-07,Lake of the Woods,Minnesota,0,0,US
2020-03-08,Lake of the Woods,Minnesota,0,0,US
2020-03-09,Lake of the Woods,Minnesota,0,0,US
2020-03-10,Lake of the Woods,Minnesota,0,0,US
2020-03-11,Lake of the Woods,Minnesota,0,0,US
