Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lake,Florida,0,0,US
2020-01-23,Lake,Florida,0,0,US
2020-01-24,Lake,Florida,0,0,US
2020-01-25,Lake,Florida,0,0,US
2020-01-26,Lake,Florida,0,0,US
2020-01-27,Lake,Florida,0,0,US
2020-01-28,Lake,Florida,0,0,US
2020-01-29,Lake,Florida,0,0,US
2020-01-30,Lake,Florida,0,0,US
2020-01-31,Lake,Florida,0,0,US
2020-02-01,Lake,Florida,0,0,US
2020-02-02,Lake,Florida,0,0,US
2020-02-03,Lake,Florida,0,0,US
2020-02-04,Lake,Florida,0,0,US
2020-02-05,Lake,Florida,0,0,US
2020-02-06,Lake,Florida,0,0,US
2020-02-07,Lake,Florida,0,0,US
2020-02-08,Lake,Florida,0,0,US
2020-02-09,Lake,Florida,0,0,US
2020-02-10,Lake,Florida,0,0,US
2020-02-11,Lake,Florida,0,0,US
2020-02-12,Lake,Florida,0,0,US
2020-02-13,Lake,Florida,0,0,US
2020-02-14,Lake,Florida,0,0,US
2020-02-15,Lake,Florida,0,0,US
2020-02-16,Lake,Florida,0,0,US
2020-02-17,Lake,Florida,0,0,US
2020-02-18,Lake,Florida,0,0,US
2020-02-19,Lake,Florida,0,0,US
2020-02-20,Lake,Florida,0,0,US
2020-02-21,Lake,Florida,0,0,US
2020-02-22,Lake,Florida,0,0,US
2020-02-23,Lake,Florida,0,0,US
2020-02-24,Lake,Florida,0,0,US
2020-02-25,Lake,Florida,0,0,US
2020-02-26,Lake,Florida,0,0,US
2020-02-27,Lake,Florida,0,0,US
2020-02-28,Lake,Florida,0,0,US
2020-02-29,Lake,Florida,0,0,US
2020-03-01,Lake,Florida,0,0,US
2020-03-02,Lake,Florida,0,0,US
2020-03-03,Lake,Florida,0,0,US
2020-03-04,Lake,Florida,0,0,US
2020-03-05,Lake,Florida,0,0,US
2020-03-06,Lake,Florida,0,0,US
2020-03-07,Lake,Florida,0,0,US
2020-03-08,Lake,Florida,0,0,US
2020-03-09,Lake,Florida,0,0,US
2020-03-10,Lake,Florida,0,0,US
2020-03-11,Lake,Florida,0,0,US
2020-03-12,Lake,Florida,0,0,US
2020-03-13,Lake,Florida,0,0,US
2020-03-14,Lake,Florida,0,0,US
2020-03-15,Lake,Florida,0,0,US
2020-03-16,Lake,Florida,0,0,US
2020-03-17,Lake,Florida,1,0,US
2020-03-18,Lake,Florida,2,0,US
2020-03-19,Lake,Florida,3,0,US
2020-03-20,Lake,Florida,3,0,US
2020-03-21,Lake,Florida,4,0,US
2020-03-22,Lake,Florida,6,0,US
2020-03-23,Lake,Florida,9,0,US
2020-03-24,Lake,Florida,14,0,US
2020-03-25,Lake,Florida,18,0,US
2020-03-26,Lake,Florida,25,0,US
2020-03-27,Lake,Florida,29,0,US
2020-03-28,Lake,Florida,35,0,US
2020-03-29,Lake,Florida,38,0,US
2020-03-30,Lake,Florida,47,0,US
2020-03-31,Lake,Florida,66,0,US
2020-04-01,Lake,Florida,67,0,US
2020-04-02,Lake,Florida,82,2,US
2020-04-03,Lake,Florida,88,2,US
2020-04-04,Lake,Florida,95,2,US
2020-04-05,Lake,Florida,101,2,US
2020-04-06,Lake,Florida,104,2,US
2020-04-07,Lake,Florida,116,2,US
2020-04-08,Lake,Florida,136,2,US
2020-04-09,Lake,Florida,139,2,US
2020-04-10,Lake,Florida,147,2,US
2020-04-11,Lake,Florida,149,4,US
2020-04-12,Lake,Florida,150,4,US
2020-04-13,Lake,Florida,162,4,US
2020-04-14,Lake,Florida,169,4,US
2020-04-15,Lake,Florida,179,5,US
2020-04-16,Lake,Florida,186,5,US
2020-04-17,Lake,Florida,197,5,US
2020-04-18,Lake,Florida,203,6,US
2020-04-19,Lake,Florida,207,6,US
2020-04-20,Lake,Florida,211,7,US
2020-04-21,Lake,Florida,213,7,US
2020-04-22,Lake,Florida,213,7,US
2020-04-23,Lake,Florida,217,9,US
2020-04-24,Lake,Florida,219,10,US
2020-04-25,Lake,Florida,221,10,US
2020-04-26,Lake,Florida,222,10,US
2020-04-27,Lake,Florida,223,10,US
2020-04-28,Lake,Florida,226,10,US
2020-04-29,Lake,Florida,227,11,US
2020-04-30,Lake,Florida,227,12,US
2020-05-01,Lake,Florida,233,13,US
2020-05-02,Lake,Florida,234,13,US
2020-05-03,Lake,Florida,234,13,US
2020-05-04,Lake,Florida,235,13,US
2020-05-05,Lake,Florida,235,14,US
2020-05-06,Lake,Florida,236,14,US
2020-05-07,Lake,Florida,237,14,US
2020-05-08,Lake,Florida,237,14,US
2020-05-09,Lake,Florida,240,14,US
2020-05-10,Lake,Florida,242,14,US
2020-05-11,Lake,Florida,243,14,US
2020-05-12,Lake,Florida,246,14,US
2020-05-13,Lake,Florida,247,14,US
2020-05-14,Lake,Florida,248,14,US
2020-05-15,Lake,Florida,249,14,US
2020-05-16,Lake,Florida,250,14,US
2020-05-17,Lake,Florida,252,14,US
