Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lake,Indiana,0,0,US
2020-01-23,Lake,Indiana,0,0,US
2020-01-24,Lake,Indiana,0,0,US
2020-01-25,Lake,Indiana,0,0,US
2020-01-26,Lake,Indiana,0,0,US
2020-01-27,Lake,Indiana,0,0,US
2020-01-28,Lake,Indiana,0,0,US
2020-01-29,Lake,Indiana,0,0,US
2020-01-30,Lake,Indiana,0,0,US
2020-01-31,Lake,Indiana,0,0,US
2020-02-01,Lake,Indiana,0,0,US
2020-02-02,Lake,Indiana,0,0,US
2020-02-03,Lake,Indiana,0,0,US
2020-02-04,Lake,Indiana,0,0,US
2020-02-05,Lake,Indiana,0,0,US
2020-02-06,Lake,Indiana,0,0,US
2020-02-07,Lake,Indiana,0,0,US
2020-02-08,Lake,Indiana,0,0,US
2020-02-09,Lake,Indiana,0,0,US
2020-02-10,Lake,Indiana,0,0,US
2020-02-11,Lake,Indiana,0,0,US
2020-02-12,Lake,Indiana,0,0,US
2020-02-13,Lake,Indiana,0,0,US
2020-02-14,Lake,Indiana,0,0,US
2020-02-15,Lake,Indiana,0,0,US
2020-02-16,Lake,Indiana,0,0,US
2020-02-17,Lake,Indiana,0,0,US
2020-02-18,Lake,Indiana,0,0,US
2020-02-19,Lake,Indiana,0,0,US
2020-02-20,Lake,Indiana,0,0,US
2020-02-21,Lake,Indiana,0,0,US
2020-02-22,Lake,Indiana,0,0,US
2020-02-23,Lake,Indiana,0,0,US
2020-02-24,Lake,Indiana,0,0,US
2020-02-25,Lake,Indiana,0,0,US
2020-02-26,Lake,Indiana,0,0,US
2020-02-27,Lake,Indiana,0,0,US
2020-02-28,Lake,Indiana,0,0,US
2020-02-29,Lake,Indiana,0,0,US
2020-03-01,Lake,Indiana,0,0,US
2020-03-02,Lake,Indiana,0,0,US
2020-03-03,Lake,Indiana,0,0,US
2020-03-04,Lake,Indiana,0,0,US
2020-03-05,Lake,Indiana,0,0,US
2020-03-06,Lake,Indiana,0,0,US
2020-03-07,Lake,Indiana,0,0,US
2020-03-08,Lake,Indiana,0,0,US
2020-03-09,Lake,Indiana,0,0,US
2020-03-10,Lake,Indiana,0,0,US
2020-03-11,Lake,Indiana,0,0,US
2020-03-12,Lake,Indiana,0,0,US
2020-03-13,Lake,Indiana,0,0,US
2020-03-14,Lake,Indiana,0,0,US
2020-03-15,Lake,Indiana,0,0,US
2020-03-16,Lake,Indiana,0,0,US
2020-03-17,Lake,Indiana,2,0,US
2020-03-18,Lake,Indiana,3,0,US
2020-03-19,Lake,Indiana,4,0,US
2020-03-20,Lake,Indiana,6,0,US
2020-03-21,Lake,Indiana,7,0,US
2020-03-22,Lake,Indiana,10,0,US
2020-03-23,Lake,Indiana,10,0,US
2020-03-24,Lake,Indiana,17,0,US
2020-03-25,Lake,Indiana,19,0,US
2020-03-26,Lake,Indiana,31,0,US
2020-03-27,Lake,Indiana,47,0,US
2020-03-28,Lake,Indiana,68,1,US
2020-03-29,Lake,Indiana,85,1,US
2020-03-30,Lake,Indiana,97,1,US
2020-03-31,Lake,Indiana,146,5,US
2020-04-01,Lake,Indiana,180,6,US
2020-04-02,Lake,Indiana,215,6,US
2020-04-03,Lake,Indiana,244,7,US
2020-04-04,Lake,Indiana,313,8,US
2020-04-05,Lake,Indiana,335,8,US
2020-04-06,Lake,Indiana,369,8,US
2020-04-07,Lake,Indiana,418,11,US
2020-04-08,Lake,Indiana,461,12,US
2020-04-09,Lake,Indiana,525,19,US
2020-04-10,Lake,Indiana,576,23,US
2020-04-11,Lake,Indiana,676,25,US
2020-04-12,Lake,Indiana,744,25,US
2020-04-13,Lake,Indiana,796,26,US
2020-04-14,Lake,Indiana,819,31,US
2020-04-15,Lake,Indiana,876,33,US
2020-04-16,Lake,Indiana,978,41,US
2020-04-17,Lake,Indiana,1026,42,US
2020-04-18,Lake,Indiana,1095,43,US
2020-04-19,Lake,Indiana,1105,45,US
2020-04-20,Lake,Indiana,1182,47,US
2020-04-21,Lake,Indiana,1227,54,US
2020-04-22,Lake,Indiana,1292,57,US
2020-04-23,Lake,Indiana,1346,61,US
2020-04-24,Lake,Indiana,1445,63,US
2020-04-25,Lake,Indiana,1515,67,US
2020-04-26,Lake,Indiana,1533,69,US
2020-04-27,Lake,Indiana,1586,70,US
2020-04-28,Lake,Indiana,1715,77,US
2020-04-29,Lake,Indiana,1786,81,US
2020-04-30,Lake,Indiana,1846,83,US
2020-05-01,Lake,Indiana,1929,92,US
2020-05-02,Lake,Indiana,1993,104,US
2020-05-03,Lake,Indiana,2036,105,US
2020-05-04,Lake,Indiana,2098,107,US
2020-05-05,Lake,Indiana,2161,113,US
2020-05-06,Lake,Indiana,2233,108,US
2020-05-07,Lake,Indiana,2288,113,US
2020-05-08,Lake,Indiana,2359,120,US
2020-05-09,Lake,Indiana,2392,124,US
2020-05-10,Lake,Indiana,2445,126,US
2020-05-11,Lake,Indiana,2493,127,US
2020-05-12,Lake,Indiana,2534,131,US
2020-05-13,Lake,Indiana,2588,135,US
2020-05-14,Lake,Indiana,2684,137,US
2020-05-15,Lake,Indiana,2747,139,US
