Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lanier,Georgia,0,0,US
2020-01-23,Lanier,Georgia,0,0,US
2020-01-24,Lanier,Georgia,0,0,US
2020-01-25,Lanier,Georgia,0,0,US
2020-01-26,Lanier,Georgia,0,0,US
2020-01-27,Lanier,Georgia,0,0,US
2020-01-28,Lanier,Georgia,0,0,US
2020-01-29,Lanier,Georgia,0,0,US
2020-01-30,Lanier,Georgia,0,0,US
2020-01-31,Lanier,Georgia,0,0,US
2020-02-01,Lanier,Georgia,0,0,US
2020-02-02,Lanier,Georgia,0,0,US
2020-02-03,Lanier,Georgia,0,0,US
2020-02-04,Lanier,Georgia,0,0,US
2020-02-05,Lanier,Georgia,0,0,US
2020-02-06,Lanier,Georgia,0,0,US
2020-02-07,Lanier,Georgia,0,0,US
2020-02-08,Lanier,Georgia,0,0,US
2020-02-09,Lanier,Georgia,0,0,US
2020-02-10,Lanier,Georgia,0,0,US
2020-02-11,Lanier,Georgia,0,0,US
2020-02-12,Lanier,Georgia,0,0,US
2020-02-13,Lanier,Georgia,0,0,US
2020-02-14,Lanier,Georgia,0,0,US
2020-02-15,Lanier,Georgia,0,0,US
2020-02-16,Lanier,Georgia,0,0,US
2020-02-17,Lanier,Georgia,0,0,US
2020-02-18,Lanier,Georgia,0,0,US
2020-02-19,Lanier,Georgia,0,0,US
2020-02-20,Lanier,Georgia,0,0,US
2020-02-21,Lanier,Georgia,0,0,US
2020-02-22,Lanier,Georgia,0,0,US
2020-02-23,Lanier,Georgia,0,0,US
2020-02-24,Lanier,Georgia,0,0,US
2020-02-25,Lanier,Georgia,0,0,US
2020-02-26,Lanier,Georgia,0,0,US
2020-02-27,Lanier,Georgia,0,0,US
2020-02-28,Lanier,Georgia,0,0,US
2020-02-29,Lanier,Georgia,0,0,US
2020-03-01,Lanier,Georgia,0,0,US
2020-03-02,Lanier,Georgia,0,0,US
2020-03-03,Lanier,Georgia,0,0,US
2020-03-04,Lanier,Georgia,0,0,US
2020-03-05,Lanier,Georgia,0,0,US
