Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Larimer,Colorado,0,0,US
2020-01-23,Larimer,Colorado,0,0,US
2020-01-24,Larimer,Colorado,0,0,US
2020-01-25,Larimer,Colorado,0,0,US
2020-01-26,Larimer,Colorado,0,0,US
2020-01-27,Larimer,Colorado,0,0,US
2020-01-28,Larimer,Colorado,0,0,US
2020-01-29,Larimer,Colorado,0,0,US
2020-01-30,Larimer,Colorado,0,0,US
2020-01-31,Larimer,Colorado,0,0,US
2020-02-01,Larimer,Colorado,0,0,US
2020-02-02,Larimer,Colorado,0,0,US
2020-02-03,Larimer,Colorado,0,0,US
2020-02-04,Larimer,Colorado,0,0,US
2020-02-05,Larimer,Colorado,0,0,US
2020-02-06,Larimer,Colorado,0,0,US
2020-02-07,Larimer,Colorado,0,0,US
2020-02-08,Larimer,Colorado,0,0,US
2020-02-09,Larimer,Colorado,0,0,US
2020-02-10,Larimer,Colorado,0,0,US
2020-02-11,Larimer,Colorado,0,0,US
2020-02-12,Larimer,Colorado,0,0,US
2020-02-13,Larimer,Colorado,0,0,US
2020-02-14,Larimer,Colorado,0,0,US
2020-02-15,Larimer,Colorado,0,0,US
2020-02-16,Larimer,Colorado,0,0,US
2020-02-17,Larimer,Colorado,0,0,US
2020-02-18,Larimer,Colorado,0,0,US
2020-02-19,Larimer,Colorado,0,0,US
2020-02-20,Larimer,Colorado,0,0,US
2020-02-21,Larimer,Colorado,0,0,US
2020-02-22,Larimer,Colorado,0,0,US
2020-02-23,Larimer,Colorado,0,0,US
2020-02-24,Larimer,Colorado,0,0,US
2020-02-25,Larimer,Colorado,0,0,US
2020-02-26,Larimer,Colorado,0,0,US
2020-02-27,Larimer,Colorado,0,0,US
2020-02-28,Larimer,Colorado,0,0,US
2020-02-29,Larimer,Colorado,0,0,US
2020-03-01,Larimer,Colorado,0,0,US
2020-03-02,Larimer,Colorado,0,0,US
2020-03-03,Larimer,Colorado,0,0,US
2020-03-04,Larimer,Colorado,0,0,US
2020-03-05,Larimer,Colorado,0,0,US
2020-03-06,Larimer,Colorado,0,0,US
2020-03-07,Larimer,Colorado,0,0,US
2020-03-08,Larimer,Colorado,0,0,US
2020-03-09,Larimer,Colorado,1,0,US
2020-03-10,Larimer,Colorado,1,0,US
2020-03-11,Larimer,Colorado,1,0,US
2020-03-12,Larimer,Colorado,1,0,US
2020-03-13,Larimer,Colorado,1,0,US
2020-03-14,Larimer,Colorado,1,0,US
2020-03-15,Larimer,Colorado,1,0,US
2020-03-16,Larimer,Colorado,2,0,US
2020-03-17,Larimer,Colorado,2,0,US
2020-03-18,Larimer,Colorado,4,0,US
2020-03-19,Larimer,Colorado,5,0,US
2020-03-20,Larimer,Colorado,7,0,US
2020-03-21,Larimer,Colorado,19,0,US
2020-03-22,Larimer,Colorado,32,0,US
2020-03-23,Larimer,Colorado,34,0,US
2020-03-24,Larimer,Colorado,43,0,US
2020-03-25,Larimer,Colorado,45,1,US
2020-03-26,Larimer,Colorado,61,1,US
2020-03-27,Larimer,Colorado,67,1,US
2020-03-28,Larimer,Colorado,79,3,US
2020-03-29,Larimer,Colorado,84,3,US
2020-03-30,Larimer,Colorado,92,4,US
2020-03-31,Larimer,Colorado,99,6,US
2020-04-01,Larimer,Colorado,107,7,US
2020-04-02,Larimer,Colorado,124,7,US
2020-04-03,Larimer,Colorado,134,7,US
2020-04-04,Larimer,Colorado,144,8,US
2020-04-05,Larimer,Colorado,153,8,US
2020-04-06,Larimer,Colorado,158,8,US
2020-04-07,Larimer,Colorado,161,8,US
2020-04-08,Larimer,Colorado,167,8,US
2020-04-09,Larimer,Colorado,174,8,US
2020-04-10,Larimer,Colorado,177,9,US
2020-04-11,Larimer,Colorado,180,9,US
2020-04-12,Larimer,Colorado,187,9,US
2020-04-13,Larimer,Colorado,193,9,US
2020-04-14,Larimer,Colorado,198,9,US
2020-04-15,Larimer,Colorado,202,9,US
2020-04-16,Larimer,Colorado,217,9,US
2020-04-17,Larimer,Colorado,224,10,US
2020-04-18,Larimer,Colorado,231,12,US
2020-04-19,Larimer,Colorado,239,12,US
2020-04-20,Larimer,Colorado,245,13,US
2020-04-21,Larimer,Colorado,250,13,US
2020-04-22,Larimer,Colorado,266,14,US
2020-04-23,Larimer,Colorado,274,15,US
2020-04-24,Larimer,Colorado,291,18,US
2020-04-25,Larimer,Colorado,303,18,US
2020-04-26,Larimer,Colorado,312,18,US
2020-04-27,Larimer,Colorado,321,19,US
2020-04-28,Larimer,Colorado,334,19,US
2020-04-29,Larimer,Colorado,348,19,US
2020-04-30,Larimer,Colorado,363,19,US
2020-05-01,Larimer,Colorado,377,19,US
2020-05-02,Larimer,Colorado,384,18,US
2020-05-03,Larimer,Colorado,395,18,US
2020-05-04,Larimer,Colorado,395,18,US
2020-05-05,Larimer,Colorado,409,18,US
2020-05-06,Larimer,Colorado,415,18,US
2020-05-07,Larimer,Colorado,423,18,US
2020-05-08,Larimer,Colorado,437,18,US
2020-05-09,Larimer,Colorado,444,18,US
2020-05-10,Larimer,Colorado,448,18,US
2020-05-11,Larimer,Colorado,452,19,US
2020-05-12,Larimer,Colorado,455,19,US
2020-05-13,Larimer,Colorado,456,19,US
2020-05-14,Larimer,Colorado,463,19,US
2020-05-15,Larimer,Colorado,472,21,US
2020-05-16,Larimer,Colorado,485,21,US
2020-05-17,Larimer,Colorado,489,21,US
2020-05-18,Larimer,Colorado,495,21,US
