Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lawrence,Indiana,0,0,US
2020-01-23,Lawrence,Indiana,0,0,US
2020-01-24,Lawrence,Indiana,0,0,US
2020-01-25,Lawrence,Indiana,0,0,US
2020-01-26,Lawrence,Indiana,0,0,US
2020-01-27,Lawrence,Indiana,0,0,US
2020-01-28,Lawrence,Indiana,0,0,US
2020-01-29,Lawrence,Indiana,0,0,US
2020-01-30,Lawrence,Indiana,0,0,US
2020-01-31,Lawrence,Indiana,0,0,US
2020-02-01,Lawrence,Indiana,0,0,US
2020-02-02,Lawrence,Indiana,0,0,US
2020-02-03,Lawrence,Indiana,0,0,US
2020-02-04,Lawrence,Indiana,0,0,US
2020-02-05,Lawrence,Indiana,0,0,US
2020-02-06,Lawrence,Indiana,0,0,US
2020-02-07,Lawrence,Indiana,0,0,US
2020-02-08,Lawrence,Indiana,0,0,US
2020-02-09,Lawrence,Indiana,0,0,US
2020-02-10,Lawrence,Indiana,0,0,US
2020-02-11,Lawrence,Indiana,0,0,US
2020-02-12,Lawrence,Indiana,0,0,US
2020-02-13,Lawrence,Indiana,0,0,US
2020-02-14,Lawrence,Indiana,0,0,US
2020-02-15,Lawrence,Indiana,0,0,US
2020-02-16,Lawrence,Indiana,0,0,US
2020-02-17,Lawrence,Indiana,0,0,US
2020-02-18,Lawrence,Indiana,0,0,US
2020-02-19,Lawrence,Indiana,0,0,US
2020-02-20,Lawrence,Indiana,0,0,US
2020-02-21,Lawrence,Indiana,0,0,US
2020-02-22,Lawrence,Indiana,0,0,US
2020-02-23,Lawrence,Indiana,0,0,US
2020-02-24,Lawrence,Indiana,0,0,US
2020-02-25,Lawrence,Indiana,0,0,US
2020-02-26,Lawrence,Indiana,0,0,US
2020-02-27,Lawrence,Indiana,0,0,US
2020-02-28,Lawrence,Indiana,0,0,US
2020-02-29,Lawrence,Indiana,0,0,US
2020-03-01,Lawrence,Indiana,0,0,US
2020-03-02,Lawrence,Indiana,0,0,US
2020-03-03,Lawrence,Indiana,0,0,US
2020-03-04,Lawrence,Indiana,0,0,US
2020-03-05,Lawrence,Indiana,0,0,US
2020-03-06,Lawrence,Indiana,0,0,US
2020-03-07,Lawrence,Indiana,0,0,US
2020-03-08,Lawrence,Indiana,0,0,US
2020-03-09,Lawrence,Indiana,0,0,US
2020-03-10,Lawrence,Indiana,0,0,US
2020-03-11,Lawrence,Indiana,0,0,US
2020-03-12,Lawrence,Indiana,0,0,US
2020-03-13,Lawrence,Indiana,0,0,US
2020-03-14,Lawrence,Indiana,0,0,US
2020-03-15,Lawrence,Indiana,0,0,US
2020-03-16,Lawrence,Indiana,0,0,US
2020-03-17,Lawrence,Indiana,0,0,US
2020-03-18,Lawrence,Indiana,0,0,US
2020-03-19,Lawrence,Indiana,0,0,US
2020-03-20,Lawrence,Indiana,0,0,US
2020-03-21,Lawrence,Indiana,0,0,US
2020-03-22,Lawrence,Indiana,0,0,US
2020-03-23,Lawrence,Indiana,0,0,US
2020-03-24,Lawrence,Indiana,1,0,US
2020-03-25,Lawrence,Indiana,1,0,US
2020-03-26,Lawrence,Indiana,2,0,US
2020-03-27,Lawrence,Indiana,5,0,US
2020-03-28,Lawrence,Indiana,5,0,US
2020-03-29,Lawrence,Indiana,8,0,US
2020-03-30,Lawrence,Indiana,9,0,US
2020-03-31,Lawrence,Indiana,9,0,US
2020-04-01,Lawrence,Indiana,11,1,US
2020-04-02,Lawrence,Indiana,12,1,US
2020-04-03,Lawrence,Indiana,22,4,US
2020-04-04,Lawrence,Indiana,36,5,US
2020-04-05,Lawrence,Indiana,39,5,US
2020-04-06,Lawrence,Indiana,39,5,US
2020-04-07,Lawrence,Indiana,44,5,US
2020-04-08,Lawrence,Indiana,55,7,US
2020-04-09,Lawrence,Indiana,56,7,US
2020-04-10,Lawrence,Indiana,59,7,US
2020-04-11,Lawrence,Indiana,63,7,US
2020-04-12,Lawrence,Indiana,68,7,US
2020-04-13,Lawrence,Indiana,71,7,US
2020-04-14,Lawrence,Indiana,73,7,US
2020-04-15,Lawrence,Indiana,73,9,US
2020-04-16,Lawrence,Indiana,74,9,US
2020-04-17,Lawrence,Indiana,76,9,US
2020-04-18,Lawrence,Indiana,77,9,US
2020-04-19,Lawrence,Indiana,79,9,US
2020-04-20,Lawrence,Indiana,81,9,US
2020-04-21,Lawrence,Indiana,83,9,US
2020-04-22,Lawrence,Indiana,83,9,US
2020-04-23,Lawrence,Indiana,86,9,US
2020-04-24,Lawrence,Indiana,87,9,US
