Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lea,New Mexico,0,0,US
2020-01-23,Lea,New Mexico,0,0,US
2020-01-24,Lea,New Mexico,0,0,US
2020-01-25,Lea,New Mexico,0,0,US
2020-01-26,Lea,New Mexico,0,0,US
2020-01-27,Lea,New Mexico,0,0,US
2020-01-28,Lea,New Mexico,0,0,US
2020-01-29,Lea,New Mexico,0,0,US
2020-01-30,Lea,New Mexico,0,0,US
2020-01-31,Lea,New Mexico,0,0,US
2020-02-01,Lea,New Mexico,0,0,US
2020-02-02,Lea,New Mexico,0,0,US
2020-02-03,Lea,New Mexico,0,0,US
2020-02-04,Lea,New Mexico,0,0,US
2020-02-05,Lea,New Mexico,0,0,US
2020-02-06,Lea,New Mexico,0,0,US
2020-02-07,Lea,New Mexico,0,0,US
2020-02-08,Lea,New Mexico,0,0,US
2020-02-09,Lea,New Mexico,0,0,US
2020-02-10,Lea,New Mexico,0,0,US
2020-02-11,Lea,New Mexico,0,0,US
2020-02-12,Lea,New Mexico,0,0,US
2020-02-13,Lea,New Mexico,0,0,US
2020-02-14,Lea,New Mexico,0,0,US
2020-02-15,Lea,New Mexico,0,0,US
2020-02-16,Lea,New Mexico,0,0,US
2020-02-17,Lea,New Mexico,0,0,US
2020-02-18,Lea,New Mexico,0,0,US
2020-02-19,Lea,New Mexico,0,0,US
2020-02-20,Lea,New Mexico,0,0,US
2020-02-21,Lea,New Mexico,0,0,US
2020-02-22,Lea,New Mexico,0,0,US
2020-02-23,Lea,New Mexico,0,0,US
2020-02-24,Lea,New Mexico,0,0,US
2020-02-25,Lea,New Mexico,0,0,US
2020-02-26,Lea,New Mexico,0,0,US
2020-02-27,Lea,New Mexico,0,0,US
2020-02-28,Lea,New Mexico,0,0,US
2020-02-29,Lea,New Mexico,0,0,US
2020-03-01,Lea,New Mexico,0,0,US
2020-03-02,Lea,New Mexico,0,0,US
2020-03-03,Lea,New Mexico,0,0,US
2020-03-04,Lea,New Mexico,0,0,US
2020-03-05,Lea,New Mexico,0,0,US
2020-03-06,Lea,New Mexico,0,0,US
2020-03-07,Lea,New Mexico,0,0,US
2020-03-08,Lea,New Mexico,0,0,US
2020-03-09,Lea,New Mexico,0,0,US
2020-03-10,Lea,New Mexico,0,0,US
2020-03-11,Lea,New Mexico,0,0,US
2020-03-12,Lea,New Mexico,0,0,US
2020-03-13,Lea,New Mexico,0,0,US
2020-03-14,Lea,New Mexico,0,0,US
2020-03-15,Lea,New Mexico,0,0,US
2020-03-16,Lea,New Mexico,0,0,US
2020-03-17,Lea,New Mexico,0,0,US
2020-03-18,Lea,New Mexico,0,0,US
2020-03-19,Lea,New Mexico,0,0,US
2020-03-20,Lea,New Mexico,0,0,US
2020-03-21,Lea,New Mexico,1,0,US
2020-03-22,Lea,New Mexico,1,0,US
2020-03-23,Lea,New Mexico,1,0,US
2020-03-24,Lea,New Mexico,1,0,US
2020-03-25,Lea,New Mexico,1,0,US
2020-03-26,Lea,New Mexico,1,0,US
2020-03-27,Lea,New Mexico,1,0,US
2020-03-28,Lea,New Mexico,2,0,US
2020-03-29,Lea,New Mexico,2,0,US
2020-03-30,Lea,New Mexico,2,0,US
2020-03-31,Lea,New Mexico,2,0,US
2020-04-01,Lea,New Mexico,2,0,US
2020-04-02,Lea,New Mexico,2,0,US
2020-04-03,Lea,New Mexico,2,0,US
2020-04-04,Lea,New Mexico,2,0,US
2020-04-05,Lea,New Mexico,2,0,US
2020-04-06,Lea,New Mexico,2,0,US
2020-04-07,Lea,New Mexico,2,0,US
2020-04-08,Lea,New Mexico,2,0,US
2020-04-09,Lea,New Mexico,2,0,US
2020-04-10,Lea,New Mexico,2,0,US
2020-04-11,Lea,New Mexico,2,0,US
2020-04-12,Lea,New Mexico,2,0,US
2020-04-13,Lea,New Mexico,2,0,US
2020-04-14,Lea,New Mexico,2,0,US
2020-04-15,Lea,New Mexico,2,0,US
2020-04-16,Lea,New Mexico,2,0,US
2020-04-17,Lea,New Mexico,2,0,US
2020-04-18,Lea,New Mexico,2,0,US
2020-04-19,Lea,New Mexico,2,0,US
2020-04-20,Lea,New Mexico,2,0,US
2020-04-21,Lea,New Mexico,2,0,US
2020-04-22,Lea,New Mexico,5,0,US
2020-04-23,Lea,New Mexico,8,0,US
2020-04-24,Lea,New Mexico,10,0,US
2020-04-25,Lea,New Mexico,10,0,US
2020-04-26,Lea,New Mexico,10,0,US
2020-04-27,Lea,New Mexico,10,0,US
2020-04-28,Lea,New Mexico,10,0,US
2020-04-29,Lea,New Mexico,10,0,US
2020-04-30,Lea,New Mexico,10,0,US
2020-05-01,Lea,New Mexico,10,0,US
2020-05-02,Lea,New Mexico,12,0,US
2020-05-03,Lea,New Mexico,12,0,US
2020-05-04,Lea,New Mexico,12,0,US
2020-05-05,Lea,New Mexico,12,0,US
2020-05-06,Lea,New Mexico,14,0,US
2020-05-07,Lea,New Mexico,14,0,US
2020-05-08,Lea,New Mexico,14,0,US
2020-05-09,Lea,New Mexico,14,0,US
2020-05-10,Lea,New Mexico,15,0,US
2020-05-11,Lea,New Mexico,15,0,US
2020-05-12,Lea,New Mexico,15,0,US
2020-05-13,Lea,New Mexico,15,0,US
2020-05-14,Lea,New Mexico,15,0,US
2020-05-15,Lea,New Mexico,15,0,US
2020-05-16,Lea,New Mexico,15,0,US
2020-05-17,Lea,New Mexico,16,0,US
2020-05-18,Lea,New Mexico,18,0,US
2020-05-19,Lea,New Mexico,18,0,US
2020-05-20,Lea,New Mexico,18,0,US
2020-05-21,Lea,New Mexico,21,0,US
2020-05-22,Lea,New Mexico,21,0,US
2020-05-23,Lea,New Mexico,21,0,US
2020-05-24,Lea,New Mexico,23,0,US
2020-05-25,Lea,New Mexico,24,0,US
2020-05-26,Lea,New Mexico,24,0,US
2020-05-27,Lea,New Mexico,24,0,US
2020-05-28,Lea,New Mexico,24,0,US
2020-05-29,Lea,New Mexico,26,0,US
2020-05-30,Lea,New Mexico,26,0,US
2020-05-31,Lea,New Mexico,26,0,US
2020-06-01,Lea,New Mexico,26,0,US
2020-06-02,Lea,New Mexico,26,0,US
2020-06-03,Lea,New Mexico,26,0,US
2020-06-04,Lea,New Mexico,26,0,US
2020-06-05,Lea,New Mexico,29,0,US
2020-06-06,Lea,New Mexico,29,0,US
2020-06-07,Lea,New Mexico,29,0,US
2020-06-08,Lea,New Mexico,32,0,US
2020-06-09,Lea,New Mexico,33,0,US
2020-06-10,Lea,New Mexico,34,0,US
2020-06-11,Lea,New Mexico,35,0,US
2020-06-12,Lea,New Mexico,38,0,US
2020-06-13,Lea,New Mexico,41,0,US
2020-06-14,Lea,New Mexico,42,0,US
2020-06-15,Lea,New Mexico,44,0,US
2020-06-16,Lea,New Mexico,49,0,US
2020-06-17,Lea,New Mexico,55,0,US
2020-06-18,Lea,New Mexico,54,0,US
2020-06-19,Lea,New Mexico,58,0,US
2020-06-20,Lea,New Mexico,66,0,US
2020-06-21,Lea,New Mexico,67,0,US
2020-06-22,Lea,New Mexico,75,0,US
2020-06-23,Lea,New Mexico,79,0,US
2020-06-24,Lea,New Mexico,86,0,US
2020-06-25,Lea,New Mexico,89,0,US
2020-06-26,Lea,New Mexico,94,0,US
2020-06-27,Lea,New Mexico,100,0,US
2020-06-28,Lea,New Mexico,106,0,US
2020-06-29,Lea,New Mexico,113,0,US
2020-06-30,Lea,New Mexico,132,0,US
2020-07-01,Lea,New Mexico,134,0,US
2020-07-02,Lea,New Mexico,142,0,US
2020-07-03,Lea,New Mexico,147,0,US
2020-07-04,Lea,New Mexico,172,0,US
2020-07-05,Lea,New Mexico,187,0,US
2020-07-06,Lea,New Mexico,204,0,US
2020-07-07,Lea,New Mexico,211,0,US
2020-07-08,Lea,New Mexico,223,0,US
2020-07-09,Lea,New Mexico,230,0,US
2020-07-10,Lea,New Mexico,262,0,US
2020-07-11,Lea,New Mexico,269,0,US
2020-07-12,Lea,New Mexico,280,0,US
2020-07-13,Lea,New Mexico,285,0,US
2020-07-14,Lea,New Mexico,291,0,US
2020-07-15,Lea,New Mexico,299,0,US
2020-07-16,Lea,New Mexico,322,0,US
2020-07-17,Lea,New Mexico,333,0,US
2020-07-18,Lea,New Mexico,343,0,US
2020-07-19,Lea,New Mexico,378,0,US
2020-07-20,Lea,New Mexico,379,0,US
2020-07-21,Lea,New Mexico,411,1,US
2020-07-22,Lea,New Mexico,431,1,US
2020-07-23,Lea,New Mexico,465,2,US
2020-07-24,Lea,New Mexico,479,2,US
2020-07-25,Lea,New Mexico,506,2,US
2020-07-26,Lea,New Mexico,523,2,US
2020-07-27,Lea,New Mexico,546,3,US
2020-07-28,Lea,New Mexico,571,3,US
2020-07-29,Lea,New Mexico,581,3,US
2020-07-30,Lea,New Mexico,596,3,US
2020-07-31,Lea,New Mexico,605,3,US
2020-08-01,Lea,New Mexico,626,4,US
2020-08-02,Lea,New Mexico,641,4,US
2020-08-03,Lea,New Mexico,656,4,US
2020-08-04,Lea,New Mexico,679,4,US
2020-08-05,Lea,New Mexico,706,4,US
2020-08-06,Lea,New Mexico,729,4,US
2020-08-07,Lea,New Mexico,740,4,US
2020-08-08,Lea,New Mexico,751,4,US
2020-08-09,Lea,New Mexico,776,4,US
2020-08-10,Lea,New Mexico,798,5,US
2020-08-11,Lea,New Mexico,830,5,US
2020-08-12,Lea,New Mexico,863,5,US
2020-08-13,Lea,New Mexico,876,5,US
2020-08-14,Lea,New Mexico,890,5,US
2020-08-15,Lea,New Mexico,903,5,US
2020-08-16,Lea,New Mexico,922,6,US
2020-08-17,Lea,New Mexico,930,6,US
2020-08-18,Lea,New Mexico,942,7,US
2020-08-19,Lea,New Mexico,965,7,US
2020-08-20,Lea,New Mexico,991,7,US
2020-08-21,Lea,New Mexico,1010,7,US
2020-08-22,Lea,New Mexico,1017,8,US
2020-08-23,Lea,New Mexico,1036,8,US
2020-08-24,Lea,New Mexico,1045,9,US
2020-08-25,Lea,New Mexico,1048,9,US
2020-08-26,Lea,New Mexico,1076,9,US
2020-08-27,Lea,New Mexico,1084,10,US
2020-08-28,Lea,New Mexico,1097,10,US
2020-08-29,Lea,New Mexico,1108,10,US
2020-08-30,Lea,New Mexico,1126,11,US
2020-08-31,Lea,New Mexico,1131,12,US
2020-09-01,Lea,New Mexico,1132,15,US
2020-09-02,Lea,New Mexico,1151,15,US
2020-09-03,Lea,New Mexico,1170,15,US
2020-09-04,Lea,New Mexico,1178,15,US
2020-09-05,Lea,New Mexico,1192,16,US
2020-09-06,Lea,New Mexico,1198,16,US
2020-09-07,Lea,New Mexico,1204,16,US
2020-09-08,Lea,New Mexico,1205,16,US
2020-09-09,Lea,New Mexico,1212,17,US
2020-09-10,Lea,New Mexico,1225,17,US
2020-09-11,Lea,New Mexico,1239,18,US
2020-09-12,Lea,New Mexico,1247,19,US
2020-09-13,Lea,New Mexico,1261,19,US
2020-09-14,Lea,New Mexico,1264,19,US
2020-09-15,Lea,New Mexico,1268,19,US
2020-09-16,Lea,New Mexico,1284,20,US
2020-09-17,Lea,New Mexico,1299,21,US
2020-09-18,Lea,New Mexico,1316,21,US
2020-09-19,Lea,New Mexico,1320,21,US
2020-09-20,Lea,New Mexico,1327,21,US
2020-09-21,Lea,New Mexico,1334,21,US
2020-09-22,Lea,New Mexico,1342,21,US
2020-09-23,Lea,New Mexico,1349,22,US
2020-09-24,Lea,New Mexico,1365,22,US
2020-09-25,Lea,New Mexico,1382,22,US
2020-09-26,Lea,New Mexico,1394,22,US
2020-09-27,Lea,New Mexico,1412,22,US
2020-09-28,Lea,New Mexico,1414,22,US
2020-09-29,Lea,New Mexico,1419,22,US
2020-09-30,Lea,New Mexico,1448,24,US
2020-10-01,Lea,New Mexico,1464,24,US
2020-10-02,Lea,New Mexico,1490,26,US
2020-10-03,Lea,New Mexico,1512,26,US
2020-10-04,Lea,New Mexico,1523,26,US
2020-10-05,Lea,New Mexico,1524,27,US
2020-10-06,Lea,New Mexico,1543,27,US
2020-10-07,Lea,New Mexico,1574,27,US
2020-10-08,Lea,New Mexico,1584,27,US
2020-10-09,Lea,New Mexico,1620,27,US
2020-10-10,Lea,New Mexico,1631,28,US
2020-10-11,Lea,New Mexico,1636,28,US
2020-10-12,Lea,New Mexico,1649,28,US
2020-10-13,Lea,New Mexico,1668,28,US
2020-10-14,Lea,New Mexico,1684,28,US
2020-10-15,Lea,New Mexico,1713,28,US
2020-10-16,Lea,New Mexico,1767,28,US
2020-10-17,Lea,New Mexico,1782,28,US
2020-10-18,Lea,New Mexico,1808,28,US
2020-10-19,Lea,New Mexico,1837,28,US
2020-10-20,Lea,New Mexico,1855,28,US
2020-10-21,Lea,New Mexico,1893,28,US
2020-10-22,Lea,New Mexico,1928,28,US
2020-10-23,Lea,New Mexico,1966,28,US
2020-10-24,Lea,New Mexico,2017,28,US
2020-10-25,Lea,New Mexico,2062,28,US
2020-10-26,Lea,New Mexico,2081,28,US
2020-10-27,Lea,New Mexico,2088,29,US
2020-10-28,Lea,New Mexico,2110,29,US
2020-10-29,Lea,New Mexico,2177,29,US
2020-10-30,Lea,New Mexico,2202,29,US
2020-10-31,Lea,New Mexico,2208,29,US
2020-11-01,Lea,New Mexico,2217,30,US
2020-11-02,Lea,New Mexico,2233,31,US
2020-11-03,Lea,New Mexico,2318,32,US
2020-11-04,Lea,New Mexico,2371,32,US
2020-11-05,Lea,New Mexico,2400,32,US
2020-11-06,Lea,New Mexico,2438,32,US
2020-11-07,Lea,New Mexico,2494,33,US
2020-11-08,Lea,New Mexico,2563,33,US
2020-11-09,Lea,New Mexico,2638,33,US
2020-11-10,Lea,New Mexico,2712,34,US
2020-11-11,Lea,New Mexico,2767,34,US
2020-11-12,Lea,New Mexico,2836,34,US
2020-11-13,Lea,New Mexico,2879,34,US
2020-11-14,Lea,New Mexico,2936,34,US
2020-11-15,Lea,New Mexico,2963,34,US
2020-11-16,Lea,New Mexico,3003,34,US
2020-11-17,Lea,New Mexico,3099,34,US
2020-11-18,Lea,New Mexico,3222,34,US
2020-11-19,Lea,New Mexico,3378,35,US
2020-11-20,Lea,New Mexico,3451,35,US
2020-11-21,Lea,New Mexico,3564,36,US
2020-11-22,Lea,New Mexico,3684,39,US
2020-11-23,Lea,New Mexico,3714,40,US
2020-11-24,Lea,New Mexico,3832,40,US
2020-11-25,Lea,New Mexico,3927,40,US
2020-11-26,Lea,New Mexico,3981,40,US
2020-11-27,Lea,New Mexico,4072,41,US
2020-11-28,Lea,New Mexico,4162,43,US
2020-11-29,Lea,New Mexico,4229,45,US
2020-11-30,Lea,New Mexico,4294,46,US
2020-12-01,Lea,New Mexico,4399,48,US
2020-12-02,Lea,New Mexico,4399,51,US
2020-12-03,Lea,New Mexico,4565,51,US
2020-12-04,Lea,New Mexico,4665,53,US
2020-12-05,Lea,New Mexico,4800,53,US
2020-12-06,Lea,New Mexico,4833,53,US
2020-12-07,Lea,New Mexico,4924,53,US
2020-12-08,Lea,New Mexico,4924,53,US
2020-12-09,Lea,New Mexico,5031,55,US
2020-12-10,Lea,New Mexico,5097,55,US
2020-12-11,Lea,New Mexico,5214,63,US
2020-12-12,Lea,New Mexico,5395,64,US
2020-12-13,Lea,New Mexico,5508,68,US
2020-12-14,Lea,New Mexico,5567,69,US
2020-12-15,Lea,New Mexico,5690,69,US
2020-12-16,Lea,New Mexico,5791,70,US
2020-12-17,Lea,New Mexico,5866,74,US
2020-12-18,Lea,New Mexico,5918,73,US
2020-12-19,Lea,New Mexico,5964,75,US
2020-12-20,Lea,New Mexico,6013,75,US
2020-12-21,Lea,New Mexico,6046,75,US
2020-12-22,Lea,New Mexico,6143,75,US
2020-12-23,Lea,New Mexico,6206,78,US
2020-12-24,Lea,New Mexico,6271,79,US
2020-12-25,Lea,New Mexico,6305,81,US
2020-12-26,Lea,New Mexico,6349,81,US
2020-12-27,Lea,New Mexico,6395,82,US
2020-12-28,Lea,New Mexico,6440,83,US
2020-12-29,Lea,New Mexico,6500,84,US
2020-12-30,Lea,New Mexico,6573,87,US
2020-12-31,Lea,New Mexico,6691,89,US
2021-01-01,Lea,New Mexico,6751,90,US
2021-01-02,Lea,New Mexico,6799,91,US
2021-01-03,Lea,New Mexico,6857,91,US
2021-01-04,Lea,New Mexico,6929,92,US
2021-01-05,Lea,New Mexico,6987,92,US
2021-01-06,Lea,New Mexico,7042,93,US
2021-01-07,Lea,New Mexico,7089,94,US
