Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lee,Illinois,0,0,US
2020-01-23,Lee,Illinois,0,0,US
2020-01-24,Lee,Illinois,0,0,US
2020-01-25,Lee,Illinois,0,0,US
2020-01-26,Lee,Illinois,0,0,US
2020-01-27,Lee,Illinois,0,0,US
2020-01-28,Lee,Illinois,0,0,US
2020-01-29,Lee,Illinois,0,0,US
2020-01-30,Lee,Illinois,0,0,US
2020-01-31,Lee,Illinois,0,0,US
2020-02-01,Lee,Illinois,0,0,US
2020-02-02,Lee,Illinois,0,0,US
2020-02-03,Lee,Illinois,0,0,US
2020-02-04,Lee,Illinois,0,0,US
2020-02-05,Lee,Illinois,0,0,US
2020-02-06,Lee,Illinois,0,0,US
2020-02-07,Lee,Illinois,0,0,US
2020-02-08,Lee,Illinois,0,0,US
2020-02-09,Lee,Illinois,0,0,US
2020-02-10,Lee,Illinois,0,0,US
2020-02-11,Lee,Illinois,0,0,US
2020-02-12,Lee,Illinois,0,0,US
2020-02-13,Lee,Illinois,0,0,US
2020-02-14,Lee,Illinois,0,0,US
2020-02-15,Lee,Illinois,0,0,US
2020-02-16,Lee,Illinois,0,0,US
2020-02-17,Lee,Illinois,0,0,US
2020-02-18,Lee,Illinois,0,0,US
2020-02-19,Lee,Illinois,0,0,US
2020-02-20,Lee,Illinois,0,0,US
2020-02-21,Lee,Illinois,0,0,US
2020-02-22,Lee,Illinois,0,0,US
2020-02-23,Lee,Illinois,0,0,US
2020-02-24,Lee,Illinois,0,0,US
2020-02-25,Lee,Illinois,0,0,US
2020-02-26,Lee,Illinois,0,0,US
2020-02-27,Lee,Illinois,0,0,US
2020-02-28,Lee,Illinois,0,0,US
2020-02-29,Lee,Illinois,0,0,US
2020-03-01,Lee,Illinois,0,0,US
2020-03-02,Lee,Illinois,0,0,US
2020-03-03,Lee,Illinois,0,0,US
2020-03-04,Lee,Illinois,0,0,US
2020-03-05,Lee,Illinois,0,0,US
2020-03-06,Lee,Illinois,0,0,US
2020-03-07,Lee,Illinois,0,0,US
2020-03-08,Lee,Illinois,0,0,US
2020-03-09,Lee,Illinois,0,0,US
2020-03-10,Lee,Illinois,0,0,US
2020-03-11,Lee,Illinois,0,0,US
2020-03-12,Lee,Illinois,0,0,US
2020-03-13,Lee,Illinois,0,0,US
2020-03-14,Lee,Illinois,0,0,US
2020-03-15,Lee,Illinois,0,0,US
2020-03-16,Lee,Illinois,0,0,US
2020-03-17,Lee,Illinois,0,0,US
2020-03-18,Lee,Illinois,0,0,US
2020-03-19,Lee,Illinois,0,0,US
2020-03-20,Lee,Illinois,0,0,US
2020-03-21,Lee,Illinois,0,0,US
2020-03-22,Lee,Illinois,0,0,US
2020-03-23,Lee,Illinois,0,0,US
2020-03-24,Lee,Illinois,0,0,US
2020-03-25,Lee,Illinois,0,0,US
2020-03-26,Lee,Illinois,0,0,US
2020-03-27,Lee,Illinois,0,0,US
2020-03-28,Lee,Illinois,0,0,US
2020-03-29,Lee,Illinois,0,0,US
2020-03-30,Lee,Illinois,0,0,US
2020-03-31,Lee,Illinois,0,0,US
2020-04-01,Lee,Illinois,0,0,US
2020-04-02,Lee,Illinois,0,0,US
2020-04-03,Lee,Illinois,0,0,US
2020-04-04,Lee,Illinois,2,0,US
2020-04-05,Lee,Illinois,2,0,US
2020-04-06,Lee,Illinois,2,0,US
2020-04-07,Lee,Illinois,3,0,US
2020-04-08,Lee,Illinois,6,0,US
2020-04-09,Lee,Illinois,9,0,US
2020-04-10,Lee,Illinois,12,0,US
2020-04-11,Lee,Illinois,12,0,US
2020-04-12,Lee,Illinois,13,0,US
2020-04-13,Lee,Illinois,14,0,US
2020-04-14,Lee,Illinois,13,0,US
2020-04-15,Lee,Illinois,15,0,US
2020-04-16,Lee,Illinois,15,0,US
2020-04-17,Lee,Illinois,17,0,US
2020-04-18,Lee,Illinois,17,0,US
2020-04-19,Lee,Illinois,17,0,US
2020-04-20,Lee,Illinois,17,0,US
2020-04-21,Lee,Illinois,17,0,US
2020-04-22,Lee,Illinois,18,0,US
2020-04-23,Lee,Illinois,18,0,US
2020-04-24,Lee,Illinois,18,0,US
2020-04-25,Lee,Illinois,19,0,US
2020-04-26,Lee,Illinois,19,0,US
2020-04-27,Lee,Illinois,20,0,US
2020-04-28,Lee,Illinois,22,0,US
2020-04-29,Lee,Illinois,23,0,US
2020-04-30,Lee,Illinois,24,0,US
2020-05-01,Lee,Illinois,23,0,US
2020-05-02,Lee,Illinois,23,0,US
2020-05-03,Lee,Illinois,25,0,US
2020-05-04,Lee,Illinois,25,0,US
2020-05-05,Lee,Illinois,41,0,US
2020-05-06,Lee,Illinois,49,0,US
2020-05-07,Lee,Illinois,51,0,US
2020-05-08,Lee,Illinois,63,0,US
2020-05-09,Lee,Illinois,63,0,US
2020-05-10,Lee,Illinois,63,0,US
2020-05-11,Lee,Illinois,63,0,US
2020-05-12,Lee,Illinois,69,0,US
2020-05-13,Lee,Illinois,70,0,US
2020-05-14,Lee,Illinois,70,1,US
2020-05-15,Lee,Illinois,73,1,US
2020-05-16,Lee,Illinois,74,1,US
2020-05-17,Lee,Illinois,74,1,US
2020-05-18,Lee,Illinois,74,1,US
2020-05-19,Lee,Illinois,75,1,US
2020-05-20,Lee,Illinois,75,1,US
2020-05-21,Lee,Illinois,75,1,US
2020-05-22,Lee,Illinois,75,1,US
2020-05-23,Lee,Illinois,76,1,US
2020-05-24,Lee,Illinois,77,1,US
2020-05-25,Lee,Illinois,77,1,US
2020-05-26,Lee,Illinois,76,1,US
2020-05-27,Lee,Illinois,76,1,US
2020-05-28,Lee,Illinois,79,1,US
2020-05-29,Lee,Illinois,79,1,US
2020-05-30,Lee,Illinois,81,1,US
2020-05-31,Lee,Illinois,81,1,US
2020-06-01,Lee,Illinois,81,1,US
2020-06-02,Lee,Illinois,82,1,US
2020-06-03,Lee,Illinois,82,1,US
2020-06-04,Lee,Illinois,82,1,US
2020-06-05,Lee,Illinois,82,1,US
2020-06-06,Lee,Illinois,88,1,US
2020-06-07,Lee,Illinois,89,1,US
2020-06-08,Lee,Illinois,89,1,US
2020-06-09,Lee,Illinois,89,1,US
2020-06-10,Lee,Illinois,89,1,US
2020-06-11,Lee,Illinois,88,1,US
2020-06-12,Lee,Illinois,88,1,US
2020-06-13,Lee,Illinois,88,1,US
2020-06-14,Lee,Illinois,89,1,US
2020-06-15,Lee,Illinois,89,1,US
2020-06-16,Lee,Illinois,89,1,US
2020-06-17,Lee,Illinois,90,1,US
2020-06-18,Lee,Illinois,90,1,US
2020-06-19,Lee,Illinois,94,1,US
2020-06-20,Lee,Illinois,94,1,US
2020-06-21,Lee,Illinois,96,1,US
2020-06-22,Lee,Illinois,96,2,US
2020-06-23,Lee,Illinois,96,2,US
2020-06-24,Lee,Illinois,96,2,US
2020-06-25,Lee,Illinois,96,2,US
2020-06-26,Lee,Illinois,96,2,US
2020-06-27,Lee,Illinois,97,2,US
2020-06-28,Lee,Illinois,97,2,US
2020-06-29,Lee,Illinois,97,2,US
2020-06-30,Lee,Illinois,97,2,US
2020-07-01,Lee,Illinois,97,2,US
2020-07-02,Lee,Illinois,98,2,US
2020-07-03,Lee,Illinois,98,2,US
2020-07-04,Lee,Illinois,101,2,US
2020-07-05,Lee,Illinois,101,2,US
2020-07-06,Lee,Illinois,103,2,US
2020-07-07,Lee,Illinois,104,2,US
2020-07-08,Lee,Illinois,104,2,US
2020-07-09,Lee,Illinois,104,2,US
2020-07-10,Lee,Illinois,105,2,US
2020-07-11,Lee,Illinois,105,2,US
2020-07-12,Lee,Illinois,107,2,US
2020-07-13,Lee,Illinois,107,2,US
2020-07-14,Lee,Illinois,109,2,US
2020-07-15,Lee,Illinois,110,2,US
2020-07-16,Lee,Illinois,111,2,US
2020-07-17,Lee,Illinois,112,2,US
2020-07-18,Lee,Illinois,113,2,US
2020-07-19,Lee,Illinois,117,2,US
2020-07-20,Lee,Illinois,117,2,US
2020-07-21,Lee,Illinois,119,2,US
2020-07-22,Lee,Illinois,120,2,US
2020-07-23,Lee,Illinois,120,2,US
2020-07-24,Lee,Illinois,121,2,US
2020-07-25,Lee,Illinois,125,2,US
2020-07-26,Lee,Illinois,126,2,US
2020-07-27,Lee,Illinois,129,2,US
2020-07-28,Lee,Illinois,129,2,US
2020-07-29,Lee,Illinois,131,2,US
2020-07-30,Lee,Illinois,136,2,US
2020-07-31,Lee,Illinois,136,2,US
2020-08-01,Lee,Illinois,146,2,US
2020-08-02,Lee,Illinois,146,2,US
2020-08-03,Lee,Illinois,148,2,US
2020-08-04,Lee,Illinois,148,2,US
2020-08-05,Lee,Illinois,149,1,US
2020-08-06,Lee,Illinois,162,1,US
2020-08-07,Lee,Illinois,165,1,US
2020-08-08,Lee,Illinois,170,1,US
2020-08-09,Lee,Illinois,171,1,US
2020-08-10,Lee,Illinois,173,1,US
2020-08-11,Lee,Illinois,178,1,US
2020-08-12,Lee,Illinois,186,1,US
2020-08-13,Lee,Illinois,186,1,US
2020-08-14,Lee,Illinois,191,1,US
2020-08-15,Lee,Illinois,192,1,US
2020-08-16,Lee,Illinois,194,1,US
2020-08-17,Lee,Illinois,198,1,US
2020-08-18,Lee,Illinois,199,1,US
2020-08-19,Lee,Illinois,203,1,US
2020-08-20,Lee,Illinois,205,1,US
2020-08-21,Lee,Illinois,208,1,US
2020-08-22,Lee,Illinois,211,1,US
2020-08-23,Lee,Illinois,215,1,US
2020-08-24,Lee,Illinois,218,1,US
2020-08-25,Lee,Illinois,218,1,US
2020-08-26,Lee,Illinois,222,1,US
2020-08-27,Lee,Illinois,226,1,US
2020-08-28,Lee,Illinois,231,1,US
2020-08-29,Lee,Illinois,238,1,US
2020-08-30,Lee,Illinois,241,1,US
2020-08-31,Lee,Illinois,244,1,US
2020-09-01,Lee,Illinois,243,1,US
2020-09-02,Lee,Illinois,244,1,US
2020-09-03,Lee,Illinois,246,1,US
2020-09-04,Lee,Illinois,268,1,US
