Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Leelanau,Michigan,0,0,US
2020-01-23,Leelanau,Michigan,0,0,US
2020-01-24,Leelanau,Michigan,0,0,US
2020-01-25,Leelanau,Michigan,0,0,US
2020-01-26,Leelanau,Michigan,0,0,US
2020-01-27,Leelanau,Michigan,0,0,US
2020-01-28,Leelanau,Michigan,0,0,US
2020-01-29,Leelanau,Michigan,0,0,US
2020-01-30,Leelanau,Michigan,0,0,US
2020-01-31,Leelanau,Michigan,0,0,US
2020-02-01,Leelanau,Michigan,0,0,US
2020-02-02,Leelanau,Michigan,0,0,US
2020-02-03,Leelanau,Michigan,0,0,US
2020-02-04,Leelanau,Michigan,0,0,US
2020-02-05,Leelanau,Michigan,0,0,US
2020-02-06,Leelanau,Michigan,0,0,US
2020-02-07,Leelanau,Michigan,0,0,US
2020-02-08,Leelanau,Michigan,0,0,US
2020-02-09,Leelanau,Michigan,0,0,US
2020-02-10,Leelanau,Michigan,0,0,US
2020-02-11,Leelanau,Michigan,0,0,US
2020-02-12,Leelanau,Michigan,0,0,US
2020-02-13,Leelanau,Michigan,0,0,US
2020-02-14,Leelanau,Michigan,0,0,US
2020-02-15,Leelanau,Michigan,0,0,US
2020-02-16,Leelanau,Michigan,0,0,US
2020-02-17,Leelanau,Michigan,0,0,US
2020-02-18,Leelanau,Michigan,0,0,US
2020-02-19,Leelanau,Michigan,0,0,US
2020-02-20,Leelanau,Michigan,0,0,US
2020-02-21,Leelanau,Michigan,0,0,US
2020-02-22,Leelanau,Michigan,0,0,US
2020-02-23,Leelanau,Michigan,0,0,US
2020-02-24,Leelanau,Michigan,0,0,US
2020-02-25,Leelanau,Michigan,0,0,US
2020-02-26,Leelanau,Michigan,0,0,US
2020-02-27,Leelanau,Michigan,0,0,US
2020-02-28,Leelanau,Michigan,0,0,US
2020-02-29,Leelanau,Michigan,0,0,US
2020-03-01,Leelanau,Michigan,0,0,US
2020-03-02,Leelanau,Michigan,0,0,US
2020-03-03,Leelanau,Michigan,0,0,US
2020-03-04,Leelanau,Michigan,0,0,US
2020-03-05,Leelanau,Michigan,0,0,US
2020-03-06,Leelanau,Michigan,0,0,US
2020-03-07,Leelanau,Michigan,0,0,US
2020-03-08,Leelanau,Michigan,0,0,US
2020-03-09,Leelanau,Michigan,0,0,US
2020-03-10,Leelanau,Michigan,0,0,US
2020-03-11,Leelanau,Michigan,0,0,US
2020-03-12,Leelanau,Michigan,0,0,US
2020-03-13,Leelanau,Michigan,0,0,US
2020-03-14,Leelanau,Michigan,0,0,US
2020-03-15,Leelanau,Michigan,0,0,US
