Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Leflore,Mississippi,0,0,US
2020-01-23,Leflore,Mississippi,0,0,US
2020-01-24,Leflore,Mississippi,0,0,US
2020-01-25,Leflore,Mississippi,0,0,US
2020-01-26,Leflore,Mississippi,0,0,US
2020-01-27,Leflore,Mississippi,0,0,US
2020-01-28,Leflore,Mississippi,0,0,US
2020-01-29,Leflore,Mississippi,0,0,US
2020-01-30,Leflore,Mississippi,0,0,US
2020-01-31,Leflore,Mississippi,0,0,US
2020-02-01,Leflore,Mississippi,0,0,US
2020-02-02,Leflore,Mississippi,0,0,US
2020-02-03,Leflore,Mississippi,0,0,US
2020-02-04,Leflore,Mississippi,0,0,US
2020-02-05,Leflore,Mississippi,0,0,US
2020-02-06,Leflore,Mississippi,0,0,US
2020-02-07,Leflore,Mississippi,0,0,US
2020-02-08,Leflore,Mississippi,0,0,US
2020-02-09,Leflore,Mississippi,0,0,US
2020-02-10,Leflore,Mississippi,0,0,US
2020-02-11,Leflore,Mississippi,0,0,US
2020-02-12,Leflore,Mississippi,0,0,US
2020-02-13,Leflore,Mississippi,0,0,US
2020-02-14,Leflore,Mississippi,0,0,US
2020-02-15,Leflore,Mississippi,0,0,US
2020-02-16,Leflore,Mississippi,0,0,US
2020-02-17,Leflore,Mississippi,0,0,US
2020-02-18,Leflore,Mississippi,0,0,US
2020-02-19,Leflore,Mississippi,0,0,US
2020-02-20,Leflore,Mississippi,0,0,US
2020-02-21,Leflore,Mississippi,0,0,US
2020-02-22,Leflore,Mississippi,0,0,US
2020-02-23,Leflore,Mississippi,0,0,US
2020-02-24,Leflore,Mississippi,0,0,US
2020-02-25,Leflore,Mississippi,0,0,US
2020-02-26,Leflore,Mississippi,0,0,US
2020-02-27,Leflore,Mississippi,0,0,US
2020-02-28,Leflore,Mississippi,0,0,US
2020-02-29,Leflore,Mississippi,0,0,US
2020-03-01,Leflore,Mississippi,0,0,US
2020-03-02,Leflore,Mississippi,0,0,US
2020-03-03,Leflore,Mississippi,0,0,US
2020-03-04,Leflore,Mississippi,0,0,US
2020-03-05,Leflore,Mississippi,0,0,US
2020-03-06,Leflore,Mississippi,0,0,US
2020-03-07,Leflore,Mississippi,0,0,US
2020-03-08,Leflore,Mississippi,0,0,US
2020-03-09,Leflore,Mississippi,0,0,US
2020-03-10,Leflore,Mississippi,0,0,US
2020-03-11,Leflore,Mississippi,0,0,US
2020-03-12,Leflore,Mississippi,0,0,US
2020-03-13,Leflore,Mississippi,1,0,US
2020-03-14,Leflore,Mississippi,1,0,US
2020-03-15,Leflore,Mississippi,1,0,US
2020-03-16,Leflore,Mississippi,1,0,US
2020-03-17,Leflore,Mississippi,4,0,US
2020-03-18,Leflore,Mississippi,4,0,US
2020-03-19,Leflore,Mississippi,4,0,US
2020-03-20,Leflore,Mississippi,7,0,US
2020-03-21,Leflore,Mississippi,7,0,US
2020-03-22,Leflore,Mississippi,8,0,US
2020-03-23,Leflore,Mississippi,9,0,US
2020-03-24,Leflore,Mississippi,10,0,US
2020-03-25,Leflore,Mississippi,13,0,US
2020-03-26,Leflore,Mississippi,13,0,US
2020-03-27,Leflore,Mississippi,13,0,US
2020-03-28,Leflore,Mississippi,15,0,US
2020-03-29,Leflore,Mississippi,15,0,US
2020-03-30,Leflore,Mississippi,15,0,US
2020-03-31,Leflore,Mississippi,19,1,US
2020-04-01,Leflore,Mississippi,20,1,US
2020-04-02,Leflore,Mississippi,20,1,US
2020-04-03,Leflore,Mississippi,21,1,US
2020-04-04,Leflore,Mississippi,22,1,US
2020-04-05,Leflore,Mississippi,22,3,US
2020-04-06,Leflore,Mississippi,23,4,US
2020-04-07,Leflore,Mississippi,26,5,US
2020-04-08,Leflore,Mississippi,28,4,US
2020-04-09,Leflore,Mississippi,32,4,US
2020-04-10,Leflore,Mississippi,43,4,US
2020-04-11,Leflore,Mississippi,44,4,US
2020-04-12,Leflore,Mississippi,45,4,US
2020-04-13,Leflore,Mississippi,48,4,US
2020-04-14,Leflore,Mississippi,52,6,US
2020-04-15,Leflore,Mississippi,55,6,US
2020-04-16,Leflore,Mississippi,62,6,US
2020-04-17,Leflore,Mississippi,70,6,US
2020-04-18,Leflore,Mississippi,75,6,US
2020-04-19,Leflore,Mississippi,91,7,US
2020-04-20,Leflore,Mississippi,105,10,US
2020-04-21,Leflore,Mississippi,109,12,US
2020-04-22,Leflore,Mississippi,113,12,US
2020-04-23,Leflore,Mississippi,119,13,US
2020-04-24,Leflore,Mississippi,124,14,US
2020-04-25,Leflore,Mississippi,131,15,US
2020-04-26,Leflore,Mississippi,136,15,US
2020-04-27,Leflore,Mississippi,137,15,US
2020-04-28,Leflore,Mississippi,141,15,US
2020-04-29,Leflore,Mississippi,145,16,US
2020-04-30,Leflore,Mississippi,148,17,US
2020-05-01,Leflore,Mississippi,164,17,US
2020-05-02,Leflore,Mississippi,165,17,US
2020-05-03,Leflore,Mississippi,168,17,US
2020-05-04,Leflore,Mississippi,174,17,US
2020-05-05,Leflore,Mississippi,175,18,US
2020-05-06,Leflore,Mississippi,177,18,US
2020-05-07,Leflore,Mississippi,180,18,US
2020-05-08,Leflore,Mississippi,182,18,US
2020-05-09,Leflore,Mississippi,185,18,US
2020-05-10,Leflore,Mississippi,185,18,US
2020-05-11,Leflore,Mississippi,185,18,US
2020-05-12,Leflore,Mississippi,191,20,US
2020-05-13,Leflore,Mississippi,192,21,US
2020-05-14,Leflore,Mississippi,197,22,US
2020-05-15,Leflore,Mississippi,199,22,US
2020-05-16,Leflore,Mississippi,200,22,US
2020-05-17,Leflore,Mississippi,200,22,US
2020-05-18,Leflore,Mississippi,200,22,US
2020-05-19,Leflore,Mississippi,202,22,US
2020-05-20,Leflore,Mississippi,205,23,US
2020-05-21,Leflore,Mississippi,206,24,US
2020-05-22,Leflore,Mississippi,211,25,US
2020-05-23,Leflore,Mississippi,240,25,US
2020-05-24,Leflore,Mississippi,240,25,US
2020-05-25,Leflore,Mississippi,241,26,US
2020-05-26,Leflore,Mississippi,246,27,US
2020-05-27,Leflore,Mississippi,250,30,US
2020-05-28,Leflore,Mississippi,251,30,US
2020-05-29,Leflore,Mississippi,255,30,US
2020-05-30,Leflore,Mississippi,258,31,US
2020-05-31,Leflore,Mississippi,264,31,US
2020-06-01,Leflore,Mississippi,265,32,US
2020-06-02,Leflore,Mississippi,273,34,US
2020-06-03,Leflore,Mississippi,273,36,US
2020-06-04,Leflore,Mississippi,277,36,US
2020-06-05,Leflore,Mississippi,282,38,US
2020-06-06,Leflore,Mississippi,287,39,US
2020-06-07,Leflore,Mississippi,288,40,US
2020-06-08,Leflore,Mississippi,309,42,US
2020-06-09,Leflore,Mississippi,322,43,US
2020-06-10,Leflore,Mississippi,330,44,US
2020-06-11,Leflore,Mississippi,330,44,US
2020-06-12,Leflore,Mississippi,350,44,US
2020-06-13,Leflore,Mississippi,352,45,US
2020-06-14,Leflore,Mississippi,358,45,US
2020-06-15,Leflore,Mississippi,368,45,US
2020-06-16,Leflore,Mississippi,376,45,US
2020-06-17,Leflore,Mississippi,385,47,US
2020-06-18,Leflore,Mississippi,385,47,US
2020-06-19,Leflore,Mississippi,385,47,US
2020-06-20,Leflore,Mississippi,385,47,US
2020-06-21,Leflore,Mississippi,385,47,US
2020-06-22,Leflore,Mississippi,420,47,US
2020-06-23,Leflore,Mississippi,430,48,US
2020-06-24,Leflore,Mississippi,434,48,US
2020-06-25,Leflore,Mississippi,439,48,US
2020-06-26,Leflore,Mississippi,441,48,US
2020-06-27,Leflore,Mississippi,449,48,US
2020-06-28,Leflore,Mississippi,454,48,US
2020-06-29,Leflore,Mississippi,455,48,US
2020-06-30,Leflore,Mississippi,469,48,US
2020-07-01,Leflore,Mississippi,472,49,US
2020-07-02,Leflore,Mississippi,474,49,US
2020-07-03,Leflore,Mississippi,480,49,US
2020-07-04,Leflore,Mississippi,486,51,US
2020-07-05,Leflore,Mississippi,487,51,US
