Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lincoln,Idaho,0,0,US
2020-01-23,Lincoln,Idaho,0,0,US
2020-01-24,Lincoln,Idaho,0,0,US
2020-01-25,Lincoln,Idaho,0,0,US
2020-01-26,Lincoln,Idaho,0,0,US
2020-01-27,Lincoln,Idaho,0,0,US
2020-01-28,Lincoln,Idaho,0,0,US
2020-01-29,Lincoln,Idaho,0,0,US
2020-01-30,Lincoln,Idaho,0,0,US
2020-01-31,Lincoln,Idaho,0,0,US
2020-02-01,Lincoln,Idaho,0,0,US
2020-02-02,Lincoln,Idaho,0,0,US
2020-02-03,Lincoln,Idaho,0,0,US
2020-02-04,Lincoln,Idaho,0,0,US
2020-02-05,Lincoln,Idaho,0,0,US
2020-02-06,Lincoln,Idaho,0,0,US
2020-02-07,Lincoln,Idaho,0,0,US
2020-02-08,Lincoln,Idaho,0,0,US
2020-02-09,Lincoln,Idaho,0,0,US
2020-02-10,Lincoln,Idaho,0,0,US
2020-02-11,Lincoln,Idaho,0,0,US
2020-02-12,Lincoln,Idaho,0,0,US
2020-02-13,Lincoln,Idaho,0,0,US
2020-02-14,Lincoln,Idaho,0,0,US
2020-02-15,Lincoln,Idaho,0,0,US
2020-02-16,Lincoln,Idaho,0,0,US
2020-02-17,Lincoln,Idaho,0,0,US
2020-02-18,Lincoln,Idaho,0,0,US
2020-02-19,Lincoln,Idaho,0,0,US
2020-02-20,Lincoln,Idaho,0,0,US
2020-02-21,Lincoln,Idaho,0,0,US
2020-02-22,Lincoln,Idaho,0,0,US
2020-02-23,Lincoln,Idaho,0,0,US
2020-02-24,Lincoln,Idaho,0,0,US
2020-02-25,Lincoln,Idaho,0,0,US
2020-02-26,Lincoln,Idaho,0,0,US
2020-02-27,Lincoln,Idaho,0,0,US
2020-02-28,Lincoln,Idaho,0,0,US
2020-02-29,Lincoln,Idaho,0,0,US
2020-03-01,Lincoln,Idaho,0,0,US
2020-03-02,Lincoln,Idaho,0,0,US
2020-03-03,Lincoln,Idaho,0,0,US
2020-03-04,Lincoln,Idaho,0,0,US
2020-03-05,Lincoln,Idaho,0,0,US
2020-03-06,Lincoln,Idaho,0,0,US
2020-03-07,Lincoln,Idaho,0,0,US
2020-03-08,Lincoln,Idaho,0,0,US
2020-03-09,Lincoln,Idaho,0,0,US
2020-03-10,Lincoln,Idaho,0,0,US
2020-03-11,Lincoln,Idaho,0,0,US
2020-03-12,Lincoln,Idaho,0,0,US
2020-03-13,Lincoln,Idaho,0,0,US
2020-03-14,Lincoln,Idaho,0,0,US
2020-03-15,Lincoln,Idaho,0,0,US
2020-03-16,Lincoln,Idaho,0,0,US
2020-03-17,Lincoln,Idaho,0,0,US
2020-03-18,Lincoln,Idaho,0,0,US
2020-03-19,Lincoln,Idaho,0,0,US
2020-03-20,Lincoln,Idaho,0,0,US
2020-03-21,Lincoln,Idaho,0,0,US
2020-03-22,Lincoln,Idaho,0,0,US
2020-03-23,Lincoln,Idaho,0,0,US
2020-03-24,Lincoln,Idaho,0,0,US
2020-03-25,Lincoln,Idaho,0,0,US
2020-03-26,Lincoln,Idaho,0,0,US
2020-03-27,Lincoln,Idaho,0,0,US
2020-03-28,Lincoln,Idaho,1,0,US
