Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Livingston,Louisiana,0,0,US
2020-01-23,Livingston,Louisiana,0,0,US
2020-01-24,Livingston,Louisiana,0,0,US
2020-01-25,Livingston,Louisiana,0,0,US
2020-01-26,Livingston,Louisiana,0,0,US
2020-01-27,Livingston,Louisiana,0,0,US
2020-01-28,Livingston,Louisiana,0,0,US
2020-01-29,Livingston,Louisiana,0,0,US
2020-01-30,Livingston,Louisiana,0,0,US
2020-01-31,Livingston,Louisiana,0,0,US
2020-02-01,Livingston,Louisiana,0,0,US
2020-02-02,Livingston,Louisiana,0,0,US
2020-02-03,Livingston,Louisiana,0,0,US
2020-02-04,Livingston,Louisiana,0,0,US
2020-02-05,Livingston,Louisiana,0,0,US
2020-02-06,Livingston,Louisiana,0,0,US
2020-02-07,Livingston,Louisiana,0,0,US
2020-02-08,Livingston,Louisiana,0,0,US
2020-02-09,Livingston,Louisiana,0,0,US
2020-02-10,Livingston,Louisiana,0,0,US
2020-02-11,Livingston,Louisiana,0,0,US
2020-02-12,Livingston,Louisiana,0,0,US
2020-02-13,Livingston,Louisiana,0,0,US
2020-02-14,Livingston,Louisiana,0,0,US
2020-02-15,Livingston,Louisiana,0,0,US
2020-02-16,Livingston,Louisiana,0,0,US
2020-02-17,Livingston,Louisiana,0,0,US
2020-02-18,Livingston,Louisiana,0,0,US
2020-02-19,Livingston,Louisiana,0,0,US
2020-02-20,Livingston,Louisiana,0,0,US
2020-02-21,Livingston,Louisiana,0,0,US
2020-02-22,Livingston,Louisiana,0,0,US
2020-02-23,Livingston,Louisiana,0,0,US
2020-02-24,Livingston,Louisiana,0,0,US
2020-02-25,Livingston,Louisiana,0,0,US
2020-02-26,Livingston,Louisiana,0,0,US
2020-02-27,Livingston,Louisiana,0,0,US
2020-02-28,Livingston,Louisiana,0,0,US
2020-02-29,Livingston,Louisiana,0,0,US
2020-03-01,Livingston,Louisiana,0,0,US
2020-03-02,Livingston,Louisiana,0,0,US
2020-03-03,Livingston,Louisiana,0,0,US
2020-03-04,Livingston,Louisiana,0,0,US
2020-03-05,Livingston,Louisiana,0,0,US
2020-03-06,Livingston,Louisiana,0,0,US
2020-03-07,Livingston,Louisiana,0,0,US
2020-03-08,Livingston,Louisiana,0,0,US
2020-03-09,Livingston,Louisiana,0,0,US
2020-03-10,Livingston,Louisiana,0,0,US
2020-03-11,Livingston,Louisiana,0,0,US
2020-03-12,Livingston,Louisiana,0,0,US
2020-03-13,Livingston,Louisiana,0,0,US
2020-03-14,Livingston,Louisiana,0,0,US
2020-03-15,Livingston,Louisiana,0,0,US
2020-03-16,Livingston,Louisiana,0,0,US
2020-03-17,Livingston,Louisiana,0,0,US
2020-03-18,Livingston,Louisiana,0,0,US
2020-03-19,Livingston,Louisiana,0,0,US
2020-03-20,Livingston,Louisiana,1,0,US
2020-03-21,Livingston,Louisiana,2,0,US
2020-03-22,Livingston,Louisiana,2,0,US
2020-03-23,Livingston,Louisiana,5,0,US
2020-03-24,Livingston,Louisiana,6,0,US
2020-03-25,Livingston,Louisiana,6,0,US
2020-03-26,Livingston,Louisiana,11,0,US
2020-03-27,Livingston,Louisiana,11,0,US
2020-03-28,Livingston,Louisiana,12,0,US
2020-03-29,Livingston,Louisiana,15,0,US
2020-03-30,Livingston,Louisiana,16,0,US
2020-03-31,Livingston,Louisiana,23,0,US
2020-04-01,Livingston,Louisiana,25,0,US
2020-04-02,Livingston,Louisiana,33,0,US
2020-04-03,Livingston,Louisiana,40,1,US
2020-04-04,Livingston,Louisiana,64,1,US
2020-04-05,Livingston,Louisiana,67,1,US
2020-04-06,Livingston,Louisiana,79,1,US
2020-04-07,Livingston,Louisiana,94,1,US
2020-04-08,Livingston,Louisiana,99,1,US
2020-04-09,Livingston,Louisiana,103,1,US
2020-04-10,Livingston,Louisiana,107,1,US
2020-04-11,Livingston,Louisiana,109,1,US
2020-04-12,Livingston,Louisiana,120,1,US
2020-04-13,Livingston,Louisiana,122,3,US
2020-04-14,Livingston,Louisiana,129,4,US
2020-04-15,Livingston,Louisiana,133,5,US
2020-04-16,Livingston,Louisiana,136,5,US
2020-04-17,Livingston,Louisiana,142,7,US
2020-04-18,Livingston,Louisiana,144,8,US
2020-04-19,Livingston,Louisiana,148,8,US
2020-04-20,Livingston,Louisiana,149,8,US
2020-04-21,Livingston,Louisiana,158,9,US
2020-04-22,Livingston,Louisiana,161,10,US
2020-04-23,Livingston,Louisiana,165,11,US
2020-04-24,Livingston,Louisiana,172,11,US
2020-04-25,Livingston,Louisiana,177,11,US
2020-04-26,Livingston,Louisiana,182,11,US
2020-04-27,Livingston,Louisiana,183,11,US
2020-04-28,Livingston,Louisiana,185,13,US
2020-04-29,Livingston,Louisiana,190,14,US
2020-04-30,Livingston,Louisiana,197,15,US
2020-05-01,Livingston,Louisiana,229,15,US
2020-05-02,Livingston,Louisiana,235,16,US
2020-05-03,Livingston,Louisiana,238,16,US
2020-05-04,Livingston,Louisiana,243,16,US
2020-05-05,Livingston,Louisiana,247,18,US
2020-05-06,Livingston,Louisiana,266,18,US
2020-05-07,Livingston,Louisiana,268,19,US
2020-05-08,Livingston,Louisiana,268,21,US
2020-05-09,Livingston,Louisiana,277,22,US
2020-05-10,Livingston,Louisiana,278,24,US
2020-05-11,Livingston,Louisiana,281,24,US
2020-05-12,Livingston,Louisiana,283,24,US
2020-05-13,Livingston,Louisiana,293,23,US
2020-05-14,Livingston,Louisiana,343,23,US
2020-05-15,Livingston,Louisiana,347,23,US
2020-05-16,Livingston,Louisiana,344,24,US
2020-05-17,Livingston,Louisiana,348,25,US
2020-05-18,Livingston,Louisiana,350,25,US
2020-05-19,Livingston,Louisiana,356,26,US
2020-05-20,Livingston,Louisiana,358,26,US
2020-05-21,Livingston,Louisiana,363,26,US
2020-05-22,Livingston,Louisiana,366,26,US
2020-05-23,Livingston,Louisiana,366,26,US
2020-05-24,Livingston,Louisiana,375,26,US
2020-05-25,Livingston,Louisiana,391,27,US
