Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Llano,Texas,0,0,US
2020-01-23,Llano,Texas,0,0,US
2020-01-24,Llano,Texas,0,0,US
2020-01-25,Llano,Texas,0,0,US
2020-01-26,Llano,Texas,0,0,US
2020-01-27,Llano,Texas,0,0,US
2020-01-28,Llano,Texas,0,0,US
2020-01-29,Llano,Texas,0,0,US
2020-01-30,Llano,Texas,0,0,US
2020-01-31,Llano,Texas,0,0,US
2020-02-01,Llano,Texas,0,0,US
2020-02-02,Llano,Texas,0,0,US
2020-02-03,Llano,Texas,0,0,US
2020-02-04,Llano,Texas,0,0,US
2020-02-05,Llano,Texas,0,0,US
2020-02-06,Llano,Texas,0,0,US
2020-02-07,Llano,Texas,0,0,US
2020-02-08,Llano,Texas,0,0,US
2020-02-09,Llano,Texas,0,0,US
2020-02-10,Llano,Texas,0,0,US
2020-02-11,Llano,Texas,0,0,US
2020-02-12,Llano,Texas,0,0,US
2020-02-13,Llano,Texas,0,0,US
2020-02-14,Llano,Texas,0,0,US
2020-02-15,Llano,Texas,0,0,US
2020-02-16,Llano,Texas,0,0,US
2020-02-17,Llano,Texas,0,0,US
2020-02-18,Llano,Texas,0,0,US
2020-02-19,Llano,Texas,0,0,US
2020-02-20,Llano,Texas,0,0,US
2020-02-21,Llano,Texas,0,0,US
2020-02-22,Llano,Texas,0,0,US
2020-02-23,Llano,Texas,0,0,US
2020-02-24,Llano,Texas,0,0,US
2020-02-25,Llano,Texas,0,0,US
2020-02-26,Llano,Texas,0,0,US
2020-02-27,Llano,Texas,0,0,US
2020-02-28,Llano,Texas,0,0,US
2020-02-29,Llano,Texas,0,0,US
2020-03-01,Llano,Texas,0,0,US
2020-03-02,Llano,Texas,0,0,US
2020-03-03,Llano,Texas,0,0,US
2020-03-04,Llano,Texas,0,0,US
2020-03-05,Llano,Texas,0,0,US
2020-03-06,Llano,Texas,0,0,US
2020-03-07,Llano,Texas,0,0,US
2020-03-08,Llano,Texas,0,0,US
2020-03-09,Llano,Texas,0,0,US
2020-03-10,Llano,Texas,0,0,US
2020-03-11,Llano,Texas,0,0,US
2020-03-12,Llano,Texas,0,0,US
2020-03-13,Llano,Texas,0,0,US
2020-03-14,Llano,Texas,0,0,US
2020-03-15,Llano,Texas,0,0,US
2020-03-16,Llano,Texas,0,0,US
2020-03-17,Llano,Texas,0,0,US
2020-03-18,Llano,Texas,0,0,US
2020-03-19,Llano,Texas,0,0,US
2020-03-20,Llano,Texas,0,0,US
2020-03-21,Llano,Texas,0,0,US
2020-03-22,Llano,Texas,0,0,US
2020-03-23,Llano,Texas,0,0,US
2020-03-24,Llano,Texas,1,0,US
2020-03-25,Llano,Texas,1,0,US
2020-03-26,Llano,Texas,2,0,US
2020-03-27,Llano,Texas,2,0,US
2020-03-28,Llano,Texas,2,0,US
2020-03-29,Llano,Texas,2,0,US
2020-03-30,Llano,Texas,3,0,US
2020-03-31,Llano,Texas,3,0,US
2020-04-01,Llano,Texas,0,0,US
2020-04-02,Llano,Texas,0,0,US
2020-04-03,Llano,Texas,0,0,US
2020-04-04,Llano,Texas,0,0,US
2020-04-05,Llano,Texas,0,0,US
2020-04-06,Llano,Texas,0,0,US
2020-04-07,Llano,Texas,0,0,US
2020-04-08,Llano,Texas,0,0,US
2020-04-09,Llano,Texas,0,0,US
2020-04-10,Llano,Texas,0,0,US
2020-04-11,Llano,Texas,0,0,US
2020-04-12,Llano,Texas,0,0,US
2020-04-13,Llano,Texas,0,0,US
2020-04-14,Llano,Texas,0,0,US
2020-04-15,Llano,Texas,0,0,US
2020-04-16,Llano,Texas,0,0,US
2020-04-17,Llano,Texas,0,0,US
2020-04-18,Llano,Texas,0,0,US
2020-04-19,Llano,Texas,0,0,US
2020-04-20,Llano,Texas,0,0,US
2020-04-21,Llano,Texas,0,0,US
2020-04-22,Llano,Texas,0,0,US
2020-04-23,Llano,Texas,0,0,US
2020-04-24,Llano,Texas,0,0,US
2020-04-25,Llano,Texas,0,0,US
2020-04-26,Llano,Texas,0,0,US
2020-04-27,Llano,Texas,0,0,US
2020-04-28,Llano,Texas,0,0,US
2020-04-29,Llano,Texas,0,0,US
2020-04-30,Llano,Texas,0,0,US
2020-05-01,Llano,Texas,0,0,US
2020-05-02,Llano,Texas,0,0,US
2020-05-03,Llano,Texas,0,0,US
2020-05-04,Llano,Texas,0,0,US
2020-05-05,Llano,Texas,0,0,US
2020-05-06,Llano,Texas,0,0,US
2020-05-07,Llano,Texas,0,0,US
2020-05-08,Llano,Texas,0,0,US
2020-05-09,Llano,Texas,0,0,US
2020-05-10,Llano,Texas,0,0,US
2020-05-11,Llano,Texas,0,0,US
2020-05-12,Llano,Texas,0,0,US
2020-05-13,Llano,Texas,0,0,US
2020-05-14,Llano,Texas,0,0,US
2020-05-15,Llano,Texas,0,0,US
2020-05-16,Llano,Texas,0,0,US
2020-05-17,Llano,Texas,0,0,US
2020-05-18,Llano,Texas,0,0,US
2020-05-19,Llano,Texas,0,0,US
2020-05-20,Llano,Texas,0,0,US
2020-05-21,Llano,Texas,1,0,US
2020-05-22,Llano,Texas,1,0,US
2020-05-23,Llano,Texas,1,0,US
2020-05-24,Llano,Texas,1,0,US
2020-05-25,Llano,Texas,1,0,US
2020-05-26,Llano,Texas,1,0,US
2020-05-27,Llano,Texas,1,0,US
2020-05-28,Llano,Texas,1,0,US
2020-05-29,Llano,Texas,1,0,US
2020-05-30,Llano,Texas,1,0,US
2020-05-31,Llano,Texas,1,0,US
2020-06-01,Llano,Texas,1,0,US
