Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Logan,Arkansas,0,0,US
2020-01-23,Logan,Arkansas,0,0,US
2020-01-24,Logan,Arkansas,0,0,US
2020-01-25,Logan,Arkansas,0,0,US
2020-01-26,Logan,Arkansas,0,0,US
2020-01-27,Logan,Arkansas,0,0,US
2020-01-28,Logan,Arkansas,0,0,US
2020-01-29,Logan,Arkansas,0,0,US
2020-01-30,Logan,Arkansas,0,0,US
2020-01-31,Logan,Arkansas,0,0,US
2020-02-01,Logan,Arkansas,0,0,US
2020-02-02,Logan,Arkansas,0,0,US
2020-02-03,Logan,Arkansas,0,0,US
2020-02-04,Logan,Arkansas,0,0,US
2020-02-05,Logan,Arkansas,0,0,US
2020-02-06,Logan,Arkansas,0,0,US
2020-02-07,Logan,Arkansas,0,0,US
2020-02-08,Logan,Arkansas,0,0,US
2020-02-09,Logan,Arkansas,0,0,US
2020-02-10,Logan,Arkansas,0,0,US
2020-02-11,Logan,Arkansas,0,0,US
2020-02-12,Logan,Arkansas,0,0,US
2020-02-13,Logan,Arkansas,0,0,US
2020-02-14,Logan,Arkansas,0,0,US
2020-02-15,Logan,Arkansas,0,0,US
2020-02-16,Logan,Arkansas,0,0,US
2020-02-17,Logan,Arkansas,0,0,US
2020-02-18,Logan,Arkansas,0,0,US
2020-02-19,Logan,Arkansas,0,0,US
2020-02-20,Logan,Arkansas,0,0,US
2020-02-21,Logan,Arkansas,0,0,US
2020-02-22,Logan,Arkansas,0,0,US
2020-02-23,Logan,Arkansas,0,0,US
2020-02-24,Logan,Arkansas,0,0,US
2020-02-25,Logan,Arkansas,0,0,US
2020-02-26,Logan,Arkansas,0,0,US
2020-02-27,Logan,Arkansas,0,0,US
2020-02-28,Logan,Arkansas,0,0,US
2020-02-29,Logan,Arkansas,0,0,US
2020-03-01,Logan,Arkansas,0,0,US
2020-03-02,Logan,Arkansas,0,0,US
2020-03-03,Logan,Arkansas,0,0,US
2020-03-04,Logan,Arkansas,0,0,US
2020-03-05,Logan,Arkansas,0,0,US
2020-03-06,Logan,Arkansas,0,0,US
2020-03-07,Logan,Arkansas,0,0,US
2020-03-08,Logan,Arkansas,0,0,US
2020-03-09,Logan,Arkansas,0,0,US
2020-03-10,Logan,Arkansas,0,0,US
2020-03-11,Logan,Arkansas,0,0,US
