Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Loiza,Puerto Rico,0,0,US
2020-01-23,Loiza,Puerto Rico,0,0,US
2020-01-24,Loiza,Puerto Rico,0,0,US
2020-01-25,Loiza,Puerto Rico,0,0,US
2020-01-26,Loiza,Puerto Rico,0,0,US
2020-01-27,Loiza,Puerto Rico,0,0,US
2020-01-28,Loiza,Puerto Rico,0,0,US
2020-01-29,Loiza,Puerto Rico,0,0,US
2020-01-30,Loiza,Puerto Rico,0,0,US
2020-01-31,Loiza,Puerto Rico,0,0,US
2020-02-01,Loiza,Puerto Rico,0,0,US
2020-02-02,Loiza,Puerto Rico,0,0,US
2020-02-03,Loiza,Puerto Rico,0,0,US
2020-02-04,Loiza,Puerto Rico,0,0,US
2020-02-05,Loiza,Puerto Rico,0,0,US
2020-02-06,Loiza,Puerto Rico,0,0,US
2020-02-07,Loiza,Puerto Rico,0,0,US
2020-02-08,Loiza,Puerto Rico,0,0,US
2020-02-09,Loiza,Puerto Rico,0,0,US
2020-02-10,Loiza,Puerto Rico,0,0,US
2020-02-11,Loiza,Puerto Rico,0,0,US
2020-02-12,Loiza,Puerto Rico,0,0,US
2020-02-13,Loiza,Puerto Rico,0,0,US
2020-02-14,Loiza,Puerto Rico,0,0,US
2020-02-15,Loiza,Puerto Rico,0,0,US
2020-02-16,Loiza,Puerto Rico,0,0,US
2020-02-17,Loiza,Puerto Rico,0,0,US
2020-02-18,Loiza,Puerto Rico,0,0,US
2020-02-19,Loiza,Puerto Rico,0,0,US
2020-02-20,Loiza,Puerto Rico,0,0,US
2020-02-21,Loiza,Puerto Rico,0,0,US
2020-02-22,Loiza,Puerto Rico,0,0,US
2020-02-23,Loiza,Puerto Rico,0,0,US
2020-02-24,Loiza,Puerto Rico,0,0,US
2020-02-25,Loiza,Puerto Rico,0,0,US
2020-02-26,Loiza,Puerto Rico,0,0,US
2020-02-27,Loiza,Puerto Rico,0,0,US
2020-02-28,Loiza,Puerto Rico,0,0,US
2020-02-29,Loiza,Puerto Rico,0,0,US
2020-03-01,Loiza,Puerto Rico,0,0,US
