Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Loudoun,Virginia,0,0,US
2020-01-23,Loudoun,Virginia,0,0,US
2020-01-24,Loudoun,Virginia,0,0,US
2020-01-25,Loudoun,Virginia,0,0,US
2020-01-26,Loudoun,Virginia,0,0,US
2020-01-27,Loudoun,Virginia,0,0,US
2020-01-28,Loudoun,Virginia,0,0,US
2020-01-29,Loudoun,Virginia,0,0,US
2020-01-30,Loudoun,Virginia,0,0,US
2020-01-31,Loudoun,Virginia,0,0,US
2020-02-01,Loudoun,Virginia,0,0,US
2020-02-02,Loudoun,Virginia,0,0,US
2020-02-03,Loudoun,Virginia,0,0,US
2020-02-04,Loudoun,Virginia,0,0,US
2020-02-05,Loudoun,Virginia,0,0,US
2020-02-06,Loudoun,Virginia,0,0,US
2020-02-07,Loudoun,Virginia,0,0,US
2020-02-08,Loudoun,Virginia,0,0,US
2020-02-09,Loudoun,Virginia,0,0,US
2020-02-10,Loudoun,Virginia,0,0,US
2020-02-11,Loudoun,Virginia,0,0,US
2020-02-12,Loudoun,Virginia,0,0,US
2020-02-13,Loudoun,Virginia,0,0,US
2020-02-14,Loudoun,Virginia,0,0,US
2020-02-15,Loudoun,Virginia,0,0,US
2020-02-16,Loudoun,Virginia,0,0,US
2020-02-17,Loudoun,Virginia,0,0,US
2020-02-18,Loudoun,Virginia,0,0,US
2020-02-19,Loudoun,Virginia,0,0,US
2020-02-20,Loudoun,Virginia,0,0,US
2020-02-21,Loudoun,Virginia,0,0,US
2020-02-22,Loudoun,Virginia,0,0,US
2020-02-23,Loudoun,Virginia,0,0,US
2020-02-24,Loudoun,Virginia,0,0,US
2020-02-25,Loudoun,Virginia,0,0,US
2020-02-26,Loudoun,Virginia,0,0,US
2020-02-27,Loudoun,Virginia,0,0,US
2020-02-28,Loudoun,Virginia,0,0,US
2020-02-29,Loudoun,Virginia,0,0,US
2020-03-01,Loudoun,Virginia,0,0,US
2020-03-02,Loudoun,Virginia,0,0,US
2020-03-03,Loudoun,Virginia,0,0,US
2020-03-04,Loudoun,Virginia,0,0,US
2020-03-05,Loudoun,Virginia,0,0,US
2020-03-06,Loudoun,Virginia,0,0,US
2020-03-07,Loudoun,Virginia,0,0,US
2020-03-08,Loudoun,Virginia,0,0,US
2020-03-09,Loudoun,Virginia,0,0,US
2020-03-10,Loudoun,Virginia,1,0,US
2020-03-11,Loudoun,Virginia,1,0,US
2020-03-12,Loudoun,Virginia,2,0,US
2020-03-13,Loudoun,Virginia,3,0,US
2020-03-14,Loudoun,Virginia,5,0,US
2020-03-15,Loudoun,Virginia,5,0,US
2020-03-16,Loudoun,Virginia,5,0,US
2020-03-17,Loudoun,Virginia,5,0,US
2020-03-18,Loudoun,Virginia,5,0,US
2020-03-19,Loudoun,Virginia,5,0,US
2020-03-20,Loudoun,Virginia,9,0,US
