Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lowndes,Alabama,0,0,US
2020-01-23,Lowndes,Alabama,0,0,US
2020-01-24,Lowndes,Alabama,0,0,US
2020-01-25,Lowndes,Alabama,0,0,US
2020-01-26,Lowndes,Alabama,0,0,US
2020-01-27,Lowndes,Alabama,0,0,US
2020-01-28,Lowndes,Alabama,0,0,US
2020-01-29,Lowndes,Alabama,0,0,US
2020-01-30,Lowndes,Alabama,0,0,US
2020-01-31,Lowndes,Alabama,0,0,US
2020-02-01,Lowndes,Alabama,0,0,US
2020-02-02,Lowndes,Alabama,0,0,US
2020-02-03,Lowndes,Alabama,0,0,US
2020-02-04,Lowndes,Alabama,0,0,US
2020-02-05,Lowndes,Alabama,0,0,US
2020-02-06,Lowndes,Alabama,0,0,US
2020-02-07,Lowndes,Alabama,0,0,US
2020-02-08,Lowndes,Alabama,0,0,US
2020-02-09,Lowndes,Alabama,0,0,US
2020-02-10,Lowndes,Alabama,0,0,US
2020-02-11,Lowndes,Alabama,0,0,US
2020-02-12,Lowndes,Alabama,0,0,US
2020-02-13,Lowndes,Alabama,0,0,US
2020-02-14,Lowndes,Alabama,0,0,US
2020-02-15,Lowndes,Alabama,0,0,US
2020-02-16,Lowndes,Alabama,0,0,US
2020-02-17,Lowndes,Alabama,0,0,US
2020-02-18,Lowndes,Alabama,0,0,US
2020-02-19,Lowndes,Alabama,0,0,US
2020-02-20,Lowndes,Alabama,0,0,US
2020-02-21,Lowndes,Alabama,0,0,US
2020-02-22,Lowndes,Alabama,0,0,US
2020-02-23,Lowndes,Alabama,0,0,US
2020-02-24,Lowndes,Alabama,0,0,US
2020-02-25,Lowndes,Alabama,0,0,US
2020-02-26,Lowndes,Alabama,0,0,US
2020-02-27,Lowndes,Alabama,0,0,US
2020-02-28,Lowndes,Alabama,0,0,US
2020-02-29,Lowndes,Alabama,0,0,US
2020-03-01,Lowndes,Alabama,0,0,US
2020-03-02,Lowndes,Alabama,0,0,US
2020-03-03,Lowndes,Alabama,0,0,US
2020-03-04,Lowndes,Alabama,0,0,US
2020-03-05,Lowndes,Alabama,0,0,US
2020-03-06,Lowndes,Alabama,0,0,US
2020-03-07,Lowndes,Alabama,0,0,US
2020-03-08,Lowndes,Alabama,0,0,US
2020-03-09,Lowndes,Alabama,0,0,US
2020-03-10,Lowndes,Alabama,0,0,US
2020-03-11,Lowndes,Alabama,0,0,US
2020-03-12,Lowndes,Alabama,0,0,US
2020-03-13,Lowndes,Alabama,0,0,US
2020-03-14,Lowndes,Alabama,0,0,US
2020-03-15,Lowndes,Alabama,0,0,US
2020-03-16,Lowndes,Alabama,0,0,US
2020-03-17,Lowndes,Alabama,0,0,US
2020-03-18,Lowndes,Alabama,0,0,US
2020-03-19,Lowndes,Alabama,0,0,US
2020-03-20,Lowndes,Alabama,0,0,US
2020-03-21,Lowndes,Alabama,0,0,US
2020-03-22,Lowndes,Alabama,0,0,US
2020-03-23,Lowndes,Alabama,0,0,US
2020-03-24,Lowndes,Alabama,0,0,US
2020-03-25,Lowndes,Alabama,1,0,US
2020-03-26,Lowndes,Alabama,1,0,US
2020-03-27,Lowndes,Alabama,1,0,US
2020-03-28,Lowndes,Alabama,1,0,US
2020-03-29,Lowndes,Alabama,1,0,US
2020-03-30,Lowndes,Alabama,1,0,US
2020-03-31,Lowndes,Alabama,1,0,US
2020-04-01,Lowndes,Alabama,1,0,US
2020-04-02,Lowndes,Alabama,2,0,US
2020-04-03,Lowndes,Alabama,2,0,US
2020-04-04,Lowndes,Alabama,3,0,US
2020-04-05,Lowndes,Alabama,4,0,US
2020-04-06,Lowndes,Alabama,5,0,US
2020-04-07,Lowndes,Alabama,7,0,US
2020-04-08,Lowndes,Alabama,10,0,US
2020-04-09,Lowndes,Alabama,11,0,US
2020-04-10,Lowndes,Alabama,11,0,US
2020-04-11,Lowndes,Alabama,13,0,US
2020-04-12,Lowndes,Alabama,13,0,US
2020-04-13,Lowndes,Alabama,15,0,US
2020-04-14,Lowndes,Alabama,18,0,US
2020-04-15,Lowndes,Alabama,23,0,US
2020-04-16,Lowndes,Alabama,25,0,US
2020-04-17,Lowndes,Alabama,25,0,US
2020-04-18,Lowndes,Alabama,27,0,US
2020-04-19,Lowndes,Alabama,30,0,US
2020-04-20,Lowndes,Alabama,31,0,US
2020-04-21,Lowndes,Alabama,33,0,US
2020-04-22,Lowndes,Alabama,33,1,US
2020-04-23,Lowndes,Alabama,34,1,US
2020-04-24,Lowndes,Alabama,36,1,US
2020-04-25,Lowndes,Alabama,38,1,US
2020-04-26,Lowndes,Alabama,38,1,US
2020-04-27,Lowndes,Alabama,39,1,US
2020-04-28,Lowndes,Alabama,54,1,US
2020-04-29,Lowndes,Alabama,60,1,US
2020-04-30,Lowndes,Alabama,67,1,US
2020-05-01,Lowndes,Alabama,70,1,US
2020-05-02,Lowndes,Alabama,72,1,US
2020-05-03,Lowndes,Alabama,74,1,US
2020-05-04,Lowndes,Alabama,78,1,US
2020-05-05,Lowndes,Alabama,82,3,US
2020-05-06,Lowndes,Alabama,84,5,US
2020-05-07,Lowndes,Alabama,87,5,US
2020-05-08,Lowndes,Alabama,90,5,US
2020-05-09,Lowndes,Alabama,100,5,US
2020-05-10,Lowndes,Alabama,104,5,US
2020-05-11,Lowndes,Alabama,106,6,US
2020-05-12,Lowndes,Alabama,113,7,US
2020-05-13,Lowndes,Alabama,114,8,US
2020-05-14,Lowndes,Alabama,119,9,US
2020-05-15,Lowndes,Alabama,124,9,US
2020-05-16,Lowndes,Alabama,131,9,US
2020-05-17,Lowndes,Alabama,135,9,US
2020-05-18,Lowndes,Alabama,143,9,US
2020-05-19,Lowndes,Alabama,152,10,US
2020-05-20,Lowndes,Alabama,158,10,US
2020-05-21,Lowndes,Alabama,168,10,US
2020-05-22,Lowndes,Alabama,177,10,US
2020-05-23,Lowndes,Alabama,186,10,US
2020-05-24,Lowndes,Alabama,189,10,US
2020-05-25,Lowndes,Alabama,205,10,US
2020-05-26,Lowndes,Alabama,212,10,US
2020-05-27,Lowndes,Alabama,219,10,US
2020-05-28,Lowndes,Alabama,226,10,US
2020-05-29,Lowndes,Alabama,230,11,US
2020-05-30,Lowndes,Alabama,242,12,US
2020-05-31,Lowndes,Alabama,250,12,US
2020-06-01,Lowndes,Alabama,256,12,US
2020-06-02,Lowndes,Alabama,262,12,US
2020-06-03,Lowndes,Alabama,269,12,US
2020-06-04,Lowndes,Alabama,273,12,US
2020-06-05,Lowndes,Alabama,280,12,US
2020-06-06,Lowndes,Alabama,288,12,US
2020-06-07,Lowndes,Alabama,296,12,US
2020-06-08,Lowndes,Alabama,304,13,US
2020-06-09,Lowndes,Alabama,312,13,US
2020-06-10,Lowndes,Alabama,330,13,US
2020-06-11,Lowndes,Alabama,337,13,US
2020-06-12,Lowndes,Alabama,369,13,US
2020-06-13,Lowndes,Alabama,386,14,US
2020-06-14,Lowndes,Alabama,398,14,US
2020-06-15,Lowndes,Alabama,401,14,US
2020-06-16,Lowndes,Alabama,405,14,US
2020-06-17,Lowndes,Alabama,410,14,US
2020-06-18,Lowndes,Alabama,414,14,US
2020-06-19,Lowndes,Alabama,417,14,US
2020-06-20,Lowndes,Alabama,420,14,US
2020-06-21,Lowndes,Alabama,424,14,US
2020-06-22,Lowndes,Alabama,427,14,US
2020-06-23,Lowndes,Alabama,428,15,US
2020-06-24,Lowndes,Alabama,434,17,US
2020-06-25,Lowndes,Alabama,437,17,US
2020-06-26,Lowndes,Alabama,439,17,US
2020-06-27,Lowndes,Alabama,440,17,US
2020-06-28,Lowndes,Alabama,454,17,US
2020-06-29,Lowndes,Alabama,456,18,US
2020-06-30,Lowndes,Alabama,457,19,US
2020-07-01,Lowndes,Alabama,459,20,US
2020-07-02,Lowndes,Alabama,462,20,US
2020-07-03,Lowndes,Alabama,464,21,US
2020-07-04,Lowndes,Alabama,467,21,US
2020-07-05,Lowndes,Alabama,470,21,US
2020-07-06,Lowndes,Alabama,474,21,US
2020-07-07,Lowndes,Alabama,478,21,US
2020-07-08,Lowndes,Alabama,479,22,US
2020-07-09,Lowndes,Alabama,479,22,US
2020-07-10,Lowndes,Alabama,480,22,US
2020-07-11,Lowndes,Alabama,483,22,US
2020-07-12,Lowndes,Alabama,492,22,US
2020-07-13,Lowndes,Alabama,493,22,US
2020-07-14,Lowndes,Alabama,498,23,US
2020-07-15,Lowndes,Alabama,501,23,US
2020-07-16,Lowndes,Alabama,504,23,US
2020-07-17,Lowndes,Alabama,511,23,US
2020-07-18,Lowndes,Alabama,515,23,US
2020-07-19,Lowndes,Alabama,517,23,US
2020-07-20,Lowndes,Alabama,523,23,US
2020-07-21,Lowndes,Alabama,525,24,US
2020-07-22,Lowndes,Alabama,530,24,US
2020-07-23,Lowndes,Alabama,532,24,US
2020-07-24,Lowndes,Alabama,537,24,US
2020-07-25,Lowndes,Alabama,540,24,US
2020-07-26,Lowndes,Alabama,542,24,US
2020-07-27,Lowndes,Alabama,546,24,US
2020-07-28,Lowndes,Alabama,552,24,US
2020-07-29,Lowndes,Alabama,552,24,US
2020-07-30,Lowndes,Alabama,552,24,US
2020-07-31,Lowndes,Alabama,552,24,US
2020-08-01,Lowndes,Alabama,553,24,US
2020-08-02,Lowndes,Alabama,559,24,US
2020-08-03,Lowndes,Alabama,563,24,US
2020-08-04,Lowndes,Alabama,566,24,US
2020-08-05,Lowndes,Alabama,574,24,US
2020-08-06,Lowndes,Alabama,576,24,US
2020-08-07,Lowndes,Alabama,579,24,US
2020-08-08,Lowndes,Alabama,580,24,US
2020-08-09,Lowndes,Alabama,581,24,US
2020-08-10,Lowndes,Alabama,581,24,US
2020-08-11,Lowndes,Alabama,587,24,US
2020-08-12,Lowndes,Alabama,587,24,US
2020-08-13,Lowndes,Alabama,589,24,US
2020-08-14,Lowndes,Alabama,589,24,US
2020-08-15,Lowndes,Alabama,591,24,US
2020-08-16,Lowndes,Alabama,592,24,US
2020-08-17,Lowndes,Alabama,596,24,US
2020-08-18,Lowndes,Alabama,597,24,US
2020-08-19,Lowndes,Alabama,598,24,US
2020-08-20,Lowndes,Alabama,598,24,US
2020-08-21,Lowndes,Alabama,598,24,US
2020-08-22,Lowndes,Alabama,600,24,US
2020-08-23,Lowndes,Alabama,601,24,US
2020-08-24,Lowndes,Alabama,603,24,US
2020-08-25,Lowndes,Alabama,604,24,US
2020-08-26,Lowndes,Alabama,607,24,US
2020-08-27,Lowndes,Alabama,609,24,US
2020-08-28,Lowndes,Alabama,615,24,US
2020-08-29,Lowndes,Alabama,617,24,US
2020-08-30,Lowndes,Alabama,617,24,US
2020-08-31,Lowndes,Alabama,622,24,US
2020-09-01,Lowndes,Alabama,622,24,US
2020-09-02,Lowndes,Alabama,622,24,US
2020-09-03,Lowndes,Alabama,624,24,US
2020-09-04,Lowndes,Alabama,625,25,US
2020-09-05,Lowndes,Alabama,625,25,US
