Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Macon,North Carolina,0,0,US
2020-01-23,Macon,North Carolina,0,0,US
2020-01-24,Macon,North Carolina,0,0,US
2020-01-25,Macon,North Carolina,0,0,US
2020-01-26,Macon,North Carolina,0,0,US
2020-01-27,Macon,North Carolina,0,0,US
2020-01-28,Macon,North Carolina,0,0,US
2020-01-29,Macon,North Carolina,0,0,US
2020-01-30,Macon,North Carolina,0,0,US
2020-01-31,Macon,North Carolina,0,0,US
2020-02-01,Macon,North Carolina,0,0,US
2020-02-02,Macon,North Carolina,0,0,US
2020-02-03,Macon,North Carolina,0,0,US
2020-02-04,Macon,North Carolina,0,0,US
2020-02-05,Macon,North Carolina,0,0,US
2020-02-06,Macon,North Carolina,0,0,US
2020-02-07,Macon,North Carolina,0,0,US
2020-02-08,Macon,North Carolina,0,0,US
2020-02-09,Macon,North Carolina,0,0,US
2020-02-10,Macon,North Carolina,0,0,US
2020-02-11,Macon,North Carolina,0,0,US
2020-02-12,Macon,North Carolina,0,0,US
2020-02-13,Macon,North Carolina,0,0,US
2020-02-14,Macon,North Carolina,0,0,US
2020-02-15,Macon,North Carolina,0,0,US
2020-02-16,Macon,North Carolina,0,0,US
2020-02-17,Macon,North Carolina,0,0,US
2020-02-18,Macon,North Carolina,0,0,US
2020-02-19,Macon,North Carolina,0,0,US
2020-02-20,Macon,North Carolina,0,0,US
2020-02-21,Macon,North Carolina,0,0,US
2020-02-22,Macon,North Carolina,0,0,US
2020-02-23,Macon,North Carolina,0,0,US
2020-02-24,Macon,North Carolina,0,0,US
2020-02-25,Macon,North Carolina,0,0,US
2020-02-26,Macon,North Carolina,0,0,US
2020-02-27,Macon,North Carolina,0,0,US
2020-02-28,Macon,North Carolina,0,0,US
2020-02-29,Macon,North Carolina,0,0,US
2020-03-01,Macon,North Carolina,0,0,US
2020-03-02,Macon,North Carolina,0,0,US
2020-03-03,Macon,North Carolina,0,0,US
2020-03-04,Macon,North Carolina,0,0,US
2020-03-05,Macon,North Carolina,0,0,US
2020-03-06,Macon,North Carolina,0,0,US
2020-03-07,Macon,North Carolina,0,0,US
2020-03-08,Macon,North Carolina,0,0,US
2020-03-09,Macon,North Carolina,0,0,US
2020-03-10,Macon,North Carolina,0,0,US
2020-03-11,Macon,North Carolina,0,0,US
2020-03-12,Macon,North Carolina,0,0,US
2020-03-13,Macon,North Carolina,0,0,US
2020-03-14,Macon,North Carolina,0,0,US
2020-03-15,Macon,North Carolina,0,0,US
2020-03-16,Macon,North Carolina,0,0,US
2020-03-17,Macon,North Carolina,0,0,US
2020-03-18,Macon,North Carolina,0,0,US
2020-03-19,Macon,North Carolina,0,0,US
2020-03-20,Macon,North Carolina,0,0,US
2020-03-21,Macon,North Carolina,0,0,US
2020-03-22,Macon,North Carolina,0,0,US
2020-03-23,Macon,North Carolina,0,0,US
2020-03-24,Macon,North Carolina,0,0,US
2020-03-25,Macon,North Carolina,0,0,US
2020-03-26,Macon,North Carolina,0,0,US
2020-03-27,Macon,North Carolina,0,0,US
2020-03-28,Macon,North Carolina,0,0,US
2020-03-29,Macon,North Carolina,0,0,US
2020-03-30,Macon,North Carolina,0,0,US
2020-03-31,Macon,North Carolina,0,0,US
2020-04-01,Macon,North Carolina,1,0,US
2020-04-02,Macon,North Carolina,1,0,US
2020-04-03,Macon,North Carolina,1,0,US
2020-04-04,Macon,North Carolina,1,0,US
2020-04-05,Macon,North Carolina,1,0,US
2020-04-06,Macon,North Carolina,1,0,US
2020-04-07,Macon,North Carolina,1,0,US
2020-04-08,Macon,North Carolina,2,1,US
2020-04-09,Macon,North Carolina,2,1,US
2020-04-10,Macon,North Carolina,2,1,US
2020-04-11,Macon,North Carolina,2,1,US
2020-04-12,Macon,North Carolina,2,1,US
