Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Madison,Ohio,0,0,US
2020-01-23,Madison,Ohio,0,0,US
2020-01-24,Madison,Ohio,0,0,US
2020-01-25,Madison,Ohio,0,0,US
2020-01-26,Madison,Ohio,0,0,US
2020-01-27,Madison,Ohio,0,0,US
2020-01-28,Madison,Ohio,0,0,US
2020-01-29,Madison,Ohio,0,0,US
2020-01-30,Madison,Ohio,0,0,US
2020-01-31,Madison,Ohio,0,0,US
2020-02-01,Madison,Ohio,0,0,US
2020-02-02,Madison,Ohio,0,0,US
2020-02-03,Madison,Ohio,0,0,US
2020-02-04,Madison,Ohio,0,0,US
2020-02-05,Madison,Ohio,0,0,US
2020-02-06,Madison,Ohio,0,0,US
2020-02-07,Madison,Ohio,0,0,US
2020-02-08,Madison,Ohio,0,0,US
2020-02-09,Madison,Ohio,0,0,US
2020-02-10,Madison,Ohio,0,0,US
2020-02-11,Madison,Ohio,0,0,US
2020-02-12,Madison,Ohio,0,0,US
2020-02-13,Madison,Ohio,0,0,US
2020-02-14,Madison,Ohio,0,0,US
2020-02-15,Madison,Ohio,0,0,US
2020-02-16,Madison,Ohio,0,0,US
2020-02-17,Madison,Ohio,0,0,US
2020-02-18,Madison,Ohio,0,0,US
2020-02-19,Madison,Ohio,0,0,US
2020-02-20,Madison,Ohio,0,0,US
2020-02-21,Madison,Ohio,0,0,US
2020-02-22,Madison,Ohio,0,0,US
2020-02-23,Madison,Ohio,0,0,US
2020-02-24,Madison,Ohio,0,0,US
2020-02-25,Madison,Ohio,0,0,US
2020-02-26,Madison,Ohio,0,0,US
2020-02-27,Madison,Ohio,0,0,US
2020-02-28,Madison,Ohio,0,0,US
2020-02-29,Madison,Ohio,0,0,US
2020-03-01,Madison,Ohio,0,0,US
2020-03-02,Madison,Ohio,0,0,US
2020-03-03,Madison,Ohio,0,0,US
2020-03-04,Madison,Ohio,0,0,US
2020-03-05,Madison,Ohio,0,0,US
2020-03-06,Madison,Ohio,0,0,US
2020-03-07,Madison,Ohio,0,0,US
2020-03-08,Madison,Ohio,0,0,US
2020-03-09,Madison,Ohio,0,0,US
2020-03-10,Madison,Ohio,0,0,US
2020-03-11,Madison,Ohio,0,0,US
2020-03-12,Madison,Ohio,0,0,US
2020-03-13,Madison,Ohio,0,0,US
2020-03-14,Madison,Ohio,0,0,US
2020-03-15,Madison,Ohio,0,0,US
2020-03-16,Madison,Ohio,0,0,US
2020-03-17,Madison,Ohio,0,0,US
2020-03-18,Madison,Ohio,0,0,US
2020-03-19,Madison,Ohio,0,0,US
2020-03-20,Madison,Ohio,0,0,US
2020-03-21,Madison,Ohio,0,0,US
2020-03-22,Madison,Ohio,1,0,US
2020-03-23,Madison,Ohio,1,0,US
2020-03-24,Madison,Ohio,1,0,US
2020-03-25,Madison,Ohio,2,0,US
2020-03-26,Madison,Ohio,3,0,US
2020-03-27,Madison,Ohio,3,0,US
2020-03-28,Madison,Ohio,4,0,US
2020-03-29,Madison,Ohio,4,0,US
2020-03-30,Madison,Ohio,5,0,US
2020-03-31,Madison,Ohio,7,2,US
2020-04-01,Madison,Ohio,9,2,US
2020-04-02,Madison,Ohio,11,2,US
2020-04-03,Madison,Ohio,13,2,US
2020-04-04,Madison,Ohio,15,2,US
2020-04-05,Madison,Ohio,17,2,US
2020-04-06,Madison,Ohio,17,2,US
2020-04-07,Madison,Ohio,18,2,US
2020-04-08,Madison,Ohio,20,2,US
2020-04-09,Madison,Ohio,21,2,US
2020-04-10,Madison,Ohio,23,3,US
2020-04-11,Madison,Ohio,23,3,US
2020-04-12,Madison,Ohio,23,3,US
2020-04-13,Madison,Ohio,24,3,US
2020-04-14,Madison,Ohio,24,3,US
2020-04-15,Madison,Ohio,24,3,US
2020-04-16,Madison,Ohio,29,3,US
2020-04-17,Madison,Ohio,27,3,US
2020-04-18,Madison,Ohio,30,3,US
2020-04-19,Madison,Ohio,30,3,US
2020-04-20,Madison,Ohio,30,3,US
2020-04-21,Madison,Ohio,30,3,US
2020-04-22,Madison,Ohio,30,3,US
2020-04-23,Madison,Ohio,38,3,US
2020-04-24,Madison,Ohio,47,3,US
2020-04-25,Madison,Ohio,51,3,US
2020-04-26,Madison,Ohio,51,3,US
2020-04-27,Madison,Ohio,52,3,US
2020-04-28,Madison,Ohio,56,3,US
2020-04-29,Madison,Ohio,60,3,US
2020-04-30,Madison,Ohio,63,3,US
2020-05-01,Madison,Ohio,64,3,US
2020-05-02,Madison,Ohio,64,3,US
2020-05-03,Madison,Ohio,67,3,US
2020-05-04,Madison,Ohio,71,3,US
2020-05-05,Madison,Ohio,73,3,US
2020-05-06,Madison,Ohio,73,3,US
2020-05-07,Madison,Ohio,73,3,US
2020-05-08,Madison,Ohio,78,3,US
2020-05-09,Madison,Ohio,81,3,US
2020-05-10,Madison,Ohio,83,3,US
2020-05-11,Madison,Ohio,84,4,US
2020-05-12,Madison,Ohio,87,4,US
2020-05-13,Madison,Ohio,88,5,US
2020-05-14,Madison,Ohio,93,5,US
2020-05-15,Madison,Ohio,95,5,US
2020-05-16,Madison,Ohio,98,5,US
2020-05-17,Madison,Ohio,98,5,US
2020-05-18,Madison,Ohio,99,6,US
2020-05-19,Madison,Ohio,100,6,US
2020-05-20,Madison,Ohio,102,6,US
2020-05-21,Madison,Ohio,105,6,US
2020-05-22,Madison,Ohio,128,6,US
2020-05-23,Madison,Ohio,132,6,US
2020-05-24,Madison,Ohio,133,6,US
2020-05-25,Madison,Ohio,134,6,US
2020-05-26,Madison,Ohio,141,6,US
2020-05-27,Madison,Ohio,144,6,US
2020-05-28,Madison,Ohio,148,6,US
2020-05-29,Madison,Ohio,152,6,US
2020-05-30,Madison,Ohio,152,6,US
2020-05-31,Madison,Ohio,156,6,US
2020-06-01,Madison,Ohio,155,6,US
2020-06-02,Madison,Ohio,157,6,US
2020-06-03,Madison,Ohio,162,6,US
2020-06-04,Madison,Ohio,163,6,US
2020-06-05,Madison,Ohio,164,6,US
2020-06-06,Madison,Ohio,164,6,US
2020-06-07,Madison,Ohio,166,6,US
2020-06-08,Madison,Ohio,167,6,US
2020-06-09,Madison,Ohio,167,6,US
2020-06-10,Madison,Ohio,167,6,US
2020-06-11,Madison,Ohio,167,6,US
2020-06-12,Madison,Ohio,168,6,US
2020-06-13,Madison,Ohio,168,6,US
2020-06-14,Madison,Ohio,168,6,US
2020-06-15,Madison,Ohio,168,6,US
2020-06-16,Madison,Ohio,168,6,US
2020-06-17,Madison,Ohio,169,6,US
2020-06-18,Madison,Ohio,170,6,US
2020-06-19,Madison,Ohio,172,6,US
2020-06-20,Madison,Ohio,174,6,US
2020-06-21,Madison,Ohio,174,6,US
2020-06-22,Madison,Ohio,175,6,US
2020-06-23,Madison,Ohio,176,6,US
2020-06-24,Madison,Ohio,177,6,US
2020-06-25,Madison,Ohio,179,6,US
2020-06-26,Madison,Ohio,181,6,US
2020-06-27,Madison,Ohio,182,6,US
2020-06-28,Madison,Ohio,184,6,US
2020-06-29,Madison,Ohio,185,6,US
2020-06-30,Madison,Ohio,187,6,US
2020-07-01,Madison,Ohio,188,6,US
2020-07-02,Madison,Ohio,188,6,US
2020-07-03,Madison,Ohio,192,6,US
2020-07-04,Madison,Ohio,193,6,US
2020-07-05,Madison,Ohio,195,7,US
2020-07-06,Madison,Ohio,197,7,US
2020-07-07,Madison,Ohio,199,7,US
2020-07-08,Madison,Ohio,202,7,US
2020-07-09,Madison,Ohio,206,7,US
2020-07-10,Madison,Ohio,213,7,US
2020-07-11,Madison,Ohio,216,7,US
2020-07-12,Madison,Ohio,222,7,US
2020-07-13,Madison,Ohio,225,7,US
2020-07-14,Madison,Ohio,230,7,US
2020-07-15,Madison,Ohio,233,7,US
2020-07-16,Madison,Ohio,237,7,US
2020-07-17,Madison,Ohio,244,7,US
2020-07-18,Madison,Ohio,244,7,US
2020-07-19,Madison,Ohio,245,7,US
2020-07-20,Madison,Ohio,253,7,US
2020-07-21,Madison,Ohio,257,7,US
2020-07-22,Madison,Ohio,259,7,US
2020-07-23,Madison,Ohio,262,7,US
2020-07-24,Madison,Ohio,266,7,US
2020-07-25,Madison,Ohio,271,7,US
2020-07-26,Madison,Ohio,271,7,US
2020-07-27,Madison,Ohio,276,8,US
2020-07-28,Madison,Ohio,285,8,US
2020-07-29,Madison,Ohio,299,8,US
2020-07-30,Madison,Ohio,308,8,US
2020-07-31,Madison,Ohio,313,8,US
2020-08-01,Madison,Ohio,322,8,US
2020-08-02,Madison,Ohio,329,8,US
2020-08-03,Madison,Ohio,333,8,US
2020-08-04,Madison,Ohio,336,8,US
2020-08-05,Madison,Ohio,343,8,US
2020-08-06,Madison,Ohio,349,8,US
2020-08-07,Madison,Ohio,353,8,US
2020-08-08,Madison,Ohio,355,8,US
2020-08-09,Madison,Ohio,374,8,US
