Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Madison,Texas,0,0,US
2020-01-23,Madison,Texas,0,0,US
2020-01-24,Madison,Texas,0,0,US
2020-01-25,Madison,Texas,0,0,US
2020-01-26,Madison,Texas,0,0,US
2020-01-27,Madison,Texas,0,0,US
2020-01-28,Madison,Texas,0,0,US
2020-01-29,Madison,Texas,0,0,US
2020-01-30,Madison,Texas,0,0,US
2020-01-31,Madison,Texas,0,0,US
2020-02-01,Madison,Texas,0,0,US
2020-02-02,Madison,Texas,0,0,US
2020-02-03,Madison,Texas,0,0,US
2020-02-04,Madison,Texas,0,0,US
2020-02-05,Madison,Texas,0,0,US
2020-02-06,Madison,Texas,0,0,US
2020-02-07,Madison,Texas,0,0,US
2020-02-08,Madison,Texas,0,0,US
2020-02-09,Madison,Texas,0,0,US
2020-02-10,Madison,Texas,0,0,US
2020-02-11,Madison,Texas,0,0,US
2020-02-12,Madison,Texas,0,0,US
2020-02-13,Madison,Texas,0,0,US
2020-02-14,Madison,Texas,0,0,US
2020-02-15,Madison,Texas,0,0,US
2020-02-16,Madison,Texas,0,0,US
2020-02-17,Madison,Texas,0,0,US
2020-02-18,Madison,Texas,0,0,US
2020-02-19,Madison,Texas,0,0,US
2020-02-20,Madison,Texas,0,0,US
2020-02-21,Madison,Texas,0,0,US
2020-02-22,Madison,Texas,0,0,US
2020-02-23,Madison,Texas,0,0,US
2020-02-24,Madison,Texas,0,0,US
2020-02-25,Madison,Texas,0,0,US
2020-02-26,Madison,Texas,0,0,US
2020-02-27,Madison,Texas,0,0,US
2020-02-28,Madison,Texas,0,0,US
2020-02-29,Madison,Texas,0,0,US
2020-03-01,Madison,Texas,0,0,US
2020-03-02,Madison,Texas,0,0,US
2020-03-03,Madison,Texas,0,0,US
2020-03-04,Madison,Texas,0,0,US
2020-03-05,Madison,Texas,0,0,US
2020-03-06,Madison,Texas,0,0,US
2020-03-07,Madison,Texas,0,0,US
2020-03-08,Madison,Texas,0,0,US
2020-03-09,Madison,Texas,0,0,US
2020-03-10,Madison,Texas,0,0,US
2020-03-11,Madison,Texas,0,0,US
2020-03-12,Madison,Texas,0,0,US
2020-03-13,Madison,Texas,0,0,US
2020-03-14,Madison,Texas,0,0,US
2020-03-15,Madison,Texas,0,0,US
2020-03-16,Madison,Texas,0,0,US
2020-03-17,Madison,Texas,0,0,US
2020-03-18,Madison,Texas,0,0,US
2020-03-19,Madison,Texas,0,0,US
2020-03-20,Madison,Texas,0,0,US
2020-03-21,Madison,Texas,0,0,US
2020-03-22,Madison,Texas,0,0,US
2020-03-23,Madison,Texas,0,0,US
2020-03-24,Madison,Texas,0,0,US
2020-03-25,Madison,Texas,0,0,US
2020-03-26,Madison,Texas,0,0,US
2020-03-27,Madison,Texas,0,0,US
2020-03-28,Madison,Texas,0,0,US
2020-03-29,Madison,Texas,0,0,US
2020-03-30,Madison,Texas,0,0,US
2020-03-31,Madison,Texas,0,0,US
2020-04-01,Madison,Texas,0,0,US
2020-04-02,Madison,Texas,0,0,US
2020-04-03,Madison,Texas,0,0,US
2020-04-04,Madison,Texas,0,0,US
2020-04-05,Madison,Texas,0,0,US
2020-04-06,Madison,Texas,0,0,US
2020-04-07,Madison,Texas,0,0,US
2020-04-08,Madison,Texas,0,0,US
2020-04-09,Madison,Texas,0,0,US
2020-04-10,Madison,Texas,0,0,US
2020-04-11,Madison,Texas,0,0,US
2020-04-12,Madison,Texas,0,0,US
2020-04-13,Madison,Texas,0,0,US
2020-04-14,Madison,Texas,0,0,US
2020-04-15,Madison,Texas,0,0,US
2020-04-16,Madison,Texas,0,0,US
2020-04-17,Madison,Texas,1,0,US
2020-04-18,Madison,Texas,1,0,US
2020-04-19,Madison,Texas,1,0,US
2020-04-20,Madison,Texas,1,0,US
2020-04-21,Madison,Texas,1,0,US
2020-04-22,Madison,Texas,1,0,US
2020-04-23,Madison,Texas,1,0,US
2020-04-24,Madison,Texas,1,0,US
2020-04-25,Madison,Texas,1,0,US
2020-04-26,Madison,Texas,1,0,US
2020-04-27,Madison,Texas,1,0,US
2020-04-28,Madison,Texas,1,0,US
2020-04-29,Madison,Texas,2,0,US
2020-04-30,Madison,Texas,2,0,US
2020-05-01,Madison,Texas,2,0,US
2020-05-02,Madison,Texas,2,0,US
2020-05-03,Madison,Texas,2,0,US
2020-05-04,Madison,Texas,2,0,US
2020-05-05,Madison,Texas,2,0,US
2020-05-06,Madison,Texas,2,0,US
2020-05-07,Madison,Texas,3,0,US
2020-05-08,Madison,Texas,3,0,US
2020-05-09,Madison,Texas,3,0,US
2020-05-10,Madison,Texas,3,0,US
2020-05-11,Madison,Texas,3,0,US
2020-05-12,Madison,Texas,3,0,US
2020-05-13,Madison,Texas,4,0,US
2020-05-14,Madison,Texas,6,0,US
2020-05-15,Madison,Texas,8,0,US
2020-05-16,Madison,Texas,8,0,US
2020-05-17,Madison,Texas,8,0,US
2020-05-18,Madison,Texas,8,0,US
2020-05-19,Madison,Texas,8,0,US
2020-05-20,Madison,Texas,8,0,US
2020-05-21,Madison,Texas,8,0,US
2020-05-22,Madison,Texas,8,0,US
2020-05-23,Madison,Texas,8,0,US
2020-05-24,Madison,Texas,8,0,US
2020-05-25,Madison,Texas,8,0,US
2020-05-26,Madison,Texas,8,0,US
2020-05-27,Madison,Texas,8,0,US
2020-05-28,Madison,Texas,8,0,US
2020-05-29,Madison,Texas,8,0,US
2020-05-30,Madison,Texas,8,0,US
2020-05-31,Madison,Texas,8,0,US
2020-06-01,Madison,Texas,8,0,US
2020-06-02,Madison,Texas,9,0,US
2020-06-03,Madison,Texas,9,0,US
2020-06-04,Madison,Texas,14,0,US
2020-06-05,Madison,Texas,14,0,US
2020-06-06,Madison,Texas,15,0,US
2020-06-07,Madison,Texas,15,0,US
2020-06-08,Madison,Texas,15,0,US
2020-06-09,Madison,Texas,16,0,US
2020-06-10,Madison,Texas,17,0,US
2020-06-11,Madison,Texas,17,0,US
2020-06-12,Madison,Texas,17,0,US
2020-06-13,Madison,Texas,18,0,US
2020-06-14,Madison,Texas,18,0,US
2020-06-15,Madison,Texas,20,0,US
2020-06-16,Madison,Texas,20,0,US
2020-06-17,Madison,Texas,22,0,US
2020-06-18,Madison,Texas,22,0,US
2020-06-19,Madison,Texas,22,0,US
2020-06-20,Madison,Texas,24,0,US
2020-06-21,Madison,Texas,24,0,US
2020-06-22,Madison,Texas,25,0,US
2020-06-23,Madison,Texas,25,0,US
2020-06-24,Madison,Texas,26,0,US
2020-06-25,Madison,Texas,27,0,US
2020-06-26,Madison,Texas,28,0,US
2020-06-27,Madison,Texas,28,0,US
2020-06-28,Madison,Texas,29,0,US
2020-06-29,Madison,Texas,29,0,US
2020-06-30,Madison,Texas,30,0,US
2020-07-01,Madison,Texas,34,0,US
2020-07-02,Madison,Texas,34,0,US
2020-07-03,Madison,Texas,39,0,US
2020-07-04,Madison,Texas,45,0,US
2020-07-05,Madison,Texas,53,0,US
2020-07-06,Madison,Texas,65,0,US
2020-07-07,Madison,Texas,88,0,US
2020-07-08,Madison,Texas,99,0,US
2020-07-09,Madison,Texas,110,0,US
2020-07-10,Madison,Texas,113,0,US
2020-07-11,Madison,Texas,133,0,US
2020-07-12,Madison,Texas,140,0,US
2020-07-13,Madison,Texas,150,0,US
2020-07-14,Madison,Texas,153,0,US
2020-07-15,Madison,Texas,167,0,US
2020-07-16,Madison,Texas,170,0,US
2020-07-17,Madison,Texas,174,0,US
2020-07-18,Madison,Texas,179,0,US
2020-07-19,Madison,Texas,182,0,US
2020-07-20,Madison,Texas,189,0,US
